DateTime,AddedIPs,RemovedIPs
1522415638,36,18
1522419298,10,7
1522422815,18,6
1522426462,10,9
1522430043,12,28
1522433640,25,5
1522437267,20,15
1522440845,14,8
1522444475,13,7
1522448037,3,14
1522451646,7,25
1522455358,33,27
1522458888,7,33
1522462457,48,6
1522466069,19,14
1522469708,5,8
1522473218,5,8
1522476856,16,16
1522480427,8,17
1522484095,4,7
1522487684,15,17
1522491224,27,12
1522494909,3,16
1522498461,21,7
1522502057,18,3
1522505703,3,38
1522509263,14,6
1522512867,4,28
1522516500,13,42
1522520039,57,5
1522523685,8,8
1522527292,4,11
1522530858,16,8
1522534504,9,32
1522538073,5,13
1522541686,66,4
1522545283,35,16
1522548849,12,4
1522552459,16,17
1522556079,7,7
1522559646,5,15
1522563271,7,10
1522566875,8,23
1522570479,20,46
1522574132,5,18
1522577686,11,9
1522581260,9,22
1522584866,20,24
1522588497,7,7
1522592059,9,14
1522595657,44,12
1522599269,21,16
1522602852,15,6
1522606448,17,8
1522610087,5,19
1522613636,27,10
1522617249,10,11
1522620831,8,12
1522624519,10,7
1522628114,34,32
1522631680,4,22
1522635284,14,11
1522638865,41,23
1522642465,22,8
1522646051,8,3
1522649658,7,3
1522653281,3,21
1522656875,24,9
1522660459,10,7
1522664104,4,12
1522667699,4,6
1522671279,4,25
1522674879,12,43
1522678470,43,6
1522682109,3,15
1522685685,9,6
1522689247,17,9
1522692836,7,37
1522696472,7,3
1522700070,13,6
1522703663,27,12
1522707238,13,8
1522710861,21,5
1522714503,20,6
1522718037,6,16
1522721644,8,22
1522725225,13,60
1522728874,4,21
1522732394,30,3
1522735994,22,8
1522739662,5,11
1522743239,10,4
1522746846,26,12
1522750428,7,5
1522754048,10,5
1522757685,6,2
1522761255,4,16
1522764846,5,14
1522768458,6,34
1522772028,25,3
1522775664,7,24
1522779216,21,1
1522782835,13,6
1522786432,12,9
1522790042,10,3
1522793671,7,15
1522797276,6,16
1522800843,33,11
1522804439,8,30
1522808013,14,9
1522811688,9,29
1522815268,6,53
1522818845,6,13
1522822429,52,11
1522826047,15,4
1522829646,3,2
1522833204,13,5
1522836861,13,31
1522840389,31,4
1522844051,5,3
1522847705,2,16
1522851248,5,16
1522854852,26,38
1522858446,26,12
1522862056,8,5
1522865664,3,8
1522869250,14,19
1522872892,8,13
1522876410,9,19
1522880080,8,5
1522883622,42,11
