DateTime,AddedIPs,RemovedIPs
1521792468,0,5
1521796017,4,1
1521799626,2,0
1521803237,0,4
1521806840,3,0
1521810458,0,2
1521814035,4,2
1521817630,4,0
1521821254,0,1
1521824825,2,0
1521828471,0,1
1521832030,0,11
1521839248,0,15
1521842837,10,0
1521846428,14,1
1521850027,4,0
1521860838,0,4
1521864451,1,5
1521868047,0,6
1521875234,0,4
1521878821,2,8
1521882431,4,0
1521886026,4,0
1521889637,4,0
1521893220,1,0
1521896826,2,1
1521904039,1,2
1521907658,0,1
1521911220,3,0
1521914840,1,0
1521918422,0,1
1521922027,1,0
1521925637,0,1
1521932844,0,1
1521936471,7,5
1521940054,0,7
1521943659,7,0
1521947251,8,0
1521950844,2,0
1521958063,1,3
1521961642,0,10
1521965254,7,9
1521968851,2,0
1521972436,3,2
1521976051,4,0
1521979628,9,1
1521983236,2,1
1521986833,1,0
1521990455,3,3
1521994065,1,5
1521997643,5,4
1522001248,6,0
1522004816,0,2
1522008465,1,0
1522012040,0,11
1522015664,0,9
1522019288,0,5
1522022848,9,2
1522026472,0,6
1522033637,4,0
1522037230,0,5
1522040833,3,1
1522044434,1,0
1522048024,6,2
1522051637,3,0
1522058825,7,1
1522066038,2,0
1522073235,2,1
1522076848,0,4
1522080429,2,4
1522084050,1,1
1522087655,2,0
1522091243,0,4
1522094870,0,3
1522098425,7,0
1522102070,0,2
1522105643,1,0
1522109234,1,0
1522112839,1,5
1522116427,1,0
1522120081,0,1
1522123653,0,10
1522127269,0,7
1522130831,3,4
1522138029,10,0
1522148879,2,1
1522152473,9,9
1522156072,0,1
1522159651,10,0
1522163259,4,0
1522166853,1,0
1522177679,0,7
1522181268,0,7
1522184843,10,3
1522188457,0,1
1522192068,5,0
1522195683,0,1
1522199282,0,2
1522202857,1,1
1522206456,2,2
1522210063,0,2
1522213643,1,0
1522217261,2,1
1522220866,2,5
1522228044,6,0
1522231650,1,0
1522235250,1,2
1522238845,2,0
1522242452,1,4
1522249672,0,2
1522253267,1,0
1522264088,0,1
1522267666,1,10
1522271279,3,2
1522274870,2,3
1522278435,7,0
1522282113,0,3
1522285673,1,4
1522289296,0,1
1522292890,14,8
1522296464,6,0
1522300076,0,4
1522307292,2,16
1522310898,0,8
1522314472,15,0
1522318076,10,0
1522321686,4,1
1522325287,2,0
1522328907,0,5
1522332502,0,6
1522336123,0,13
1522339683,13,7
1522343289,6,1
1522346889,4,1
1522350486,3,0
1522354101,5,4
1522357664,12,3
1522361284,5,1
1522364868,2,0
1522368500,2,1
1522372079,1,11
1522375674,8,5
1522379295,1,6
1522382878,3,2
1522386501,0,1
1522390082,1,4
1522393656,2,1
1522397261,3,4
1522411720,0,5
1522415235,8,3
1522418879,1,0
1522422440,4,0
1522426078,2,0
1522429656,1,6
1522433240,6,0
1522436864,5,3
1522440441,4,1
1522444062,1,0
1522447647,0,4
1522451264,0,6
1522454906,0,9
1522458484,0,8
1522462053,8,1
1522465655,11,0
1522472843,1,0
1522476445,6,2
1522480047,1,10
1522487256,1,3
1522490841,8,1
1522494477,0,3
1522498056,5,1
1522501654,5,0
1522505278,0,9
1522508852,1,2
1522512455,1,5
1522516078,1,14
1522519634,15,1
1522523273,4,1
1522526877,1,0
1522530455,5,0
1522534084,0,4
1522537683,0,4
1522541268,16,1
1522544868,11,9
1522548445,3,0
1522552064,5,1
1522555672,4,3
1522559248,0,7
1522562863,4,5
1522566466,4,6
1522570072,5,14
1522573676,0,3
1522577258,4,3
1522580856,1,10
1522584463,8,10
1522588088,0,1
1522591663,0,4
1522595257,13,2
1522598870,9,4
1522602454,6,0
1522606051,0,1
1522609674,0,3
1522613248,9,2
1522616867,2,5
1522620437,1,5
1522627682,9,15
1522631261,1,10
1522634868,5,3
1522638466,20,0
1522642056,11,2
1522645657,2,1
1522649251,3,0
1522652857,1,11
1522656462,12,7
1522660066,4,3
1522663672,3,5
1522667290,0,1
1522670880,0,11
1522674457,5,18
1522678056,20,4
1522681685,0,2
1522685278,0,1
1522688844,6,3
1522692437,2,14
1522696078,1,0
1522699660,6,0
1522703251,10,4
1522706842,3,1
1522710469,9,1
1522714082,0,1
1522717647,0,4
1522721233,1,9
1522724830,0,20
1522728465,0,5
1522732012,14,1
1522735621,10,2
1522739256,1,2
1522746439,9,1
1522750039,5,1
1522753654,4,1
1522757281,1,0
1522760848,0,6
1522764443,0,6
1522768035,0,19
1522771628,10,1
1522775260,0,7
1522778830,11,0
1522782437,5,0
1522786032,1,1
1522789644,3,0
1522793258,1,1
1522796862,0,5
1522800437,6,2
1522804042,0,8
1522807617,1,0
1522811268,1,0
1522814855,0,21
1522818443,0,4
1522822033,24,3
1522832827,4,0
1522836453,4,5
1522840010,9,0
1522847278,0,6
1522850850,0,6
1522854448,8,18
1522858047,11,1
1522861650,3,0
1522865263,0,1
1522868854,1,8
1522872475,0,7
1522876022,2,2
1522879665,1,0
1522883231,13,1
1522886846,8,0
1522890450,3,0
1522897633,1,25
1522901254,1,5
1522904836,10,2
1522908435,1,1
1522912072,1,1
1522915642,9,2
1522919238,8,8
1522922842,20,0
1522926472,0,1
1522930045,6,4
1522933658,3,6
1522937251,0,7
1522940836,7,0
1522944437,11,3
1522948040,3,1
1522951646,1,0
1522958867,0,10
1522962458,1,9
1522966037,7,16
1522969640,5,6
1522973254,3,0
1522976831,5,0
1522980466,0,7
1522984035,2,11
1522987664,3,2
1522991246,0,11
1522994816,4,1
1522998468,0,3
1523002076,0,2
1523005628,17,0
1523009230,3,0
1523012860,1,1
1523020058,0,8
1523023676,0,24
1523030833,1,1
1523034447,1,0
1523052441,0,2
1523066810,0,1
1523074031,3,0
1523088439,0,2
1523092032,2,0
1523095650,1,0
1523106444,0,2
