DateTime,AddedIPs,RemovedIPs
1519430937,1,0
1519445313,0,1
1519448940,1,0
1519463330,0,1
1519470531,1,0
1519474142,0,1
1519477722,1,0
1519488542,0,2
1519499338,1,0
1519510157,1,0
1519517349,4,1
1519524544,1,0
1519538934,0,1
1519546191,0,1
1519549778,1,0
1519553383,0,1
1519564149,2,0
1519589337,0,1
1519592974,1,1
1519603762,1,0
1519607375,0,1
1519610994,1,0
1519693770,0,1
1519697367,0,1
1519700978,1,1
1519704560,1,0
1519722594,0,1
1519726158,2,0
1519740592,0,2
1519747803,1,0
1519758565,1,0
1519772977,0,1
1519776599,1,0
1519787390,0,2
1519794588,1,1
1519801795,2,0
1519816183,0,1
1519819777,1,0
1519834154,0,1
1519837749,1,0
1519844966,0,1
1519852207,0,1
1519863002,2,0
1519873753,0,1
1519877387,0,1
1519888159,1,0
1519902615,0,2
1519906171,1,0
1519909794,1,0
1519942183,0,1
1519945791,0,1
1519949334,2,0
1519952986,0,5
1519956581,3,0
1519992539,0,1
1520017774,1,1
1520021361,1,0
1520024991,0,2
1520028542,2,0
1520042958,0,2
1520046553,2,0
1520082533,0,1
1520089740,1,0
1520107714,0,2
1520111330,1,1
1520114933,1,0
1520122129,3,1
1520125726,0,1
1520129371,1,0
1520132969,0,1
1520136524,1,0
1520143767,1,0
1520150925,0,1
1520154575,0,1
1520158134,1,0
1520172512,1,0
1520194171,0,1
1520197760,1,2
1520201341,2,0
1520204924,0,1
1520215752,0,1
1520244537,1,0
1520258931,0,1
1520266175,0,1
1520273346,1,0
1520280584,1,0
1520287733,0,1
1520291361,1,0
1520298535,1,0
1520302225,0,1
1520312931,1,1
1520323732,1,1
1520327365,0,1
1520330938,1,0
1520338184,0,1
1520341746,2,0
1520345356,0,1
1520356151,0,1
1520359777,1,0
1520363365,1,0
1520366961,0,1
1520370538,0,1
1520374151,1,0
1520377766,1,1
1520392179,0,2
1520399328,1,0
1520410175,0,1
1520417331,1,0
1520424565,0,1
1520428161,1,0
1520453334,0,1
1520471332,1,0
1520474962,1,0
1520478549,1,1
1520482158,1,0
1520485748,1,0
1520489364,0,1
1520492962,1,1
1520496569,0,1
1520500143,0,1
1520514581,2,2
1520518126,2,0
1520532567,0,2
