DateTime,AddedIPs,RemovedIPs
1521943807,1,1
1521947405,0,9
1521950988,2,1
1521954621,2,0
1521958219,1,1
1521965398,2,2
1521968997,0,1
1521972598,1,1
1521976194,1,1
1521979774,2,0
1521983383,0,1
1521986983,0,1
1521990599,1,0
1521994216,2,0
1521997784,0,1
1522001394,0,1
1522004960,1,1
1522008614,0,1
1522012185,2,1
1522015811,1,2
1522019441,1,0
1522022989,10,2
1522026634,2,0
1522030220,2,2
1522033786,1,13
1522037379,0,1
1522040992,2,2
1522044587,1,1
1522048176,1,0
1522051798,0,1
1522058973,1,1
1522062585,2,1
1522066192,1,2
1522069820,1,1
1522073384,1,0
1522076999,0,1
1522080587,1,1
1522084198,2,1
1522087809,1,1
1522091389,1,2
1522095018,0,2
1522098569,1,1
1522102223,1,0
1522105798,1,1
1522109384,19,0
1522112990,2,1
1522116579,2,2
1522120234,1,20
1522123801,0,1
1522127418,1,2
1522130981,1,1
1522134624,2,1
1522138180,2,1
1522141850,2,2
1522145454,1,2
1522149025,2,0
1522152625,0,3
1522156226,2,1
1522163403,0,1
1522167000,0,1
1522170586,1,1
1522174190,1,1
1522177836,2,1
1522181423,2,1
1522184989,3,2
1522192217,2,2
1522195825,10,1
1522199447,1,3
1522203000,2,0
1522206609,2,21
1522210215,2,2
1522213815,1,4
1522221012,1,1
1522224616,1,1
1522228192,1,1
1522231795,2,2
1522235388,1,1
1522238989,3,1
1522242599,1,0
1522246219,1,1
1522249820,2,2
1522253413,2,2
1522257006,2,1
1522260611,1,3
1522264231,0,2
1522267820,2,1
1522271430,2,0
1522275031,1,3
1522278582,2,0
1522282258,12,1
1522285829,2,2
1522289449,1,3
1522293044,3,10
1522296638,2,2
1522300231,2,2
1522303868,2,2
1522307446,2,1
1522311057,1,2
1522314631,1,2
1522318237,3,0
1522321837,2,3
1522325447,0,2
1522329066,2,2
1522332671,2,0
1522336268,3,2
1522339847,1,3
1522343463,3,3
1522347048,2,3
1522350646,1,1
1522354258,3,2
1522357828,2,2
1522361438,2,1
1522365038,2,2
1522368662,18,2
1522372223,0,1
1522375834,1,3
1522379439,1,18
1522383028,0,2
1522386689,2,1
1522390259,1,1
1522393816,1,1
1522397408,1,1
1522401062,2,1
1522404661,1,1
1522411892,0,1
1522415396,2,3
1522419055,0,1
1522422600,6,1
1522426229,1,1
1522429839,2,2
1522433396,1,0
1522437019,0,1
1522440602,2,0
1522444228,2,2
1522447798,1,2
1522451421,1,1
1522455081,25,2
1522458650,2,1
1522462204,2,1
1522465820,2,16
1522469456,2,2
1522472986,1,3
1522476598,2,2
1522483847,1,2
1522487427,4,0
1522490991,3,1
1522494652,0,3
1522498217,1,1
1522501804,3,1
1522505453,2,2
1522509016,1,2
1522512612,2,3
1522516245,1,1
1522519793,2,2
1522523430,2,3
1522527031,1,2
1522530617,2,2
1522534246,4,2
1522537839,1,1
1522541440,22,1
1522545038,1,1
1522548599,1,3
1522552216,2,11
1522555836,1,2
1522559408,1,2
1522563023,2,2
1522566623,1,0
1522570230,1,1
1522573852,2,1
1522577422,0,3
1522581017,1,1
1522584621,1,1
1522588251,2,0
1522591818,0,2
1522595411,1,1
1522599019,1,2
1522602609,2,1
1522606206,2,1
1522609843,0,1
1522613404,2,1
1522617026,1,1
1522620590,2,2
1522624264,2,2
1522627845,12,2
1522631426,1,1
1522635040,2,1
1522638622,1,12
1522645810,0,1
1522653032,0,1
1522656622,1,0
1522660224,1,0
1522663851,1,1
1522667449,1,1
1522671040,1,2
1522674630,1,1
1522678221,0,1
1522681845,1,1
1522685431,3,0
1522688994,1,1
1522692597,0,1
1522696240,2,1
1522699826,1,3
1522703413,2,1
1522710611,0,1
1522714243,14,1
1522717798,2,1
1522721379,1,1
1522724985,2,23
1522728618,1,2
1522732160,1,0
1522735767,2,1
1522739419,0,2
1522742988,2,1
1522746589,1,3
1522750187,1,0
1522753806,0,1
1522757434,2,1
1522761003,1,1
1522764593,2,1
1522768201,1,1
1522771774,1,2
