DateTime,Entries,UniqueIPs
1521658339,9629,9629
1521660260,9632,9632
1521662190,9733,9733
1521664101,9821,9821
1521666035,9816,9816
1521668855,9744,9744
1521672808,9695,9695
1521675577,9647,9647
1521677559,9572,9572
1521679470,9553,9553
1521685709,9456,9456
1521687699,9410,9410
1521689566,9406,9406
1521691473,9390,9390
1521693618,9369,9369
1521695538,9366,9366
1521697453,9307,9307
1521699384,9255,9255
1521701564,9190,9190
1521703628,7963,7963
1521705868,7900,7900
1521707796,7862,7862
1521709717,7808,7808
1521711881,7679,7679
1521713779,8035,8035
1521715957,10611,10611
1521717861,17815,17815
1521719786,21725,21725
1521721713,21711,21711
1521723636,21714,21714
1521725542,21774,21774
1521727479,25106,25106
1521729397,25018,25018
1521731324,25020,25020
1521733235,25018,25018
1521735479,24778,24778
1521737307,24770,24770
1521739214,24773,24773
1521741153,24769,24769
1521743073,24776,24776
1521744971,24511,24511
1521746913,24458,24458
1521748854,24434,24434
1521750997,24382,24382
1521752919,24380,24380
1521754833,24413,24413
1521756737,24494,24494
1521758920,24533,24533
1521760819,24624,24624
1521762754,24671,24671
1521764669,24725,24725
1521766574,24755,24755
1521768510,24811,24811
1521771392,24892,24892
1521773407,24914,24914
1521775231,24953,24953
1521777268,24962,24962
1521779073,24967,24967
1521781357,25012,25012
1521784335,24933,24933
1521786276,24949,24949
1521788190,24936,24936
1521790111,24966,24966
1521793136,24990,24990
1521795128,24986,24986
1521797012,24969,24969
1521799830,24779,24779
1521801868,24035,24035
1521803771,18206,18206
1521805708,13097,13097
1521807880,13108,13108
1521809783,13104,13104
1521811705,13051,13051
1521815119,8653,8653
1521816974,8995,8995
1521818900,8989,8989
1521821077,9106,9106
1521822996,7878,7878
1521824921,7872,7872
1521826823,7878,7878
1521828753,7859,7859
1521830688,7895,7895
1521832584,7920,7920
1521834505,7942,7942
1521836667,7986,7986
1521838879,7955,7955
1521840744,7924,7924
1521842685,7932,7932
1521845705,8060,8060
1521847949,8054,8054
1521849873,8024,8024
1521851777,8064,8064
1521853702,8070,8070
1521855860,8078,8078
1521857778,8148,8148
1521859705,8189,8189
1521861605,8203,8203
1521863542,8225,8225
1521865450,8213,8213
1521867492,8191,8191
1521869536,8223,8223
1521871466,8217,8217
1521873622,8139,8139
1521875554,8132,8132
1521877475,8130,8130
1521879380,8145,8145
1521881318,8158,8158
1521883219,8136,8136
1521885154,8123,8123
1521887070,8092,8092
1521888980,8116,8116
1521890900,8120,8120
1521892852,8151,8151
1521894742,8132,8132
1521896683,8157,8157
1521898579,8156,8156
1521900502,8164,8164
1521902419,7962,7962
1521904344,7821,7821
1521906269,7711,7711
1521908196,7738,7738
1521910104,7737,7737
1521912261,7733,7733
1521914194,7734,7734
1521916096,7753,7753
1521918037,7765,7765
1521919957,9122,9122
1521921865,10356,10356
1521923818,12802,12802
1521925704,13050,13050
1521927633,13030,13030
1521929538,12950,12950
1521931456,12752,12752
1521933388,12719,12719
1521935295,12608,12608
1521937223,12456,12456
1521939133,12467,12467
1521941069,12456,12456
1521942976,12388,12388
1521944907,12265,12265
1521947922,12201,12201
1521951148,12102,12102
1521958102,11991,11991
1521962904,11985,11985
1521967714,11811,11811
1521971549,11748,11748
1521973466,11640,11640
1521976346,11442,11442
1521978261,11353,11353
1521983086,11120,11120
1521986211,10978,10978
1521988105,10956,10956
1521991945,10774,10774
1521993867,10713,10713
1521996763,10619,10619
1522000054,10517,10517
1522005180,10365,10365
1522007054,9030,9030
1522011145,4750,4750
1522013078,4779,4779
1522014973,4901,4901
1522017382,5717,5717
1522019308,5773,5773
1522021223,5841,5841
1522023152,6018,6018
1522025079,7783,7783
1522026979,9455,9455
1522028899,10048,10048
1522030821,10102,10102
1522032760,10133,10133
1522034669,10159,10159
1522036595,10259,10259
1522038505,10290,10290
1522040671,10467,10467
1522042594,10517,10517
1522044501,10462,10462
1522046427,10611,10611
1522048344,10682,10682
1522050265,10716,10716
1522052195,14379,14379
1522054104,14910,14910
1522056019,14926,14926
1522057940,14969,14969
1522060814,15021,15021
1522062992,15102,15102
1522065139,15157,15157
1522067057,15202,15202
1522068928,15273,15273
1522070897,15375,15375
1522073072,15426,15426
1522074996,15450,15450
1522076917,15521,15521
1522078833,15700,15700
1522080855,15716,15716
1522082672,15758,15758
1522084599,15825,15825
1522086517,15848,15848
1522088419,15883,15883
1522090354,15940,15940
1522092266,16024,16024
1522094197,16121,16121
1522096104,16196,16196
1522100246,16218,16218
1522102393,15456,15456
1522104523,15362,15362
1522106479,15341,15341
1522112675,12553,12553
1522114607,11447,11447
1522116755,11420,11420
1522118679,11395,11395
1522120585,11375,11375
1522122505,11325,11325
1522124423,11264,11264
1522126351,11117,11117
1522128278,11081,11081
1522130183,11062,11062
1522132104,11063,11063
1522134032,11068,11068
1522135935,11094,11094
1522137873,9718,9718
1522139772,6656,6656
1522141710,6612,6612
1522143871,6564,6564
1522145791,6525,6525
1522147937,6564,6564
1522149865,6574,6574
1522152060,6614,6614
1522154148,6625,6625
1522156088,6588,6588
1522157957,6597,6597
1522160195,6632,6632
1522162114,7177,7177
1522164026,7267,7267
1522166208,9220,9220
1522168098,11272,11272
1522170075,11253,11253
1522171948,11219,11219
1522173884,11063,11063
1522175782,11053,11053
1522177719,11074,11074
1522179627,10977,10977
1522181557,10958,10958
1522183469,10916,10916
1522185393,10935,10935
1522187319,10986,10986
1522189648,11326,11326
1522192674,11414,11414
1522194513,11509,11509
1522196778,11572,11572
1522198584,11617,11617
1522201718,11598,11598
1522203622,11592,11592
1522209807,11604,11604
1522211854,11634,11634
1522215423,11657,11657
1522217373,11884,11884
1522221154,13188,13188
1522223088,14008,14008
1522226133,14401,14401
1522233262,14752,14752
1522238695,14779,14779
1522241084,8690,8690
1522247314,14211,14211
1522250198,13534,13534
1522254514,9556,9556
1522273960,8244,8244
1522278325,7675,7675
1522282513,7354,7354
1522284750,7119,7119
1522288588,6938,6938
1522292430,6737,6737
1522296283,6576,6576
1522300104,6305,6305
1522303950,6022,6022
1522307783,3896,3896
1522311623,2249,2249
1522315469,1529,1529
1522319302,1046,1046
1522323149,722,722
1522325046,222,222
1522328889,4,4
1522340583,1,1
1522360114,0,0
1523193633,1,1
1523282325,0,0
1523309055,1,1
1523311244,141,141
1523315318,243,243
1523317219,349,349
1523321548,461,461
1523325409,599,599
1523329479,833,833
1523333302,1116,1116
1523337163,1374,1374
1523340991,1652,1652
1523344827,1813,1813
1523346740,1870,1870
1523350576,1930,1930
1523354443,1980,1980
1523358512,2092,2092
1523362353,2558,2558
1523366193,3330,3330
1523370027,4165,4165
1523373873,4549,4549
1523377940,4632,4632
1523379854,4744,4744
1523383996,4854,4854
1523388079,4978,4978
1523391941,5092,5092
1523395786,5723,5723
1523399870,5772,5772
1523403672,5752,5752
1523407516,5735,5735
1523411341,5706,5706
1523413586,5596,5596
1523417535,5397,5397
1523421371,5172,5172
1523425227,4956,4956
1523429308,4758,4758
1523433143,4766,4766
1523436980,4781,4781
1523441063,4786,4786
1523444907,4762,4762
1523448741,4590,4590
1523450691,3935,3935
1523454521,3275,3275
1523458371,2875,2875
1523462207,2921,2921
1523466046,2986,2986
1523470822,2985,2985
1523472751,3061,3061
1523476627,3462,3462
1523480447,3327,3327
1523484285,3353,3353
1523488378,3409,3409
1523491739,3457,3457
1523495569,3520,3520
1523499621,3569,3569
1523503460,3639,3639
1523507307,3699,3699
1523511155,3750,3750
1523514990,3838,3838
1523518845,3941,3941
1523522681,3965,3965
1523526498,4120,4120
1523530349,4308,4308
1523534444,4422,4422
1523538292,4457,4457
1523542099,4405,4405
1523544041,3921,3921
1523547865,3900,3900
1523551698,3864,3864
1523555564,3822,3822
1523560587,3754,3754
1523562801,3329,3329
1523566645,3520,3520
1523570506,3690,3690
1523574985,3760,3760
1523578001,3685,3685
1523582221,3619,3619
1523586027,3539,3539
1523589871,3467,3467
1523593692,3385,3385
1523597538,3333,3333
1523599473,3247,3247
1523603567,3172,3172
1523607384,3122,3122
1523611220,3089,3089
1523615070,2887,2887
1523618903,2690,2690
1523622755,2466,2466
1523626597,2464,2464
1523630432,2588,2588
1523634259,3068,3068
1523638830,3093,3093
1523642935,3102,3102
1523646874,3091,3091
1523649258,3186,3186
1523653077,3360,3360
1523656953,3328,3328
1523661162,3219,3219
1523665007,3242,3242
1523668887,3251,3251
1523671767,3276,3276
1523675792,3307,3307
1523679622,3316,3316
1523683478,3334,3334
1523687301,3341,3341
1523691149,3305,3305
1523693073,3303,3303
1523696908,3266,3266
1523700787,3257,3257
1523704584,3267,3267
1523708438,3469,3469
1523712263,3468,3468
1523716101,3363,3363
1523719945,3108,3108
1523723784,3057,3057
1523727639,3213,3213
1523729559,3342,3342
1523733395,3332,3332
1523737228,3066,3066
1523741083,2939,2939
1523745660,2927,2927
1523748795,2918,2918
1523752571,2894,2894
1523756660,2890,2890
1523761959,2887,2887
1523763859,2876,2876
1523767702,2876,2876
1523771785,2881,2881
1523776605,2884,2884
1523779753,2862,2862
1523786694,2817,2817
1523900438,761,761
1523904405,821,821
1523908578,904,904
1523913335,1135,1135
1523915292,1201,1201
1523920100,1240,1240
1523922172,1286,1286
1523926123,1353,1353
1523929981,1403,1403
1523933777,1484,1484
1523937887,1554,1554
1523941705,1612,1612
1523945569,1692,1692
1523949416,1751,1751
1523953221,1845,1845
1523955151,1896,1896
1523958987,1958,1958
1523962834,2020,2020
1523966665,2091,2091
1523970502,2490,2490
1523974347,2543,2543
1523978293,2590,2590
1523982283,2608,2608
1523986105,2531,2531
1523989951,2516,2516
1523991867,2505,2505
1523995704,2517,2517
1524000266,2378,2378
1524004997,2367,2367
1524006991,2386,2386
1524010834,2396,2396
1524015711,2396,2396
1524019475,2364,2364
1524023308,2345,2345
1524027166,2363,2363
1524031004,2330,2330
1524034840,2311,2311
1524038796,2263,2263
1524043438,2291,2291
1524045377,2311,2311
1524049420,2319,2319
1524053196,2310,2310
1524057415,1980,1980
1524061513,1972,1972
1524065460,1970,1970
1524069391,1960,1960
1524071338,1996,1996
1524075170,2472,2472
1524078990,2818,2818
1524082820,3111,3111
1524086694,3141,3141
1524090825,3126,3126
1524093931,3190,3190
1524098212,3292,3292
1524102289,3307,3307
1524106106,3295,3295
1524109974,3306,3306
1524113773,3273,3273
1524115682,3301,3301
1524119446,3292,3292
1524123312,3290,3290
1524127242,3325,3325
1524131083,3313,3313
1524134844,3285,3285
1524138813,3279,3279
1524142554,3315,3315
1524146417,3330,3330
1524150568,3368,3368
1524154595,3550,3550
1524158609,3594,3594
1524160835,3311,3311
1524164689,2943,2943
1524168521,2710,2710
1524172387,2616,2616
1524176195,2647,2647
1524180307,2640,2640
1524184116,2541,2541
1524186038,2535,2535
1524189889,2544,2544
1524193728,2516,2516
1524197584,2521,2521
1524201320,2496,2496
1524205126,2504,2504
1524209037,2521,2521
1524213162,2494,2494
1524216888,2441,2441
