DateTime,AddedIPs,RemovedIPs
1521557327,12,14
1521559220,9,18
1521561169,6,14
1521563073,8,18
1521564992,9,23
1521566905,14,28
1521570234,10,55
1521572376,19,47
1521574352,8,1
1521576373,4,2
1521578173,6,1
1521581062,21,1
1521582983,11,4
1521584912,13,1
1521586860,8,2
1521588745,10,1
1521590653,2,0
1521592589,2,0
1521594505,4,3
1521596425,2,2
1521598332,1,1
1521600266,0,1
1521602183,3,5
1521604091,4,0
1521606137,3,0
1521607938,2,0
1521609867,4,0
1521611798,3,3
1521613691,1,1
1521616595,3,3
1521618593,4,2
1521620436,5,1
1521622411,2,1
1521624278,1,0
1521626368,2,3
1521628337,0,2
1521630202,1,1
1521632169,1,2
1521634026,4,12
1521636009,1,4
1521637856,1,2
1521639773,1,7
1521641650,3,8
1521643460,0,10
1521645491,2,5
1521647293,1,7
1521649339,5,6
1521651266,1,5
1521653184,0,9
1521654987,1,12
1521657034,2,11
1521658984,5,17
1521660924,3,8
1521662887,2,7
1521664754,0,11
1521666733,1,15
1521668856,1,19
1521672809,5,28
1521675577,1,19
1521677560,0,4
1521679471,2,0
1521682427,2,6
1521685710,2,2
1521687752,1,2
1521689567,2,2
1521691473,3,3
1521693620,0,4
1521695538,2,3
1521697454,1,3
1521699385,0,2
1521701564,1,1
1521703629,1,5
1521705868,2,4
1521707796,3,2
1521709719,0,2
1521711881,1,1
1521713779,3,1
1521715960,2,0
1521717862,0,2
1521719786,3,6
1521721714,3,0
1521723669,3,2
1521725542,1,0
1521727480,1,2
1521729398,1,2
1521731326,2,1
1521733237,2,2
1521735479,3,3
1521737307,2,2
1521739215,2,0
1521741153,2,1
1521743074,3,2
1521744971,3,1
1521746914,1,7
1521750138,3,4
1521751957,1,0
1521754070,3,1
1521756067,3,0
1521758137,1,2
1521760087,2,3
1521761949,7,1
1521764195,3,0
1521766104,3,2
1521768025,2,2
1521769962,3,0
1521771866,1,1
1521773796,1,1
1521775702,5,1
1521778588,1,4
1521780756,2,0
1521782689,1,1
1521784581,4,1
1521786757,5,0
1521788662,0,2
1521790580,1,0
1521792499,1,2
1521794419,2,3
1521796354,3,1
1521798260,3,0
1521800228,2,3
1521802107,6,1
1521804025,2,0
1521805952,2,1
1521807881,3,4
1521809783,3,4
