DateTime,Entries,UniqueIPs
1521555389,320,320
1521557327,318,318
1521559220,309,309
1521561169,301,301
1521563073,291,291
1521564992,277,277
1521566905,263,263
1521570234,218,218
1521572376,190,190
1521574352,197,197
1521576373,199,199
1521578173,204,204
1521581062,224,224
1521582983,231,231
1521584912,243,243
1521586860,249,249
1521588745,258,258
1521590653,260,260
1521592589,262,262
1521594505,263,263
1521596425,263,263
1521598332,263,263
1521600266,262,262
1521602183,260,260
1521604091,264,264
1521606137,267,267
1521607938,269,269
1521609867,273,273
1521611798,273,273
1521613691,273,273
1521616595,273,273
1521618593,275,275
1521620436,279,279
1521622411,280,280
1521624278,281,281
1521626368,280,280
1521628337,278,278
1521630202,278,278
1521632169,277,277
1521634026,269,269
1521636009,266,266
1521637856,265,265
1521639773,259,259
1521641650,254,254
1521643460,244,244
1521645491,241,241
1521647293,235,235
1521649339,234,234
1521651266,230,230
1521653184,221,221
1521654987,210,210
1521657034,201,201
1521658984,189,189
1521660924,184,184
1521662887,179,179
1521664754,168,168
1521666733,154,154
1521668856,136,136
1521672809,113,113
1521675577,95,95
1521677560,91,91
1521679471,93,93
1521682427,89,89
1521685710,89,89
1521687752,88,88
1521689567,88,88
1521691473,88,88
1521693620,84,84
1521695538,83,83
1521697454,81,81
1521699385,79,79
1521701564,79,79
1521703629,75,75
1521705868,73,73
1521707796,74,74
1521709719,72,72
1521711881,72,72
1521713779,74,74
1521715960,76,76
1521717862,74,74
1521719786,71,71
1521721714,74,74
1521723669,75,75
1521725542,76,76
1521727480,75,75
1521729398,74,74
1521731326,75,75
1521733237,75,75
1521735479,75,75
1521737307,75,75
1521739215,77,77
1521741153,78,78
1521743074,79,79
1521744971,81,81
1521746914,75,75
1521750138,74,74
1521751957,75,75
1521754070,77,77
1521756067,80,80
1521758137,79,79
1521760087,78,78
1521761949,84,84
1521764195,87,87
1521766104,88,88
1521768025,88,88
1521769962,91,91
1521771866,91,91
1521773796,91,91
1521775702,95,95
1521778588,92,92
1521780756,94,94
1521782689,94,94
1521784581,97,97
1521786757,102,102
1521788662,100,100
1521790580,101,101
1521792499,100,100
1521794419,99,99
1521796354,101,101
1521798260,104,104
1521800228,103,103
1521802107,108,108
1521804025,110,110
1521805952,111,111
1521807881,110,110
1521809783,109,109
1521811705,111,111
1521815119,113,113
1521816975,113,113
1521818902,112,112
1521821078,111,111
1521822997,111,111
1521824922,109,109
1521826824,113,113
1521828754,110,110
1521830689,113,113
1521832585,115,115
1521834506,117,117
1521836668,116,116
1521838893,116,116
1521840744,114,114
1521842685,111,111
1521845706,115,115
1521847949,112,112
1521849874,111,111
1521851778,111,111
1521853702,110,110
1521855860,107,107
1521857778,108,108
1521859706,105,105
1521861606,104,104
1521863543,106,106
1521865451,111,111
1521867492,112,112
1521869536,111,111
1521871467,109,109
1521873622,110,110
1521875554,112,112
1521877475,115,115
1521879381,117,117
1521881319,116,116
1521883220,115,115
1521885154,117,117
1521887071,117,117
1521888981,114,114
1521890901,114,114
1521892856,117,117
1521894742,118,118
1521896683,118,118
1521898579,117,117
1521900502,117,117
1521902419,116,116
1521904346,115,115
1521906270,114,114
1521908196,113,113
1521910104,115,115
1521912262,115,115
1521914194,112,112
1521916096,111,111
1521918059,106,106
1521919957,102,102
1521921865,103,103
1521923818,98,98
1521925706,97,97
1521927633,96,96
1521929538,96,96
1521931457,93,93
1521933388,91,91
1521935295,91,91
1521937224,90,90
1521939133,87,87
1521941069,91,91
1521942976,90,90
1521944908,88,88
1521947925,87,87
1521951149,79,79
1521958102,75,75
1521962905,69,69
1521967715,66,66
1521971550,61,61
1521973467,60,60
1521976347,60,60
1521978262,58,58
1521983554,50,50
1521985719,51,51
1521988707,50,50
1521990574,49,49
1521994408,50,50
1521996253,51,51
1521998243,51,51
1522000056,49,49
1522006899,47,47
1522008762,43,43
1522011660,41,41
1522013842,46,46
1522015767,44,44
1522017904,46,46
1522019791,49,49
1522021758,52,52
1522023630,56,56
1522025679,56,56
1522027688,57,57
1522029510,56,56
1522031311,59,59
1522033407,60,60
1522035368,61,61
1522037303,65,65
1522039208,66,66
1522041201,69,69
1522043054,70,70
1522045043,74,74
1522046919,75,75
1522048865,76,76
1522052742,75,75
1522054587,75,75
1522056545,78,78
1522058466,83,83
1522060814,87,87
1522062992,88,88
1522065139,92,92
1522067057,96,96
1522068928,99,99
1522070897,105,105
1522073073,109,109
1522074997,111,111
1522076919,115,115
1522078834,117,117
1522080857,117,117
1522082673,115,115
