DateTime,AddedIPs,RemovedIPs
1521282268,0,1
1521284267,1,0
1521286094,1,0
1521288129,1,1
1521289960,0,3
1521291986,1,0
1521293792,2,0
1521295828,0,2
1521299692,1,0
1521301586,0,1
1521303518,0,2
1521305426,1,0
1521309281,1,1
1521311188,0,2
1521313114,0,1
1521315038,1,4
1521316971,0,5
1521318886,2,2
1521320921,0,1
1521323063,0,3
1521325003,1,0
1521326943,0,1
1521328889,0,1
1521330748,1,0
1521332656,1,3
1521334571,1,1
1521340333,1,1
1521346347,1,0
1521348285,0,2
1521352100,0,1
1521356072,0,1
1521358361,1,1
1521362194,1,0
1521364121,0,1
1521366039,1,1
1521367945,1,0
1521369869,2,1
1521371787,2,1
1521375631,1,1
1521377574,1,1
1521379471,1,0
1521381375,2,2
1521385276,1,1
1521389070,3,0
1521390991,2,1
1521394837,1,1
1521400603,0,2
1521402740,2,0
1521404658,0,2
1521406578,2,1
1521408493,0,1
1521410483,4,1
1521413731,3,0
1521415691,1,0
1521417591,0,1
1521419543,1,1
1521421437,1,0
1521423632,1,0
1521425554,1,2
1521427479,1,0
1521431419,1,2
1521437317,1,0
1521444995,2,1
1521449084,1,1
1521454824,1,0
1521456751,2,2
1521458664,0,2
1521462501,0,1
1521466348,2,2
1521468283,4,0
1521472118,1,1
1521475960,0,2
1521477882,2,1
1521480057,0,1
1521481946,2,1
1521490710,1,0
1521492821,1,1
1521496573,1,2
1521498491,0,1
1521500534,0,2
1521502365,0,1
1521504512,1,1
1521506412,1,2
1521508338,1,0
1521510266,2,0
1521512468,1,0
1521514488,2,0
1521516490,2,0
1521518302,2,2
1521524230,0,1
1521530144,1,1
1521533922,0,1
1521535929,1,1
1521537853,1,0
1521539768,2,0
1521541587,1,0
1521543394,0,2
1521549640,1,1
1521551565,2,0
1521553471,1,1
1521555391,0,4
1521557329,0,1
1521559223,1,0
1521561171,2,0
1521563075,1,0
1521566907,0,1
1521568889,0,2
1521570987,1,0
1521573276,3,0
1521575465,1,0
1521577465,1,1
1521579402,1,1
1521581558,1,1
1521583482,5,0
1521585395,3,0
1521587324,0,1
1521591508,1,2
1521593322,0,1
1521595377,1,2
1521599256,0,2
1521601329,1,2
1521603400,0,1
1521605304,3,2
1521609154,1,0
1521610969,1,0
1521612969,1,1
1521616597,0,1
1521618595,1,0
1521620439,2,0
1521626370,0,2
1521628339,1,1
1521630204,1,1
1521634029,1,0
1521636011,0,1
1521637858,1,1
1521639774,2,1
1521641652,2,0
1521643462,1,1
1521645492,0,1
1521647294,1,1
1521649342,2,1
1521651268,1,1
1521657035,1,0
1521658985,0,2
1521660926,1,2
1521662890,0,2
1521664756,0,2
1521666735,2,0
1521668858,1,2
1521670964,1,2
1521672810,0,2
1521675579,1,1
1521677561,2,1
1521679472,1,0
1521682428,0,1
1521685712,2,1
1521687755,1,1
1521691475,0,2
1521695540,2,1
1521697456,0,1
1521699387,1,1
1521701566,0,1
1521707798,0,2
1521711883,0,1
1521715962,1,3
1521719789,0,1
1521721716,0,1
1521725546,0,2
1521727486,0,1
1521735484,1,4
1521739218,2,2
1521746917,1,2
1521748890,1,0
1521750998,1,0
1521752921,1,2
1521754834,2,1
1521756739,2,2
1521758922,1,1
1521760823,1,0
1521762757,1,1
1521764671,1,3
1521766576,0,1
1521768511,4,0
1521770512,0,1
1521772357,1,0
1521776199,1,0
1521781944,2,1
1521783892,1,1
1521785796,0,1
1521787705,1,0
1521791545,1,1
1521793479,1,0
1521797308,1,0
1521801872,0,1
1521805714,1,0
1521811707,0,1
1521815121,2,0
1521816977,1,1
1521821080,1,0
1521822999,0,1
1521824924,2,0
1521826826,0,1
1521828756,1,0
1521830693,1,0
1521832587,0,1
1521834509,1,1
1521836670,0,1
1521838896,2,0
1521840746,0,3
1521842687,3,2
1521845708,6,2
1521847952,1,2
1521849876,2,0
1521851780,1,0
1521853705,2,1
1521857780,2,1
1521859708,1,0
1521861609,0,1
1521863545,2,1
1521869538,0,2
1521871468,1,1
1521873624,0,1
1521877477,1,1
1521879383,1,0
1521883223,1,0
1521885157,1,0
1521887074,1,0
1521888984,1,1
1521900505,2,1
1521904349,2,2
1521906272,1,0
1521910106,0,1
1521912265,0,1
1521914196,2,0
1521916098,0,1
1521918075,1,0
1521919958,1,0
1521921867,1,1
1521925708,2,2
1521927635,0,1
1521929540,4,1
1521931458,1,4
1521933395,2,2
1521935297,1,1
1521937226,0,1
1521939135,0,1
1521941071,1,0
1521942978,1,2
1521944910,0,2
1521947927,0,1
1521951151,0,3
1521956911,0,1
1521962907,1,0
1521971552,3,3
1521973468,1,1
1521976348,1,0
1521984805,3,1
1521986836,1,1
1521988708,1,0
1521990576,0,1
1521994410,2,6
1521998245,0,1
1522000058,1,2
