DateTime,AddedIPs,RemovedIPs
1521632172,3,6
1521634030,7,11
1521636012,3,8
1521637859,5,21
1521639775,11,10
1521641653,2,3
1521643463,9,6
1521645494,5,29
1521647295,4,47
1521649343,3,39
1521651269,4,7
1521653187,8,5
1521654989,7,5
1521657036,8,11
1521658987,3,7
1521660927,28,4
1521662891,26,2
1521664757,6,7
1521666736,2,14
1521668859,2,24
1521670968,2,21
1521672811,0,6
1521675580,1,9
1521677562,6,3
1521679473,3,7
1521682429,2,12
1521685713,3,8
1521687757,4,3
1521689570,2,17
1521691476,6,24
1521693624,4,18
1521695542,5,18
1521697457,3,52
1521699388,6,50
1521701567,5,7
1521703632,4,6
1521705871,5,7
1521707800,7,6
1521709722,4,8
1521711885,6,4
1521713783,6,6
1521715963,5,8
1521717865,7,3
1521719790,9,7
1521721718,6,5
1521723691,12,6
1521725547,16,10
1521727487,34,4
1521729403,29,6
1521731331,18,9
1521733242,13,4
1521735485,16,3
1521737312,11,1
1521739220,7,6
1521741157,4,8
1521743077,7,4
1521744975,6,7
1521746918,5,22
1521748916,6,28
1521751000,28,15
1521752924,9,0
1521754836,21,3
1521756740,48,1
1521758923,32,0
1521760824,46,0
1521762758,53,0
1521764673,5,6
1521766578,8,3
1521768513,12,2
1521770513,19,3
1521772358,10,0
1521774268,6,4
1521776201,23,2
1521778121,14,4
1521780035,13,2
1521781948,35,7
1521783894,3,4
1521785797,13,5
1521787707,38,4
1521789636,35,3
1521791547,15,6
1521793481,5,3
1521795387,17,5
1521797310,12,3
1521799836,10,5
1521801874,3,7
1521803775,22,1
1521805716,21,11
1521807884,25,4
1521809786,18,9
1521811708,21,11
1521815122,38,48
1521816978,9,22
1521818911,22,6
1521821081,28,18
1521823000,48,7
1521824926,40,10
1521826827,14,3
1521828757,20,6
1521830695,25,5
1521832588,24,4
1521834510,28,5
1521836671,26,16
1521838898,24,10
1521840747,28,19
1521842688,46,24
1521845709,22,36
1521847953,19,40
1521849877,10,19
1521851781,11,4
1521853706,21,7
1521855863,46,20
1521857781,60,12
1521859708,30,3
1521861610,31,13
1521863546,22,15
1521865453,8,6
1521867495,22,24
