DateTime,AddedIPs,RemovedIPs
1521653190,79,60
1521654994,43,110
1521657041,39,49
1521658991,33,37
1521660931,33,36
1521662895,40,32
1521664761,95,44
1521666740,36,36
1521668862,15,43
1521670970,21,40
1521672814,17,17
1521675583,26,54
1521677565,13,77
1521679476,16,32
1521682432,19,54
1521685718,46,63
1521687772,25,59
1521689573,36,32
1521691480,31,35
1521693631,38,56
1521695546,33,45
1521697461,61,87
1521699392,27,62
1521701571,41,77
1521703634,42,52
1521705874,44,107
1521707804,40,81
1521709725,44,101
1521711888,51,101
1521713786,117,78
1521715968,61,63
1521717869,36,66
1521719794,36,66
1521721722,62,78
1521723696,46,54
1521725551,52,59
1521727492,68,50
1521729407,45,53
1521731336,58,61
1521733246,38,42
1521735490,61,258
1521737317,38,51
1521739223,43,82
1521741161,39,45
1521743081,29,42
1521744979,42,41
1521746922,35,27
1521748924,42,42
1521751004,37,95
1521752928,32,35
1521754839,25,18
1521756744,27,7
1521758927,38,28
1521760828,36,18
1521762761,20,19
1521764676,24,15
1521766582,20,14
1521768516,26,8
1521770517,26,14
1521772362,26,33
1521774273,25,22
1521776205,31,38
1521778124,36,34
1521780040,27,31
1521781953,30,31
1521783898,33,54
1521785802,41,28
1521787715,31,39
1521789641,35,36
1521791551,45,34
1521793486,32,44
1521795391,36,47
1521797314,37,49
1521799840,47,112
1521801878,48,80
1521803779,41,45
1521805725,29,35
1521807887,42,67
1521809790,41,46
1521811712,35,50
1521815126,85,112
1521816981,47,42
1521818917,42,45
1521821085,40,53
1521823004,37,42
1521824930,33,43
1521826830,44,42
1521828760,33,32
1521830699,36,43
1521832591,25,31
1521834512,31,40
1521836674,74,39
1521838901,35,34
1521840750,21,21
1521842691,44,28
1521845712,111,48
1521847955,38,32
1521849880,39,31
1521851784,24,15
1521853709,28,24
1521855866,41,33
1521857784,53,19
1521859711,67,26
1521861613,27,24
1521863548,40,27
1521865456,21,40
1521867497,24,24
1521869542,69,30
1521871472,46,40
1521873628,39,41
1521875560,30,39
1521877481,30,36
1521879387,76,44
1521881324,31,30
1521883227,46,42
1521885161,38,40
1521887078,38,47
1521888988,44,40
1521890907,80,39
1521892927,46,33
1521894748,42,33
1521896690,27,41
1521898586,61,41
1521900508,84,43
1521902425,33,48
1521904355,37,37
1521906276,93,50
1521908202,57,36
1521910110,32,26
1521912269,42,39
1521914200,24,47
1521916103,56,33
1521918079,66,30
1521919963,45,23
1521921871,94,82
1521923824,28,29
1521925713,21,27
1521927639,18,16
1521929545,29,51
1521931463,16,86
1521933400,24,26
1521935302,20,44
1521937230,27,24
1521939140,21,29
1521941076,18,21
1521942982,23,42
1521944915,23,82
1521946940,25,30
1521951155,38,68
1521956916,57,119
1521961103,30,71
1521962911,17,34
1521971556,63,209
1521973473,13,45
1521976352,28,95
1521978267,12,55
1521984809,49,148
1521986840,23,91
1521988713,15,36
1521990580,16,34
1521994415,46,155
1521996258,15,26
1521998249,21,45
1522000062,21,32
1522005726,51,154
1522008769,31,130
1522010768,18,27
1522012583,26,20
1522014751,82,28
1522016677,45,21
1522018575,28,19
1522020766,31,30
1522022688,75,24
1522024579,25,21
1522026513,19,24
1522028427,31,25
1522030360,32,30
1522032284,22,26
1522034200,27,22
1522036097,42,9
1522038037,38,24
1522039943,37,24
1522041996,51,21
1522044089,43,17
1522046042,21,17
1522047885,39,14
1522049788,38,15
1522051699,25,12
1522053617,32,6
1522055592,47,20
1522057466,38,19
1522059411,33,16
1522061378,30,16
1522063226,25,14
1522065146,35,19
1522067065,31,13
1522068935,35,12
1522070905,39,14
1522073080,60,20
1522075005,13,18
1522076927,17,15
1522078840,27,14
1522080866,22,32
1522082680,11,17
1522084606,44,19
1522086524,25,26
1522088427,30,18
1522090361,47,12
1522092273,74,20
1522094204,60,14
1522096112,29,20
1522100296,42,51
1522102402,12,73
1522104531,9,33
1522107854,24,64
1522110139,24,42
1522112244,18,22
1522114096,15,18
1522116284,26,36
1522118178,17,26
1522120107,15,26
1522122036,11,32
1522123964,11,49
1522125883,21,38
1522127805,12,39
1522129724,34,43
1522131859,40,27
1522133775,49,33
1522135714,42,39
1522137721,55,21
1522139558,37,31
1522141476,22,43
1522143404,17,44
1522145326,15,36
1522147943,52,49
1522149871,50,31
1522152125,74,33
1522154155,42,30
1522156094,24,36
1522157963,19,38
1522160201,57,55
1522162120,44,17
1522164032,115,20
1522166216,38,26
1522168105,23,16
1522170095,20,24
1522171955,27,39
1522173891,17,27
1522175790,66,61
1522177726,21,23
1522179634,16,107
1522181568,25,40
1522183478,33,30
1522185405,28,21
1522187329,30,10
1522189663,226,11
1522191813,16,12
1522193789,23,19
1522195720,20,13
1522197626,39,22
1522199555,33,14
1522201733,12,23
1522205031,33,27
1522214300,99,65
1522216501,26,33
1522219711,26,65
1522221768,7,55
1522223622,15,47
1522241095,144,848
1522243437,511,0
1522246762,0,98
1522249721,0,59
1522251626,0,102
1522253627,0,47
1522276488,0,320
1522278334,0,245
1522282526,0,40
1522286695,0,63
1522288600,0,42
1522292442,0,40
1522296295,0,29
1522300117,0,57
1522303962,0,42
1522307795,0,33
1522311638,0,36
1522315481,0,36
1522319314,0,42
1522323161,0,63
1522325058,0,55
1523309063,3,0
1523313405,7,0
1523317225,14,0
1523321292,10,0
1523325132,7,0
1523328980,12,0
1523332848,15,0
1523336758,5,0
1523340547,14,0
1523344506,14,0
1523348691,9,0
1523350586,17,0
1523354453,14,0
1523358525,36,0
1523362363,488,0
1523366207,713,0
1523370037,753,0
1523373885,317,0
1523377952,13,0
1523382037,7,0
1523385965,10,0
1523389957,6,0
1523393803,278,0
1523397655,332,4
1523401725,13,1
1523405556,16,8
1523407527,3,5
1523411352,9,4
1523415640,10,10
1523419483,5,10
1523423318,10,3
1523427406,10,11
1523431227,11,14
1523433152,16,8
1523436992,21,13
1523441075,15,13
1523444922,14,25
1523448755,27,431
1523452600,11,717
1523456430,51,734
1523460274,57,334
1523464111,12,9
1523468055,18,9
1523469899,14,67
1523473735,151,11
1523477596,80,5
1523481442,23,200
1523485261,17,13
1523491751,31,9
1523493642,26,9
1523497723,21,6
1523501573,32,14
1523505412,9,6
1523509259,6,7
1523513078,6,12
1523516939,11,10
1523520775,13,13
1523524616,20,26
1523528434,18,14
1523532269,24,12
1523534456,11,40
1523538303,11,11
1523542109,11,132
1523545973,19,381
1523549819,18,11
1523553647,19,11
1523557472,25,4
1523562807,26,222
1523564697,91,43
1523568497,476,10
1523572464,72,18
1523578798,9,27
1523580619,11,26
1523584615,10,25
1523588446,11,26
1523592529,9,9
1523596368,10,5
1523600209,11,9
1523604046,28,11
1523606034,19,13
1523609867,7,17
1523613761,21,14
1523617530,19,20
1523621443,21,16
1523625631,15,11
1523629481,149,12
1523633555,463,16
1523635494,82,14
1523640759,13,15
1523644840,10,26
1523649267,67,23
1523653085,19,118
1523656962,11,125
1523659185,8,60
1523663089,9,9
1523666913,11,12
1523670578,8,8
1523674354,17,10
1523678191,12,11
1523682053,12,8
1523685886,8,13
1523689730,12,32
1523693563,13,23
1523697405,20,9
1523701241,9,19
1523703298,13,18
1523707493,172,13
1523711325,107,19
1523715160,15,127
1523719001,24,225
1523722829,17,90
1523726677,21,15
1523730516,51,14
1523734355,20,116
1523738200,21,20
1523742082,18,12
1523746131,23,10
1523750679,23,13
1523754761,13,13
1523758845,18,7
1523761965,18,19
1523765809,25,12
1523769876,21,19
1523773708,18,7
1523893760,83,1239
1523897630,53,7
1523901455,76,8
1523905383,29,7
1523909581,20,7
1523913344,17,7
1523918110,19,7
1523920107,22,5
1523924213,21,7
1523928030,18,1
1523931895,19,3
1523935711,17,4
1523937895,23,3
1523941713,23,4
1523945578,32,7
1523949424,24,5
1523953230,29,2
1523957071,24,0
1523960908,31,0
1523964770,35,0
1523968580,29,0
1523972421,350,0
1523976204,17,0
1523980360,24,6
1523984196,21,79
1523988114,20,45
1523991878,17,18
1523995715,35,22
1523998439,18,18
1524002619,16,15
1524007003,32,23
1524010845,31,28
1524015397,16,15
1524017302,19,16
1524021398,30,15
1524025253,39,22
1524029090,31,21
1524032937,32,31
1524036757,11,20
1524040914,34,27
1524045384,36,18
1524047305,26,28
1524051265,25,29
1524055228,29,32
1524059308,26,343
1524063385,21,23
1524067509,21,27
1524071349,49,20
1524075181,390,16
1524079000,437,17
1524082831,299,31
1524086703,136,16
1524090834,18,19
1524093942,35,30
1524098223,25,30
1524100363,27,18
1524104204,25,25
1524108037,25,27
1524111869,22,41
1524115692,43,28
1524119455,22,32
1524123321,32,18
1524127252,30,32
1524131093,30,36
1524134854,35,24
1524138823,26,28
1524142563,50,31
1524146427,28,30
1524150579,65,24
1524154607,45,19
1524158620,24,43
1524160846,15,312
1524164699,16,407
1524168531,20,266
1524172398,19,152
1524176205,24,18
1524180318,25,29
1524182204,16,23
1524186050,24,31
1524189899,27,24
1524193738,16,26
1524197595,20,20
1524201332,24,40
1524205137,43,24
1524209048,41,33
1524213172,20,44
1524216898,40,43
