DateTime,Entries,UniqueIPs
1521653190,2808,2808
1521654994,2741,2741
1521657041,2731,2731
1521658991,2727,2727
1521660931,2724,2724
1521662895,2732,2732
1521664761,2783,2783
1521666740,2783,2783
1521668862,2755,2755
1521670970,2736,2736
1521672814,2736,2736
1521675583,2708,2708
1521677565,2644,2644
1521679476,2628,2628
1521682432,2593,2593
1521685718,2576,2576
1521687772,2542,2542
1521689573,2546,2546
1521691480,2542,2542
1521693631,2524,2524
1521695546,2512,2512
1521697461,2486,2486
1521699392,2451,2451
1521701571,2415,2415
1521703634,2405,2405
1521705874,2342,2342
1521707804,2301,2301
1521709725,2244,2244
1521711888,2194,2194
1521713786,2233,2233
1521715968,2231,2231
1521717869,2201,2201
1521719794,2171,2171
1521721722,2155,2155
1521723696,2147,2147
1521725551,2140,2140
1521727492,2158,2158
1521729407,2150,2150
1521731336,2147,2147
1521733246,2143,2143
1521735490,1946,1946
1521737317,1933,1933
1521739223,1894,1894
1521741161,1888,1888
1521743081,1875,1875
1521744979,1876,1876
1521746922,1884,1884
1521748924,1884,1884
1521751004,1826,1826
1521752928,1823,1823
1521754839,1830,1830
1521756744,1850,1850
1521758927,1860,1860
1521760828,1878,1878
1521762761,1879,1879
1521764676,1888,1888
1521766582,1894,1894
1521768516,1912,1912
1521770517,1924,1924
1521772362,1917,1917
1521774273,1920,1920
1521776205,1913,1913
1521778124,1915,1915
1521780040,1911,1911
1521781953,1910,1910
1521783898,1889,1889
1521785802,1902,1902
1521787715,1894,1894
1521789641,1893,1893
1521791551,1904,1904
1521793486,1892,1892
1521795391,1881,1881
1521797314,1869,1869
1521799840,1804,1804
1521801878,1772,1772
1521803779,1768,1768
1521805725,1762,1762
1521807887,1737,1737
1521809790,1732,1732
1521811712,1717,1717
1521815126,1690,1690
1521816981,1695,1695
1521818917,1692,1692
1521821085,1679,1679
1521823004,1674,1674
1521824930,1664,1664
1521826830,1666,1666
1521828760,1667,1667
1521830699,1660,1660
1521832591,1654,1654
1521834512,1645,1645
1521836674,1680,1680
1521838901,1681,1681
1521840750,1681,1681
1521842691,1697,1697
1521845712,1760,1760
1521847955,1766,1766
1521849880,1774,1774
1521851784,1783,1783
1521853709,1787,1787
1521855866,1795,1795
1521857784,1829,1829
1521859711,1870,1870
1521861613,1873,1873
1521863548,1886,1886
1521865456,1867,1867
1521867497,1867,1867
1521869542,1906,1906
1521871472,1912,1912
1521873628,1910,1910
1521875560,1901,1901
1521877481,1895,1895
1521879387,1927,1927
1521881324,1928,1928
1521883227,1932,1932
1521885161,1930,1930
1521887078,1921,1921
1521888988,1925,1925
1521890907,1966,1966
1521892927,1979,1979
1521894748,1988,1988
1521896690,1974,1974
1521898586,1994,1994
1521900508,2035,2035
1521902425,2020,2020
1521904355,2020,2020
1521906276,2063,2063
1521908202,2084,2084
1521910110,2090,2090
1521912269,2093,2093
1521914200,2070,2070
1521916103,2093,2093
1521918079,2129,2129
1521919963,2151,2151
1521921871,2163,2163
1521923824,2162,2162
1521925713,2156,2156
1521927639,2158,2158
1521929545,2136,2136
1521931463,2066,2066
1521933400,2064,2064
1521935302,2040,2040
1521937230,2043,2043
1521939140,2035,2035
1521941076,2032,2032
1521942982,2013,2013
1521944915,1954,1954
1521946940,1949,1949
1521951155,1919,1919
1521956916,1857,1857
1521961103,1816,1816
1521962911,1799,1799
1521971556,1653,1653
1521973473,1621,1621
1521976352,1554,1554
1521978267,1511,1511
1521984809,1412,1412
1521986840,1344,1344
1521988713,1323,1323
1521990580,1305,1305
1521994415,1196,1196
1521996258,1185,1185
1521998249,1161,1161
1522000062,1150,1150
1522005726,1047,1047
1522008769,948,948
1522010768,939,939
1522012583,945,945
1522014751,999,999
1522016677,1023,1023
1522018575,1032,1032
1522020766,1033,1033
1522022688,1084,1084
1522024579,1088,1088
1522026513,1083,1083
1522028427,1089,1089
1522030360,1091,1091
1522032284,1087,1087
1522034200,1092,1092
1522036097,1125,1125
1522038037,1139,1139
1522039943,1152,1152
1522041996,1182,1182
1522044089,1208,1208
1522046042,1212,1212
1522047885,1237,1237
