DateTime,Entries,UniqueIPs
1521653550,1470,1470
1521655479,1412,1412
1521657401,1389,1389
1521659320,1390,1390
1521661248,1378,1378
1521663151,1380,1380
1521665073,1391,1391
1521667080,1386,1386
1521672815,1367,1367
1521675584,1346,1346
1521677566,1337,1337
1521679477,1335,1335
1521682433,1321,1321
1521685719,1317,1317
1521687773,1305,1305
1521689574,1315,1315
1521691480,1325,1325
1521693632,1326,1326
1521695547,1328,1328
1521697462,1322,1322
1521699393,1314,1314
1521701572,1308,1308
1521703635,1323,1323
1521705875,1303,1303
1521707804,1292,1292
1521709726,1265,1265
1521711889,1247,1247
1521713787,1249,1249
1521715969,1255,1255
1521717871,1233,1233
1521719795,1217,1217
1521721723,1212,1212
1521723697,1218,1218
1521725552,1203,1203
1521727493,1204,1204
1521729408,1190,1190
1521731337,1185,1185
1521733248,1176,1176
1521735491,1168,1168
1521737318,1158,1158
1521739225,1128,1128
1521741162,1131,1131
1521743082,1116,1116
1521744980,1122,1122
1521746923,1138,1138
1521748926,1153,1153
1521751005,1151,1151
1521752929,1145,1145
1521754840,1147,1147
1521756745,1156,1156
1521758928,1164,1164
1521760830,1181,1181
1521762762,1176,1176
1521764677,1182,1182
1521766583,1185,1185
1521768518,1200,1200
1521770518,1208,1208
1521772363,1200,1200
1521774274,1208,1208
1521776206,1206,1206
1521778126,1203,1203
1521780041,1198,1198
1521781954,1199,1199
1521783899,1189,1189
1521785803,1196,1196
1521787716,1195,1195
1521789642,1187,1187
1521791552,1187,1187
1521793487,1180,1180
1521795393,1186,1186
1521797316,1181,1181
1521799842,1163,1163
1521801879,1146,1146
1521803780,1149,1149
1521805727,1146,1146
1521807889,1137,1137
1521809791,1125,1125
1521811713,1112,1112
1521815126,1117,1117
1521816982,1119,1119
1521818918,1115,1115
1521821086,1104,1104
1521823005,1098,1098
1521824934,1085,1085
1521826830,1084,1084
1521828760,1081,1081
1521830701,1072,1072
1521832592,1062,1062
1521834513,1045,1045
1521836675,1042,1042
1521838902,1047,1047
1521840751,1044,1044
1521842692,1055,1055
1521845713,1093,1093
1521847956,1090,1090
1521849881,1088,1088
1521851785,1098,1098
1521853710,1102,1102
1521855867,1106,1106
1521857785,1138,1138
1521859712,1175,1175
1521861614,1173,1173
1521863549,1180,1180
1521865457,1169,1169
