DateTime,AddedIPs,RemovedIPs
1521427485,2,0
1521431425,1,0
1521433486,3,0
1521437324,0,1
1521439308,2,2
1521441154,2,0
1521443086,2,1
1521445002,0,1
1521446909,4,0
1521449090,0,2
1521450999,8,2
1521452926,1,0
1521454832,0,2
1521456758,1,1
1521458671,1,1
1521460597,1,3
1521462508,1,0
1521464502,0,1
1521468290,1,0
1521470196,0,1
1521472126,1,2
1521474039,1,0
1521477889,3,0
1521480066,1,1
1521483907,1,6
1521485790,1,3
1521487756,3,3
1521490717,2,0
1521492828,3,0
1521494679,0,1
1521496580,0,1
1521498498,0,2
1521500542,0,1
1521504520,1,1
1521506420,0,2
1521508347,1,3
1521510274,1,0
1521512475,1,1
1521514495,1,1
1521518309,2,1
1521520359,1,3
1521524238,1,0
1521526243,0,2
1521528047,3,2
1521530151,1,1
1521532105,0,4
1521533929,0,1
1521537859,0,8
1521539775,2,1
1521543405,0,2
1521545474,1,0
1521547325,1,1
1521549319,0,1
1521555186,3,0
1521558980,1,0
1521560815,0,1
1521562817,0,2
1521564688,1,2
1521566656,0,1
1521568570,2,0
1521572379,0,2
1521574356,0,1
1521576377,1,2
1521578178,1,0
1521581065,0,3
1521588038,2,0
1521589948,1,0
1521591879,0,1
1521593777,1,1
1521595735,0,2
1521599559,0,2
1521601729,2,0
1521603629,0,1
1521605548,1,1
1521607466,2,0
1521611311,2,2
1521613223,2,0
1521615169,0,5
1521617064,2,1
1521624746,1,0
1521626687,1,2
1521628582,2,0
1521632423,0,1
1521634373,1,1
1521638193,0,1
1521640145,1,2
1521642038,0,1
1521645876,1,1
1521651709,2,1
1521653551,1,1
1521655480,0,1
1521659321,1,0
1521661249,1,0
1521663152,0,1
1521667081,2,0
1521672816,2,0
1521675585,1,1
1521677567,2,0
1521679478,1,1
1521682434,1,1
1521685720,2,0
1521687774,2,1
1521691481,1,1
1521693633,1,3
1521695548,1,0
1521697463,3,2
1521699394,4,2
1521701573,4,0
1521703636,2,2
1521705876,2,0
1521709727,2,0
1521711890,0,2
1521713788,2,4
1521715970,1,0
1521717872,1,0
1521719796,1,1
1521723698,1,0
1521725553,0,1
1521729409,1,0
1521731338,0,1
1521737319,0,1
1521739226,3,1
1521741163,0,1
1521743083,1,0
1521744982,1,1
1521746924,1,0
1521751006,2,0
1521752930,0,1
1521754842,0,1
1521756746,2,0
1521758929,0,3
1521760831,0,1
1521762763,2,0
1521764678,1,3
1521766584,1,0
1521768519,0,1
1521770519,1,1
1521772364,2,1
1521774276,1,0
1521776207,2,0
1521778127,0,1
1521780042,0,1
1521781955,1,1
1521783900,0,3
1521785804,1,3
1521787717,2,3
1521789643,2,3
1521791553,0,2
1521793488,2,0
1521795394,0,1
1521797317,0,1
1521799843,2,2
1521801880,3,0
1521803780,0,3
1521805728,0,1
1521809792,0,1
1521815127,1,1
1521824935,0,2
1521826831,2,0
1521828761,0,1
1521830703,1,0
1521832593,1,1
1521834514,2,1
1521836676,0,1
1521838903,0,2
1521840752,2,0
1521842693,0,1
1521847957,1,1
1521849882,0,2
1521851786,2,2
1521855868,2,2
1521857786,0,2
1521859713,1,1
1521861615,1,2
1521863550,2,0
1521865458,1,0
1521867499,1,0
1521871474,2,1
1521873630,0,1
1521875562,0,2
1521877483,2,0
1521879389,0,2
1521881326,0,1
1521885162,2,2
1521887080,2,1
1521888990,1,2
1521890909,1,0
1521894751,0,1
1521896692,1,0
1521900510,0,1
1521904357,1,0
1521912270,2,2
1521918081,2,0
1521919965,0,2
1521921873,1,1
1521923826,2,0
1521925715,0,2
1521931465,3,0
1521933402,1,1
1521935304,1,0
1521937232,1,2
1521939142,1,0
1521941078,0,1
1521942984,1,0
1521944917,0,1
1521946942,0,1
1521951157,2,3
1521956919,1,2
1521961104,0,1
1521962913,1,1
1521971558,3,3
1521973474,0,3
1521976354,1,1
1521978269,2,1
1521984811,0,1
1521990582,0,1
1521994418,1,1
1521998251,1,2
1522000064,1,1
1522005728,1,2
1522008771,1,1
1522010770,0,3
1522014752,2,0
1522016680,51,1
1522018576,0,3
1522020768,1,0
1522022691,1,2
1522026515,1,1
1522028428,1,0
1522030361,0,1
1522032286,1,0
1522034202,2,0
1522036099,0,2
1522039945,1,0
1522041998,0,1
1522049789,0,1
1522051701,2,1
1522053619,0,1
1522055594,1,0
1522057468,1,0
1522059413,2,1
1522061385,2,0
1522065148,0,1
1522073081,1,0
1522078842,1,0
1522080868,1,0
1522084608,0,1
1522086526,0,1
1522088429,3,0
1522090363,1,1
1522092275,1,0
1522094206,1,0
1522096114,2,1
1522100298,0,2
1522102404,1,51
1522104534,1,0
1522107855,0,1
1522110142,2,1
1522114098,0,1
1522116286,2,1
1522118179,2,0
1522120108,1,1
1522122038,1,1
1522123966,1,0
1522125885,0,1
1522127807,1,0
1522131861,3,0
1522139559,1,3
1522141478,0,1
1522143405,1,0
1522145328,1,2
1522147945,1,2
1522149873,1,0
1522152127,1,0
1522157965,1,0
1522160203,1,1
1522164034,1,1
1522166218,2,2
1522168107,1,0
1522170097,5,0
1522171957,2,0
1522173893,0,1
1522175792,1,3
1522179636,1,3
1522181571,1,1
1522183481,0,1
1522187332,1,0
1522191817,0,1
1522195723,0,2
1522197629,1,0
1522201736,0,1
1522204198,0,3
1522206288,2,2
1522208400,3,1
1522214303,6,2
1522216835,1,0
1522219713,0,2
1522221771,2,0
1522223625,1,1
1522241097,7,22
1522243439,16,0
1522246765,0,2
1522249724,0,1
1522253629,0,2
1522276490,0,12
1522286697,0,2
1522292444,0,2
1522296297,0,2
1522300119,0,4
1522303964,0,2
1522307797,0,4
1522311641,0,1
1522315483,0,4
1522323163,0,3
1522325059,0,1
1523309065,1,0
1523313407,1,0
1523317227,1,0
1523321294,1,0
1523325134,2,0
1523328983,1,0
1523336761,1,0
1523340549,1,0
1523344509,2,0
1523352530,1,0
1523356521,2,0
1523366210,1,0
1523377955,2,0
1523389959,1,0
1523393805,1,0
1523397657,0,1
1523401728,3,1
1523405558,1,0
1523407529,1,1
1523411354,3,2
1523415643,0,1
1523419486,3,1
1523423321,1,1
1523427408,1,1
1523431229,0,2
1523436994,3,1
1523441077,3,2
1523444924,3,0
1523448757,1,0
1523452602,0,1
1523456433,1,0
1523464114,1,1
1523468057,1,0
1523471801,2,1
1523479481,0,1
1523483312,0,1
1523488152,2,2
1523492208,0,1
1523496035,0,3
1523500151,5,1
1523505890,2,3
1523509723,1,1
1523513573,2,1
1523517402,2,0
1523521239,2,1
1523525236,3,2
1523529153,2,5
1523532993,1,2
1523540683,2,0
1523544517,1,0
1523548351,2,0
1523552206,0,2
1523556040,2,0
1523560136,0,2
1523564197,1,0
1523569969,1,0
1523574997,0,2
1523585566,0,5
1523589629,2,0
1523593480,3,2
1523597301,0,3
1523601170,5,1
1523604982,2,5
1523608842,2,0
1523612667,3,4
1523616752,2,2
1523620577,1,0
1523624686,1,0
1523628521,3,2
1523632378,2,1
