DateTime,AddedIPs,RemovedIPs
1521664106,61,49
1521666096,58,40
1521668865,83,65
1521670972,55,48
1521672819,16,56
1521675587,73,68
1521677570,25,36
1521679480,17,21
1521682436,41,48
1521685724,47,63
1521687776,22,35
1521689577,27,34
1521691484,41,34
1521693635,48,36
1521695550,49,34
1521697465,47,31
1521699396,63,39
1521701575,56,39
1521703638,32,43
1521705878,49,58
1521707809,37,37
1521709728,49,35
1521711892,76,170
1521713791,101,80
1521715972,2743,52
1521717875,6405,46
1521719799,4104,41
1521721727,40,40
1521723701,48,43
1521725555,118,50
1521727497,3470,58
1521729412,47,45
1521731340,49,52
1521733251,44,59
1521735494,63,62
1521737321,41,55
1521739228,50,43
1521741166,68,53
1521743086,62,46
1521744984,53,45
1521746927,60,48
1521748929,60,57
1521751008,49,53
1521752932,68,50
1521754844,65,63
1521756748,86,67
1521758931,80,18
1521760833,45,31
1521762766,33,45
1521764681,64,26
1521766587,37,14
1521768521,42,18
1521770522,38,13
1521772367,42,30
1521774280,50,24
1521776210,30,19
1521778130,28,37
1521780045,38,44
1521781958,51,41
1521783903,38,46
1521785807,43,61
1521787720,51,41
1521789646,39,38
1521791556,29,40
1521793491,57,22
1521795397,31,33
1521797320,54,74
1521799846,74,126
1521801884,143,855
1521803784,47,6015
1521805733,27,5189
1521807893,71,52
1521809795,32,37
1521811717,36,67
1521815130,73,4697
1521816986,59,47
1521818922,39,46
1521821089,47,50
1521823008,32,58
1521824936,34,59
1521826834,28,43
1521828764,42,82
1521830707,95,67
1521832596,55,36
1521834516,71,58
1521836678,55,55
1521838905,45,52
1521840754,37,74
1521842695,48,80
1521845717,166,109
1521847960,47,48
1521849884,42,73
1521851788,62,41
1521853713,27,34
1521855870,37,64
1521857788,42,45
1521859715,28,39
1521861617,46,43
1521863552,30,35
1521865460,34,34
1521867501,33,50
1521869547,43,60
1521871475,39,47
1521873632,38,53
1521875564,40,32
1521877485,39,48
1521879391,35,53
1521881328,37,31
1521883230,29,47
1521885164,43,64
1521887082,53,110
1521888992,114,106
1521890911,35,50
1521892931,50,30
1521894753,36,67
1521896694,89,34
1521898590,34,36
1521900512,33,55
1521902429,44,39
1521904359,38,52
1521906282,44,43
1521908206,40,40
1521910114,18,28
1521912273,45,43
1521914204,44,37
1521916108,45,43
1521918084,38,41
1521919968,1407,39
1521921876,1323,63
1521923829,2551,51
1521925717,288,41
1521927644,27,43
1521929549,23,65
1521931467,48,129
1521933404,33,47
1521935307,30,41
1521937235,21,61
1521939144,22,22
1521941081,30,21
1521942987,28,41
1521944919,25,35
1521946945,27,31
1521951159,49,78
1521956921,89,117
1521960515,32,73
1521963479,18,62
1521965321,31,44
1521977052,136,322
1521984814,76,240
1521986845,34,28
1521988717,27,35
1521990584,25,34
1521992532,23,52
1521994421,33,43
1521996262,18,21
1521998254,22,37
1522000066,34,36
1522005730,99,121
1522008773,59,3343
1522010772,50,2241
1522012587,56,43
1522014755,67,35
1522016683,55,50
1522018578,104,52
1522020770,47,43
1522022693,46,34
1522024582,1247,44
1522026517,1835,29
1522028432,1054,34
1522030364,48,30
1522032289,31,39
1522034207,39,24
1522036101,61,33
1522038041,34,23
1522039947,40,62
1522042000,48,12
1522044094,55,23
1522046046,44,15
1522047890,36,13
1522049792,33,16
1522051703,2188,23
1522053621,2148,27
1522055596,35,20
1522057470,40,35
1522059415,30,15
1522061388,54,20
1522063229,41,13
1522065151,32,20
1522067070,32,17
1522068939,63,16
1522070909,34,22
1522073084,45,27
1522075010,39,25
1522076932,24,31
1522078845,37,18
1522080871,44,24
1522082686,52,12
1522084610,31,12
1522086529,40,34
1522088432,44,37
1522090366,43,28
1522092278,39,17
1522094208,72,24
1522096118,76,21
1522098253,87,48
1522100301,26,48
1522102407,37,47
1522104538,34,93
1522107858,45,65
1522110145,15,377
1522112248,26,1921
1522114101,21,1360
1522116288,47,62
1522118182,31,33
1522120111,38,46
1522122040,40,34
1522123969,32,48
1522125887,40,35
1522127809,39,53
1522129728,47,58
1522131863,36,34
1522133779,37,35
1522135718,42,30
1522137725,39,872
1522139562,45,3860
1522141480,33,43
1522143408,28,41
1522145330,76,39
1522147947,74,64
1522149876,48,48
1522152129,52,43
1522154159,38,40
1522156099,24,61
1522157967,31,27
1522160205,41,58
1522162124,47,37
1522164036,28,56
1522166220,2042,40
1522168110,2237,50
1522170100,40,59
1522171960,23,45
1522173895,43,46
1522175795,43,49
1522177731,68,38
1522179638,37,51
1522181575,49,47
1522183485,29,116
1522185412,43,35
1522187334,36,26
1522189670,84,39
1522191823,50,32
1522193796,88,28
1522195727,62,24
1522197633,31,20
1522199561,32,18
1522201739,16,44
1522204380,27,47
1522206291,31,35
1522208754,33,55
1522212769,69,72
1522214701,39,34
1522220279,1555,129
1522223629,1271,75
1522229934,762,127
1522241101,578,4836
1522243442,6981,0
1522246770,0,2544
1522249731,0,77
1522251631,0,19
1522253632,1,3145
1522276493,1,1382
1522278339,0,151
1522282533,0,181
1522286701,0,127
1522288606,0,67
1522292449,0,83
1522296302,0,102
1522300123,0,106
1522303968,0,137
1522307801,0,2046
1522311645,0,1667
1522315487,0,387
1522319320,0,429
1522323167,0,429
1522326988,0,293
1522338747,0,1
1522360129,0,1
1523193642,1,0
1523283217,0,1
1523309068,2,0
1523311256,122,1
1523315329,81,0
1523319389,88,0
1523321296,95,0
1523325137,107,0
1523328987,209,0
1523332855,275,0
1523336765,245,0
1523340554,254,0
1523344514,133,0
1523348699,45,0
1523352534,36,0
1523356527,27,0
1523358532,57,0
1523362370,31,0
1523366217,54,0
1523370046,49,0
1523373891,27,0
1523377960,100,0
1523382043,87,0
1523385971,85,0
1523389963,78,0
1523393809,68,2
1523397660,47,65
1523401731,43,61
1523405561,41,67
1523409415,41,69
1523413603,34,111
1523417551,42,193
1523419489,39,251
1523423326,34,254
1523427411,38,326
1523431232,36,37
1523435093,33,39
1523439085,28,28
1523443050,43,41
1523446862,65,46
1523450710,69,46
1523454539,53,32
1523458388,74,41
1523462226,63,32
1523466068,70,45
1523469905,72,36
1523473740,76,40
1523477601,165,31
1523479484,167,44
1523483316,63,36
1523488155,63,32
1523492211,69,47
1523496038,62,36
1523500154,67,44
1523503966,55,40
1523507815,81,48
1523511669,69,38
1523515486,62,33
1523519327,123,49
1523523170,74,29
1523527137,203,31
1523531098,211,54
1523534919,209,58
1523538779,118,72
1523542619,37,72
1523546434,38,68
1523550298,36,60
1523554125,45,68
1523557999,36,77
1523562357,32,78
1523566140,37,254
1523569971,40,77
1523575001,105,62
1523577441,31,73
1523581804,29,63
1523585569,27,68
1523589633,29,59
1523593484,25,72
1523597304,37,82
1523601174,33,66
1523604985,40,132
1523608846,89,75
1523612670,31,158
1523616756,32,231
1523620581,44,262
1523624690,38,202
1523628526,40,38
1523632382,33,42
1523638121,44,41
1523639961,59,45
1523641959,47,45
1523645802,41,26
1523649649,107,31
1523653474,355,44
1523657332,38,26
1523661176,46,106
1523665021,42,26
1523672513,87,59
1523676390,46,31
1523680196,39,30
1523684036,44,31
1523687909,44,36
1523691745,39,44
1523695535,36,89
1523699417,36,31
1523703311,31,46
1523707499,30,48
1523711331,25,36
1523715166,34,29
1523719007,23,33
1523722834,33,42
1523724753,37,59
1523728590,293,56
1523732445,37,31
1523736284,35,136
1523740103,29,312
1523744201,23,40
1523748806,32,53
1523752584,23,46
1523756673,35,52
1523761970,45,53
1523763869,31,31
1523767713,36,41
1523771797,37,39
1523776617,29,37
1523779307,26,41
1523894684,266,1102
1523896604,42,37
1523900446,30,29
1523904413,96,27
1523908588,83,35
1523913350,231,34
1523918115,84,29
1523920111,42,34
1523924217,49,22
1523928035,52,8
1523929995,44,13
1523933790,38,20
1523937901,39,12
1523941718,37,8
1523945584,44,18
1523949429,46,10
1523953236,31,17
1523957077,32,0
1523960914,25,0
1523964776,33,0
1523968586,34,0
1523972427,32,0
1523976210,26,0
1523980366,23,4
1523984203,18,29
1523988120,29,27
1523991884,27,40
1523995721,20,32
1523998445,56,173
1524002625,23,46
1524007010,24,14
1524010851,37,30
1524015402,24,31
1524017306,23,25
1524021403,22,40
1524025258,30,43
1524029096,26,33
1524032942,23,31
1524036762,33,35
1524040919,36,25
1524043451,28,26
1524047311,34,24
1524051271,21,32
1524055233,19,30
1524059314,21,22
1524061529,26,34
1524065476,26,22
1524069406,27,22
1524073263,26,24
1524077084,27,41
1524080924,38,19
1524084767,29,54
1524088600,30,30
1524093948,29,26
1524095903,208,30
1524100369,17,36
1524104210,18,20
1524108043,36,40
1524111875,30,34
1524115697,26,28
1524119461,36,32
1524123327,23,55
1524127257,67,39
1524131099,27,34
1524134859,22,43
1524138828,36,34
1524142568,34,24
1524146434,42,32
1524150585,28,42
1524154614,164,37
1524158626,84,26
1524160852,53,34
1524164705,40,26
1524168537,45,41
1524172403,46,33
1524176211,42,31
1524180324,41,32
1524182210,36,131
1524186057,30,24
1524189906,35,23
1524193745,27,41
1524197601,30,27
1524201338,22,27
1524205143,30,34
1524209054,29,20
1524213178,32,82
1524216904,36,30
