DateTime,Entries,UniqueIPs
1521664106,3420,3420
1521666096,3438,3438
1521668865,3456,3456
1521670972,3463,3463
1521672819,3423,3423
1521675587,3428,3428
1521677570,3417,3417
1521679480,3413,3413
1521682436,3406,3406
1521685724,3390,3390
1521687776,3377,3377
1521689577,3370,3370
1521691484,3377,3377
1521693635,3389,3389
1521695550,3404,3404
1521697465,3420,3420
1521699396,3444,3444
1521701575,3461,3461
1521703638,3450,3450
1521705878,3441,3441
1521707809,3441,3441
1521709728,3455,3455
1521711892,3361,3361
1521713791,3382,3382
1521715972,6073,6073
1521717875,12432,12432
1521719799,16495,16495
1521721727,16495,16495
1521723701,16500,16500
1521725555,16568,16568
1521727497,19980,19980
1521729412,19982,19982
1521731340,19979,19979
1521733251,19964,19964
1521735494,19965,19965
1521737321,19951,19951
1521739228,19958,19958
1521741166,19973,19973
1521743086,19989,19989
1521744984,19997,19997
1521746927,20009,20009
1521748929,20012,20012
1521751008,20008,20008
1521752932,20026,20026
1521754844,20028,20028
1521756748,20047,20047
1521758931,20109,20109
1521760833,20123,20123
1521762766,20111,20111
1521764681,20149,20149
1521766587,20172,20172
1521768521,20196,20196
1521770522,20221,20221
1521772367,20233,20233
1521774280,20259,20259
1521776210,20270,20270
1521778130,20261,20261
1521780045,20255,20255
1521781958,20265,20265
1521783903,20257,20257
1521785807,20239,20239
1521787720,20249,20249
1521789646,20250,20250
1521791556,20239,20239
1521793491,20274,20274
1521795397,20272,20272
1521797320,20252,20252
1521799846,20200,20200
1521801884,19488,19488
1521803784,13520,13520
1521805733,8358,8358
1521807893,8377,8377
1521809795,8372,8372
1521811717,8341,8341
1521815130,3717,3717
1521816986,3729,3729
1521818922,3722,3722
1521821089,3719,3719
1521823008,3693,3693
1521824936,3668,3668
1521826834,3653,3653
1521828764,3613,3613
1521830707,3641,3641
1521832596,3660,3660
1521834516,3673,3673
1521836678,3673,3673
1521838905,3666,3666
1521840754,3629,3629
1521842695,3597,3597
1521845717,3654,3654
1521847960,3653,3653
1521849884,3622,3622
1521851788,3643,3643
1521853713,3636,3636
1521855870,3609,3609
1521857788,3606,3606
1521859715,3595,3595
1521861617,3598,3598
1521863552,3593,3593
1521865460,3593,3593
1521867501,3576,3576
1521869547,3559,3559
1521871475,3551,3551
1521873632,3536,3536
1521875564,3544,3544
1521877485,3535,3535
1521879391,3517,3517
1521881328,3523,3523
1521883230,3505,3505
1521885164,3484,3484
1521887082,3427,3427
1521888992,3435,3435
1521890911,3420,3420
1521892931,3440,3440
1521894753,3409,3409
1521896694,3464,3464
1521898590,3462,3462
1521900512,3440,3440
1521902429,3445,3445
1521904359,3431,3431
1521906282,3432,3432
1521908206,3432,3432
1521910114,3422,3422
1521912273,3424,3424
1521914204,3431,3431
1521916108,3433,3433
1521918084,3430,3430
