DateTime,Entries,UniqueIPs
1521650219,955,955
1521652144,946,946
1521654040,945,945
1521655957,938,938
1521657866,938,938
1521659803,924,924
1521661890,919,919
1521664107,906,906
1521666097,907,907
1521668866,902,902
1521670973,890,890
1521672819,877,877
1521675588,847,847
1521677570,842,842
1521679481,830,830
1521682437,821,821
1521685724,815,815
1521687777,807,807
1521689578,806,806
1521691485,804,804
1521693636,813,813
1521695551,814,814
1521697466,816,816
1521699397,813,813
1521701576,810,810
1521703639,807,807
1521705879,800,800
1521707810,797,797
1521709729,801,801
1521711893,657,657
1521713791,663,663
1521715973,3409,3409
1521717876,9879,9879
1521719801,13971,13971
1521721728,13971,13971
1521723702,13980,13980
1521725557,13979,13979
1521727498,17496,17496
1521729413,17493,17493
1521731342,17495,17495
1521733253,17487,17487
1521735496,17480,17480
1521737322,17474,17474
1521739230,17479,17479
1521741167,17484,17484
1521743087,17484,17484
1521744985,17481,17481
1521746928,17484,17484
1521748931,17482,17482
1521751009,17489,17489
1521752934,17506,17506
1521754845,17508,17508
1521756750,17523,17523
1521758933,17528,17528
1521760835,17527,17527
1521762767,17527,17527
1521764682,17535,17535
1521766588,17542,17542
1521768523,17551,17551
1521770523,17558,17558
1521772369,17556,17556
1521774281,17560,17560
1521776211,17555,17555
1521778131,17557,17557
1521780047,17562,17562
1521781959,17588,17588
1521783905,17586,17586
1521785808,17578,17578
1521787721,17586,17586
1521789647,17590,17590
1521791557,17588,17588
1521793492,17590,17590
1521795398,17588,17588
1521797321,17583,17583
1521799848,17584,17584
1521801885,16748,16748
1521803785,10720,10720
1521805735,5556,5556
1521807894,5559,5559
1521809796,5568,5568
1521811718,5570,5570
1521815131,756,756
1521816986,754,754
1521818922,746,746
1521821090,749,749
1521823009,747,747
1521824937,739,739
1521826834,733,733
1521828764,740,740
1521830711,761,761
1521832596,774,774
1521834517,801,801
1521836679,817,817
1521838906,847,847
1521840755,830,830
1521842696,837,837
1521845717,852,852
1521847960,858,858
1521849885,868,868
1521851789,870,870
1521853713,880,880
1521855871,878,878
1521857789,881,881
1521859716,888,888
1521861618,899,899
1521863553,898,898
1521865460,895,895
1521867502,868,868
1521869547,841,841
1521871476,844,844
1521873633,845,845
1521875565,852,852
1521877486,857,857
1521879392,861,861
1521881329,867,867
1521883231,861,861
1521885165,847,847
1521887083,854,854
1521888993,845,845
1521890912,841,841
1521892931,851,851
1521894754,852,852
1521896695,888,888
1521898591,881,881
1521900513,883,883
1521902430,881,881
1521904360,875,875
1521906283,885,885
1521908206,889,889
1521910115,891,891
1521912273,884,884
1521914205,885,885
1521916108,890,890
1521918085,891,891
1521919969,2307,2307
1521921877,3627,3627
1521923830,6239,6239
1521925718,6505,6505
1521927645,6508,6508
1521929550,6501,6501
1521931468,6502,6502
1521933405,6497,6497
1521935308,6493,6493
1521937236,6493,6493
1521939145,6492,6492
1521941082,6487,6487
1521942988,6482,6482
1521944920,6481,6481
1521946945,6477,6477
1521951160,6473,6473
1521956923,6462,6462
1521960516,6448,6448
1521963480,6431,6431
1521965321,6425,6425
1521977053,6392,6392
1521985313,6313,6313
1521988107,6311,6311
1521991064,6306,6306
1521993869,6294,6294
1521996766,6285,6285
1522000067,6277,6277
1522005731,6257,6257
1522008774,2895,2895
1522010773,604,604
1522012588,611,611
1522014755,613,613
1522016683,624,624
1522018579,634,634
1522020770,636,636
1522022695,648,648
1522024583,657,657
1522026517,658,658
1522028433,665,665
1522030364,664,664
1522032289,670,670
1522034208,677,677
1522036102,691,691
1522038042,701,701
1522039948,712,712
1522042001,731,731
1522044095,737,737
1522046047,745,745
1522047891,749,749
1522049793,750,750
1522051704,3168,3168
1522053622,5610,5610
1522055597,5617,5617
1522057471,5611,5611
1522059416,5612,5612
1522061390,5620,5620
1522063230,5623,5623
1522065152,5628,5628
1522067071,5638,5638
1522068940,5649,5649
1522070910,5657,5657
1522073085,5659,5659
1522075011,5664,5664
1522076933,5667,5667
1522078846,5673,5673
1522080873,5681,5681
1522082687,5679,5679
1522084611,5686,5686
1522086530,5695,5695
