DateTime,Entries,UniqueIPs
1521596431,76,76
1521598338,74,74
1521600272,74,74
1521602192,75,75
1521604096,77,77
1521606142,78,78
1521607943,78,78
1521609872,79,79
1521611803,78,78
1521613696,78,78
1521619474,78,78
1521621376,77,77
1521623321,76,76
1521627152,79,79
1521629066,82,82
1521630990,80,80
1521632900,76,76
1521634832,76,76
1521636755,75,75
1521638676,76,76
1521640580,78,78
1521642515,76,76
1521644484,75,75
1521646353,75,75
1521648272,78,78
1521650219,76,76
1521652144,79,79
1521654040,79,79
1521655957,79,79
1521657866,81,81
1521659803,82,82
1521661890,81,81
1521664107,81,81
1521666097,82,82
1521668866,82,82
1521670974,83,83
1521672820,82,82
1521675588,82,82
1521677571,80,80
1521679481,79,79
1521682437,78,78
1521685725,77,77
1521687777,79,79
1521689578,78,78
1521691485,79,79
1521693636,84,84
1521695551,83,83
1521697466,85,85
1521699397,84,84
1521701576,85,85
1521703639,87,87
1521705879,87,87
1521707810,86,86
1521709730,85,85
1521711893,90,90
1521713792,87,87
1521715974,82,82
1521717876,85,85
1521719801,85,85
1521721728,85,85
1521723703,86,86
1521725557,86,86
1521727498,88,88
1521729413,90,90
1521731343,91,91
1521733254,87,87
1521735496,87,87
1521737323,86,86
1521739230,85,85
1521741167,84,84
1521743088,82,82
1521744986,79,79
1521746929,77,77
1521748931,77,77
1521751010,75,75
1521752934,75,75
1521754846,76,76
1521756750,77,77
1521758933,81,81
1521760835,80,80
1521762767,81,81
1521764683,82,82
1521766588,87,87
1521768523,87,87
1521770524,88,88
1521772369,87,87
1521774282,85,85
1521776212,85,85
1521778131,82,82
1521780047,78,78
1521781960,78,78
1521783905,76,76
1521785808,80,80
1521787722,81,81
1521789648,79,79
1521791558,78,78
1521793493,76,76
1521795398,77,77
1521797321,75,75
1521799849,77,77
1521801885,81,81
1521803785,81,81
1521805735,81,81
1521807894,81,81
1521809797,79,79
1521811719,79,79
1521815131,77,77
1521816987,75,75
1521818923,76,76
1521821090,73,73
1521823009,72,72
1521824937,72,72
1521826835,73,73
1521828765,77,77
1521832597,76,76
1521834517,75,75
1521836679,76,76
1521838906,78,78
1521840755,77,77
1521842696,77,77
1521845718,77,77
1521847961,81,81
1521849885,82,82
1521851789,80,80
1521853714,76,76
1521855871,74,74
1521857789,74,74
1521859716,75,75
1521861619,76,76
1521863553,79,79
1521865461,82,82
1521867502,82,82
1521869548,84,84
1521871476,84,84
1521873633,83,83
1521875565,84,84
1521881329,84,84
1521883231,83,83
1521885165,82,82
1521887083,82,82
1521888993,80,80
1521890913,84,84
1521892932,83,83
1521894754,82,82
1521896695,82,82
1521900513,78,78
1521902430,78,78
1521904360,77,77
1521906283,75,75
1521908207,76,76
1521910116,79,79
1521912274,79,79
1521914205,81,81
1521916109,80,80
1521919969,84,84
1521921877,82,82
1521923830,83,83
1521925718,86,86
1521927645,88,88
1521929551,87,87
1521931469,89,89
1521933405,88,88
1521935308,88,88
1521937236,87,87
1521939145,89,89
1521942988,92,92
1521944920,92,92
1521946946,89,89
1521951161,84,84
1521956923,80,80
1521960516,77,77
1521963480,77,77
1521977054,76,76
1521985313,73,73
1521988108,71,71
1521991064,72,72
1521993870,70,70
1521996767,67,67
1522000068,61,61
1522005731,57,57
1522008774,55,55
1522010773,51,51
1522012588,51,51
1522014756,51,51
1522016684,49,49
1522018579,47,47
1522020771,46,46
1522022696,44,44
1522024583,43,43
1522026518,45,45
1522028433,45,45
1522030365,50,50
1522032290,47,47
1522034208,49,49
1522036103,49,49
1522038042,48,48
1522039948,51,51
1522042001,56,56
1522044095,58,58
1522046047,60,60
1522047892,63,63
1522049793,65,65
1522051704,67,67
1522053623,68,68
1522055598,66,66
1522057471,72,72
1522059416,73,73
1522061390,76,76
1522063231,75,75
1522065152,79,79
1522068941,83,83
1522073086,85,85
1522075011,86,86
1522076934,88,88
1522078846,90,90
1522082687,92,92
1522084612,94,94
1522086531,96,96
1522088433,96,96
1522090368,98,98
1522092279,100,100
1522094210,101,101
1522096119,102,102
1522098254,102,102
1522100302,100,100
1522102408,99,99
1522104539,98,98
1522107859,95,95
1522110148,95,95
1522112249,94,94
1522114102,92,92
1522116289,90,90
1522118183,88,88
1522120112,90,90
1522122041,90,90
1522123970,92,92
1522125888,92,92
1522127810,87,87
