DateTime,AddedIPs,RemovedIPs
1521513889,8,2
1521515784,7,6
1521517707,12,1
1521519619,8,1
1521521545,5,2
1521523476,3,5
1521525376,5,7
1521527295,7,4
1521529310,13,2
1521531137,7,3
1521533074,3,2
1521534974,6,5
1521536909,11,9
1521538817,8,3
1521540764,9,3
1521542656,6,4
1521544576,7,2
1521546514,5,2
1521548428,4,0
1521550334,5,4
1521552275,4,1
1521554175,5,2
1521556092,4,4
1521558109,10,3
1521559938,6,2
1521561874,3,4
1521563773,5,4
1521565717,9,6
1521567615,4,2
1521570239,5,11
1521572383,6,11
1521574362,2,2
1521576384,3,8
1521578434,6,10
1521580599,4,10
1521582526,3,2
1521584417,0,8
1521586354,9,15
1521588500,5,13
1521590523,5,7
1521592401,2,10
1521594511,4,14
1521596431,6,4
1521598338,4,9
1521600272,2,3
1521602193,5,9
1521604098,5,8
1521606142,3,5
1521607944,3,5
1521609873,4,5
1521611804,4,4
1521613697,0,2
1521615718,0,12
1521617557,6,6
1521619475,1,6
1521621376,0,6
1521623322,4,8
1521625219,8,8
1521627152,3,10
1521629066,5,6
1521630990,7,9
1521632900,7,16
1521634832,3,5
1521636756,13,7
1521638676,5,5
1521640581,5,6
1521642515,8,7
1521644484,1,6
1521646354,2,10
1521648272,3,4
1521650219,6,9
1521652145,3,7
1521654041,4,6
1521655958,2,8
1521657867,5,5
1521659804,3,2
1521661891,3,5
1521664108,4,9
1521666098,4,9
1521668867,7,6
1521670974,5,2
1521672820,0,12
1521675589,1,6
1521677571,2,2
1521679481,4,8
1521682438,3,6
1521685725,3,9
1521687778,4,6
1521689579,2,3
1521691485,1,5
1521693636,6,6
1521695551,2,2
1521697467,1,4
1521699398,0,4
1521701576,4,0
1521703639,2,4
1521705879,5,5
1521707810,2,1
1521709730,5,3
1521711893,4,8
1521713792,6,4
1521715976,6,8
1521717876,3,7
1521719801,3,6
1521721729,2,9
1521723703,2,9
1521725557,10,5
1521727499,14,4
1521729414,4,8
1521731343,0,1
1521733254,3,2
1521735496,4,4
1521737323,1,4
1521739231,2,3
1521741168,3,7
1521743088,2,0
1521744986,2,7
1521746929,3,3
1521748932,3,0
1521751010,4,6
1521752935,1,2
1521754846,1,7
1521756750,4,4
1521758933,7,0
1521760835,2,0
1521762768,5,1
1521764683,2,3
1521766589,3,3
1521768523,8,0
1521770525,4,2
1521772369,3,2
1521774282,3,4
1521776212,3,2
1521778132,6,1
1521780047,2,7
1521781960,5,3
1521783905,4,1
1521785809,1,0
1521787722,3,2
1521789648,1,4
1521791558,6,3
1521793493,3,5
1521795399,5,4
1521797322,4,4
1521799849,3,8
1521801886,7,4
1521803786,2,2
1521805736,1,3
1521807894,4,2
1521809797,3,3
1521811719,4,11
1521815131,4,18
1521816987,0,1
1521818923,3,2
1521821091,6,4
1521823009,2,2
1521824938,1,1
1521826835,4,2
1521828765,2,2
1521830711,7,2
1521832597,5,3
1521834517,15,2
1521836679,13,3
1521838907,5,2
1521840755,6,0
1521842696,4,3
1521845718,15,9
1521847961,6,2
1521849885,5,5
1521851789,8,1
1521853714,8,5
1521855871,9,8
1521857789,7,4
1521859717,4,3
1521861619,1,3
1521863553,2,3
1521865461,1,5
1521867502,0,4
1521869548,6,4
1521871477,3,3
1521873633,2,2
1521875565,2,1
1521877486,3,5
1521879392,2,3
1521881330,2,4
1521883232,3,5
1521885166,0,3
1521887083,1,3
1521888993,2,6
1521890913,1,2
1521892932,3,1
1521894755,3,3
1521896695,1,3
1521898591,2,5
1521900514,0,2
1521902431,0,1
1521904361,2,0
1521906283,1,4
1521908207,1,3
1521910116,3,4
1521912274,3,3
1521914205,4,1
1521916109,5,8
1521918085,6,3
1521919969,13,6
1521921877,6,18
1521923830,8,6
1521925721,3,2
1521927645,6,5
1521929551,6,5
1521931469,7,11
1521933406,3,7
1521935308,5,4
1521937236,2,8
1521939146,6,9
1521941082,15,8
1521942988,8,8
1521944920,14,9
1521946946,5,5
1521951161,6,2
1521956923,4,8
1521960517,5,3
1521963480,0,4
1521965322,2,4
1521977054,21,7
1521985313,6,11
1521991065,4,3
1521993870,6,0
1521996767,3,4
1522000068,4,4
1522005732,5,14
1522008774,5,10
1522010773,4,6
1522012588,8,4
1522014756,10,4
1522016684,1000,6
1522018580,5,5
1522020771,1,3
1522022696,8,5
1522024583,5,4
1522026518,1,8
1522028434,7,11
1522030365,5,10
1522032290,11,6
1522034208,9,6
1522036103,7,5
1522038042,7,0
1522039949,3,2
1522042002,4,0
1522044096,6,1
1522046047,4,1
1522047892,8,1
1522049794,4,0
1522051704,2,3
1522053623,3,3
1522055598,7,2
1522057472,4,5
1522059417,4,3
1522061391,3,3
1522063231,2,3
1522065152,6,1
1522067071,1,2
1522068941,4,1
1522070911,9,2
1522073086,3,0
1522075011,4,0
1522076934,5,2
1522078847,4,5
1522080873,6,3
1522082688,5,1
1522084612,3,4
1522086532,2,1
1522088433,5,2
1522090368,4,1
1522092279,2,1
1522094210,7,2
1522096119,6,2
1522098254,8,4
1522100302,2,5
1522102408,1,998
1522104539,2,5
1522107860,1,8
1522110148,3,9
1522112250,4,3
1522114102,7,5
1522116290,6,8
1522118183,8,6
1522120113,5,15
1522122042,4,4
1522123970,5,11
1522125889,9,5
1522127810,3,5
1522129729,9,8
1522131865,7,2
1522133781,4,8
1522135720,7,5
1522137727,3,3
1522139563,2,3
1522141482,5,6
1522143410,10,2
1522145331,6,5
1522147949,8,4
1522149877,3,1
1522152130,4,5
1522154160,5,0
1522156100,4,9
1522157969,6,3
1522160207,8,5
1522162126,5,4
1522164038,3,3
1522166222,1,6
1522168111,2,5
1522170101,6,4
1522171961,7,7
1522173897,7,3
1522175796,4,5
1522177733,4,4
1522179640,3,4
1522181577,2,8
1522183488,4,8
1522185416,3,2
1522187337,6,2
1522189672,40,2
1522191826,1,0
1522193798,6,2
1522195729,5,1
1522197635,3,7
1522199564,1,4
1522201742,6,6
1522204419,7,12
1522206294,2,3
1522212783,5,22
1522215873,7,11
1522220281,9,15
1522223632,2,9
1522229937,2,26
1522241107,10,101
1522243444,63,0
1522246772,0,15
1522249736,0,14
1522253634,0,4
1522276495,0,48
1522278341,0,39
1522282536,0,9
1522286703,0,5
1522288608,0,6
1522292451,0,10
1522296305,0,2
1522300126,0,8
1522303971,0,8
1522307804,0,5
1522311647,0,2
1522315489,0,2
1522319322,0,4
1522323169,0,6
1522325065,0,4
1523317233,1,0
1523332857,3,0
1523336767,1,0
1523348702,1,0
1523358534,1,0
1523370048,1,0
1523373893,1,0
1523382046,1,0
1523389965,4,0
1523393812,1,0
1523397663,1,0
1523401733,1,0
1523405563,0,1
1523413605,1,0
1523417553,1,1
1523419491,3,2
1523423329,0,1
1523427416,1,0
1523435096,0,1
1523443053,1,1
1523454541,3,0
1523458391,0,2
1523462228,3,0
1523469908,0,1
1523473743,5,2
1523477603,0,2
1523479487,2,1
1523483319,0,1
1523488158,1,1
1523492213,1,0
1523496039,2,0
1523500155,2,1
1523503967,1,1
1523505895,0,2
1523509728,1,1
1523513577,1,0
1523525241,2,0
1523529158,1,1
1523536848,1,0
1523540689,0,4
1523548358,1,3
1523552212,1,0
1523556048,1,0
1523560140,3,4
1523564702,0,1
1523566656,1,1
1523570516,1,0
1523575003,1,1
1523577443,0,1
1523581806,3,2
1523585571,0,3
1523589634,0,1
1523597306,0,1
1523601176,3,0
1523604988,1,0
1523608849,1,0
1523612673,0,2
1523616759,0,1
1523624693,2,1
1523632386,0,1
1523638123,2,1
1523639963,0,1
1523641960,0,1
1523645804,0,2
1523649651,2,0
1523653476,1,1
1523657333,1,1
1523661178,2,1
1523665023,2,0
1523672515,1,3
1523676393,0,1
1523680197,2,0
1523687912,0,4
1523695537,1,1
1523707502,1,0
1523711334,1,2
1523719010,1,0
1523722838,0,2
1523728593,2,0
1523732448,2,0
1523736287,0,2
1523740105,2,2
1523744203,1,0
1523748808,0,3
1523752586,0,1
1523756675,1,1
1523763871,0,2
1523771799,1,0
1523779310,0,1
1523894686,1,12
1523896606,1,0
1523924219,1,0
1523931903,1,0
1523935718,1,0
1523937903,1,0
1523941720,0,1
1523953238,1,0
1523957079,1,0
1523964778,1,0
1523976213,3,0
1523984206,1,1
1523995724,1,0
1524000284,1,0
1524010854,0,1
1524017308,1,1
1524021404,0,1
1524025260,0,1
1524029097,2,0
1524036764,1,0
1524040921,0,1
1524043453,0,1
1524047313,4,0
1524051272,1,1
1524055235,2,0
1524061532,0,3
1524065479,1,0
1524069409,2,0
1524073266,0,1
1524077086,1,0
1524080926,0,1
1524084770,1,1
1524093951,1,0
1524104212,0,1
1524108045,1,0
1524115700,1,2
1524119463,2,1
