DateTime,AddedIPs,RemovedIPs
1521366049,1,1
1521367955,1,0
1521369880,2,0
1521371797,2,1
1521375642,1,1
1521377586,0,1
1521379483,1,0
1521381385,2,2
1521383318,0,1
1521385288,1,1
1521389081,3,0
1521391001,1,1
1521394848,1,1
1521400614,2,2
1521402751,1,0
1521404669,1,2
1521406589,1,1
1521408505,0,1
1521410497,4,0
1521413744,2,0
1521415703,1,0
1521418597,1,1
1521420505,1,1
1521422428,1,1
1521424587,3,1
1521426506,0,1
1521428497,1,0
1521432270,1,2
1521434191,0,1
1521436099,1,0
1521444025,2,1
1521447864,1,0
1521449788,0,1
1521455546,3,0
1521457476,2,3
1521459375,0,1
1521461565,0,1
1521463465,1,0
1521465394,0,1
1521467304,4,1
1521469229,3,0
1521471144,1,1
1521474988,1,1
1521476912,0,2
1521478920,2,0
1521480753,1,1
1521482659,1,1
1521484590,1,0
1521486492,0,1
1521490725,1,1
1521492834,1,1
1521496586,1,2
1521498504,0,1
1521500547,0,1
1521502379,1,1
1521504185,1,1
1521506202,0,2
1521508107,2,0
1521510027,2,0
1521511950,1,1
1521513890,1,0
1521515785,4,0
1521517708,0,1
1521519620,1,2
1521523477,0,1
1521529310,1,0
1521531137,1,1
1521534975,0,2
1521536910,2,0
1521538817,1,0
1521540765,2,0
1521542656,0,4
1521544577,1,0
1521548429,0,2
1521550335,1,0
1521552275,2,0
1521554176,1,5
1521556092,0,1
1521558109,1,1
1521559939,1,0
1521561875,1,0
1521563773,1,0
1521565718,0,1
1521567616,0,1
1521570239,0,2
1521572384,2,0
1521574362,2,0
1521576384,2,0
1521578434,1,1
1521580599,0,1
1521582526,4,0
1521584418,4,0
1521586354,2,1
1521590530,1,2
1521594512,1,1
1521596432,1,2
1521598339,0,2
1521600273,1,1
1521602193,1,4
1521604099,3,0
1521606143,0,1
1521609874,1,0
1521611804,2,0
1521613697,0,1
1521615719,0,1
1521617557,0,1
1521619476,1,0
1521621377,2,0
1521625219,0,1
1521627153,0,2
1521629067,1,0
1521630991,0,1
1521632901,2,0
1521634833,0,1
1521636757,2,1
1521638677,2,0
1521640582,0,1
1521642516,2,0
1521644485,0,1
1521646354,0,1
1521648273,3,1
1521650220,0,1
1521652145,1,1
1521657867,1,1
1521659804,1,3
1521661891,0,1
1521664108,0,3
1521666098,2,0
1521668867,1,2
1521670975,2,3
1521672821,0,2
1521675589,1,1
1521677572,2,1
1521679482,1,0
1521682438,0,1
1521685726,2,2
1521687778,0,1
1521691486,0,2
1521695552,2,1
1521697467,0,1
1521699398,2,1
1521701577,0,1
1521707811,0,2
1521711894,0,1
1521715979,1,1
1521719802,0,2
1521721730,0,1
1521723703,1,2
1521725558,0,2
1521727500,0,1
1521733255,1,0
1521735497,2,4
1521737324,0,1
1521739231,2,1
1521746930,1,2
1521748932,1,0
1521751011,1,0
1521752935,1,2
1521754847,2,1
1521756751,2,2
1521758934,1,1
1521760836,1,0
1521762768,1,1
1521764684,1,3
1521766590,0,1
1521768524,4,0
1521770526,0,1
1521772370,1,0
1521776213,1,0
1521781961,2,1
1521783906,1,1
1521785809,0,2
1521787723,1,0
1521791559,1,2
1521793494,4,0
1521797322,2,0
1521805738,1,0
1521809798,0,2
1521815132,2,0
1521816988,1,1
1521818924,0,1
1521821091,1,2
1521823010,0,1
1521824938,2,0
1521826835,0,1
1521828765,1,0
1521830712,1,0
1521832597,0,1
1521834518,1,1
1521836680,0,1
1521838907,2,1
1521840756,0,3
1521842697,4,2
1521845719,12,2
1521847961,3,2
1521849886,1,0
1521851790,1,0
1521853715,2,1
1521857790,2,1
1521859717,1,0
1521861619,0,1
1521863554,2,1
1521865462,1,0
1521869549,0,2
1521871477,1,0
1521873634,0,1
1521877487,1,1
1521879393,1,1
1521881330,0,1
1521883232,1,0
1521885166,1,1
1521887084,1,0
1521888994,1,1
1521900514,2,1
1521902431,1,0
1521904361,2,2
1521906284,1,0
1521910117,0,1
1521914206,2,1
1521916110,0,1
1521918086,2,0
1521919970,2,0
1521921878,1,1
1521923831,0,1
1521925721,2,2
1521927646,0,1
1521929552,5,1
1521931470,1,11
1521933406,1,2
1521935309,1,2
1521937237,0,1
1521939146,0,1
1521941083,1,0
1521942989,1,2
1521944921,1,2
1521946947,0,1
1521951162,0,4
1521956924,1,1
1521963481,1,0
1521965323,0,1
1521977055,4,2
1521985314,3,0
1521988109,2,1
1521992540,1,5
1521994422,1,3
1521998256,0,1
1522000068,1,2
1522005732,2,2
1522008775,1,2
1522010774,0,2
1522012589,1,1
1522014757,4,1
1522016685,3,3
1522018580,0,2
1522020772,3,3
1522024584,1,1
1522026518,1,2
1522028434,0,1
1522030366,4,2
1522034209,0,1
1522039949,0,1
1522042002,1,0
1522044097,1,0
1522046048,1,0
1522047892,1,1
1522049794,0,1
1522051705,0,1
1522053623,1,0
1522057472,0,2
1522059417,1,1
1522061391,1,1
1522065153,0,1
1522068942,1,2
1522070911,0,1
1522073087,0,2
1522075012,0,1
1522076936,2,0
1522080874,1,1
1522084612,2,1
1522086532,2,1
1522090368,0,2
1522092280,1,1
1522096120,2,0
1522100303,2,2
1522102409,1,2
1522104540,0,2
1522107860,2,2
1522110149,1,0
1522112250,1,1
1522114103,1,0
1522116290,1,2
1522118184,2,1
1522120113,0,1
1522122042,1,0
1522123971,1,0
1522127811,1,0
1522131865,0,2
1522133781,1,1
1522141482,2,0
1522143410,1,0
1522145332,0,1
1522147949,0,2
1522149878,1,0
1522152131,1,0
1522154161,1,0
1522156101,0,2
1522160207,2,0
1522162126,0,1
1522164038,1,2
1522166222,8,1
1522168112,1,0
1522170102,0,2
1522171962,1,0
1522173898,0,1
1522175797,1,0
1522177733,1,0
1522181578,1,1
1522187337,1,1
1522189673,4,2
1522191827,2,1
1522193799,2,1
1522197636,0,1
1522199564,1,1
1522201758,2,1
1522204423,2,2
1522206295,0,1
1522211557,1,2
1522214305,1,0
1522220282,4,1
1522223633,2,0
1522229938,1,1
1522241108,2,24
1522243445,21,0
1522246774,0,2
1522249736,0,1
1522253635,0,10
