DateTime,AddedIPs,RemovedIPs
1521586355,8,3
1521588501,3,13
1521590532,4,12
1521592402,0,15
1521594512,4,15
1521596433,8,30
1521598339,3,30
1521600273,3,7
1521602194,7,17
1521604102,12,24
1521606144,19,14
1521607945,5,16
1521609874,29,21
1521611805,40,6
1521613698,25,9
1521615719,1,17
1521617558,4,19
1521619476,4,24
1521621377,3,26
1521623323,3,16
1521625220,1,9
1521627153,3,4
1521629068,3,22
1521630991,2,19
1521632901,1,7
1521634833,3,6
1521636757,3,12
1521638678,4,18
1521640582,5,5
1521642516,1,4
1521644486,9,18
1521646355,1,31
1521648274,2,44
1521650220,2,17
1521652146,3,2
1521654042,3,3
1521655959,2,10
1521657868,5,3
1521659805,9,4
1521661892,31,4
1521664109,13,2
1521666099,1,6
1521668868,3,26
1521670975,1,18
1521672821,0,5
1521675590,1,6
1521677572,2,2
1521679482,2,2
1521682439,2,10
1521685726,4,6
1521687779,1,2
1521689580,1,13
1521691487,1,24
1521693638,2,16
1521695553,4,17
1521697468,2,52
1521699399,4,49
1521701577,2,6
1521703641,4,7
1521705881,3,5
1521707812,4,4
1521709731,3,5
1521711895,4,2
1521713793,4,2
1521715980,5,3
1521717877,4,2
1521719803,3,2
1521721730,4,4
1521723704,11,4
1521725559,13,5
1521727500,32,3
1521729415,28,6
1521731344,15,6
1521733256,8,1
1521735498,14,2
1521737324,10,1
1521739232,3,3
1521741169,2,2
1521743089,4,3
1521744988,3,4
1521746931,3,21
1521748933,6,24
1521751012,26,14
1521752936,9,0
1521754847,20,2
1521756752,47,0
1521758935,29,0
1521760837,46,0
1521762769,51,0
1521764684,3,1
1521766590,5,3
1521768525,10,1
1521770526,15,3
1521772371,6,0
1521774283,5,1
1521776213,18,1
1521778133,13,0
1521780049,11,1
1521781962,33,5
1521783907,3,3
1521785810,11,3
1521787723,39,1
1521789649,32,2
1521791560,14,4
1521793495,3,2
1521795400,14,2
1521797323,10,1
1521799851,9,4
1521801887,3,5
1521803787,23,1
1521805738,13,4
1521807896,21,3
1521809798,15,6
1521811720,20,9
1521815133,35,44
1521816988,9,20
1521818924,17,2
1521821092,26,14
1521823011,45,5
1521824939,36,7
1521826836,13,1
1521828766,17,4
1521830714,17,3
1521832598,23,2
1521834519,23,4
1521836680,21,14
1521838908,21,11
1521840757,25,16
1521842698,45,23
1521845719,14,33
1521847962,11,39
1521849886,8,17
1521851790,9,4
1521853715,17,3
1521855872,44,16
1521857790,60,8
1521859718,29,2
1521861620,31,7
1521863555,19,15
1521865462,6,4
1521867503,21,22
1521869549,16,6
1521871477,19,4
1521873634,19,22
1521875566,21,29
1521877487,21,12
1521879394,12,7
1521881331,18,9
1521883233,3,10
1521885167,7,7
1521887084,17,4
1521888994,15,7
1521890914,11,10
1521892933,20,17
1521894756,9,8
1521896696,4,24
1521898592,8,14
1521900515,7,21
1521902432,4,13
1521904362,7,8
1521906284,2,18
1521908208,23,14
1521910118,10,40
