DateTime,AddedIPs,RemovedIPs
1523792431,4,6
1523793377,6,1
1523794597,9,10
1523795543,5,3
1523796257,5,5
1523796975,4,10
1523797695,2,7
1523798421,5,6
1523799140,7,5
1523799857,5,0
1523800839,5,15
1523801539,3,4
1523802261,5,5
1523803221,4,2
1523803935,6,0
1523804672,2,7
1523805382,4,7
1523806099,7,2
1523807065,9,4
1523808028,3,8
1523808988,11,0
1523809956,8,10
1523810670,7,0
1523811389,3,17
1523812100,2,10
1523813059,5,3
1523814025,12,8
1523814980,6,6
1523815947,4,9
1523816902,9,8
1523817865,6,8
1523818824,6,9
1523820042,4,6
1523820755,3,3
1523821457,1,9
1523822181,5,12
1523823147,15,7
1523824101,6,15
1523825309,8,16
1523826770,3,5
1523827467,2,9
1523828421,7,4
1523829135,6,0
1523829865,5,8
1523830586,6,5
1523831544,6,6
1523832512,5,6
1523833467,3,5
1523834438,5,4
1523835385,11,5
1523836347,5,0
1523837058,4,7
1523837777,8,1
1523838491,0,8
1523839220,5,7
1523840184,7,5
1523841147,16,5
1523841856,4,0
1523842576,8,14
1523843301,5,0
1523844280,13,21
1523845221,6,11
1523846195,7,11
1523847140,10,0
1523848123,9,22
1523849061,6,9
1523850030,5,2
1523850734,3,9
1523851461,6,0
1523852427,4,7
1523853139,5,6
1523853871,5,9
1523854571,3,0
1523855314,0,1
1523856260,8,14
1523857223,8,2
1523858178,6,5
1523859149,5,12
1523860099,4,5
1523860814,6,6
1523861548,3,8
1523862260,1,0
1523862991,2,6
1523863946,1,8
1523864657,7,50
1523865381,5,0
1523866095,3,7
1523866820,4,7
1523867537,1,15
1523868260,7,10
1523868974,9,0
1523869715,3,6
1523870660,11,3
1523871622,5,3
1523872335,3,4
1523873074,4,6
1523873774,5,2
1523874498,2,4
1523875460,9,5
1523876424,7,4
1523877391,4,5
1523878345,6,7
1523879303,12,5
1523880020,7,5
1523880754,6,7
1523881455,3,0
1523882188,5,11
1523883143,5,2
1523883859,8,7
1523884588,2,0
1523885291,10,3
1523886022,4,7
1523886979,7,4
1523887950,4,14
1523888903,6,15
1523889614,4,0
1523890342,8,0
1523891060,3,5
1523891779,4,3
1523892743,7,12
1523893712,10,10
1523894669,4,8
1523895625,11,9
1523896589,7,13
1523897546,7,1
1523898514,8,3
1523899462,9,3
1523900427,7,5
1523901139,4,7
1523901872,4,9
1523902582,5,14
1523903303,1,7
1523904268,11,10
1523905232,4,5
1523906196,7,8
1523907153,2,4
1523908112,6,8
1523908827,6,9
1523909559,4,11
1523910271,3,14
1523911000,4,0
1523911957,6,4
1523913655,8,16
1523914341,6,0
1523915057,4,3
1523916037,10,6
1523917003,9,9
1523918086,3,11
1523918733,3,4
1523919629,7,16
1523920358,5,0
1523921053,3,11
1523921771,5,6
1523922496,5,0
1523923237,1,39
1523923935,4,0
1523924679,4,6
1523925640,6,4
1523926598,7,8
1523927561,9,6
1523928518,7,13
1523929460,10,12
1523930421,9,2
1523931384,11,16
1523932340,12,12
1523933307,8,8
1523934284,7,11
1523935216,10,8
1523936182,3,7
1523937138,2,7
1523937871,7,14
1523938573,5,0
1523939293,4,9
1523940258,3,3
1523941234,6,12
1523942204,3,4
1523943159,10,7
1523944120,6,5
1523945087,5,92
1523946052,9,6
1523947000,1,8
1523947959,4,5
1523948654,5,7
1523949401,2,4
1523950086,7,0
1523950822,1,6
1523951796,5,2
1523952756,5,4
1523953717,8,6
1523954409,5,9
1523955137,2,6
1523955859,2,0
1523956589,5,2
1523957543,1,1
1523958250,5,6
1523958973,2,3
1523959691,2,0
1523960439,7,3
1523961388,9,5
1523962089,4,6
1523962820,3,8
1523963784,12,7
1523964487,2,8
1523965219,5,0
1523965930,3,4
1523966657,4,12
1523967391,6,3
1523968343,5,6
1523969057,2,0
1523969795,4,5
1523970494,1,7
1523971215,4,0
1523972188,9,7
1523972892,4,0
1523973619,8,4
1523974337,8,7
1523975055,4,8
1523976024,5,6
1523976985,9,7
1523977947,8,10
1523978901,6,3
1523979861,10,7
1523980835,1,8
1523981803,4,5
1523982751,6,6
1523983453,3,4
1523984171,11,7
1523984893,7,9
1523985617,3,8
1523986582,7,3
1523987542,7,6
1523988529,6,8
1523989457,8,2
1523990422,9,8
1523991378,6,0
1523992350,7,10
1523993054,2,0
1523993775,4,8
1523994754,4,8
1523995456,5,4
1523996207,7,9
1523997151,15,6
1523998849,67,5
1523999551,10,8
1524000257,6,10
1524000973,3,0
1524001693,6,7
1524002419,4,4
1524003385,2,8
1524004362,8,5
1524004980,6,7
1524005768,5,11
1524006505,5,0
1524007459,6,16
1524008418,6,0
1524009379,9,5
1524010090,4,5
1524010818,2,4
1524011539,3,16
1524012258,12,0
1524013728,12,18
1524015640,30,19
1524016598,9,12
1524017290,4,0
1524018013,2,22
1524018981,13,10
1524019935,13,5
1524020903,9,10
1524021854,8,7
1524022844,6,9
1524023892,5,7
1524024765,8,2
1524025717,6,16
1524026686,6,3
1524027637,8,4
1524028584,5,5
1524029559,7,6
1524030517,11,8
1524031487,4,6
1524032441,5,3
1524033402,3,8
1524034338,14,10
1524035325,6,6
1524036257,5,5
1524037237,3,4
1524038207,5,8
1524039156,4,8
1524039864,6,9
1524040893,6,7
1524041774,1,10
1524042516,0,15
1524043423,6,0
1524044174,10,0
1524044911,3,4
1524045872,7,5
1524046828,9,8
1524047789,7,9
1524048749,9,5
1524049711,2,7
1524050663,5,6
1524051627,3,5
1524052341,9,6
1524053080,4,12
1524054039,5,7
1524054981,6,0
1524055958,6,15
1524056667,2,0
1524057394,5,7
1524058101,8,4
1524058836,3,2
1524059569,4,0
1524060285,4,5
1524061480,5,7
1524062171,5,0
1524062891,9,10
1524063641,3,12
1524065327,12,10
1524066051,3,7
1524066996,7,3
1524067990,7,13
1524068915,15,7
1524069879,4,13
1524070573,7,0
1524071324,10,15
1524072007,8,0
1524072739,2,8
1524073706,10,7
1524074411,4,8
1524075140,2,0
1524075850,6,9
1524076572,5,5
1524077547,9,12
1524078253,4,6
1524078976,7,0
1524079689,3,12
1524080416,7,4
1524081383,10,3
1524082365,11,26
1524083297,6,5
1524084260,4,7
1524085246,12,4
1524085933,6,4
1524086677,5,6
1524088093,4,3
1524089079,3,11
1524090017,7,5
1524090799,5,6
1524091411,3,18
1524092424,3,0
1524093915,12,10
1524094825,9,14
1524095530,6,0
1524096272,3,0
1524097225,6,9
1524098197,5,11
1524098893,7,0
1524099874,12,20
1524100818,11,7
1524101536,11,6
1524102260,8,15
1524102968,7,0
1524103704,7,7
1524104653,13,6
1524105615,8,11
1524106575,5,13
1524107543,8,128
1524108503,12,10
1524109209,7,0
1524109959,6,8
1524110656,3,6
1524111389,4,2
1524112090,2,9
1524112825,4,3
1524113560,6,3
1524114254,10,5
1524114972,9,0
1524115943,8,7
1524116652,6,2
1524117397,5,2
1524118343,10,5
1524119050,32,7
1524119778,4,5
1524120493,6,13
1524121227,8,6
1524122187,12,5
1524122889,1,1
1524123650,6,3
1524124303,6,0
1524125324,3,12
1524126006,10,4
1524126760,4,6
1524127719,3,3
1524128684,2,6
1524129643,11,4
1524130358,6,5
1524131054,1,0
1524131769,2,3
1524132504,6,7
1524133207,12,4
1524133938,2,6
1524134653,6,6
1524135638,12,8
1524136589,10,6
1524137286,3,0
1524138012,2,5
1524138972,4,7
1524139946,11,4
1524140654,8,10
1524141378,4,3
1524142337,7,6
1524143327,6,3
1524144254,5,6
1524145221,6,11
1524145930,6,0
1524146661,2,10
