DateTime,AddedIPs,RemovedIPs
1523794597,68,53
1523795543,36,64
1523796257,59,50
1523796975,44,44
1523797695,49,37
1523798421,41,67
1523799140,66,39
1523799857,38,54
1523800839,69,38
1523801539,72,52
1523802261,55,44
1523803221,63,62
1523803935,54,51
1523804672,43,96
1523805382,101,57
1523806099,75,49
1523807065,46,56
1523808028,49,41
1523808988,50,35
1523809956,42,56
1523810670,57,70
1523811389,66,66
1523812100,66,29
1523813059,32,48
1523814025,64,66
1523814980,55,74
1523815947,64,31
1523816902,45,71
1523817865,54,82
1523818824,73,104
1523820042,114,54
1523820755,39,71
1523821457,51,51
1523822181,61,84
1523823147,84,70
1523824101,60,61
1523825309,62,55
1523826770,49,88
1523827467,43,46
1523828421,50,58
1523829135,30,65
1523829865,60,38
1523830586,56,47
1523831544,47,43
1523832512,48,70
1523833467,68,38
1523834438,33,51
1523835385,61,64
1523836347,46,55
1523837058,41,31
1523837777,36,45
1523838491,35,41
1523839220,44,41
1523840184,54,70
1523841147,70,36
1523841856,33,77
1523842576,83,41
1523843301,46,80
1523844280,67,58
1523845221,47,63
1523846195,52,22
1523847140,39,43
1523848123,37,96
1523849061,87,59
1523850030,58,61
1523850734,48,44
1523851461,52,61
1523852427,65,72
1523853139,47,39
1523853871,47,47
1523854571,41,54
1523855314,44,54
1523856260,54,69
1523857223,82,43
1523858178,46,75
1523859149,68,53
1523860099,51,47
1523860814,44,43
1523861548,43,44
1523862260,40,18
1523862991,24,52
1523863946,63,75
1523864657,61,46
1523865381,54,44
1523866095,47,37
1523866820,36,93
1523867537,80,48
1523868260,61,29
1523868974,48,63
1523869715,57,45
1523870660,56,70
1523871622,65,33
1523872335,36,31
1523873074,35,29
1523873774,32,41
1523874498,37,36
1523875460,49,36
1523876424,45,62
1523877391,52,62
1523878345,62,61
1523879303,65,49
1523880020,40,54
1523880754,57,100
1523881455,98,72
1523882188,77,22
1523883143,43,56
1523883859,51,37
1523884588,24,72
1523885291,93,62
1523886022,54,46
1523886979,56,49
1523887950,50,71
1523888903,76,60
1523889614,56,49
1523890342,55,44
1523891060,47,46
1523891779,45,43
1523892743,61,69
1523893712,58,55
1523894669,45,49
1523895625,56,64
1523896589,56,62
1523897546,58,46
1523898514,71,35
1523899462,40,66
1523900427,58,67
1523901139,67,51
1523901872,40,19
1523902582,36,70
1523903303,48,35
1523904268,62,52
1523905232,52,56
1523906196,67,46
1523907153,36,68
1523908112,72,65
1523908827,48,53
1523909559,50,34
1523910271,26,67
1523911000,56,34
1523911957,42,47
1523913655,64,67
1523914341,39,34
1523915057,32,46
1523916037,53,44
1523917003,49,60
1523918086,45,43
1523918733,36,32
1523919629,44,44
1523920358,30,45
1523921053,48,36
1523921771,36,45
1523922496,44,45
1523923237,35,41
1523923935,38,46
1523924679,38,29
1523925640,43,49
1523926598,44,57
1523927561,44,49
1523928518,47,75
1523929460,66,33
1523930421,39,84
1523931384,75,51
1523932340,56,64
1523933307,60,46
1523934284,44,35
1523935216,46,65
1523936182,58,72
1523937138,64,61
1523937871,49,44
1523938573,50,105
1523939293,84,48
1523940258,68,60
1523941234,53,40
1523942204,29,79
1523943159,79,41
1523944120,58,52
1523945087,50,84
1523946052,81,84
1523947000,82,58
1523947959,64,92
1523948654,66,68
1523949401,59,43
1523950086,92,66
1523950822,59,39
1523951796,36,67
1523952756,75,67
1523953717,66,72
1523954409,86,51
1523955137,61,70
1523955859,51,37
1523956589,46,75
1523957543,67,52
1523958250,61,53
1523958973,50,49
1523959691,54,33
1523960439,45,63
1523961388,71,81
1523962089,71,61
1523962820,63,69
1523963784,96,48
1523964487,37,59
1523965219,70,42
1523965930,33,32
1523966657,34,55
1523967391,63,52
