DateTime,AddedIPs,RemovedIPs
1523503853,1,7
1523504748,5,0
1523506142,3,14
1523508057,3,4
1523509553,13,1
1523510456,4,0
1523511647,2,6
1523512534,1,0
1523514483,0,944
1523515820,947,0
1523516785,1,2
1523517662,4,0
1523518848,7,7
1523520562,7,3
1523522411,3,19
1523524489,6,5
1523525327,6,0
1523526168,0,945
1523526997,945,0
1523528120,3,0
1523529025,6,22
1523530596,6,4
1523531459,5,0
1523532990,6,7
1523533832,1,0
1523534172,1,0
1523535298,2,5
1523536993,12,2
1523538299,2,3
1523539413,6,0
1523540619,13,9
1523542269,22,0
1523543338,7,0
1523544198,5,1
1523545005,3,4
1523546169,6,0
1523547754,5,20
1523549707,5,7
1523552751,20,7
1523553990,11,0
1523555104,15,13
1523556907,17,9
1523557714,10,0
1523558552,8,0
1523559379,0,1029
1523560566,1031,0
1523562051,3,1
1523563853,8,4
1523564914,0,1037
1523565775,1050,0
1523567151,8,3
1523568900,7,2
1523570061,2,0
1523571285,1,6
1523583302,0,1057
1523583750,990,0
1523585642,0,990
1523586942,950,0
1523588717,0,950
1523590251,931,0
1523591792,0,931
1523592876,922,0
1523594450,1,4
1523595942,0,2
1523598160,3,7
1523599866,3,15
1523601802,5,2
1523603138,2,0
1523604526,2,0
1523605922,2,6
1523607268,7,17
1523608950,1,14
1523609787,1,0
1523610858,0,882
1523611714,875,0
1523613318,0,875
1523614487,862,0
1523615788,2,9
1523617559,6,4
1523618908,4,0
1523620180,3,17
1523621448,2,13
1523622646,4,21
1523624164,3,8
1523625339,2,9
1523626959,3,8
1523628650,2,9
1523629717,3,0
1523631957,6,16
1523633315,4,0
1523634824,3,7
1523637252,2,13
1523638534,0,777
1523639714,775,0
1523640507,2,0
1523642196,3,10
1523643340,3,4
1523644841,0,14
1523646214,5,14
1523647481,9,0
1523647731,1,0
1523649037,95,16
1523650481,6,8
1523651744,1,11
1523652988,5,1
1523654142,2,2
1523655654,11,3
1523657269,16,7
1523659351,9,12
1523660751,3,7
1523662519,0,837
1523662966,831,0
1523664638,3,5
1523666592,3,21
1523667769,6,12
1523670635,5,12
1523671843,6,1
1523673038,9,1
1523675199,31,4
1523676507,6,1
1523677359,7,5
1523679056,8,12
1523680963,9,12
1523681795,8,0
1523682876,5,1
1523684149,5,7
1523685864,19,2
1523687672,20,8
1523689552,6,5
1523690079,1,0
1523691763,2,4
1523693270,0,877
1523695005,874,0
1523696189,1,0
1523697347,1,20
1523698531,0,11
1523699727,2,4
1523700944,2,4
1523702568,4,9
1523703938,10,4
1523706338,9,14
1523707709,3,3
1523708880,5,0
1523710592,8,12
1523711721,0,838
1523713245,811,0
1523714377,4,12
1523715267,4,0
1523716965,4,9
1523718339,5,2
1523720324,4,7
1523722119,7,15
1523723307,5,0
1523724579,4,36
1523725866,0,767
1523727051,738,0
1523728290,1,10
1523728594,5,0
1523729742,6,6
1523731251,25,4
1523732746,34,4
1523734963,11,18
1523736241,8,8
1523737419,11,0
1523739388,9,6
1523740543,8,2
1523742348,6,11
1523743826,7,0
1523745055,6,0
1523746607,3,0
1523747741,3,0
1523749237,0,812
1523751049,818,0
1523752539,2,0
1523753797,3,1
1523754936,7,0
1523755719,3,0
1523756567,2,1
1523758248,2,5
1523760171,4,3
1523760987,2,0
1523762143,4,2
1523762907,2,0
1523764990,9,5
1523767364,9,2
1523768621,7,1
1523770245,7,4
1523772608,0,857
1523774554,861,0
1523775772,9,3
1523777145,1,0
1523778143,0,868
1523781053,868,0
1523782363,9,3
1523783668,8,5
1523786135,12,3
1523787341,4,2
1523788947,5,5
1523790347,8,5
1523791724,3,0
1523793400,5,6
1523794543,2,2
1523795736,5,3
1523796935,4,1
1523798085,4,5
1523799762,3,5
1523801443,3,5
1523802663,2,4
1523803354,0,1
1523804682,1,1
1523805781,4,0
1523806955,2,2
1523808654,4,3
1523809707,5,0
1523811298,5,7
1523812538,0,3
1523814153,2,3
1523815840,3,4
1523817759,2,21
1523818928,2,9
1523820036,1,1
1523821238,3,3
1523823040,0,867
1523824330,864,0
1523825837,1,6
1523826966,5,11
1523827711,1,0
1523830247,6,13
1523832180,6,5
1523833469,4,4
1523834617,1,1
1523835765,5,7
1523837682,4,4
1523839365,4,3
1523840202,1,0
1523841345,5,4
1523842533,2,21
1523843735,2,12
1523844937,1,15
1523846130,0,12
1523847950,1,12
1523850168,3,12
1523851844,2,9
1523853113,1,12
1523855143,3,20
1523856508,1,0
1523857348,1,22
1523859046,1,7
1523860959,2,6
1523861786,0,709
1523863729,710,0
1523864849,1,4
1523866245,5,4
1523867920,3,5
1523869536,6,5
1523870908,3,1
1523872371,8,3
1523873594,1,8
1523875348,0,15
1523877279,10,2
1523879085,13,9
1523879798,5,0
1523880851,0,709
1523882000,703,0
1523882558,1,0
1523883774,6,4
1523884881,4,0
1523885308,2,0
1523886992,5,4
1523888080,1,3
1523889646,2,3
1523891141,5,15
1523892278,2,0
1523893478,10,12
1523895279,14,3
1523896533,10,4
1523898346,26,6
1523899824,6,24
1523900532,0,719
1523902248,700,0
1523904149,12,13
1523905452,0,699
1523906593,700,0
1523907748,6,11
1523909023,2,7
1523911355,6,11
1523913348,6,7
1523914115,4,0
1523914960,8,6
1523916872,9,3
1523918450,17,5
1523919945,16,3
1523922349,49,4
1523923840,7,3
1523924931,3,0
1523926437,5,8
1523927747,3,4
1523929545,11,2
1523931283,0,778
1523933787,778,0
1523934937,10,8
1523935721,17,0
1523937392,31,11
1523938539,20,6
1523939328,10,0
1523940633,21,14
1523942078,3,2
1523943748,4,2
1523944600,6,1
1523945744,1,9
1523946529,4,0
1523947356,6,4
1523948739,18,3
1523950108,17,1
1523951739,11,8
1523952939,5,12
1523954332,3,10
1523956493,12,8
1523958060,3,9
1523959441,2,15
1523961637,7,10
1523963750,13,2
1523965537,9,8
1523966845,4,4
1523968947,11,5
1523969792,1,0
1523970943,6,3
1523971716,4,0
1523974247,11,5
1523975730,8,1
1523976927,10,1
1523978067,8,3
1523979413,7,8
1523980538,1,1
1523981715,0,908
1523982510,912,0
1523983728,12,1
1523984866,2,3
1523986539,9,3
1523987735,11,0
1523988884,5,2
1523989710,3,0
1523990565,5,1
1523991949,7,4
1523993319,4,1
1523994937,2,1
1523996087,5,0
1523996925,3,0
1523997755,5,3
1523999136,7,4
1523999668,3,0
1524000928,2,2
1524003052,6,6
1524004110,2,0
1524006315,0,974
1524008451,987,0
1524009388,6,0
1524010554,12,7
1524011735,5,3
1524013531,6,2
1524015067,14,2
1524016313,1,0
1524017440,1,2
1524018518,2,0
1524020187,2,3
1524021269,3,1
1524022956,6,2
1524023796,2,0
1524024941,5,2
1524026549,6,2
1524027947,3,4
1524029311,7,0
1524030420,5,1
1524031829,6,2
1524033374,6,3
1524035135,1,3
1524035681,2,0
1524037366,5,2
1524038202,2,0
1524039271,4,2
1524040542,3,4
1524042941,5,10
1524044737,6,4
1524046242,3,2
1524047847,11,6
1524048995,7,1
1524050137,8,14
1524051341,5,8
1524051768,5,4
1524053669,17,7
1524054933,11,8
1524055360,3,0
1524057267,11,2
1524058121,5,0
1524059792,14,2
1524060886,9,5
1524062559,12,11
1524064468,3,7
1524065306,2,0
1524066163,0,6
1524068068,5,20
1524069286,3,8
1524069759,1,3
1524071140,4,9
1524073538,8,11
1524075047,6,9
1524076588,6,70
1524077787,2,0
1524078937,3,2
1524081865,7,6
1524083308,3,0
1524084675,1,4
1524085843,3,5
1524086883,0,1000
1524088595,989,0
1524089682,4,11
1524091250,3,36
1524092752,3,14
1524094250,4,4
1524095429,6,0
1524096640,4,8
1524097858,7,5
1524099337,1,1
1524100468,1,8
1524101735,4,2
1524104069,2,12
1524105753,4,21
1524107139,2,25
1524109237,5,39
1524111040,7,18
1524112260,3,3
1524113437,6,0
1524114878,4,8
1524116549,9,8
1524118486,4,16
1524119724,2,24
1524120890,0,1
1524122153,1,9
1524122930,0,0
1524124536,1,7
1524126508,4,6
1524127356,9,10
1524128709,3,2
1524130833,5,10
1524132657,12,7
1524135332,19,15
1524136544,15,4
1524138185,16,7
1524139849,9,8
1524141746,16,8
1524143686,8,7
1524145239,4,13
1524147045,5,5
1524148959,8,15
1524150339,1,1
1524151727,2,0
1524152549,0,13
1524153390,3,0
1524155327,3,8
1524156656,3,14
1524157857,7,7
1524159292,5,12
1524161677,9,6
1524163254,5,7
1524164375,0,782
1524165614,852,0
1524166947,6,13
1524168189,7,6
1524169707,8,1
1524171040,8,5
1524172159,4,6
1524172482,2,0
1524174040,3,2
1524175856,7,2
1524177647,15,15
1524179135,0,862
1524181362,848,0
1524183057,10,7
1524184861,17,13
1524186365,11,4
1524187543,8,0
1524190481,10,9
1524191309,4,1
1524194070,14,14
1524195261,4,5
1524196605,4,5
1524197740,2,3
1524198594,2,9
1524200765,9,13
1524201276,0,860
1524204647,867,0
1524206568,10,5
1524207943,2,6
1524210148,6,6
1524210993,1,0
1524212925,8,3
1524214364,11,7
1524215569,6,6
1524217367,11,11
1524219268,10,8
