DateTime,AddedIPs,RemovedIPs
1522974683,1,0
1522976242,1,0
1522981096,1,1
1522982110,0,3
1522986167,1,0
1522988080,1,0
1522991686,0,1
1522994770,1,0
1522995664,1,0
1522996985,0,3
1522999897,0,1
1523000576,1,0
1523004623,5,1
1523005565,1,0
1523009443,2,0
1523011354,0,1
1523013348,3,0
1523014282,1,0
1523016643,1,0
1523018115,3,1
1523019090,0,1
1523020962,1,0
1523028461,4,2
1523029354,0,12
1523030401,0,2
1523031349,6,0
1523032312,1,1
1523034194,0,1
1523035247,6,0
1523037041,1,1
1523037947,0,1
1523040995,1,1
1523042360,1,0
1523048917,0,1
1523052362,1,0
1523054144,1,0
1523056532,1,0
1523062547,3,2
1523063745,0,1
1523065410,0,1
1523067048,1,0
1523074249,0,1
1523076052,0,2
1523081677,0,1
1523083354,1,0
1523085373,0,1
1523086959,0,1
1523091942,1,2
1523097099,3,1
1523097946,0,1
1523100660,0,1
1523101357,1,0
1523103283,2,0
1523105711,1,0
1523108635,0,1
1523110473,2,0
1523117454,0,13
1523118333,4,0
1523124456,2,5
1523127951,1,2
1523130633,1,0
1523136046,3,3
1523140961,1,0
1523144257,3,3
1523145604,1,0
1523147696,2,1
1523150145,0,1
1523152593,1,2
1523153684,1,1
1523154644,0,2
1523155354,1,0
1523157044,1,0
1523158542,1,1
1523169770,1,0
1523171754,1,0
1523173355,1,3
1523174389,0,4
1523177136,1,7
1523182245,5,1
1523183749,0,2
1523189131,5,3
1523193287,1,0
1523194533,1,1
1523196456,0,1
1523196885,1,0
1523204160,4,15
1523205941,0,1
1523211047,1,1
1523214847,1,0
1523220352,1,8
1523225092,0,2
1523227377,1,1
1523230253,0,3
1523231808,0,1
1523233724,1,0
1523236249,1,1
1523240073,0,1
1523241655,2,0
1523247285,3,0
1523254254,0,1
1523256280,1,0
1523266254,0,3
1523267813,2,1
1523270070,1,0
1523275561,2,2
1523276455,1,0
1523277769,2,0
1523278602,1,0
1523280522,0,1
1523281373,2,1
1523282204,1,0
1523285161,1,0
1523286880,1,1
1523288374,1,4
1523290247,0,1
1523291458,0,1
1523293320,1,0
1523297466,2,2
1523303167,0,1
1523307976,2,1
1523310176,0,1
1523313000,1,4
1523318792,1,3
1523322884,1,0
1523324575,1,0
1523326248,0,1
1523328062,0,1
1523330092,1,0
1523331759,1,0
1523340669,0,1
1523344847,1,2
1523346999,0,1
1523351197,2,2
1523356458,0,2
1523363704,0,1
1523364550,3,0
1523367409,0,1
1523371374,1,0
1523374847,0,10
1523376584,13,1
1523377827,4,1
1523380482,2,0
1523383185,0,1
1523389542,0,1
1523391278,1,0
1523392981,1,1
1523395714,1,0
1523398481,2,0
1523400765,1,0
1523405380,1,4
1523406345,2,0
1523407251,3,0
1523408142,2,0
1523410886,1,2
1523412655,0,1
1523414133,1,1
1523420114,1,2
1523421968,3,0
1523426981,2,2
1523433407,1,0
1523434277,2,1
1523435314,1,0
1523438690,1,2
1523439938,2,2
1523441732,1,2
1523444195,1,0
1523446972,1,2
1523447987,1,1
1523448891,3,0
1523449911,0,1
1523450764,0,1
1523451579,0,1
1523453474,1,0
1523454942,1,0
1523455855,4,0
1523457676,0,4
1523460513,1,0
1523461557,2,0
1523463049,1,1
1523463962,3,0
1523464843,0,1
1523465806,1,1
1523466690,1,0
1523467535,1,0
1523473717,1,1
1523475764,1,0
1523477502,2,1
1523480816,1,0
1523483007,1,1
1523484211,0,1
1523487354,1,0
1523488605,1,0
1523489524,1,0
1523490386,1,0
1523491879,5,1
1523494595,0,1
1523498205,1,1
1523500965,3,1
1523502708,1,0
1523506178,0,1
1523509608,1,0
1523515842,0,1
1523520602,0,1
1523522449,5,0
1523524497,4,0
1523535309,0,3
1523537010,0,1
1523538315,1,0
1523540628,0,1
1523547760,0,17
1523549731,5,0
1523552771,2,1
1523555134,1,0
1523560608,1,0
1523563868,0,1
1523565788,2,1
1523567171,0,1
1523568912,1,1
1523571295,0,1
1523590261,6,10
1523591794,0,1
1523594455,0,1
1523595950,1,0
1523598166,3,0
1523599890,1,1
1523603144,2,2
1523604532,1,0
1523605928,2,1
1523607274,1,1
1523609793,4,0
1523610868,1,1
1523611720,1,0
1523613333,2,1
1523615794,1,1
1523617586,1,0
1523618914,2,0
1523620188,0,2
1523621466,1,0
1523622655,0,1
1523624170,0,1
1523625345,0,1
1523626979,0,1
1523628667,2,0
1523631980,2,0
1523633321,2,0
1523634830,0,15
1523637265,1,4
1523638553,1,0
1523643348,0,1
1523644856,5,0
1523646232,3,1
1523647737,4,0
1523649043,2,2
1523650487,1,0
1523651752,2,1
1523652999,0,1
1523654153,5,0
1523657287,1,1
1523659357,2,2
1523660791,1,4
1523662537,2,0
1523662983,0,2
1523666602,2,0
1523667795,1,1
1523670641,1,2
1523671860,2,1
1523675234,1,0
1523681800,1,0
1523690085,1,0
1523691784,2,5
1523693290,1,0
1523695011,3,0
1523696194,12,0
1523697354,1,0
1523706344,1,1
1523708886,1,0
1523710597,0,1
1523711736,1,0
1523720329,1,10
1523722140,0,2
1523723312,1,0
1523724589,0,1
1523728306,1,0
1523729747,0,1
1523731257,1,1
1523732765,1,0
1523734984,1,0
1523739393,0,1
1523742410,0,2
1523745081,1,0
1523746613,1,0
1523747749,1,0
1523751081,4,0
1523754942,0,1
1523758287,2,1
1523760189,2,1
1523762913,3,0
1523765015,3,0
1523767388,1,4
1523773839,1,2
1523775805,1,2
1523777176,1,0
1523781072,2,2
1523782373,1,0
1523783674,0,1
1523787349,2,1
1523788952,1,1
1523790368,1,0
1523791732,1,0
1523794549,1,0
1523796940,3,0
1523798097,1,0
1523799782,1,2
1523801451,0,2
1523804716,2,0
1523806050,2,0
1523807435,0,11
1523808927,4,1
1523811312,1,0
1523812544,0,1
1523814176,0,5
1523815846,1,4
1523817765,2,3
1523818960,1,0
1523820616,1,4
1523822111,1,0
1523823305,1,4
1523826331,3,1
1523830436,1,3
1523832194,1,1
1523833492,0,1
1523835784,2,2
1523837688,1,1
1523839371,0,1
1523840210,2,0
1523841351,1,0
1523842539,0,2
1523846136,0,2
1523847957,2,0
1523850174,0,1
1523851850,1,0
1523855149,2,1
1523860965,0,2
1523863735,1,0
1523864855,1,3
1523866252,0,12
1523867926,2,1
1523870914,1,0
1523875353,1,1
1523877286,1,0
1523879091,1,1
1523879804,1,0
1523880864,1,0
1523882033,1,0
1523886998,0,2
1523888086,1,0
1523889652,0,1
1523891148,1,0
1523893483,1,1
1523895286,5,1
1523896539,0,2
1523898352,0,1
1523899839,2,1
1523902254,1,1
1523904155,0,1
1523905468,1,0
1523911361,1,0
1523914121,3,0
1523914965,0,1
1523916879,1,1
1523918456,0,2
1523919951,0,1
1523924937,1,0
1523926443,2,0
1523927753,0,1
1523929552,0,2
1523933134,1,3
1523933793,1,0
1523934943,0,1
1523938545,2,1
1523940639,1,0
1523945750,0,1
1523948759,1,0
1523952946,0,1
1523954342,1,0
1523958083,0,2
1523960076,1,0
1523961643,0,1
1523963761,1,0
1523965543,1,0
1523966860,1,1
1523968952,0,1
1523969797,1,0
1523970949,0,2
1523974253,1,1
1523975735,0,1
1523979425,0,16
1523980544,2,0
1523981735,4,1
1523984872,0,1
1523986547,0,3
1523988890,0,1
1523990570,1,0
1523991955,0,2
1523993325,1,0
1523994943,0,3
1523996930,1,0
1523997761,0,1
1523999143,2,1
1524000934,0,1
1524006339,4,0
1524008457,0,2
1524010559,0,2
1524011741,0,1
1524013551,2,0
1524016319,1,0
1524018524,2,0
1524020193,0,2
1524022963,1,1
1524024951,0,2
1524026555,1,0
1524030428,1,0
1524031840,3,0
1524033387,0,1
1524035146,1,1
1524039277,4,0
1524042947,1,0
1524044743,1,1
1524046247,1,0
1524050144,1,0
1524051347,2,1
1524057273,1,0
1524059797,1,0
1524060892,1,0
1524062565,2,1
1524064474,2,1
1524066168,2,14
1524068074,3,0
1524069292,5,2
1524069765,1,0
1524073546,1,2
1524075052,1,1
1524077793,1,0
1524081887,1,0
1524084697,2,3
1524085849,0,1
1524092782,1,0
1524094257,1,0
1524096646,4,1
1524099344,1,0
1524100474,1,0
1524101741,1,1
1524104076,1,1
1524109243,1,2
1524111046,1,0
1524112278,2,0
1524119735,1,0
1524120896,3,0
1524122160,0,1
1524122936,0,0
1524124542,1,0
1524126514,2,0
1524128724,0,1
1524130838,1,0
1524135337,1,0
1524138208,1,2
1524139855,1,0
1524141752,1,0
1524143692,1,0
1524148965,3,0
1524150345,1,1
1524151792,2,11
1524155395,2,1
1524156662,1,0
1524157891,0,1
1524159303,1,1
1524161683,2,1
1524165632,1,0
1524166953,0,1
1524168219,3,1
1524171045,0,1
1524172187,1,0
1524174057,1,2
1524176129,1,4
1524181378,4,1
1524183084,2,2
1524184878,3,0
1524186394,0,1
1524190489,1,2
1524191315,1,0
1524194076,0,2
1524196612,1,1
1524197752,1,1
1524200786,1,0
1524204666,1,2
1524207955,1,0
1524211000,1,0
1524212931,3,3
1524214370,1,1
1524215596,1,0
