DateTime,Entries,UniqueIPs
1522973696,94,94
1522974683,95,95
1522976242,96,96
1522981096,96,96
1522982110,93,93
1522986167,94,94
1522988080,95,95
1522991686,94,94
1522994770,95,95
1522995664,96,96
1522996985,93,93
1522999897,92,92
1523000576,93,93
1523004623,97,97
1523005565,98,98
1523009443,100,100
1523011354,99,99
1523013348,102,102
1523014282,103,103
1523016643,104,104
1523018115,106,106
1523019090,105,105
1523020962,106,106
1523028461,108,108
1523029354,96,96
1523030401,94,94
1523031349,100,100
1523032312,100,100
1523034194,99,99
1523035247,105,105
1523037041,105,105
1523037947,104,104
1523040995,104,104
1523042360,105,105
1523048917,104,104
1523052362,105,105
1523054144,106,106
1523056532,107,107
1523062547,108,108
1523063745,107,107
1523065410,106,106
1523067048,107,107
1523074249,106,106
1523076052,104,104
1523081677,103,103
1523083354,104,104
1523085373,103,103
1523086959,102,102
1523091942,101,101
1523097099,103,103
1523097946,102,102
1523100660,101,101
1523101357,102,102
1523103283,104,104
1523105711,105,105
1523108635,104,104
1523110473,106,106
1523117454,93,93
1523118333,97,97
1523124456,94,94
1523127951,93,93
1523130633,94,94
1523136046,94,94
1523140961,95,95
1523144257,95,95
1523145604,96,96
1523147696,97,97
1523150145,96,96
1523152593,95,95
1523153684,95,95
1523154644,93,93
1523155354,94,94
1523157044,95,95
1523158542,95,95
1523169770,96,96
1523171754,97,97
1523173355,95,95
1523174389,91,91
1523177136,85,85
1523182245,89,89
1523183749,87,87
1523189131,89,89
1523193287,90,90
1523194533,90,90
1523196456,89,89
1523196885,90,90
1523204160,79,79
1523205941,78,78
1523211047,78,78
1523214847,79,79
1523220352,72,72
1523225092,70,70
1523227377,70,70
1523230253,67,67
1523231808,66,66
1523233724,67,67
1523236249,67,67
1523240073,66,66
1523241655,68,68
1523247285,71,71
1523254254,70,70
1523256280,71,71
1523266254,68,68
1523267813,69,69
1523270070,70,70
1523275561,70,70
1523276455,71,71
1523277769,73,73
1523278602,74,74
1523280522,73,73
1523281373,74,74
1523282204,75,75
1523285161,76,76
1523286880,76,76
1523288374,73,73
1523290247,72,72
1523291458,71,71
1523293320,72,72
1523297466,72,72
1523303167,71,71
1523307976,72,72
1523310176,71,71
1523313000,68,68
1523318792,66,66
1523322884,67,67
1523324575,68,68
1523326248,67,67
1523328062,66,66
1523330092,67,67
1523331759,68,68
1523340669,67,67
1523344847,66,66
1523346999,65,65
1523351197,65,65
1523356458,63,63
1523363704,62,62
1523364550,65,65
1523367409,64,64
1523371374,65,65
1523374847,55,55
1523376584,67,67
1523377827,70,70
1523380482,72,72
1523383185,71,71
1523389542,70,70
1523391278,71,71
1523392981,71,71
1523395714,72,72
1523398481,74,74
1523400765,75,75
1523405380,72,72
1523406345,74,74
1523407251,77,77
1523408142,79,79
1523410886,78,78
1523412655,77,77
1523414133,77,77
1523420114,76,76
1523421968,79,79
1523426981,79,79
1523433407,80,80
1523434277,81,81
1523435314,82,82
1523438690,81,81
1523439938,81,81
1523441732,80,80
1523444195,81,81
1523446972,80,80
1523447987,80,80
1523448891,83,83
1523449911,82,82
1523450764,81,81
1523451579,80,80
1523453474,81,81
1523454942,82,82
1523455855,86,86
1523457676,82,82
1523460513,83,83
1523461557,85,85
1523463049,85,85
1523463962,88,88
1523464843,87,87
1523465806,87,87
1523466690,88,88
1523467535,89,89
1523473717,89,89
1523475764,90,90
1523477502,91,91
1523480816,92,92
1523483007,92,92
1523484211,91,91
1523487354,92,92
1523488605,93,93
1523489524,94,94
1523490386,95,95
1523491879,99,99
1523494595,98,98
1523498205,98,98
1523500965,100,100
1523502708,101,101
1523506178,100,100
1523509608,101,101
1523515842,100,100
1523520602,99,99
1523522449,104,104
1523524497,108,108
1523535309,105,105
1523537010,104,104
1523538315,105,105
1523540628,104,104
1523547760,87,87
1523549731,92,92
1523552771,93,93
1523555134,94,94
1523560608,95,95
1523563868,94,94
1523565788,95,95
1523567171,94,94
1523568912,94,94
1523571295,93,93
1523590261,89,89
1523591794,88,88
1523594455,87,87
1523595950,88,88
1523598166,91,91
1523599890,91,91
1523603144,91,91
1523604532,92,92
1523605928,93,93
1523607274,93,93
1523609793,97,97
1523610868,97,97
1523611720,98,98
1523613333,99,99
1523615794,99,99
1523617586,100,100
1523618914,102,102
1523620188,100,100
1523621466,101,101
1523622655,100,100
1523624170,99,99
1523625345,98,98
1523626979,97,97
1523628667,99,99
1523631980,101,101
1523633321,103,103
1523634830,88,88
1523637265,85,85
1523638553,86,86
1523643348,85,85
1523644856,90,90
1523646232,92,92
1523647737,96,96
1523649043,96,96
1523650487,97,97
1523651752,98,98
1523652999,97,97
1523654153,102,102
1523657287,102,102
1523659357,102,102
1523660791,99,99
1523662537,101,101
1523662983,99,99
1523666602,101,101
1523667795,101,101
1523670641,100,100
1523671860,101,101
1523675234,102,102
1523681800,103,103
1523690085,104,104
1523691784,101,101
1523693290,102,102
1523695011,105,105
1523696194,117,117
1523697354,118,118
1523706344,118,118
1523708886,119,119
1523710597,118,118
1523711736,119,119
1523720329,110,110
1523722140,108,108
1523723312,109,109
1523724589,108,108
1523728306,109,109
1523729747,108,108
1523731257,108,108
1523732765,109,109
1523734984,110,110
1523739393,109,109
1523742410,107,107
1523745081,108,108
1523746613,109,109
1523747749,110,110
1523751081,114,114
1523754942,113,113
1523758287,114,114
1523760189,115,115
1523762913,118,118
1523765015,121,121
1523767388,118,118
1523773839,117,117
1523775805,116,116
1523777176,117,117
1523781072,117,117
1523782373,118,118
1523783674,117,117
1523787349,118,118
1523788952,118,118
1523790368,119,119
1523791732,120,120
1523794549,121,121
1523796940,124,124
1523798097,125,125
1523799782,124,124
1523801451,122,122
1523804716,124,124
1523806050,126,126
1523807435,115,115
1523808927,118,118
1523811312,119,119
1523812544,118,118
1523814176,113,113
1523815846,110,110
1523817765,109,109
1523818960,110,110
1523820616,107,107
1523822111,108,108
1523823305,105,105
1523826331,107,107
1523830436,105,105
1523832194,105,105
1523833492,104,104
1523835784,104,104
1523837688,104,104
1523839371,103,103
1523840210,105,105
1523841351,106,106
1523842539,104,104
1523846136,102,102
1523847957,104,104
1523850174,103,103
1523851850,104,104
1523855149,105,105
1523860965,103,103
1523863735,104,104
1523864855,102,102
1523866252,90,90
1523867926,91,91
1523870914,92,92
1523875353,92,92
1523877286,93,93
1523879091,93,93
1523879804,94,94
1523880864,95,95
1523882033,96,96
1523886998,94,94
1523888086,95,95
1523889652,94,94
1523891148,95,95
1523893483,95,95
1523895286,99,99
1523896539,97,97
1523898352,96,96
1523899839,97,97
1523902254,97,97
1523904155,96,96
1523905468,97,97
1523911361,98,98
1523914121,101,101
1523914965,100,100
1523916879,100,100
1523918456,98,98
1523919951,97,97
1523924937,98,98
1523926443,100,100
1523927753,99,99
1523929552,97,97
1523933134,95,95
1523933793,96,96
1523934943,95,95
1523938545,96,96
1523940639,97,97
1523945750,96,96
1523948759,97,97
1523952946,96,96
1523954342,97,97
1523958083,95,95
1523960076,96,96
1523961643,95,95
1523963761,96,96
1523965543,97,97
1523966860,97,97
1523968952,96,96
1523969797,97,97
1523970949,95,95
1523974253,95,95
1523975735,94,94
1523979425,78,78
1523980544,80,80
1523981735,83,83
1523984872,82,82
1523986547,79,79
1523988890,78,78
1523990570,79,79
1523991955,77,77
1523993325,78,78
1523994943,75,75
1523996930,76,76
1523997761,75,75
1523999143,76,76
1524000934,75,75
1524006339,79,79
1524008457,77,77
1524010559,75,75
1524011741,74,74
1524013551,76,76
1524016319,77,77
1524018524,79,79
1524020193,77,77
1524022963,77,77
1524024951,75,75
1524026555,76,76
1524030428,77,77
1524031840,80,80
1524033387,79,79
1524035146,79,79
1524039277,83,83
1524042947,84,84
1524044743,84,84
1524046247,85,85
1524050144,86,86
1524051347,87,87
1524057273,88,88
1524059797,89,89
1524060892,90,90
1524062565,91,91
1524064474,92,92
1524066168,80,80
1524068074,83,83
1524069292,86,86
1524069765,87,87
1524073546,86,86
1524075052,86,86
1524077793,87,87
1524081887,88,88
1524084697,87,87
1524085849,86,86
1524092782,87,87
1524094257,88,88
1524096646,91,91
1524099344,92,92
1524100474,93,93
1524101741,93,93
1524104076,93,93
1524109243,92,92
1524111046,93,93
1524112278,95,95
1524119735,96,96
1524120896,99,99
1524122160,98,98
1524124542,99,99
1524126514,101,101
1524128724,100,100
1524130838,101,101
1524135337,102,102
1524138208,101,101
1524139855,102,102
1524141752,103,103
1524143692,104,104
1524148965,107,107
1524150345,107,107
1524151792,98,98
1524155395,99,99
1524156662,100,100
1524157891,99,99
1524159303,99,99
1524161683,100,100
1524165632,101,101
1524166953,100,100
1524168219,102,102
1524171045,101,101
1524172187,102,102
1524174057,101,101
1524176129,98,98
1524181378,101,101
1524183084,101,101
1524184878,104,104
1524186394,103,103
1524190489,102,102
1524191315,103,103
1524194076,101,101
1524196612,101,101
1524197752,101,101
1524200786,102,102
1524204666,101,101
1524207955,102,102
1524211000,103,103
1524212931,103,103
1524214370,103,103
1524215596,104,104
