DateTime,AddedIPs,RemovedIPs
1523443545,1,0
1523444201,0,1
1523446984,10,1
1523447997,1,1
1523448897,2,0
1523449921,4,2
1523450779,9,3
1523451585,10,1
1523452572,8,0
1523453492,12,2
1523454947,10,4
1523455876,8,0
1523457693,7,0
1523458535,3,1
1523459500,4,0
1523460519,1,0
1523461575,2,3
1523463055,6,1
1523463992,2,1
1523464848,1,1
1523465811,7,1
1523466701,6,1
1523467542,0,1
1523468594,2,3
1523469560,7,0
1523470592,1,1
1523471449,1,0
1523472812,3,1
1523473740,5,2
1523474691,6,0
1523475786,3,1
1523477515,10,0
1523478648,7,4
1523479574,4,0
1523480845,1,2
1523481682,3,0
1523483040,2,4
1523484224,0,3
1523485341,0,1
1523486280,1,0
1523487369,3,0
1523488613,9,6
1523489532,3,7
1523490404,0,3
1523491887,7,5
1523493153,4,4
1523493764,2,1
1523494601,3,3
1523495546,1,0
1523497566,13,5
1523498211,4,7
1523500972,15,5
1523502732,4,4
1523503909,1,6
1523504782,4,0
1523506201,2,12
1523508116,2,4
1523509622,11,1
1523510520,4,0
1523512549,1,5
1523514511,3,0
1523515861,3,1
1523516824,1,0
1523517747,4,0
1523519004,7,6
1523524505,12,12
1523525422,4,7
1523527018,18,9
1523528167,4,0
1523529074,5,21
1523530610,5,2
1523531577,6,0
1523533013,3,5
1523533846,1,0
1523534186,1,0
1523535326,1,5
1523537032,10,0
1523538329,0,2
1523539478,4,0
1523540641,9,4
1523542332,19,0
1523544238,12,1
1523545019,3,4
1523546210,4,1
1523547767,2,17
1523549743,3,4
1523552820,13,4
1523554022,10,0
1523555142,12,6
1523557731,23,2
1523558566,5,0
1523562103,8,4
1523563909,6,3
1523565796,14,1
1523567203,7,2
1523568930,7,2
1523571321,0,3
1523583761,3,51
1523586953,2,39
1523588748,1,12
1523590276,0,9
1523591800,0,6
1523592888,0,4
1523594462,1,4
1523595956,0,2
1523598171,1,6
1523599896,1,16
1523601821,2,0
1523603150,2,0
1523605934,1,6
1523607281,4,12
1523608961,0,12
1523609799,1,0
1523610874,1,10
1523613339,2,7
1523614502,0,3
1523615800,1,8
1523617606,2,3
1523618920,3,0
1523620195,0,13
1523621496,0,12
1523622664,2,17
1523624175,0,6
1523625351,2,8
1523626989,2,6
1523628692,0,8
1523629729,2,0
1523632000,3,12
1523634836,2,5
1523637279,2,9
1523638558,1,1
1523639752,3,5
1523642208,2,5
1523643354,2,4
1523644878,0,13
1523646258,4,10
1523647493,8,0
1523649048,18,14
1523650493,4,6
1523651758,0,9
1523653004,2,1
1523654161,0,1
1523655692,9,1
1523657316,10,7
1523659363,5,10
1523660807,1,7
1523662545,1,4
1523663040,2,4
1523664651,0,5
1523666608,3,15
1523667819,5,11
1523670646,3,10
1523671883,5,1
1523673060,11,1
1523675250,29,2
1523676518,5,1
1523677397,3,4
1523679201,7,10
1523680976,8,9
1523681806,6,0
1523682889,5,1
1523684161,5,6
1523686222,21,2
1523687696,10,8
1523690092,7,3
1523691799,0,3
1523693328,3,0
1523695018,2,8
1523696200,1,0
1523697361,0,18
1523698543,0,10
1523699738,1,4
1523700957,2,4
1523702607,2,8
1523703975,5,2
1523706350,6,10
1523707751,2,2
1523708892,3,0
1523710603,6,10
1523711743,1,15
1523713284,1,13
1523714388,2,10
1523715279,2,0
1523717000,1,5
1523718382,1,2
1523722161,7,19
1523723318,5,0
1523724599,2,34
1523725913,0,13
1523728606,2,26
1523729753,1,6
1523731263,1,3
1523732789,0,2
1523734994,8,16
1523736282,7,6
1523737430,7,0
1523740555,10,6
1523742429,5,4
1523744123,5,0
1523745620,6,0
1523746618,1,0
1523747758,1,0
1523751342,3,0
1523752550,1,0
1523753808,0,1
1523754951,4,0
1523755731,1,0
1523758308,2,2
1523760205,0,1
1523762919,5,0
1523765036,8,0
1523767411,3,1
1523768679,6,0
1523770259,6,1
1523772619,4,2
1523774590,1,2
1523775834,3,0
1523777236,1,0
1523781089,8,3
1523782385,3,2
1523784967,11,3
1523787360,6,1
1523788958,1,2
1523790397,3,1
1523793412,3,3
1523794556,2,0
1523795750,1,2
1523796946,3,1
1523798104,2,0
1523799801,2,5
1523801457,3,3
1523802706,1,0
1523804731,2,1
1523806056,4,0
1523807441,0,2
1523808936,3,1
1523809718,2,0
1523811319,3,2
1523812555,0,2
1523814196,3,2
1523815852,0,4
1523817770,0,19
1523818977,2,8
1523820644,1,1
1523823325,2,2
1523826359,3,18
1523827723,1,0
1523830443,3,8
1523832204,2,2
1523833513,1,2
1523834630,1,1
1523835807,0,6
1523837695,2,3
1523839377,2,0
1523841359,1,2
1523842545,2,21
1523843746,1,12
1523844949,1,15
1523846141,0,11
1523847963,0,9
1523850179,0,12
1523851857,1,9
1523853137,1,12
1523855156,2,18
1523857360,0,18
1523859058,1,7
1523860971,2,0
1523863742,1,2
1523866258,4,4
1523867932,2,2
1523869551,3,3
1523870921,3,1
1523872384,6,2
1523873629,2,5
1523875360,0,14
1523877295,4,1
1523879098,4,7
1523879810,1,0
1523880872,0,5
1523882053,0,2
1523882570,1,0
1523883812,1,1
1523884908,1,0
1523885320,1,0
1523888092,2,1
1523889659,2,3
1523891155,2,11
1523892290,2,0
1523893489,8,6
1523895292,13,1
1523896545,8,0
1523898358,25,2
1523899846,4,1
1523902261,12,1
1523904161,8,4
1523905487,6,11
1523906610,5,0
1523907760,2,6
1523909088,0,3
1523911366,3,7
1523913363,2,4
1523914127,1,0
1523914971,0,5
1523916886,6,3
1523918462,14,2
1523919958,14,1
1523922361,43,3
1523923853,3,1
1523924992,2,4
1523926465,4,0
1523927760,2,1
1523929565,7,0
1523933141,8,10
1523934949,11,6
1523935733,15,0
1523937405,25,5
1523938552,20,5
1523939340,7,0
1523940647,17,11
1523942093,2,2
1523943761,5,1
1523944614,2,1
1523945757,0,2
1523946541,3,0
1523947367,7,2
1523948777,16,2
1523950120,17,0
1523951754,8,7
1523952953,3,5
1523954361,2,6
1523958095,4,9
1523960083,2,0
1523961649,5,5
1523962599,2,0
1523963772,6,1
1523965550,6,5
1523966866,1,3
1523968958,7,3
1523969803,1,0
1523970955,3,2
1523971728,1,0
1523974259,8,4
1523975741,6,1
1523976944,8,1
1523978079,8,1
1523979435,4,3
1523981741,2,1
1523982521,1,0
1523983741,8,0
1523984878,2,3
1523986553,6,2
1523987748,9,0
1523988897,3,2
1523989716,2,0
1523990576,5,0
1523991972,3,2
1523993331,2,0
1523994949,1,1
1523996099,3,0
1523996936,2,0
1523997767,4,1
1523999150,4,2
1524000940,1,1
1524003320,4,1
1524006351,5,3
1524008481,8,0
1524009393,4,0
1524010566,9,4
1524011747,5,2
1524013559,5,2
1524015083,9,2
1524016334,1,0
1524017456,0,1
1524020199,1,0
1524021286,3,0
1524022969,4,2
1524023808,2,0
1524024958,3,0
1524026561,3,1
1524027976,2,1
1524029323,3,0
1524030458,4,1
1524031846,4,1
1524033395,4,1
1524035153,0,1
1524037378,2,2
1524038216,1,0
1524039283,1,1
1524040554,1,3
1524042954,1,7
1524044750,3,2
1524046253,1,2
1524047859,6,4
1524049010,6,1
1524050152,6,3
1524051353,2,2
1524051779,1,0
1524053674,11,2
1524054945,9,4
1524055371,3,0
1524057279,8,0
1524058133,5,0
1524059803,12,2
1524060899,8,2
1524062571,7,9
1524064480,2,6
1524065318,1,0
1524066174,0,6
1524068080,2,19
1524069298,2,6
1524069771,1,3
1524071156,2,6
1524073552,4,7
1524075059,4,7
1524076600,4,4
1524078950,2,0
1524081894,2,2
1524083319,2,0
1524084703,0,2
1524085855,2,1
1524088552,1,14
1524089696,1,6
1524091264,1,33
1524092800,2,8
1524094265,1,3
1524095441,1,0
1524096652,1,4
1524097897,1,3
1524099350,2,1
1524100481,0,8
1524101747,2,2
1524104083,0,8
1524105765,1,19
1524107152,0,21
1524109248,3,36
1524111053,3,9
1524112287,2,1
1524113449,5,0
1524114891,2,5
1524116563,3,6
1524118499,4,15
1524119741,1,22
1524120902,0,1
1524122942,1,6
1524124548,1,5
1524126520,2,3
1524127367,8,2
1524128730,2,2
1524130844,2,5
1524132922,10,2
1524135343,17,13
1524136562,11,3
1524138214,15,4
1524139861,8,5
1524141758,15,1
1524143698,5,4
1524145251,2,10
1524147057,5,4
1524148971,5,12
1524151821,0,4
1524152560,0,4
1524155418,3,10
1524156668,1,5
1524157901,6,6
1524159315,4,8
1524161691,5,4
1524163294,3,2
1524164703,3,4
1524165836,3,1
1524166959,2,10
1524168256,4,5
1524169719,7,0
1524171051,1,1
1524172211,3,2
1524174084,3,0
1524176140,4,1
1524177690,9,10
1524179183,2,16
1524181390,12,14
1524183100,10,4
1524184902,12,8
1524186411,11,1
1524187558,5,0
1524190496,7,5
1524191321,3,1
1524194082,9,8
1524195285,3,3
1524196618,2,4
1524197758,1,1
1524198622,1,6
1524200806,7,6
1524204692,15,9
1524206610,9,2
1524207961,2,2
1524210161,2,4
1524212937,3,0
1524214378,10,4
1524215604,4,1
1524217402,8,5
1524219281,5,7
