DateTime,AddedIPs,RemovedIPs
1523500929,109,122
1523502614,113,61
1523503702,62,0
1523504710,70,86
1523506094,95,103
1523507075,38,0
1523508008,63,60
1523509508,92,37
1523510408,52,0
1523511609,63,131
1523512508,54,1
1523514483,0,13281
1523515776,13276,0
1523516740,54,87
1523517616,80,2
1523518809,122,118
1523518942,4,0
1523520507,82,60
1523522381,113,121
1523524449,139,131
1523525284,74,0
1523526160,61,101
1523526970,54,123
1523527822,38,0
1523528921,75,0
1523530570,112,197
1523531410,61,0
1523532947,97,112
1523533807,68,0
1523534163,0,13458
1523535268,13455,0
1523536954,100,149
1523538245,73,74
1523539370,71,1
1523540568,68,146
1523542212,86,89
1523543288,56,0
1523544158,51,121
1523544970,50,115
1523546110,47,0
1523547730,91,174
1523549653,133,109
1523550489,49,0
1523552720,138,307
1523555072,160,144
1523556849,96,81
1523557688,55,0
1523558528,50,123
1523559370,56,0
1523560509,60,85
1523562008,101,92
1523563808,109,130
1523564889,73,0
1523565746,60,146
1523567124,96,78
1523568811,278,95
1523570024,171,0
1523571250,72,103
1523583302,0,13543
1523583726,12916,0
1523585642,0,12916
1523586921,12947,0
1523588712,100,104
1523590219,66,99
1523591766,104,43
1523592847,65,78
1523594421,72,111
1523595908,100,48
1523597036,90,0
1523598126,202,157
1523599828,147,92
1523601767,94,125
1523603108,84,67
1523604496,71,0
1523605902,57,117
1523607247,94,91
1523608928,98,117
1523609767,60,1
1523611687,128,146
1523612789,76,103
1523614449,131,76
1523615773,81,78
1523617515,209,109
1523618887,125,1
1523620140,87,146
1523621411,79,86
1523622615,85,94
1523624137,135,39
1523625308,79,70
1523626927,88,88
1523628612,119,98
1523629694,65,1
1523631923,155,208
1523633286,99,1
1523634805,121,154
1523637217,225,190
1523638533,103,36
1523639646,98,59
1523640486,80,0
1523642167,154,146
1523643307,84,79
1523644808,117,92
1523646175,107,112
1523647687,128,0
1523649002,224,104
1523650447,120,88
1523651712,96,186
1523652968,84,57
1523654115,85,103
1523655622,104,205
1523657230,144,92
1523659327,160,214
1523660720,94,94
1523662508,109,137
1523662927,26,45
1523664607,116,66
1523666536,124,140
1523667734,87,79
1523670600,189,142
1523671814,72,68
1523673007,73,124
1523675157,163,133
1523676487,104,0
1523677330,54,120
1523679011,105,81
1523680930,150,118
1523681766,82,0
1523682847,70,68
1523684107,83,86
1523685815,107,112
1523687635,122,183
1523689516,113,105
1523690047,44,0
1523691729,105,142
1523693256,134,69
1523694967,176,148
1523696167,115,1
1523697308,80,121
1523698507,51,106
1523699706,91,39
1523700916,85,92
1523702527,109,125
1523703913,76,155
1523706307,198,154
1523707667,73,77
