DateTime,Entries,UniqueIPs
1523471435,2490,2490
1523472804,2495,2495
1523473693,2486,2486
1523474681,2496,2496
1523475655,2495,2495
1523477458,2504,2504
1523478546,2522,2522
1523479555,2507,2507
1523480779,2495,2495
1523481649,2505,2505
1523482858,2486,2486
1523482983,2487,2487
1523484197,2486,2486
1523485267,2499,2499
1523486244,2482,2482
1523487352,2498,2498
1523488593,2499,2499
1523489517,2473,2473
1523490374,2482,2482
1523491876,2490,2490
1523493115,2488,2488
1523493756,2489,2489
1523494592,2470,2470
1523495429,2482,2482
1523497550,2478,2478
1523498197,2471,2471
1523499060,2478,2478
1523502678,2482,2482
1523503864,2477,2477
1523504753,2487,2487
1523506148,2480,2480
1523508064,2481,2481
1523510467,2490,2490
1523511651,2484,2484
1523512539,2498,2498
1523514500,2512,2512
1523515827,2511,2511
1523516791,2502,2502
1523517678,2514,2514
1523518852,2510,2510
1523518992,2512,2512
1523520574,2515,2515
1523522429,2524,2524
1523524494,2548,2548
1523525333,2562,2562
1523527002,2547,2547
1523528134,2565,2565
1523529034,2566,2566
1523530600,2595,2595
1523531472,2621,2621
1523533002,2614,2614
1523533836,2639,2639
1523534176,2645,2645
1523535303,2647,2647
1523536999,2645,2645
1523538311,2662,2662
1523539420,2691,2691
1523540626,2674,2674
1523542276,2669,2669
1523544205,2650,2650
1523545009,2626,2626
1523546184,2641,2641
1523547758,2627,2627
1523549719,2623,2623
1523550520,2625,2625
1523552755,2510,2510
1523554010,2524,2524
1523555117,2502,2502
1523556912,2505,2505
1523557719,2510,2510
1523558556,2487,2487
1523560574,2488,2488
1523562056,2483,2483
1523563858,2475,2475
1523565779,2477,2477
1523567156,2496,2496
1523568904,2511,2511
1523570074,2527,2527
1523571292,2518,2518
1523590256,2393,2393
1523592879,2388,2388
1523594453,2351,2351
1523595948,2347,2347
1523598164,2321,2321
1523599878,2320,2320
1523601812,2313,2313
1523603142,2327,2327
1523604530,2345,2345
1523605926,2339,2339
1523607272,2354,2354
1523608953,2360,2360
1523609791,2367,2367
1523611718,2359,2359
1523614491,2357,2357
1523615792,2350,2350
1523617565,2344,2344
1523618912,2366,2366
1523620186,2357,2357
1523621454,2354,2354
1523622649,2353,2353
1523624168,2364,2364
1523625343,2341,2341
1523626965,2344,2344
1523628656,2342,2342
1523629721,2351,2351
1523631965,2324,2324
1523633319,2336,2336
1523634828,2316,2316
1523637255,2337,2337
1523638542,2335,2335
1523639723,2326,2326
1523640510,2343,2343
1523642199,2341,2341
1523643346,2331,2331
1523644846,2338,2338
1523646221,2345,2345
1523647485,2363,2363
1523647735,2365,2365
1523649040,2365,2365
1523650485,2366,2366
1523651750,2364,2364
1523652991,2379,2379
1523654146,2371,2371
1523655660,2354,2354
1523657275,2354,2354
1523659355,2358,2358
1523660767,2352,2352
1523662530,2346,2346
1523662972,2341,2341
1523664641,2358,2358
1523666600,2352,2352
1523667779,2349,2349
1523670638,2350,2350
1523671849,2344,2344
1523673041,2344,2344
1523675205,2355,2355
1523676510,2364,2364
1523677364,2355,2355
1523679182,2369,2369
1523680968,2358,2358
1523681798,2360,2360
1523682880,2352,2352
1523684152,2342,2342
1523685878,2332,2332
1523687682,2322,2322
1523689559,2318,2318
1523690083,2325,2325
1523691769,2296,2296
1523693277,2303,2303
1523695009,2285,2285
1523696192,2304,2304
1523697351,2273,2273
1523698535,2253,2253
1523699730,2247,2247
1523700947,2226,2226
1523702574,2215,2215
1523703944,2181,2181
1523706342,2166,2166
1523707715,2160,2160
1523708884,2172,2172
1523710595,2151,2151
1523711734,2150,2150
1523713251,2158,2158
1523714381,2140,2140
1523715270,2146,2146
1523716973,2107,2107
1523718345,2114,2114
1523720327,2103,2103
1523722130,2100,2100
1523723310,2111,2111
1523724585,2097,2097
1523725881,2112,2112
1523727057,2112,2112
1523728300,2126,2126
1523728598,2132,2132
1523729745,2136,2136
1523731254,2135,2135
1523732753,2123,2123
1523734971,2113,2113
1523736246,2095,2095
1523737422,2105,2105
1523739391,2095,2095
1523740547,2097,2097
1523742354,2091,2091
1523743838,2104,2104
1523745064,2113,2113
1523746610,2122,2122
1523747746,2133,2133
1523751055,2171,2171
1523752542,2185,2185
1523753800,2198,2198
1523754940,2178,2178
1523755723,2185,2185
1523756576,2139,2139
1523758257,2143,2143
1523760177,2148,2148
1523760991,2166,2166
1523762146,2158,2158
1523762910,2164,2164
1523765000,2170,2170
1523767373,2186,2186
1523768633,2182,2182
1523770251,2181,2181
1523774560,2178,2178
1523775778,2177,2177
1523777151,2200,2200
1523781060,2179,2179
1523782370,2178,2178
1523783671,2174,2174
1523787345,2166,2166
1523788950,2159,2159
1523790353,2149,2149
1523791729,2175,2175
1523793403,2174,2174
1523794547,2167,2167
1523795740,2170,2170
1523796938,2189,2189
1523798089,2191,2191
1523799770,2196,2196
1523801448,2194,2194
1523802677,2199,2199
1523803358,2206,2206
1523804692,2213,2213
1523806035,2251,2251
1523807433,2206,2206
1523808660,2209,2209
1523809710,2212,2212
1523811305,2193,2193
1523812542,2201,2201
1523814159,2207,2207
1523815844,2188,2188
1523817762,2180,2180
1523818938,2165,2165
1523820040,2179,2179
1523821245,2165,2165
1523824339,2181,2181
1523825849,2201,2201
1523826971,2206,2206
1523827715,2220,2220
1523830256,2195,2195
1523832186,2203,2203
1523833485,2195,2195
1523834620,2226,2226
1523835771,2214,2214
1523837686,2216,2216
1523839368,2219,2219
1523840206,2221,2221
1523841349,2213,2213
1523842537,2209,2209
1523843738,2213,2213
1523844941,2202,2202
1523846133,2197,2197
1523847953,2201,2201
1523848472,2204,2204
1523850171,2194,2194
1523851848,2200,2200
1523853119,2198,2198
1523855147,2214,2214
1523856512,2227,2227
1523857352,2217,2217
1523859050,2215,2215
1523860962,2229,2229
1523863260,2230,2230
1523863733,2233,2233
1523864853,2219,2219
1523866249,2210,2210
1523867924,2228,2228
1523869540,2227,2227
1523870912,2250,2250
1523872376,2224,2224
1523873605,2221,2221
1523875351,2234,2234
1523877283,2244,2244
1523879089,2239,2239
1523879802,2246,2246
1523882561,2222,2222
1523883780,2213,2213
1523884892,2220,2220
1523885311,2226,2226
1523886996,2229,2229
1523888084,2226,2226
1523889650,2224,2224
1523891145,2237,2237
1523892282,2241,2241
1523893481,2224,2224
1523895283,2241,2241
1523896536,2228,2228
1523898349,2224,2224
1523899830,2206,2206
1523902251,2214,2214
1523904153,2217,2217
1523906600,2234,2234
1523907752,2249,2249
1523909066,2235,2235
1523911359,2244,2244
1523913351,2242,2242
1523914119,2256,2256
1523914963,2256,2256
1523916877,2279,2279
1523918454,2273,2273
1523919948,2275,2275
1523922352,2293,2293
1523923844,2291,2291
1523924935,2297,2297
1523926441,2297,2297
1523927750,2309,2309
1523929549,2290,2290
1523933791,2342,2342
1523934941,2328,2328
1523935725,2335,2335
1523937396,2307,2307
1523938542,2306,2306
1523939332,2315,2315
1523940637,2307,2307
1523942082,2315,2315
1523943752,2303,2303
1523944606,2313,2313
1523945748,2313,2313
1523946532,2319,2319
1523947359,2311,2311
1523948755,2313,2313
1523950112,2329,2329
1523951743,2337,2337
1523952943,2344,2344
1523954339,2346,2346
1523956496,2368,2368
1523958064,2371,2371
1523959447,2369,2369
1523960073,2370,2370
1523961641,2366,2366
1523963758,2372,2372
1523965541,2363,2363
1523966856,2368,2368
1523968950,2369,2369
1523969795,2389,2389
1523970946,2386,2386
1523971719,2391,2391
1523974251,2367,2367
1523975733,2357,2357
1523976931,2349,2349
1523978071,2348,2348
1523979421,2348,2348
1523980542,2360,2360
1523981727,2350,2350
1523982513,2362,2362
1523983732,2339,2339
1523984870,2334,2334
1523986543,2346,2346
1523987738,2353,2353
1523988888,2367,2367
1523990568,2367,2367
1523991952,2371,2371
1523993322,2404,2404
1523994940,2384,2384
1523996090,2385,2385
1523996928,2395,2395
1523997758,2388,2388
1523999140,2396,2396
1523999671,2408,2408
1524000932,2411,2411
1524003056,2431,2431
1524004114,2456,2456
1524008455,2475,2475
1524010557,2502,2502
1524011739,2502,2502
1524013538,2516,2516
1524015072,2522,2522
1524016316,2539,2539
1524017448,2543,2543
1524018522,2554,2554
1524020191,2557,2557
1524021273,2563,2563
1524022960,2559,2559
1524023800,2570,2570
1524024949,2557,2557
1524026553,2563,2563
1524027952,2575,2575
1524029315,2602,2602
1524030424,2606,2606
1524031836,2610,2610
1524035138,2624,2624
1524035685,2634,2634
1524037370,2643,2643
1524038205,2668,2668
1524039274,2671,2671
1524040546,2687,2687
1524042945,2715,2715
1524044741,2708,2708
1524046245,2707,2707
1524047851,2717,2717
1524049002,2740,2740
1524050141,2735,2735
1524051345,2745,2745
1524051771,2751,2751
1524054937,2772,2772
1524055363,2768,2768
1524057271,2803,2803
1524058125,2821,2821
1524059795,2831,2831
1524060890,2822,2822
1524062563,2823,2823
1524064471,2853,2853
1524065310,2860,2860
1524066166,2844,2844
1524068071,2847,2847
1524069290,2839,2839
1524069763,2839,2839
1524071147,2851,2851
1524073543,2871,2871
1524075050,2883,2883
1524076592,2888,2888
1524077790,2905,2905
1524078941,2901,2901
1524081875,2898,2898
1524083311,2919,2919
1524084693,2913,2913
1524085847,2889,2889
1524088544,2905,2905
1524089687,2913,2913
1524091253,2912,2912
1524092756,2901,2901
1524094254,2900,2900
1524095433,2897,2897
1524096643,2889,2889
1524097863,2873,2873
1524099340,2889,2889
1524100472,2857,2857
1524101739,2822,2822
1524104073,2823,2823
1524105756,2814,2814
1524107143,2812,2812
1524109240,2815,2815
1524111044,2814,2814
1524112270,2796,2796
1524113440,2811,2811
1524114882,2810,2810
1524116553,2795,2795
1524118490,2795,2795
1524119731,2784,2784
1524120893,2792,2792
1524122157,2779,2779
1524122934,2791,2791
1524124540,2801,2801
1524126512,2795,2795
1524127359,2767,2767
1524128719,2771,2771
1524130836,2777,2777
1524132661,2791,2791
1524135335,2783,2783
1524136547,2782,2782
1524138197,2796,2796
1524139853,2774,2774
1524141750,2772,2772
1524143689,2764,2764
1524145243,2745,2745
1524147049,2754,2754
1524148963,2754,2754
1524150342,2749,2749
1524151732,2769,2769
1524152553,2763,2763
1524153393,2779,2779
1524155335,2803,2803
1524156660,2781,2781
1524157866,2781,2781
1524159296,2773,2773
1524161680,2765,2765
1524163260,2739,2739
1524165621,2748,2748
1524166951,2727,2727
1524168195,2715,2715
1524169711,2729,2729
1524171043,2698,2698
1524172171,2694,2694
1524172486,2696,2696
1524174045,2665,2665
1524176107,2661,2661
1524177655,2629,2629
1524181368,2588,2588
1524183063,2570,2570
1524184867,2551,2551
1524186372,2527,2527
1524187547,2536,2536
1524190485,2536,2536
1524191312,2543,2543
1524194073,2508,2508
1524195267,2498,2498
1524196609,2494,2494
1524197749,2465,2465
1524198600,2428,2428
1524200772,2406,2406
1524204655,2398,2398
1524206574,2397,2397
1524207950,2355,2355
1524210152,2362,2362
1524210997,2377,2377
1524212929,2374,2374
1524214368,2354,2354
1524215580,2356,2356
1524217373,2348,2348
1524219272,2361,2361
