DateTime,AddedIPs,RemovedIPs
1523509544,41,16
1523510448,21,0
1523511643,39,56
1523512531,26,0
1523514483,0,5680
1523515811,5687,0
1523516780,23,41
1523517653,26,3
1523518844,33,41
1523518984,7,0
1523520553,36,32
1523522416,52,55
1523524486,70,53
1523525313,25,1
1523526168,0,5733
1523526991,5668,0
1523528109,28,0
1523529022,25,36
1523530593,73,49
1523531449,41,0
1523532981,50,71
1523533829,38,1
1523534163,0,5766
1523535295,5779,0
1523536985,39,91
1523538286,45,44
1523539398,36,1
1523540601,24,82
1523542258,30,56
1523543329,29,1
1523544190,20,79
1523545001,27,70
1523546159,22,0
1523547751,61,82
1523549698,60,73
1523550512,26,0
1523552747,62,219
1523555074,0,5462
1523556903,5479,0
1523557711,23,0
1523558549,26,63
1523559379,0,5465
1523560556,5475,0
1523562048,55,52
1523563849,55,69
1523564914,0,5464
1523565770,5452,0
1523567148,57,45
1523568896,222,57
1523570046,78,2
1523571281,28,58
1523583302,0,5675
1523583747,5392,0
1523585642,0,5392
1523586939,5463,0
1523588717,0,5463
1523590248,5475,0
1523591792,40,25
1523592873,25,40
1523594447,26,58
1523595935,39,24
1523598158,221,85
1523599863,105,41
1523601791,53,73
1523603135,44,24
1523604523,38,0
1523605920,27,47
1523607265,48,36
1523608947,58,62
1523609785,25,1
1523610858,0,5708
1523611712,5708,0
1523613318,0,5708
1523614485,5730,0
1523615778,0,5730
1523617552,5843,0
1523618906,80,1
1523620175,52,66
1523621443,40,27
1523622643,54,29
1523624162,61,16
1523625332,58,24
1523626953,47,45
1523628647,80,39
1523629715,35,1
1523631950,93,85
1523633313,57,0
1523634822,67,71
1523637249,125,89
1523638533,0,6199
1523639706,6245,0
1523640504,45,0
1523642194,92,67
1523643334,35,33
1523644834,69,37
1523646206,63,62
1523647479,53,0
1523647724,5,0
1523649030,70,32
1523650479,61,39
1523651746,42,117
1523652986,50,43
1523654140,45,77
1523655647,55,131
1523657261,51,57
1523659348,95,91
