DateTime,AddedIPs,RemovedIPs
1523254253,1,2
1523255313,1,0
1523256276,2,0
1523258163,1,0
1523259773,1,0
1523264754,1,0
1523265278,1,0
1523266253,0,1
1523267078,3,0
1523267812,1,4
1523268655,2,0
1523270069,0,3
1523275557,3,3
1523277768,1,1
1523278602,1,0
1523279454,1,0
1523280522,1,1
1523281373,0,1
1523282203,0,2
1523283045,1,0
1523285157,3,1
1523286004,1,0
1523286879,0,3
1523288373,4,1
1523289332,0,1
1523290246,1,5
1523293316,4,0
1523294174,0,1
1523297462,0,2
1523299382,1,1
1523300194,1,0
1523301347,1,1
1523303163,0,1
1523307972,0,2
1523310172,0,1
1523311852,1,2
1523313945,1,2
1523318775,2,1
1523319653,2,0
1523320862,1,2
1523322883,1,1
1523323736,2,0
1523327092,0,2
1523328056,1,2
1523329573,2,0
1523331086,0,1
1523331758,2,0
1523333463,1,2
1523334690,2,1
1523336201,2,0
1523340667,2,1
1523341534,1,3
1523344846,3,3
1523345326,1,0
1523346998,0,4
1523352053,1,1
1523353256,3,0
1523354146,1,0
1523355049,2,0
1523356435,0,1
1523360575,1,0
1523361893,2,1
1523362845,2,1
1523363703,1,0
1523364549,1,2
1523366450,2,3
1523367408,1,0
1523368214,1,1
1523370333,1,0
1523371373,0,1
1523372757,1,0
1523374846,0,4
1523375744,1,0
1523377825,0,1
1523380481,1,3
1523381440,2,0
1523382353,1,1
1523385092,0,1
1523386604,2,0
1523388683,0,2
1523391277,2,0
1523392976,1,1
1523395713,1,0
1523396757,1,3
1523400765,2,3
1523405375,2,1
1523407247,0,1
1523408141,1,0
1523409293,1,0
1523410882,1,1
1523412654,1,0
1523414132,2,1
1523420104,3,2
1523420997,0,1
1523422593,1,0
1523426971,1,2
1523429867,0,3
1523430875,0,1
1523433406,1,0
1523434266,1,1
1523436366,1,1
1523438686,0,1
1523439934,1,1
1523441729,3,5
1523442628,1,0
1523444194,2,0
1523446968,0,2
1523447978,1,1
1523448891,0,1
1523450758,2,2
1523451578,2,0
1523452554,2,0
1523453464,0,1
1523454941,2,2
1523455854,1,2
1523457667,1,2
1523458529,1,0
1523460512,1,0
1523461555,1,0
1523463048,0,3
1523463956,1,0
1523464842,1,1
1523465805,1,1
1523466685,1,0
1523467534,0,1
1523468568,2,0
1523469553,1,0
1523470574,0,1
1523471443,1,0
1523472806,2,1
1523474684,0,1
1523477480,1,0
1523478620,2,0
1523480808,0,1
1523481651,3,0
1523482996,0,1
1523484205,1,1
1523485286,0,1
1523486247,1,0
1523487353,2,0
1523488604,2,1
1523489521,0,2
1523491878,0,1
1523493123,0,1
1523493757,1,0
1523494594,1,0
1523497555,1,1
1523498204,0,1
1523499069,1,0
1523500964,0,1
1523502702,1,2
1523503870,2,1
1523506163,0,1
1523508080,1,1
1523510476,3,0
1523511652,1,1
1523512541,1,1
1523514502,1,3
1523515835,0,1
1523516794,1,0
1523517705,1,1
1523518854,0,1
1523520600,2,0
1523522443,3,1
1523524496,0,2
1523527003,1,4
1523528144,0,1
1523530602,1,2
1523531494,2,0
1523533005,1,2
1523533838,1,0
1523535307,0,2
1523537005,0,2
1523538314,0,2
1523540627,1,1
1523542306,0,1
1523544211,1,0
1523545011,0,1
1523546196,1,1
1523547759,1,0
1523549727,2,1
1523552762,3,0
1523556914,1,0
1523557720,1,2
1523558558,0,1
1523560601,1,2
1523563867,0,1
1523565787,0,3
1523567169,0,1
1523571294,1,1
1523590259,3,6
1523592881,2,2
1523594455,2,0
1523595949,2,1
1523598165,1,1
1523599889,2,0
1523601815,1,1
1523604531,1,0
1523605927,1,4
1523608955,1,0
1523609792,0,1
1523610867,0,2
1523613332,0,1
1523614493,0,2
1523615793,2,0
1523617576,0,2
1523618913,1,0
1523620188,1,1
1523621460,2,0
1523622653,0,2
1523624169,0,1
1523625344,0,2
1523626974,0,1
1523628662,3,2
1523631975,3,3
1523633320,1,0
1523634829,1,0
1523637265,2,1
1523638552,1,1
1523639737,1,1
1523640511,3,0
1523642201,1,1
1523643347,0,1
1523646227,0,1
1523647486,1,1
1523650486,0,1
1523651751,3,2
1523652998,1,1
1523654152,0,3
1523655665,1,0
1523657282,1,0
1523659356,0,2
1523660781,2,0
1523662537,2,0
1523662978,0,1
1523664644,1,2
1523666601,1,3
1523667786,1,1
1523670640,2,0
1523671855,0,3
1523673048,1,1
1523675224,6,1
1523676512,3,1
1523677373,1,1
1523679183,1,4
1523681800,2,1
1523682882,1,0
1523684154,2,2
1523687689,2,2
1523689569,2,1
1523691779,2,1
1523693285,1,1
1523695010,1,0
1523696194,2,1
1523697354,5,2
1523699732,2,0
1523700951,2,1
1523702584,1,3
1523703950,1,0
1523706343,0,3
1523708885,4,0
1523710597,1,5
1523711736,1,0
1523713260,2,1
1523714382,0,1
1523715272,2,0
1523716980,1,6
1523718352,1,2
1523722134,0,2
1523723312,1,0
1523724588,1,1
1523725887,1,1
1523727064,0,2
1523728599,1,0
1523729747,0,1
1523732759,4,1
1523734979,4,2
1523736254,1,1
1523739393,2,3
1523740548,1,0
1523742370,2,1
1523743853,1,1
1523746612,3,0
1523747748,0,1
1523751070,4,2
1523753802,0,3
1523754941,2,0
1523755724,1,0
1523758277,3,1
1523760184,2,2
1523760992,3,0
1523762148,2,0
1523762912,0,2
1523765011,2,4
1523768644,2,1
1523770252,1,3
1523774567,2,2
1523781062,3,4
1523787347,0,3
1523788951,0,3
1523790360,0,1
1523791731,1,0
1523793405,2,0
1523794548,2,2
1523795743,0,1
1523796939,1,0
1523799776,2,0
1523801450,4,3
1523802684,1,0
1523804699,2,1
1523806045,0,1
1523808921,0,3
1523809712,1,0
1523811311,0,2
1523812543,1,0
1523814170,4,2
1523817764,1,1
1523818951,1,0
1523820041,1,1
1523821252,1,4
1523824343,3,3
1523825851,2,4
1523826985,2,0
1523827716,3,2
1523830435,4,1
1523832193,1,0
1523833487,1,1
1523834622,3,1
1523835778,3,2
1523837688,1,1
1523840209,2,0
1523841350,1,0
1523842538,2,2
1523843740,0,1
1523844942,3,3
1523846135,3,1
1523847956,3,4
1523850173,2,5
1523851850,1,2
1523853121,3,2
1523855149,3,1
1523856513,1,1
1523857353,1,2
1523859051,0,2
1523860964,3,3
1523861796,0,2
1523863735,0,2
1523864854,1,3
1523866251,1,1
1523867925,1,4
1523869541,17,0
1523870913,2,0
1523872377,0,2
1523873617,1,0
1523875353,2,0
1523877285,2,0
1523879091,4,1
1523880863,1,1
1523882028,0,3
1523883781,2,1
1523884900,1,1
1523889652,0,1
1523891147,1,1
1523892283,1,0
1523893483,0,1
1523895285,2,1
1523896538,1,0
1523902253,0,1
1523904154,1,1
1523905465,0,2
1523907753,0,1
1523909072,0,1
1523911360,1,0
1523913353,1,1
1523914964,0,1
1523919950,1,0
1523922353,1,0
1523924936,1,0
1523926442,0,1
1523927752,0,2
1523929551,0,5
1523933133,0,4
1523934942,0,1
1523937398,0,2
1523938544,1,0
1523939333,1,2
1523940639,0,1
1523942083,1,1
1523943754,0,2
1523948757,0,1
1523951746,1,2
1523952945,3,0
1523954341,0,1
1523956498,1,0
1523958074,1,1
1523963760,1,0
1523965542,1,0
1523970948,1,1
1523974252,1,2
1523975735,1,0
1523976932,0,1
1523983734,1,0
1523984871,0,1
1523988890,1,0
1523993324,6,0
1523994942,0,1
1523996092,1,0
1523996930,1,0
1523997760,0,3
1523999143,0,1
1524000933,1,1
1524003058,1,0
1524004115,1,0
1524006338,0,2
1524008456,2,1
1524010559,1,1
1524013549,0,1
1524015073,0,1
1524017448,0,1
1524018523,1,0
1524020192,2,0
1524024950,1,1
1524026554,1,0
1524027954,2,1
1524031839,1,0
1524035146,1,1
1524037371,1,1
1524038207,1,0
1524039276,0,1
1524040547,1,4
1524042947,0,2
1524044742,0,1
1524047852,0,1
1524050143,0,22
1524051346,1,0
1524054939,1,3
1524055365,1,0
1524057272,1,0
1524058126,1,0
1524059797,0,1
1524064473,1,1
1524066167,1,1
1524068073,0,1
1524069291,1,0
1524073545,1,1
1524075052,0,1
1524076593,1,0
1524081882,0,2
1524084695,0,1
1524091257,2,2
1524094256,1,0
1524096645,1,0
1524097882,1,0
1524100473,2,0
1524107145,0,1
1524109242,0,1
1524111045,0,1
1524112277,0,1
1524113442,1,0
1524122935,0,0
1524124541,0,2
1524127361,0,1
1524130838,1,0
1524132905,1,0
1524135337,1,3
1524136549,1,0
1524139854,4,1
1524143691,1,2
1524148964,2,0
1524150344,0,1
1524152554,1,0
1524153395,1,0
