DateTime,Entries,UniqueIPs
1523249800,108,108
1523254253,107,107
1523255313,108,108
1523256276,110,110
1523258163,111,111
1523259773,112,112
1523264754,113,113
1523265278,114,114
1523266253,113,113
1523267078,116,116
1523267812,113,113
1523268655,115,115
1523270069,112,112
1523275557,112,112
1523277768,112,112
1523278602,113,113
1523279454,114,114
1523280522,114,114
1523281373,113,113
1523282203,111,111
1523283045,112,112
1523285157,114,114
1523286004,115,115
1523286879,112,112
1523288373,115,115
1523289332,114,114
1523290246,110,110
1523293316,114,114
1523294174,113,113
1523297462,111,111
1523299382,111,111
1523300194,112,112
1523301347,112,112
1523303163,111,111
1523307972,109,109
1523310172,108,108
1523311852,107,107
1523313945,106,106
1523318775,107,107
1523319653,109,109
1523320862,108,108
1523322883,108,108
1523323736,110,110
1523327092,108,108
1523328056,107,107
1523329573,109,109
1523331086,108,108
1523331758,110,110
1523333463,109,109
1523334690,110,110
1523336201,112,112
1523340667,113,113
1523341534,111,111
1523344846,111,111
1523345326,112,112
1523346998,108,108
1523352053,108,108
1523353256,111,111
1523354146,112,112
1523355049,114,114
1523356435,113,113
1523360575,114,114
1523361893,115,115
1523362845,116,116
1523363703,117,117
1523364549,116,116
1523366450,115,115
1523367408,116,116
1523368214,116,116
1523370333,117,117
1523371373,116,116
1523372757,117,117
1523374846,113,113
1523375744,114,114
1523377825,113,113
1523380481,111,111
1523381440,113,113
1523382353,113,113
1523385092,112,112
1523386604,114,114
1523388683,112,112
1523391277,114,114
1523392976,114,114
1523395713,115,115
1523396757,113,113
1523400765,112,112
1523405375,113,113
1523407247,112,112
1523408141,113,113
1523409293,114,114
1523410882,114,114
1523412654,115,115
1523414132,116,116
1523420104,117,117
1523420997,116,116
1523422593,117,117
1523426971,116,116
1523429867,113,113
1523430875,112,112
1523433406,113,113
1523434266,113,113
1523436366,113,113
1523438686,112,112
1523439934,112,112
1523441729,110,110
1523442628,111,111
1523444194,113,113
1523446968,111,111
1523447978,111,111
1523448891,110,110
1523450758,110,110
1523451578,112,112
1523452554,114,114
1523453464,113,113
1523454941,113,113
1523455854,112,112
1523457667,111,111
1523458529,112,112
1523460512,113,113
1523461555,114,114
1523463048,111,111
1523463956,112,112
1523464842,112,112
1523465805,112,112
1523466685,113,113
1523467534,112,112
1523468568,114,114
1523469553,115,115
1523470574,114,114
1523471443,115,115
1523472806,116,116
1523474684,115,115
1523477480,116,116
1523478620,118,118
1523480808,117,117
1523481651,120,120
1523482996,119,119
1523484205,119,119
1523485286,118,118
1523486247,119,119
1523487353,121,121
1523488604,122,122
1523489521,120,120
1523491878,119,119
1523493123,118,118
1523493757,119,119
1523494594,120,120
1523497555,120,120
1523498204,119,119
1523499069,120,120
1523500964,119,119
1523502702,118,118
1523503870,119,119
1523506163,118,118
1523508080,118,118
1523510476,121,121
1523511652,121,121
1523512541,121,121
1523514502,119,119
1523515835,118,118
1523516794,119,119
1523517705,119,119
