DateTime,AddedIPs,RemovedIPs
1523468548,22,65
1523469489,17,3
1523470533,17,33
1523472793,52,66
1523473671,19,24
1523474648,28,0
1523475628,18,45
1523477435,39,25
1523478520,45,2
1523479531,17,34
1523480746,27,32
1523481630,40,1
1523482831,25,68
1523482957,2,0
1523485234,47,25
1523486208,25,32
1523487331,27,2
1523488576,17,24
1523489456,24,33
1523490345,74,11
1523491840,43,30
1523493075,27,24
1523493744,13,1
1523494581,14,35
1523497532,51,18
1523498184,16,30
1523499037,12,1
1523500951,35,55
1523502638,59,23
1523503723,34,0
1523504726,26,37
1523506120,47,44
1523508030,50,33
1523509532,34,20
1523510436,23,2
1523511631,15,60
1523512524,20,1
1523515799,66,73
1523516764,22,35
1523517640,45,0
1523518832,77,65
1523518965,1,0
1523520531,28,22
1523522399,48,40
1523524472,47,63
1523525306,42,0
1523526985,37,76
1523527844,9,1
1523528953,38,0
1523530585,24,74
1523531428,11,2
1523532963,40,35
1523533823,26,2
1523535287,26,32
1523536974,45,50
1523538268,28,26
1523539391,27,0
1523540584,21,47
1523542236,29,30
1523543310,17,1
1523544179,24,39
1523544990,16,38
1523546138,18,0
1523547745,19,57
1523549684,65,34
1523550505,17,0
1523552741,48,73
1523556645,75,90
1523557705,25,1
1523558543,14,52
1523560535,41,22
1523562036,40,38
1523563841,43,49
1523564912,35,2
1523565762,26,64
1523567140,29,25
1523568833,56,31
1523570040,76,0
1523571270,43,34
1523590235,123,394
1523591787,58,7
1523592863,33,27
1523594442,43,43
1523595930,45,22
1523598144,50,53
1523599853,35,30
1523601786,25,43
1523603125,29,36
1523604512,23,0
1523605915,25,59
1523607260,38,35
1523608942,30,34
1523609780,25,0
1523611706,39,51
1523614468,75,58
1523617532,76,86
1523618900,32,3
1523620165,24,55
1523621425,36,44
1523622633,29,39
1523624152,63,14
1523625325,20,35
1523626943,32,31
1523628632,33,44
1523629710,24,1
1523631945,54,98
1523633299,33,2
1523634817,44,53
1523637239,93,76
1523639659,82,30
1523640499,23,4
1523642188,58,62
1523643328,39,37
1523644821,37,37
1523646192,35,32
1523647708,56,3
1523649020,52,49
1523650469,45,38
1523651737,45,55
1523652981,30,12
1523654131,31,21
1523655639,36,68
1523657250,72,25
1523659343,49,103
1523660738,40,24
1523662944,43,64
1523664625,38,19
1523666552,38,36
1523667750,39,32
1523670618,55,34
1523671831,28,20
1523673025,25,71
1523675175,44,60
1523676499,43,1
1523677347,20,53
1523679028,30,35
1523680947,40,48
1523681783,38,0
1523682864,18,29
1523684127,31,35
1523685832,42,57
1523687652,31,115
1523689529,29,44
1523690066,11,0
1523691746,37,60
1523694984,81,99
1523696179,26,3
1523697325,28,40
1523698521,18,51
1523699720,28,13
1523700932,37,20
1523702548,29,48
1523703926,20,55
1523706320,56,69
1523707684,17,37
1523708872,22,7
1523710584,41,62
1523713228,69,60
1523714370,27,40
1523715259,19,5
1523716949,98,35
1523718326,36,40
1523720303,58,45
1523722106,44,42
1523723299,23,2
1523724557,33,53
1523727033,83,55
1523728587,35,14
1523729723,22,40
1523731233,43,42
1523732733,35,57
1523734946,46,70
1523736224,30,28
1523737412,29,0
1523739381,40,100
1523740523,22,79
1523742331,36,58
1523743800,34,1
1523745039,44,0
1523746593,38,2
1523747724,30,1
1523749226,70,1
1523751030,52,2
1523751260,8,0
1523752526,32,1
1523753784,54,3
1523754924,33,17
1523755706,31,0
1523756545,25,19
1523758231,58,36
1523760154,48,38
1523760980,7,2
1523762899,30,55
1523764977,22,96
1523767347,31,52
1523768600,33,26
1523770230,35,34
1523773823,60,62
1523774547,15,10
1523775755,18,25
1523777128,20,0
1523781033,70,101
1523782350,18,13
1523783659,14,45
1523786120,54,36
1523787321,55,33
1523788939,79,28
1523790328,55,42
1523791703,33,1
1523793392,46,60
1523794526,23,39
1523795721,20,26
1523796923,35,2
1523798071,31,34
1523799749,37,43
1523801424,35,26
1523802648,21,41
1523803343,16,19
1523804662,20,25
1523805773,23,0
1523806942,30,73
1523808627,38,37
1523809699,22,1
1523811291,18,52
1523812526,37,39
1523814141,61,44
1523815827,33,29
1523817747,55,82
1523818915,28,35
1523820028,30,1
1523821222,14,58
1523823034,40,38
1523824305,25,30
1523825821,44,6
1523826954,24,47
1523827700,13,2
1523830228,58,100
1523832162,54,42
1523833457,53,32
1523834609,28,0
1523835748,20,50
1523837670,47,34
1523839344,30,40
1523840190,9,2
1523841332,27,42
1523842525,25,30
1523843723,37,8
1523844924,8,26
1523846122,17,54
1523847930,28,38
1523848460,8,0
1523850160,33,55
1523851831,26,43
1523853101,25,34
1523855131,28,56
1523856500,38,2
1523857341,32,49
1523859032,36,23
1523860944,42,36
1523861784,13,3
1523863706,45,43
1523864832,17,47
1523866227,25,42
1523867912,38,29
1523869526,37,63
1523870900,25,2
1523872363,23,56
1523873577,31,19
1523875340,39,59
1523877265,71,31
1523879073,44,59
1523879785,10,0
1523882545,67,75
1523883757,27,41
1523884865,32,0
1523885300,15,0
1523886985,55,55
1523888065,31,28
1523889638,29,39
1523891126,40,38
1523892256,25,2
1523893469,25,53
1523895261,42,44
1523896523,23,62
1523898333,39,41
1523899810,35,47
1523902226,108,32
1523904140,159,33
1523905451,66,41
1523906578,61,0
1523907741,49,48
1523909008,21,36
1523911343,63,39
1523913326,47,39
1523914103,27,1
1523914948,14,76
1523916864,35,31
1523918442,24,83
1523919934,18,33
1523922334,69,69
1523923827,29,60
1523924909,41,2
1523926430,24,81
1523927729,22,43
1523929529,58,58
1523931271,36,11
1523933780,58,26
1523935708,30,19
1523937384,29,29
1523938524,21,30
1523939308,5,2
1523940626,22,42
1523942065,17,25
1523943740,39,42
1523944584,24,0
1523946508,43,21
1523947343,9,26
1523948727,24,36
1523950100,30,1
1523951725,37,35
1523952926,12,25
1523954322,30,24
1523956470,36,39
1523958053,40,59
1523959428,22,44
1523960061,5,0
1523961625,22,63
1523962579,11,0
1523963724,16,31
1523965524,45,43
1523966823,27,35
1523968939,45,39
1523969784,11,1
1523971703,39,89
1523974236,32,85
1523975720,34,42
1523976920,18,14
1523978060,15,22
1523979408,21,26
1523980531,18,1
1523982502,38,38
1523983718,15,77
1523984854,18,17
1523986532,19,39
1523987726,24,13
1523988864,32,34
1523989702,31,0
1523990544,14,32
1523991935,26,38
1523993306,25,0
1523994923,44,57
1523996065,20,53
1523996908,8,0
1523997743,6,39
1523999120,26,48
1523999660,11,3
1524000920,15,53
1524003038,36,91
1524004102,16,0
