DateTime,AddedIPs,RemovedIPs
1521453367,115,77
1521462243,93,99
1521466084,74,63
1521470164,112,95
1521477844,72,56
1521480005,68,74
1521485764,163,99
1521491764,82,91
1521497524,119,141
1521501364,76,97
1521505204,56,91
1521509045,103,86
1521514816,91,120
1521520564,64,89
1521524405,96,113
1521526564,89,80
1521534245,121,82
1521538084,52,51
1521544803,107,96
1521552483,101,93
1521558242,109,101
1521564004,74,68
1521565923,68,60
1521570485,87,57
1521574804,83,86
1521578883,90,84
1521582962,116,152
1521590642,102,144
1521596404,145,125
1521606004,97,138
1521609845,88,97
1521616563,157,123
1521620404,64,60
1521624245,55,56
1521628084,56,47
1521633843,105,97
1521640084,119,90
1521649687,97,105
1521654489,140,101
1521663123,131,111
1521669125,80,100
1521674163,112,137
1521679923,50,90
1521681843,86,90
1521685685,76,59
1521689532,39,70
1521695523,138,178
1521701523,147,115
1521709211,120,91
1521714962,98,97
1521725044,112,90
1521728883,62,63
1521731764,72,61
1521735844,68,76
1521739685,84,79
1521743522,73,56
1521749523,132,119
1521755283,77,65
1521757203,66,83
1521764163,86,149
1521771845,128,141
1521775684,51,60
1521778563,132,172
1521788643,159,118
1521794404,57,58
1521798242,102,89
1521805924,99,90
1521811684,55,51
1521816964,117,103
1521824883,84,73
1521826804,78,78
1521830644,133,110
1521839764,129,120
1521846962,105,143
1521852722,117,139
1521858484,95,116
1521869044,141,179
1521873124,91,76
1521878884,106,79
1521884643,62,57
1521886564,82,63
1521892322,132,104
1521900014,134,111
1521907683,114,127
1521913683,108,102
1521921363,117,119
1521929523,71,82
1521933363,97,130
1521937203,38,82
1521941043,93,70
1521946821,128,158
1521952565,82,91
1521954484,76,82
1521960484,86,66
1521962403,43,43
1521970085,103,68
1521975843,123,90
1521981604,65,66
1521987604,127,115
1521993364,115,102
1522001043,70,79
1522005127,146,119
1522011124,133,135
1522019043,88,170
1522023124,83,83
1522028883,45,76
1522030803,67,76
1522036565,128,175
1522044483,161,120
1522052163,104,91
1522059843,108,98
1522063924,80,56
1522067764,67,56
1522071604,112,113
1522079285,118,99
1522085044,87,75
1522088885,77,65
1522092724,76,73
1522096564,83,80
1522098724,76,69
1522104964,110,172
1522110963,92,76
1522115046,85,122
1522122964,110,87
1522124887,88,100
1522130884,164,133
1522138564,126,95
1522142884,66,61
1522148425,50,58
1522152483,104,98
1522158244,105,112
1522167843,125,98
1522175762,134,125
1522179603,93,72
1522183443,88,72
1522189203,105,163
1522193044,61,95
1522197123,120,134
1522205523,63,65
1522209619,129,170
1522213925,77,76
1522220164,87,62
1522224019,119,98
1522230243,128,99
1522236004,70,53
1522239363,69,48
1522245618,116,106
1522249682,69,73
1522255445,146,101
1522263364,140,112
1522269122,74,68
1522274883,104,199
1522279444,46,94
1522287123,100,133
1522289043,69,80
1522294803,62,73
1522298645,162,171
1522306323,130,91
1522314964,113,109
1522319044,60,44
1522323125,67,69
1522329124,114,91
1522334883,65,68
1522338964,126,113
1522347602,138,105
1522353363,127,130
1522361042,126,153
1522367763,110,163
1522373524,51,69
1522377363,58,54
1522381444,59,76
1522383364,87,100
1522387203,73,74
1522393213,129,95
1522400883,119,83
1522404723,74,67
1522412415,117,87
1522416243,60,66
1522420324,75,81
1522426082,126,104
1522431845,125,103
1522439524,124,117
1522447443,99,134
1522454165,118,156
1522460163,39,78
1522465924,118,120
1522473605,143,181
1522477447,87,57
1522483214,103,84
1522488964,71,52
1522492805,87,58
1522496645,75,73
1522502404,100,97
1522508166,118,98
1522513924,71,68
1522519923,133,88
1522527843,109,140
1522529763,60,78
1522535764,98,146
1522542484,120,86
1522548484,170,119
1522552323,61,84
1522558084,145,180
1522563844,105,43
1522567923,120,104
1522577523,124,82
1522585213,122,103
1522590963,120,114
1522596724,88,60
1522600563,69,65
1522604404,71,90
1522606566,88,84
1522613525,126,103
1522621443,110,137
1522627923,114,138
1522633683,32,78
1522637763,112,137
1522645923,141,162
1522651684,133,89
1522659364,112,89
1522665603,78,63
1522671363,124,101
1522679045,120,92
1522683125,85,62
1522686963,76,53
1522691523,64,69
1522693445,76,74
1522699219,116,119
1522707124,111,163
1522713365,123,155
1522717683,36,63
1522723444,114,131
1522729204,94,114
1522734964,156,115
1522744085,100,107
1522748882,69,54
1522752963,91,91
1522760643,112,81
1522768322,137,110
1522775045,139,117
1522781525,84,73
1522785365,93,69
1522787285,73,94
1522790403,87,90
1522796645,96,170
1522802644,97,85
1522806483,99,126
1522812484,68,86
1522818243,138,172
1522826405,134,101
1522832163,70,59
1522834083,102,104
1522842724,64,50
1522848725,126,102
1522854484,109,101
1522859525,76,56
1522865284,138,123
1522871046,103,74
1522877764,154,155
1522883524,71,101
1522886643,60,104
