DateTime,AddedIPs,RemovedIPs
1523109863,17,0
1523111783,17,6
1523113707,13,0
1523115618,15,12
1523117564,22,20
1523119454,23,13
1523121413,24,24
1523123290,12,18
1523125232,18,15
1523127136,15,21
1523129059,26,16
1523130982,15,19
1523134824,12,22
1523137705,23,36
1523139666,20,21
1523142513,11,22
1523146379,17,48
1523148253,16,14
1523150182,19,24
1523152337,26,16
1523154255,22,26
1523156176,26,22
1523160022,29,45
1523161943,28,20
1523163857,16,24
1523165782,31,20
1523167705,24,0
1523169618,32,21
1523171542,32,16
1523175388,10,34
1523177303,22,18
1523179216,12,4
1523181132,6,5
1523183055,7,6
1523184977,18,25
1523186898,18,14
1523188821,15,16
1523190741,19,0
1523192665,18,18
1523194570,29,11
1523196504,26,21
1523198415,29,17
1523200348,25,20
1523202259,31,21
1523204188,19,22
1523206101,13,18
1523208021,22,20
1523212933,6,36
1523215702,15,51
1523217619,24,14
1523219542,23,0
1523221462,17,12
1523223380,23,0
1523225306,18,25
1523227157,13,20
1523229153,15,11
1523231052,28,0
1523232981,22,15
1523234891,26,18
1523237064,11,20
1523238973,21,24
1523240889,21,21
1523242815,20,23
1523244753,22,0
1523246664,20,28
1523248573,31,27
1523252414,7,48
1523254340,29,21
1523256255,34,31
1523258173,32,39
1523260093,25,0
1523262010,14,10
1523263935,22,22
1523267774,9,13
1523269690,11,7
1523271657,11,17
1523273540,32,18
1523275474,14,15
1523277375,21,20
1523281214,13,48
1523283144,14,21
1523285560,13,30
1523287465,31,23
1523289379,17,27
1523291298,26,12
1523293226,11,22
1523295147,9,20
1523297067,7,0
1523298983,6,0
1523300899,15,14
1523302823,5,16
1523304747,15,23
1523307391,13,30
1523309292,13,16
1523311235,5,23
1523313365,12,19
1523315309,8,14
1523317209,9,17
1523319625,7,59
1523323452,21,29
1523325371,17,19
1523327532,8,62
1523329461,10,27
1523331370,16,28
1523333292,2,24
1523335213,9,28
1523337144,12,0
1523339051,21,18
1523340980,22,38
1523342890,20,43
1523344817,22,30
1523346731,20,30
1523348654,28,17
1523350567,11,20
1523352508,7,0
1523354412,11,9
1523356830,10,15
1523358982,24,11
1523360891,24,36
1523362823,8,17
1523364736,16,19
1523366661,30,0
1523368578,32,10
1523374337,27,64
1523376260,28,25
1523378174,11,31
1523380094,16,15
1523382014,20,9
1523383943,34,7
1523385934,18,6
1523388033,11,12
1523389935,2,4
1523391877,28,17
1523393776,4,0
1523397624,8,33
1523401702,10,21
1523403621,21,16
1523405543,20,0
1523407462,15,7
1523409385,16,0
1523411294,19,23
1523413566,36,15
1523415624,26,7
1523417532,9,7
1523419459,6,16
1523421368,6,2
1523423294,31,8
1523425207,14,14
1523427382,13,43
1523429295,34,19
1523431209,22,0
1523433133,26,41
1523435070,14,28
1523436969,11,14
1523439835,9,9
1523442017,8,9
1523443937,15,9
1523447776,21,43
1523449688,28,6
1523453543,27,47
1523455463,25,30
1523457374,17,0
1523459294,18,0
1523461216,12,17
1523463166,24,32
1523465060,20,12
1523466973,28,8
1523468892,35,18
1523470813,27,26
1523472735,15,21
1523474656,25,8
1523476573,12,4
1523478494,21,27
1523482338,20,6
1523484259,14,5
1523486406,9,0
1523488360,30,8
1523493623,10,39
1523495550,18,11
1523497704,23,33
1523499612,19,0
1523501551,5,29
1523503457,19,20
1523505389,26,8
1523507301,16,9
1523509235,7,6
1523511143,11,33
1523513065,12,20
1523514978,8,8
1523516917,25,29
1523518832,5,19
1523520753,10,22
1523522668,14,18
1523524593,5,11
1523526495,7,9
1523528422,9,4
1523530337,10,0
1523536348,19,62
1523538262,11,0
1523540185,7,28
1523542096,25,19
1523544026,6,14
1523545950,12,19
1523547862,15,13
1523549797,10,25
1523551696,19,26
1523553623,14,24
1523555552,10,34
1523557459,24,32
1523561290,20,41
1523563226,8,12
1523565142,12,20
1523567070,18,0
1523568979,16,17
1523573169,33,23
1523575590,26,30
1523577981,10,0
1523580119,26,9
1523582201,19,16
1523584092,21,0
1523586015,18,39
1523588022,21,7
1523589858,23,25
1523591767,17,0
1523593689,23,29
1523597535,23,29
1523599460,14,10
1523601617,9,24
1523603544,20,27
1523605462,31,7
1523609300,13,27
1523611211,6,7
1523613138,3,4
1523615057,5,7
1523616974,22,6
1523618893,20,0
1523620818,14,0
1523622746,19,0
1523624663,8,17
1523626577,16,0
1523628499,17,30
1523630417,19,0
1523632343,17,7
1523634256,16,12
1523637397,18,28
1523639300,8,18
1523643387,13,25
1523645295,27,23
1523649158,13,19
1523651056,13,9
1523652977,18,13
1523654896,19,17
1523656835,12,12
1523659159,12,0
1523661151,17,30
1523663052,21,22
1523664984,8,8
1523666893,14,22
1523668820,19,18
1523671746,18,20
1523673614,21,19
1523675782,18,21
1523677694,21,21
1523679612,20,14
1523681541,21,21
1523683460,15,0
1523685371,25,19
1523687291,17,23
1523689224,18,9
1523691140,16,23
1523693061,13,23
1523694980,15,0
1523696899,17,20
1523698816,0,6
1523700777,12,2
1523702686,6,4
1523704576,7,20
1523706560,11,13
1523708429,8,13
1523710355,21,17
1523712255,22,10
1523714193,27,21
1523716092,35,17
1523718028,24,18
1523719936,24,20
1523721869,17,23
1523723775,21,0
1523725713,14,27
1523727620,23,0
1523729548,29,0
1523731456,23,10
1523735300,24,21
1523739134,16,25
1523741064,23,13
1523742968,12,19
1523745499,26,13
1523749946,28,51
1523753787,21,23
1523755690,22,17
1523757876,18,0
1523760755,16,44
1523762902,25,17
1523764826,24,20
1523766988,26,26
1523768907,32,19
1523772742,32,42
1523776589,26,36
1523781152,14,39
1523785465,13,32
1523788353,21,7
1523790268,23,6
1523792427,22,7
1523794594,23,10
1523796743,17,15
1523798653,34,21
1523800835,12,47
1523802741,22,28
1523804668,17,26
1523806588,22,28
1523808537,18,17
1523810666,21,20
1523814498,23,39
1523816420,21,28
1523818337,14,27
1523820751,17,0
1523822663,23,28
1523824583,26,0
1523826766,17,15
1523828652,25,21
1523830582,24,14
1523832508,31,22
1523834434,23,0
1523836343,27,0
1523838259,21,35
1523844271,34,42
1523846191,31,19
1523848119,22,17
1523850025,28,32
1523851946,23,25
1523853867,13,27
1523855784,31,32
1523857704,29,0
1523859625,26,29
1523861544,25,0
1523863455,16,27
1523865376,8,0
1523867299,7,0
1523869232,10,16
1523871138,4,0
1523873070,7,13
1523874974,16,14
1523876912,24,22
1523878823,29,0
1523880750,19,18
1523882657,26,24
1523886498,34,48
1523888418,27,11
1523890338,23,20
1523892260,28,18
1523894175,7,20
1523896097,21,20
1523898037,17,15
1523899940,11,0
1523901868,10,22
1523903787,8,20
1523905705,9,19
1523907623,4,17
1523909556,8,21
1523911477,26,25
1523913651,13,17
1523915555,7,27
1523918082,12,25
1523922163,29,57
1523924198,24,23
1523926115,18,22
1523928008,6,0
1523929971,11,0
1523931875,20,36
1523933768,6,25
1523935694,18,24
1523937867,8,24
1523939770,4,20
1523941695,8,19
1523943637,9,33
1523945560,12,26
1523947456,18,29
1523949397,13,32
1523951315,19,20
1523953211,20,9
1523955133,28,7
1523957053,12,11
1523958968,10,5
1523960888,15,7
