DateTime,AddedIPs,RemovedIPs
1523109863,35,35
1523111783,54,43
1523113707,52,48
1523115618,43,52
1523117564,60,44
1523119454,43,60
1523121413,47,42
1523123290,40,48
1523125232,38,41
1523127136,58,41
1523129059,57,56
1523130982,57,58
1523134824,33,56
1523137705,58,33
1523139666,46,62
1523142513,28,44
1523146379,39,32
1523148253,29,37
1523150182,45,30
1523152337,59,42
1523154255,53,58
1523156176,60,54
1523160022,54,57
1523161943,50,57
1523163857,51,50
1523165782,54,51
1523167705,46,51
1523169618,51,47
1523171542,58,52
1523175388,24,62
1523177303,51,21
1523179216,26,54
1523181132,21,27
1523183055,17,20
1523184977,36,18
1523186898,46,33
1523188821,38,47
1523190741,41,34
1523192665,38,44
1523194570,48,36
1523196504,55,46
1523198415,63,58
1523200348,59,64
1523202259,57,58
1523204188,41,56
1523206101,42,38
1523208021,45,46
1523212933,23,44
1523215702,30,24
1523217619,41,33
1523219542,51,40
1523221462,32,51
1523223380,45,33
1523225306,40,42
1523227157,35,38
1523229153,35,41
1523231052,66,31
1523232981,52,63
1523234891,55,48
1523237064,33,62
1523238973,58,33
1523240889,55,56
1523242815,38,57
1523244753,51,39
1523246664,37,51
1523248573,51,33
1523252414,30,53
1523254340,62,32
1523256255,59,59
1523258173,44,63
1523260093,50,44
1523262010,25,52
1523263935,41,22
1523267774,16,46
1523269690,21,14
1523271657,31,21
1523273540,47,28
1523275474,32,48
1523277375,40,32
1523281214,27,39
1523283144,22,24
1523285560,39,25
1523287465,47,40
1523289379,46,48
1523291298,48,42
1523293226,21,50
1523295147,16,23
1523297067,15,14
1523298983,17,17
1523300899,21,15
1523302823,12,23
1523304747,25,12
1523307391,21,25
1523309292,38,18
1523311235,14,40
1523313365,23,13
1523315309,21,22
1523317209,14,23
1523319625,14,15
1523323452,37,14
1523325371,36,38
1523327532,16,34
1523329461,21,15
1523331370,23,21
1523333292,12,25
1523335213,19,9
1523337144,31,20
1523339051,39,27
1523340980,39,38
1523342890,31,38
1523344817,38,31
1523346731,37,36
1523348654,43,43
1523350567,28,49
1523352508,14,28
1523354412,15,14
1523356830,22,16
1523358982,51,21
1523360891,35,43
1523362823,11,43
1523364736,43,11
1523366661,50,33
1523368578,52,50
1523374337,42,53
1523376260,50,39
1523378174,20,59
1523380094,24,22
1523382014,32,23
1523383943,54,26
1523385934,38,56
1523388033,23,41
1523389935,10,23
1523391877,53,10
1523393776,11,53
1523397624,18,13
1523401702,20,13
1523403621,29,21
1523405543,46,32
1523407462,32,42
1523409385,28,34
1523411294,27,27
1523413566,57,28
1523415624,46,54
1523417532,12,49
1523419459,19,13
1523421368,9,20
1523423294,53,9
1523425207,24,54
1523427382,31,24
1523429295,62,29
1523431209,43,56
1523433133,46,41
1523435070,22,52
1523436969,20,27
1523439835,20,20
1523442017,20,21
1523443937,35,17
1523447776,37,28
1523449688,51,43
1523453543,53,52
1523455463,41,47
1523457374,34,45
1523459294,39,33
1523461216,30,41
1523463166,45,27
1523465060,50,45
1523466973,44,51
1523468892,58,45
1523470813,48,60
1523472735,40,44
1523474656,51,41
1523476573,26,51
1523478494,48,27
1523482338,37,47
1523484259,32,38
1523486406,15,29
1523488360,52,20
1523493623,17,52
1523495550,44,16
1523497704,41,42
1523499612,38,40
1523501551,15,40
1523503457,48,15
1523505389,49,45
1523507301,50,51
1523509235,15,54
1523511143,25,11
1523513065,30,23
1523514978,19,34
1523516917,47,17
1523518832,14,48
1523520753,29,16
1523522668,33,25
1523524593,20,35
1523526495,10,24
1523528422,13,9
1523530337,23,14
1523536348,34,18
1523538262,20,36
1523540185,22,21
1523542096,49,20
1523544026,13,52
1523545950,31,13
1523547862,47,27
1523549797,23,49
1523551696,47,23
1523553623,28,44
1523555552,16,31
1523557459,52,17
1523561290,42,50
1523563226,23,43
1523565142,35,25
1523567070,32,32
