DateTime,AddedIPs,RemovedIPs
1523714198,93,192
1523715148,167,118
1523716097,161,195
1523717059,144,143
1523718033,146,179
1523718988,123,183
1523719941,97,20
1523720894,141,266
1523721884,198,314
1523722815,94,22
1523723780,142,30
1523724736,101,222
1523725718,140,144
1523726663,69,12
1523727634,193,312
1523728570,108,26
1523729554,197,202
1523730504,170,164
1523731468,141,136
1523732423,150,166
1523733391,138,126
1523734343,131,132
1523735304,131,127
1523736266,138,211
1523737223,103,95
1523738187,152,187
1523739139,128,154
1523740095,178,153
1523741078,700,72
1523742260,647,179
1523743222,156,144
1523744190,449,2015
1523745519,191,31
1523746583,150,242
1523747546,126,24
1523749247,265,280
1523750171,108,141
1523751161,174,206
1523752093,144,162
1523753084,110,110
1523754268,190,146
1523755212,116,141
1523756188,183,394
1523757392,133,32
1523758350,155,143
1523759293,120,26
1523760771,211,426
1523761954,192,150
1523762908,141,149
1523763854,185,272
1523764831,115,181
1523765793,153,114
1523767004,208,367
1523767934,68,8
1523768912,162,254
1523769864,50,14
1523770822,199,174
1523771774,130,212
1523772758,167,179
1523773696,160,105
1523774677,164,330
1523775621,95,28
1523776600,169,294
1523778049,188,170
1523779728,261,309
1523781167,153,145
1523783091,276,246
1523784256,123,107
1523785487,215,278
1523786689,169,145
1523788369,270,286
1523789808,183,137
1523790765,190,139
1523791939,180,228
1523792900,93,18
1523793878,177,139
1523795075,140,220
1523796014,177,82
1523796986,154,172
1523797940,145,112
1523798894,152,145
1523799884,143,75
1523800853,180,193
1523801775,180,181
1523802746,158,152
1523803695,129,165
1523804682,238,148
1523805615,119,139
1523806592,178,133
1523807534,130,158
1523808541,213,121
1523809462,129,192
1523810681,231,113
1523811621,173,162
1523812583,186,117
1523813540,160,174
1523814503,122,104
1523815470,256,185
1523816424,113,122
1523817388,171,149
1523818343,145,186
1523819305,197,174
1523820766,225,248
1523821696,108,14
1523822667,184,234
1523823622,88,15
1523824596,205,274
1523826782,435,304
1523827943,806,122
1523828892,530,138
1523829875,478,1541
1523831059,192,173
1523832017,160,138
1523832998,138,139
1523833950,150,231
1523834904,150,21
1523835861,116,96
1523836832,117,144
1523837786,148,119
1523838742,192,144
1523839696,130,195
1523840661,161,28
1523841611,117,92
1523842595,190,253
1523843777,147,30
1523844752,175,299
1523845694,127,165
1523846655,112,21
1523847622,100,188
1523848584,122,138
1523849636,154,150
1523850744,128,103
1523851963,153,146
1523852892,138,170
1523853882,132,100
1523854843,138,154
1523855792,191,96
1523856739,175,218
1523857709,128,98
1523858661,140,183
1523859631,106,134
1523860583,165,132
1523861561,122,132
1523862495,166,147
1523863460,150,229
1523864412,122,28
1523865391,147,255
1523866347,219,176
1523867303,119,14
1523868270,174,259
1523869238,134,17
1523870192,138,98
1523871143,118,212
1523872094,203,202
1523873084,137,28
1523874013,162,235
1523874978,189,208
1523875953,102,22
1523876916,173,212
1523877854,130,193
1523878829,196,129
1523879776,157,179
1523880769,162,114
1523881694,96,171
1523882663,219,168
1523883622,174,156
1523884605,182,150
1523885540,130,149
1523886503,146,127
1523887469,143,141
1523888423,209,158
1523889376,165,129
1523890354,137,200
1523891296,252,119
1523892265,117,140
1523893219,188,142
1523894180,116,213
1523895144,217,144
1523896102,139,196
1523897063,154,15
1523898041,204,297
1523898999,137,170
1523899944,155,124
1523900896,117,19
1523901901,205,364
1523902818,95,21
1523903791,238,268
1523904737,110,15
1523905709,218,455
1523906658,108,21
1523907627,171,137
1523908574,140,188
1523909569,214,118
1523910492,162,201
1523911483,202,269
1523913665,444,186
1523914582,859,100
1523915560,487,1582
1523916526,479,208
1523918098,300,151
1523919186,128,129
1523920096,230,157
1523921063,140,195
1523922168,262,151
1523923249,218,233
1523924202,148,132
1523925160,144,101
1523926119,253,170
1523927084,172,107
1523928018,117,138
1523928983,152,19
1523929976,151,161
1523930896,150,141
1523931884,123,154
1523932821,205,122
1523933773,97,100
1523934741,158,142
1523935699,137,136
1523936750,161,118
1523937883,197,150
1523938813,93,115
1523939776,161,117
1523940739,61,77
1523941700,184,170
1523942678,66,102
1523943642,181,147
1523944598,83,127
1523945565,131,125
1523946516,111,147
1523947461,178,91
1523948421,73,128
1523949411,196,140
1523950338,55,123
1523951320,213,100
1523952270,152,189
1523953216,118,134
1523954177,115,133
1523955147,177,160
1523956096,170,160
1523957058,106,96
1523958014,298,203
1523958983,126,123
1523959952,217,146
1523960893,122,159
1523961854,173,112
1523962830,174,178
1523963899,136,120
1523964970,217,194
1523965943,127,107
1523966895,227,168
1523967885,86,76
1523968812,157,225
1523969805,69,118
1523970739,165,164
1523971700,122,145
1523972655,141,151
1523973629,177,203
1523974584,158,169
1523975561,137,161
1523976506,156,106
1523977462,238,341
1523978415,105,83
1523979384,205,207
1523980346,126,56
1523981324,167,238
1523982268,113,93
1523983220,175,155
1523984181,174,134
1523985142,159,152
1523986101,159,138
1523987061,127,144
1523988021,131,147
1523988986,139,113
1523989946,173,174
1523990905,96,129
1523991863,134,125
1523992816,117,147
1523993792,224,191
1523994765,157,126
1523995700,155,178
1523996656,204,127
1523998872,397,411
1524000014,413,21
1524000994,690,291
1524001935,583,3
1524002912,457,1645
1524003866,134,215
1524004992,253,120
1524006021,166,166
1524006985,137,91
1524007937,132,248
1524008895,193,152
1524009857,172,130
1524010830,118,92
1524011784,144,201
1524012739,237,171
1524013738,128,117
1524015650,297,305
1524016609,198,177
1524017557,135,130
1524018499,147,169
1524019471,183,107
1524020425,168,162
1524021389,108,103
1524022339,119,176
1524023304,194,162
1524024265,171,55
1524025243,123,237
1524026202,199,93
1524027162,125,148
1524028124,224,102
1524029080,83,190
1524030039,201,47
1524031000,182,213
1524031974,150,111
1524032928,96,146
1524033882,211,80
1524034836,154,194
1524035796,108,24
1524036747,68,228
1524037701,235,57
1524038792,197,255
1524039875,85,73
1524040904,297,171
1524042023,163,168
1524043433,145,89
1524044416,257,314
1524045373,83,18
1524046359,357,452
1524047295,166,216
1524048265,180,164
1524049227,168,27
1524050182,116,114
1524051254,183,187
1524052353,177,388
1524053559,237,123
1524054500,129,164
1524055458,158,81
1524056418,181,200
1524057411,218,137
1524058339,157,135
1524059294,140,109
1524060295,224,149
1524061490,150,126
1524062412,200,208
1524063371,177,170
1524065337,330,318
1524066517,182,151
1524067495,248,150
1524068439,114,115
1524069386,222,163
1524070334,128,160
1524071334,194,154
1524072259,127,153
1524073243,197,133
1524074174,176,143
1524075166,166,153
1524076093,126,130
1524077065,172,131
1524078015,133,166
1524078986,147,151
1524079940,129,153
1524080905,131,157
1524081861,205,165
1524082816,167,262
1524083785,244,369
1524084748,106,16
1524085699,400,162
1524086688,483,139
1524087614,632,161
1524088581,206,1650
1524089541,462,178
1524090821,190,244
1524091951,111,153
1524093924,304,283
1524094835,219,192
1524095781,152,146
1524096790,131,142
1524098207,171,279
1524099374,113,96
1524100347,214,255
1524101294,151,37
1524102285,100,120
1524103239,120,152
1524104190,153,150
1524105138,168,203
1524106101,102,99
1524107059,129,125
1524108022,82,133
1524108973,149,163
1524109970,73,147
1524110984,171,113
1524112100,146,189
1524113056,141,101
1524114017,110,172
1524114985,146,78
1524115953,108,201
1524116897,185,167
1524117868,128,130
1524118811,74,60
1524119797,149,203
1524120736,114,151
1524121704,193,133
1524122658,46,48
1524123660,179,254
1524125335,237,225
1524126282,115,255
1524127238,129,27
1524128197,113,144
1524129170,216,168
1524130091,102,260
1524131079,202,93
1524132028,117,242
1524132978,243,182
1524133948,173,176
1524135158,140,153
1524136117,250,155
1524137055,155,229
1524138023,203,148
1524138982,101,214
1524139967,328,214
1524140892,41,4
1524141859,212,307
1524142825,208,158
1524143798,123,22
1524144739,122,135
1524145696,213,412
1524146672,144,32
1524147647,80,124
1524148582,149,199
1524149539,120,143
1524151014,307,318
1524151936,172,222
1524152897,138,28
1524153859,119,292
1524155080,132,291
1524156012,204,220
1524157000,451,316
1524157953,153,148
1524158903,146,207
1524159873,206,147
1524160829,213,218
1524161783,150,115
1524162761,153,160
1524163695,151,125
1524164684,206,201
1524165624,94,123
1524166587,154,115
1524167536,142,238
1524168516,188,101
1524169453,92,135
1524170428,167,130
1524171388,212,226
1524172382,436,111
1524173292,509,119
1524174289,658,88
1524175221,142,1564
1524176191,396,234
1524177142,72,9
1524178106,140,141
1524180301,281,286
1524181215,184,196
1524182190,177,276
1524183138,85,15
1524184112,138,158
1524185071,167,138
1524186034,124,169
1524186984,105,100
1524187945,87,102
1524188911,145,143
1524189885,171,168
1524190817,111,138
1524191792,174,132
1524192733,113,132
1524193724,88,79
1524194657,101,164
1524195652,151,98
1524196570,152,164
1524197579,131,110
1524198511,64,152
1524199483,177,126
1524200683,150,127
1524201621,77,79
1524202845,201,168
1524204023,176,142
1524204999,140,88
1524205940,132,125
1524206892,140,113
1524207888,174,185
1524208810,88,58
1524209879,192,196
1524210983,82,247
1524211984,171,103
1524213158,162,166
1524214092,125,88
1524215332,188,165
1524216270,110,66
1524217323,164,207
1524218423,109,58
1524219396,184,322
