DateTime,Entries,UniqueIPs
1523714198,61236,61236
1523715148,61274,61274
1523716097,61234,61234
1523717059,61250,61250
1523718033,61280,61280
1523718988,61255,61255
1523719941,61245,61245
1523720894,61239,61239
1523721884,61248,61248
1523722815,61271,61271
1523723780,61261,61261
1523724736,61245,61245
1523725718,61217,61217
1523726663,61239,61239
1523727634,61215,61215
1523728570,61238,61238
1523729554,61233,61233
1523730504,61185,61185
1523731468,61219,61219
1523732423,61204,61204
1523733391,61193,61193
1523734343,61224,61224
1523735304,61182,61182
1523736266,61204,61204
1523737223,61185,61185
1523738187,61213,61213
1523739139,61143,61143
1523740095,61185,61185
1523741078,61780,61780
1523742260,62310,62310
1523743222,60714,60714
1523744190,60770,60770
1523745519,60784,60784
1523746583,60784,60784
1523747546,60759,60759
1523749247,60771,60771
1523750171,60751,60751
1523751161,60766,60766
1523752093,60757,60757
1523753084,60762,60762
1523754268,60769,60769
1523755212,60772,60772
1523756188,60765,60765
1523757392,60771,60771
1523758350,60780,60780
1523759293,60780,60780
1523760771,60776,60776
1523761954,60795,60795
1523762908,60792,60792
1523763854,60799,60799
1523764831,60796,60796
1523765793,60794,60794
1523767004,60809,60809
1523767934,60802,60802
1523768912,60787,60787
1523769864,60767,60767
1523770822,60759,60759
1523771774,60747,60747
1523772758,60728,60728
1523773696,60705,60705
1523774677,60703,60703
1523775621,60674,60674
1523776600,60681,60681
1523778049,60665,60665
1523779728,60642,60642
1523781167,60632,60632
1523783091,60624,60624
1523784256,60628,60628
1523785487,60595,60595
1523786689,60611,60611
1523788369,60598,60598
1523789808,60591,60591
1523790765,60612,60612
1523791939,60606,60606
1523792900,60603,60603
1523793878,60607,60607
1523795075,60611,60611
1523796014,60649,60649
1523796986,60629,60629
1523797940,60662,60662
1523798894,60655,60655
1523799884,60616,60616
1523800853,60621,60621
1523801775,60624,60624
1523802746,60645,60645
1523803695,60648,60648
1523804682,60606,60606
1523805615,60606,60606
1523806592,60651,60651
1523807534,60655,60655
1523808541,60614,60614
1523809462,60631,60631
1523810681,60610,60610
1523811621,60618,60618
1523812583,60621,60621
1523813540,60629,60629
1523814503,60637,60637
1523815470,60650,60650
1523816424,60660,60660
1523817388,60669,60669
1523818343,60665,60665
1523819305,60679,60679
1523820766,60701,60701
1523821696,60707,60707
1523822667,60724,60724
1523823622,60710,60710
1523824596,60736,60736
1523826782,60882,60882
1523827943,61582,61582
1523828892,62047,62047
1523829875,60356,60356
1523831059,60358,60358
1523832017,60351,60351
1523832998,60393,60393
1523833950,60432,60432
1523834904,60396,60396
1523835861,60376,60376
1523836832,60397,60397
1523837786,60398,60398
1523838742,60424,60424
1523839696,60407,60407
1523840661,60444,60444
