DateTime,AddedIPs,RemovedIPs
1523714198,381,378
1523715148,871,873
1523716097,659,650
1523717059,620,624
1523718033,735,729
1523718988,592,596
1523719941,571,570
1523720894,514,511
1523721884,752,751
1523722815,410,405
1523723780,804,807
1523724736,440,443
1523725718,644,654
1523726663,324,324
1523727634,801,804
1523728570,550,541
1523729554,723,718
1523730504,584,585
1523731468,615,624
1523732423,687,677
1523733391,673,667
1523734343,595,592
1523735304,610,615
1523736266,582,581
1523737223,537,543
1523738187,717,717
1523739139,555,553
1523740095,627,630
1523741078,705,697
1523742260,631,616
1523743222,542,536
1523744190,1982,1998
1523745519,867,868
1523746583,550,558
1523747546,689,680
1523749247,988,990
1523750171,465,466
1523751161,760,759
1523752093,573,567
1523753084,575,582
1523754268,883,903
1523755212,390,393
1523756188,663,654
1523757392,648,636
1523758350,708,704
1523759293,579,577
1523760771,812,812
1523761954,895,896
1523762908,559,558
1523763854,624,626
1523764831,479,486
1523765793,726,734
1523767004,691,698
1523767934,440,436
1523768912,660,657
1523769864,326,331
1523770822,959,953
1523771774,431,430
1523772758,879,878
1523773696,560,562
1523774677,588,581
1523775621,567,571
1523776600,555,558
1523778049,851,854
1523779728,1076,1080
1523781167,651,665
1523783091,1187,1192
1523784256,505,505
1523785487,891,894
1523786689,723,745
1523788369,975,977
1523789808,835,833
1523790765,781,783
1523791939,822,826
1523792900,480,480
1523793878,723,721
1523795075,554,553
1523796014,756,762
1523796986,597,599
1523797940,599,611
1523798894,584,582
1523799884,652,642
1523800853,619,621
1523801775,559,564
1523802746,633,641
1523803695,484,484
1523804682,826,829
1523805615,417,428
1523806592,723,725
1523807534,543,548
1523808541,790,786
1523809462,454,449
1523810681,946,957
1523811621,756,758
1523812583,613,600
1523813540,686,678
1523814503,547,551
1523815470,871,870
1523816424,457,458
1523817388,610,602
1523818343,699,691
1523819305,743,750
1523820766,923,922
1523821696,555,555
1523822667,764,754
1523823622,469,479
1523824596,823,828
1523826782,1231,1206
1523827943,784,766
1523828892,532,524
1523829875,1981,2001
1523831059,751,749
1523832017,550,546
1523832998,626,615
1523833950,534,538
1523834904,697,693
1523835861,588,586
1523836832,471,474
1523837786,598,593
1523838742,589,586
1523839696,570,568
1523840661,769,768
1523841611,518,509
1523842595,661,658
1523843777,742,739
1523844752,584,576
1523845694,594,596
1523846655,678,673
1523847622,467,465
1523848584,654,657
1523849636,704,704
1523850744,493,496
1523851963,753,756
1523852892,601,593
1523853882,556,550
1523854843,403,402
1523855792,825,821
1523856739,629,632
1523857709,583,581
1523858661,577,576
1523859631,496,498
1523860583,662,662
1523861561,438,437
1523862495,675,679
1523863460,611,617
1523864412,621,614
1523865391,403,414
1523866347,821,822
1523867303,621,622
1523868270,617,619
1523869238,660,659
1523870192,597,595
1523871143,394,391
1523872094,736,726
1523873084,652,641
1523874013,491,493
1523874978,694,700
1523875953,453,461
1523876916,796,796
1523877854,435,434
1523878829,829,809
1523879776,553,558
1523880769,746,738
1523881694,268,264
1523882663,925,934
1523883622,630,628
1523884605,583,573
1523885540,579,580
1523886503,579,579
1523887469,622,630
1523888423,645,642
1523889376,705,723
1523890354,385,380
1523891296,1025,1034
1523892265,333,328
1523893219,855,851
1523894180,270,278
1523895144,986,989
1523896102,505,504
1523897063,691,687
1523898041,592,598
1523898999,562,562
1523899944,604,599
1523900896,640,639
1523901901,629,627
1523902818,463,470
1523903791,826,830
1523904737,542,549
1523905709,627,634
1523906658,529,549
1523907627,712,723
1523908574,508,512
1523909569,792,792
1523910492,589,589
1523911483,629,632
1523913665,1301,1307
1523914582,851,842
1523915560,462,465
1523916526,1992,2003
1523918098,1096,1107
1523919186,459,459
1523920096,870,866
1523921063,413,407
1523922168,1042,1040
1523923249,764,775
