DateTime,Entries,UniqueIPs
1523714198,2355,2355
1523715148,2353,2353
1523716097,2362,2362
1523717059,2358,2358
1523718033,2364,2364
1523718988,2360,2360
1523719941,2361,2361
1523720894,2364,2364
1523721884,2365,2365
1523722815,2370,2370
1523723780,2367,2367
1523724736,2364,2364
1523725718,2354,2354
1523726663,2354,2354
1523727634,2351,2351
1523728570,2360,2360
1523729554,2365,2365
1523730504,2364,2364
1523731468,2355,2355
1523732423,2365,2365
1523733391,2371,2371
1523734343,2374,2374
1523735304,2369,2369
1523736266,2370,2370
1523737223,2364,2364
1523738187,2364,2364
1523739139,2366,2366
1523740095,2363,2363
1523741078,2371,2371
1523742260,2386,2386
1523743222,2392,2392
1523744190,2376,2376
1523745519,2375,2375
1523746583,2367,2367
1523747546,2376,2376
1523749247,2374,2374
1523750171,2373,2373
1523751161,2374,2374
1523752093,2380,2380
1523753084,2373,2373
1523754268,2353,2353
1523755212,2350,2350
1523756188,2359,2359
1523757392,2371,2371
1523758350,2375,2375
1523759293,2377,2377
1523760771,2377,2377
1523761954,2376,2376
1523762908,2377,2377
1523763854,2375,2375
1523764831,2368,2368
1523765793,2360,2360
1523767004,2353,2353
1523767934,2357,2357
1523768912,2360,2360
1523769864,2355,2355
1523770822,2361,2361
1523771774,2362,2362
1523772758,2363,2363
1523773696,2361,2361
1523774677,2368,2368
1523775621,2364,2364
1523776600,2361,2361
1523778049,2358,2358
1523779728,2354,2354
1523781167,2340,2340
1523783091,2335,2335
1523784256,2335,2335
1523785487,2332,2332
1523786689,2310,2310
1523788369,2308,2308
1523789808,2310,2310
1523790765,2308,2308
1523791939,2304,2304
1523792900,2304,2304
1523793878,2306,2306
1523795075,2307,2307
1523796014,2301,2301
1523796986,2299,2299
1523797940,2287,2287
1523798894,2289,2289
1523799884,2299,2299
1523800853,2297,2297
1523801775,2292,2292
1523802746,2284,2284
1523803695,2284,2284
1523804682,2281,2281
1523805615,2270,2270
1523806592,2268,2268
1523807534,2263,2263
1523808541,2267,2267
1523809462,2272,2272
1523810681,2261,2261
1523811621,2259,2259
1523812583,2272,2272
1523813540,2280,2280
1523814503,2276,2276
1523815470,2277,2277
1523816424,2276,2276
1523817388,2284,2284
1523818343,2292,2292
1523819305,2285,2285
1523820766,2286,2286
1523821696,2286,2286
1523822667,2296,2296
1523823622,2286,2286
1523824596,2281,2281
1523826782,2306,2306
1523827943,2324,2324
1523828892,2332,2332
1523829875,2312,2312
1523831059,2314,2314
1523832017,2318,2318
1523832998,2329,2329
1523833950,2325,2325
1523834904,2329,2329
1523835861,2331,2331
1523836832,2328,2328
1523837786,2333,2333
1523838742,2336,2336
1523839696,2338,2338
1523840661,2339,2339
1523841611,2348,2348
1523842595,2351,2351
1523843777,2354,2354
1523844752,2362,2362
1523845694,2360,2360
1523846655,2365,2365
1523847622,2367,2367
1523848584,2364,2364
1523849636,2364,2364
1523850744,2361,2361
1523851963,2358,2358
1523852892,2366,2366
1523853882,2372,2372
1523854843,2373,2373
1523855792,2377,2377
1523856739,2374,2374
1523857709,2376,2376
1523858661,2377,2377
1523859631,2375,2375
1523860583,2375,2375
1523861561,2376,2376
1523862495,2372,2372
1523863460,2366,2366
1523864412,2373,2373
1523865391,2362,2362
1523866347,2361,2361
1523867303,2360,2360
1523868270,2358,2358
1523869238,2359,2359
1523870192,2361,2361
1523871143,2364,2364
1523872094,2374,2374
1523873084,2385,2385
1523874013,2383,2383
1523874978,2377,2377
1523875953,2369,2369
1523876916,2369,2369
1523877854,2370,2370
1523878829,2390,2390
1523879776,2385,2385
1523880769,2393,2393
1523881694,2397,2397
1523882663,2388,2388
1523883622,2390,2390
1523884605,2400,2400
1523885540,2399,2399
1523886503,2399,2399
1523887469,2391,2391
1523888423,2394,2394
1523889376,2376,2376
1523890354,2381,2381
1523891296,2372,2372
1523892265,2377,2377
1523893219,2381,2381
1523894180,2373,2373
1523895144,2370,2370
1523896102,2371,2371
1523897063,2375,2375
1523898041,2369,2369
1523898999,2369,2369
1523899944,2374,2374
1523900896,2375,2375
1523901901,2377,2377
1523902818,2370,2370
1523903791,2366,2366
1523904737,2359,2359
1523905709,2352,2352
1523906658,2332,2332
1523907627,2321,2321
1523908574,2317,2317
1523909569,2317,2317
1523910492,2317,2317
1523911483,2314,2314
1523913665,2308,2308
1523914582,2317,2317
1523915560,2314,2314
1523916526,2303,2303
1523918098,2292,2292
1523919186,2292,2292
1523920096,2296,2296
1523921063,2302,2302
1523922168,2304,2304
1523923249,2293,2293
1523924202,2291,2291
1523925160,2299,2299
1523926119,2303,2303
1523927084,2304,2304
1523928018,2303,2303
1523928983,2301,2301
1523929976,2297,2297
1523930896,2298,2298
1523931884,2295,2295
1523932821,2299,2299
1523933773,2295,2295
1523934741,2305,2305
1523935699,2312,2312
1523936750,2308,2308
1523937883,2299,2299
1523938813,2300,2300
