DateTime,AddedIPs,RemovedIPs
1523714196,6,18
1523715146,4,12
1523716095,13,16
1523717057,12,17
1523718031,9,18
1523718987,11,26
1523719939,8,0
1523720892,9,31
1523721881,9,31
1523722813,9,0
1523723778,5,0
1523724733,5,34
1523725716,3,14
1523726661,6,0
1523727633,5,24
1523728568,5,0
1523729552,8,17
1523730502,1,17
1523731465,3,10
1523732421,7,7
1523733389,11,16
1523734341,3,17
1523735302,2,10
1523736264,7,18
1523737222,3,10
1523738185,8,14
1523739137,4,10
1523740093,4,9
1523741077,3,12
1523742258,7,8
1523743220,3,12
1523744188,5,24
1523745517,7,0
1523746581,5,19
1523747544,8,0
1523749245,7,9
1523750169,4,8
1523751160,8,10
1523752091,4,4
1523753082,6,4
1523754264,6,4
1523755210,2,1
1523756186,8,29
1523757390,5,0
1523758348,7,9
1523759291,3,0
1523760769,3,22
1523761952,4,3
1523762906,2,7
1523763852,3,8
1523764829,3,6
1523765791,4,8
1523767002,5,21
1523767931,1,0
1523768910,6,31
1523769862,3,0
1523770819,6,11
1523771772,6,7
1523772755,5,7
1523773694,2,4
1523774675,9,19
1523775619,3,0
1523776598,3,22
1523778047,13,10
1523779725,6,17
1523781165,8,12
1523783089,9,18
1523784253,8,2
1523785484,6,18
1523786688,8,8
1523788366,12,28
1523789806,4,12
1523790763,7,7
1523791936,4,3
1523792898,4,5
1523793876,6,3
1523795074,4,11
1523796012,8,5
1523796984,4,7
1523797938,5,3
1523798892,0,5
1523799881,4,6
1523800851,3,4
1523801773,7,8
1523802744,7,8
1523803693,4,7
1523804680,2,9
1523805613,1,9
1523806590,5,6
1523807532,5,3
1523808539,5,8
1523809460,8,6
1523810679,4,3
1523811619,4,7
1523812581,9,4
1523813538,3,11
1523814500,8,2
1523815468,5,5
1523816423,8,3
1523817386,8,9
1523818340,1,7
1523819303,4,7
1523820764,5,6
1523821694,6,0
1523822665,8,10
1523823620,3,0
1523824594,4,6
1523826780,16,6
1523827941,7,4
1523828891,6,3
1523829872,2,8
1523831057,9,9
1523832015,9,10
1523832996,12,3
1523833949,3,10
1523834902,4,0
1523835859,8,5
1523836830,5,7
1523837785,9,1
1523838740,5,7
1523839694,10,9
1523840660,5,0
1523841610,6,2
1523842593,6,6
1523843775,7,0
1523844750,12,12
1523845693,6,4
1523846652,10,0
1523847620,5,7
1523848582,6,5
1523849634,6,3
1523850742,3,1
1523851961,4,7
1523852890,9,7
1523853880,5,1
1523854841,5,9
1523855790,2,5
1523856737,4,5
