DateTime,Entries,UniqueIPs
1523712257,3750,3802
1523713215,3750,3805
1523714196,3748,3803
1523715146,3752,3807
1523716095,3753,3809
1523717057,3761,3819
1523718031,3767,3828
1523718987,3762,3828
1523719939,3767,3833
1523720892,3772,3838
1523721881,3767,3839
1523722813,3776,3848
1523723778,3772,3844
1523724733,3767,3839
1523725716,3765,3837
1523726661,3771,3843
1523727633,3767,3839
1523728568,3772,3844
1523729552,3776,3848
1523730502,3768,3840
1523731465,3771,3843
1523732421,3772,3844
1523733389,3762,3834
1523734341,3765,3837
1523735302,3759,3831
1523736264,3762,3834
1523737222,3756,3828
1523738185,3764,3836
1523739137,3754,3827
1523740093,3758,3831
1523741077,3754,3827
1523742258,3758,3831
1523743220,3756,3829
1523744188,3758,3831
1523745517,3760,3833
1523746581,3759,3832
1523747544,3761,3834
1523749245,3764,3837
1523750169,3761,3835
1523751160,3764,3838
1523752091,3762,3836
1523753082,3765,3839
1523754264,3766,3840
1523755210,3763,3837
1523756186,3768,3842
1523757390,3767,3841
1523758348,3771,3845
1523759291,3770,3844
1523760769,3770,3844
1523761952,3769,3843
1523762906,3768,3842
1523763852,3767,3841
1523764829,3763,3837
1523765791,3762,3836
1523767002,3758,3832
1523767931,3752,3826
1523768910,3756,3830
1523769862,3752,3826
1523770819,3757,3831
1523771772,3760,3835
1523772755,3763,3838
1523773694,3763,3838
1523774675,3768,3843
1523775619,3768,3843
1523776598,3768,3844
1523778047,3764,3840
1523779725,3764,3839
1523781165,3768,3844
1523783089,3769,3846
1523784253,3771,3849
1523785484,3770,3848
1523786688,3770,3848
1523788366,3779,3856
1523789806,3778,3855
1523790763,3783,3860
1523791936,3785,3862
1523792898,3786,3863
1523793876,3784,3861
1523795074,3782,3859
1523796012,3790,3867
1523796984,3789,3866
1523797938,3794,3871
1523798892,3790,3867
1523799881,3786,3863
1523800851,3786,3863
1523801773,3789,3866
1523802744,3796,3873
1523803693,3795,3872
1523804680,3792,3869
1523805613,3790,3867
1523806590,3795,3872
1523807532,3800,3877
1523808539,3802,3879
1523809460,3805,3882
1523810679,3806,3883
1523811619,3801,3878
1523812581,3809,3886
1523813538,3808,3885
1523814500,3810,3889
1523815468,3809,3888
1523816423,3812,3891
1523817386,3819,3898
1523818340,3819,3898
1523819303,3819,3898
1523820764,3823,3902
1523821694,3821,3900
1523822665,3825,3904
1523823620,3823,3902
1523824594,3802,3878
1523826780,3790,3862
1523827941,3786,3858
1523828891,3783,3855
1523829872,3780,3852
1523831057,3779,3851
1523832015,3774,3846
1523832996,3786,3858
1523833949,3789,3861
1523834902,3787,3859
1523835859,3792,3864
1523836830,3797,3869
1523837785,3799,3871
1523838740,3804,3876
1523839694,3806,3878
1523840660,3811,3883
1523841610,3810,3882
1523842593,3810,3883
1523843775,3813,3886
1523844750,3818,3891
1523845693,3820,3893
1523846652,3830,3903
1523847620,3833,3906
1523848582,3832,3905
1523849634,3836,3909
1523850742,3833,3906
1523851961,3832,3906
1523852890,3838,3912
1523853880,3840,3914
1523854841,3841,3915
1523855790,3841,3915
1523856737,3839,3913
1523857706,3842,3916
1523858659,3842,3916
1523859628,3844,3918
1523860581,3844,3918
1523861559,3839,3913
1523862494,3841,3915
1523863458,3843,3917
1523864410,3849,3923
1523865389,3850,3924
1523866344,3856,3930
1523867301,3856,3930
1523868269,3860,3934
1523869236,3859,3933
1523870191,3864,3938
1523871141,3866,3940
1523872092,3867,3941
1523873082,3872,3946
1523874011,3880,3954
1523874977,3878,3952
1523875951,3879,3953
1523876915,3875,3949
1523877852,3874,3948
1523878827,3879,3953
1523879775,3878,3952
1523880768,3882,3956
1523881692,3881,3955
1523882660,3881,3955
1523883620,3879,3953
1523884603,3880,3954
1523885538,3881,3955
1523886501,3884,3958
1523887467,3885,3959
1523888420,3884,3958
1523889374,3886,3960
1523890352,3892,3966
1523891294,3893,3967
1523892263,3893,3967
1523893217,3892,3966
1523894178,3894,3968
1523895142,3897,3971
1523896100,3898,3972
1523897061,3892,3966
1523898040,3891,3965
1523898996,3895,3969
1523899943,3903,3977
1523900893,3905,3979
1523901899,3908,3982
1523902816,3904,3978
1523903789,3905,3979
1523904735,3899,3973
1523905708,3903,3977
1523906656,3904,3979
1523907626,3904,3979
1523908573,3898,3974
1523909567,3898,3974
1523911482,3898,3974
1523913663,3901,3978
1523914580,3899,3976
1523915558,3899,3976
1523916524,3903,3980
1523918095,3899,3976
1523919183,3894,3971
1523920094,3898,3975
1523921061,3897,3974
1523922167,3896,3973
1523923247,3894,3971
1523924200,3897,3974
1523925158,3896,3973
1523926118,3894,3971
1523927082,3894,3971
1523928016,3893,3970
1523928981,3896,3973
1523929974,3890,3967
1523930894,3891,3968
1523931882,3892,3969
1523932819,3897,3974
1523933771,3896,3973
1523934739,3899,3976
1523935697,3902,3979
1523936748,3904,3981
1523937880,3904,3981
1523938810,3907,3984
1523939773,3904,3981
1523940737,3904,3981
1523941697,3914,3991
1523942676,3914,3991
1523943640,3908,3985
1523944596,3907,3984
1523945563,3909,3986
1523946514,3906,3983
1523947459,3915,3992
1523948419,3920,3997
1523949409,3913,3993
1523950336,3913,3993
1523951318,3915,3995
1523952268,3913,3993
1523953214,3914,3994
1523954175,3917,3997
1523955145,3918,3998
1523956094,3920,4000
1523957056,3923,4003
1523958011,3921,4001
1523958981,3918,3998
1523959949,3925,4005
1523960891,3915,3995
1523961852,3913,3993
1523962828,3916,3996
1523963897,3917,3997
1523964967,3921,4001
1523965941,3923,4003
1523966892,3923,4003
1523967883,3923,4003
1523968810,3923,4003
1523969803,3923,4003
1523970737,3928,4008
1523971698,3931,4011
1523972652,3929,4008
1523973627,3932,4011
1523974582,3938,4017
1523975559,3935,4014
1523976504,3929,4008
1523977460,3929,4008
1523978413,3925,4004
1523979382,3929,4008
1523980344,3932,4011
1523981322,3929,4008
1523982267,3920,3996
1523983218,3923,3999
1523984179,3927,4003
1523985141,3926,4002
1523986098,3927,4003
1523987058,3926,4002
1523988019,3930,4006
1523988984,3928,4004
1523989945,3931,4007
1523990902,3934,4010
1523991861,3938,4014
1523992814,3939,4015
1523993790,3937,4013
1523994762,3935,4011
1523995698,3938,4014
1523996654,3944,4020
1523998870,3950,4028
1524000012,3950,4028
1524000992,3944,4022
1524001934,3947,4026
1524002910,3946,4025
1524004990,3954,4034
1524006019,3955,4035
1524006983,3953,4033
1524007935,3943,4023
1524008893,3941,4020
1524009855,3945,4024
1524010828,3939,4018
1524011782,3939,4018
1524012737,3940,4019
1524013736,3933,4013
1524015648,3931,4014
1524016607,3926,4009
1524017555,3930,4013
1524018498,3932,4015
1524019469,3934,4017
1524020423,3935,4018
1524021388,3936,4019
1524022337,3928,4011
1524023302,3931,4014
1524024262,3928,4011
1524025241,3926,4009
1524026200,3922,4005
1524027160,3923,4006
1524028121,3924,4007
1524029078,3921,4004
1524030037,3928,4011
1524030998,3931,4014
1524031972,3930,4013
1524032926,3927,4010
1524033880,3927,4010
1524034834,3922,4005
1524035794,3923,4006
1524036745,3927,4010
1524037699,3930,4013
1524038789,3931,4013
1524039873,3931,4013
1524040901,3929,4011
1524042021,3930,4012
1524043431,3927,4009
1524044414,3935,4017
1524045371,3933,4015
1524046357,3937,4019
1524047293,3938,4020
1524048264,3948,4030
1524049225,3955,4037
1524050180,3953,4035
1524051252,3957,4039
1524052351,3953,4035
1524053556,3956,4038
1524054498,3962,4044
1524055456,3968,4050
1524056416,3979,4061
1524057409,3984,4066
1524058338,3993,4075
1524059292,3999,4081
1524060293,3995,4077
1524061488,3988,4070
1524062410,3986,4068
1524063370,3982,4064
1524065335,3982,4064
1524066515,3985,4067
1524067493,3983,4065
1524068438,3983,4065
1524069384,3992,4074
1524070332,3994,4076
1524071332,4001,4083
1524072258,3998,4080
1524073241,4008,4090
1524074171,4009,4091
1524075163,4007,4089
1524076090,4001,4083
1524077062,4005,4087
1524078013,4002,4084
1524078984,4004,4086
1524079938,4005,4088
1524080902,4006,4089
1524081859,4007,4091
1524082814,4014,4098
1524083783,4013,4098
1524084746,4011,4096
1524085697,4011,4096
1524086687,4010,4095
1524087612,4022,4107
1524088579,4027,4112
1524089540,4036,4121
1524090818,4032,4117
1524091947,4026,4111
1524093923,4032,4117
1524094833,4029,4113
1524095780,4038,4122
1524096788,4038,4122
1524098205,4042,4126
1524099372,4032,4116
1524100345,4038,4122
1524101292,4034,4118
1524102283,4038,4123
1524103236,4033,4118
1524104188,4031,4116
1524105136,4035,4120
1524106099,4033,4118
1524107057,4037,4122
1524108020,4038,4123
1524108971,4039,4124
1524109968,4039,4124
1524110983,4036,4121
1524112098,4034,4119
1524113054,4039,4124
1524114015,4033,4118
1524114984,4037,4122
1524115951,4037,4122
1524116895,4042,4127
1524117865,4043,4128
