DateTime,AddedIPs,RemovedIPs
1523713215,19,5
1523714196,6,6
1523715146,4,4
1523716095,13,8
1523717057,12,8
1523718031,9,7
1523718987,11,9
1523719939,8,9
1523720892,9,6
1523721881,9,3
1523722813,9,8
1523723778,5,6
1523724733,5,3
1523725716,3,7
1523726661,6,4
1523727633,5,11
1523728568,5,2
1523729552,8,5
1523730502,1,3
1523731465,3,9
1523732421,7,7
1523733389,11,7
1523734341,3,4
1523735302,2,2
1523736264,7,3
1523737222,3,7
1523738185,8,5
1523739137,4,1
1523740093,4,5
1523741077,3,1
1523742258,7,4
1523743220,3,3
1523744188,5,8
1523745517,7,9
1523746581,5,10
1523747544,8,3
1523749245,7,10
1523750169,4,5
1523751160,8,7
1523752091,4,1
1523753082,6,7
1523754264,6,9
1523755210,2,2
1523756186,8,5
1523757390,5,1
1523758348,7,8
1523759291,3,4
1523760769,3,4
1523761952,4,7
1523762906,2,5
1523763852,3,3
1523764829,3,1
1523765791,4,7
1523767002,5,7
1523767931,1,1
1523768910,6,9
1523769862,3,5
1523770819,6,5
1523771772,6,3
1523772755,5,7
1523773694,2,6
1523774675,9,3
1523775619,3,5
1523776598,3,5
1523778047,13,18
1523779725,6,14
1523781165,8,17
1523783089,9,8
1523784253,8,8
1523785484,6,6
1523786688,8,38
1523788366,12,16
1523789806,4,7
1523790763,7,11
1523791936,4,7
1523792898,4,6
1523793876,6,4
1523795074,4,3
1523796012,8,5
1523796984,4,4
1523797938,5,7
1523798892,0,4
1523799881,4,3
1523800851,3,7
1523801773,7,12
1523802744,7,12
1523803693,4,8
1523804680,2,7
1523805613,1,11
1523806590,5,5
1523807532,5,8
1523808539,5,2
1523809460,8,4
1523810679,4,6
1523811619,4,7
1523812581,9,3
1523813538,3,4
1523814500,8,3
1523815468,5,3
1523816423,8,5
1523817386,8,2
1523818340,1,1
1523819303,4,5
1523820764,5,5
1523821694,6,5
1523822665,8,2
1523823620,3,3
1523824594,4,2
1523826780,16,2
1523827941,7,2
1523828891,6,2
1523829872,2,5
1523831057,9,9
1523832015,9,2
1523832996,12,3
1523833949,3,6
1523834902,4,0
1523835859,8,4
1523836830,5,7
1523837785,9,6
1523838740,5,1
1523839694,10,5
1523840660,5,4
1523841610,6,2
1523842593,6,3
1523843775,7,3
1523844750,12,3
1523845693,6,1
1523846652,10,2
1523847620,5,4
1523848582,6,7
1523849634,6,4
1523850742,3,3
1523851961,4,7
1523852890,9,3
1523853880,5,2
1523854841,5,5
1523855790,2,5
1523856737,4,2
1523857706,9,6
1523858659,5,1
1523859628,7,7
1523860581,3,5
1523861559,3,5
1523862494,5,14
1523863458,4,6
1523864410,8,6
1523865389,7,9
1523866344,7,8
1523867301,3,3
1523868269,6,4
1523869236,5,6
1523870191,9,6
1523871141,6,4
1523872092,7,1
1523873082,10,4
1523874011,8,10
1523874977,2,4
1523875951,4,5
1523876915,1,4
1523877852,6,3
1523878827,9,3
1523879775,3,4
1523880768,11,2
1523881692,8,4
1523882660,3,7
1523883620,6,8
1523884603,4,4
1523885538,8,4
1523886501,5,2
1523887467,4,8
1523888420,3,3
1523889374,2,10
1523890352,6,2
1523891294,5,11
1523892263,2,2
1523893217,2,5
1523894178,2,9
1523895142,6,10
1523896100,5,5
1523897061,2,5
1523898040,2,4
1523898996,6,4
1523899943,8,5
1523900893,4,3
1523901899,5,7
1523902816,1,8
1523903789,5,8
1523904735,2,5
1523905708,9,23
1523906656,2,19
1523907626,5,16
1523908573,4,6
1523909567,7,13
1523910490,0,5
1523911482,6,8
1523913663,15,18
1523914580,6,5
1523915558,4,10
1523916524,7,10
1523918095,4,9
1523919183,2,3
1523920094,4,2
1523921061,6,1
1523922167,6,2
1523923247,5,9
1523924200,3,2
1523925158,5,1
1523926118,1,3
1523927082,3,3
1523928016,2,4
1523928981,4,5
1523929974,1,1
1523930894,4,6
1523931882,2,1
1523932819,6,7
1523933771,2,6
1523934739,6,2
1523935697,4,1
1523936748,6,6
1523937880,4,1
1523938810,4,4
1523939773,3,3
1523940737,1,4
1523941697,10,7
1523942676,3,3
1523943640,3,5
1523944596,5,3
1523945563,10,11
1523946514,1,1
1523947459,13,5
1523948419,8,2
1523949409,2,4
1523950336,2,8
1523951318,4,7
1523952268,3,6
1523953214,4,5
1523954175,9,3
1523955145,6,3
1523956094,8,7
1523957056,6,5
1523958011,3,8
1523958981,6,2
1523959949,9,6
1523960891,8,3
1523961852,2,9
1523962828,6,0
1523963897,6,8
1523964967,6,9
1523965941,5,1
1523966892,4,7
1523967883,4,2
1523968810,6,11
1523969803,4,2
1523970737,8,11
1523971698,5,6
1523973627,9,3
1523974582,10,4
1523975559,5,2
1523976504,3,4
1523977460,3,8
1523978413,5,7
1523979382,6,3
1523980344,6,3
1523981322,4,4
1523982267,1,5
1523983218,6,5
1523984179,11,4
1523985141,6,7
1523986098,4,6
1523987058,2,1
1523988019,7,5
1523988984,3,1
1523989945,12,7
1523990902,3,5
1523991861,4,4
1523992814,3,4
1523993790,2,4
1523994762,5,1
1523995698,8,11
1523996654,6,1
1523998870,24,17
1524000012,6,4
1524000992,5,4
1524001934,7,2
1524002910,8,4
1524003864,0,5
1524004990,17,5
1524006019,8,3
1524006983,4,3
1524007935,3,3
1524008893,3,4
1524009855,4,2
1524010828,3,0
1524011782,7,6
1524012737,1,2
1524013736,6,6
1524015648,11,5
1524016607,1,2
1524017555,8,10
1524018498,2,2
1524019469,5,5
1524020423,5,3
1524021388,3,4
1524022337,1,5
1524023302,5,7
1524024262,2,6
1524025241,4,11
1524026200,4,4
1524027160,3,2
1524028121,7,8
1524029078,0,3
1524030037,10,9
1524030998,6,5
1524031972,4,12
1524032926,3,0
1524033880,4,4
1524034834,3,4
1524035794,7,5
1524036745,5,1
1524037699,4,7
1524038789,10,6
1524039873,3,6
1524040901,4,16
1524042021,7,7
1524043431,3,9
1524044414,8,8
1524045371,4,3
1524046357,8,13
1524047293,6,4
1524048264,15,7
1524049225,12,4
1524050180,3,6
1524051252,10,5
1524052351,4,3
1524053556,7,10
1524054498,7,7
1524055456,6,4
1524056416,11,7
1524057409,5,5
1524058338,9,4
1524059292,6,6
1524060293,3,4
1524061488,7,7
1524062410,6,4
1524063370,7,4
1524065335,8,14
1524066515,7,5
1524067493,8,2
1524068438,4,6
1524069384,12,5
1524070332,6,9
1524071332,12,6
1524072258,3,5
1524073241,15,8
1524074171,7,3
1524075163,6,11
1524076090,1,5
1524077062,7,1
1524078013,1,4
1524078984,6,3
1524079938,6,2
1524080902,5,12
1524081859,5,10
1524082814,9,13
1524083783,4,16
