DateTime,Entries,UniqueIPs
1523713215,376,376
1523714196,376,376
1523715146,376,376
1523716095,381,381
1523717057,385,385
1523718031,387,387
1523718987,389,389
1523719939,388,388
1523720892,391,391
1523721881,397,397
1523722813,398,398
1523723778,397,397
1523724733,399,399
1523725716,395,395
1523726661,397,397
1523727633,391,391
1523728568,394,394
1523729552,397,397
1523730502,395,395
1523731465,389,389
1523732421,389,389
1523733389,393,393
1523734341,392,392
1523735302,392,392
1523736264,396,396
1523737222,392,392
1523738185,395,395
1523739137,398,398
1523740093,397,397
1523741077,399,399
1523742258,402,402
1523743220,402,402
1523744188,399,399
1523745517,397,397
1523746581,392,392
1523747544,397,397
1523749245,394,394
1523750169,393,393
1523751160,394,394
1523752091,397,397
1523753082,396,396
1523754264,393,393
1523755210,393,393
1523756186,396,396
1523757390,400,400
1523758348,399,399
1523759291,398,398
1523760769,397,397
1523761952,394,394
1523762906,391,391
1523763852,391,391
1523764829,393,393
1523765791,390,390
1523767002,388,388
1523767931,388,388
1523768910,385,385
1523769862,383,383
1523770819,384,384
1523771772,387,387
1523772755,385,385
1523773694,381,381
1523774675,387,387
1523775619,385,385
1523776598,383,383
1523778047,378,378
1523779725,370,370
1523781165,361,361
1523783089,362,362
1523784253,362,362
1523785484,362,362
1523786688,332,332
1523788366,328,328
1523789806,325,325
1523790763,321,321
1523791936,318,318
1523792898,316,316
1523793876,318,318
1523795074,319,319
1523796012,322,322
1523796984,322,322
1523797938,320,320
1523798892,316,316
1523799881,317,317
1523800851,313,313
1523801773,308,308
1523802744,303,303
1523803693,299,299
1523804680,294,294
1523805613,284,284
1523806590,284,284
1523807532,281,281
1523808539,284,284
1523809460,288,288
1523810679,286,286
1523811619,283,283
1523812581,289,289
1523813538,288,288
1523814500,293,293
1523815468,295,295
1523816423,298,298
1523817386,304,304
1523818340,304,304
1523819303,303,303
1523820764,303,303
1523821694,304,304
1523822665,310,310
1523823620,310,310
1523824594,312,312
1523826780,326,326
1523827941,331,331
1523828891,335,335
1523829872,332,332
1523831057,332,332
1523832015,339,339
1523832996,348,348
1523833949,345,345
1523834902,349,349
1523835859,353,353
1523836830,351,351
1523837785,354,354
1523838740,358,358
1523839694,363,363
1523840660,364,364
1523841610,368,368
1523842593,371,371
1523843775,375,375
1523844750,384,384
1523845693,389,389
1523846652,397,397
1523847620,398,398
1523848582,397,397
1523849634,399,399
1523850742,399,399
1523851961,396,396
1523852890,402,402
1523853880,405,405
1523854841,405,405
1523855790,402,402
1523856737,404,404
1523857706,407,407
1523858659,411,411
1523859628,411,411
1523860581,409,409
1523861559,407,407
1523862494,398,398
1523863458,396,396
1523864410,398,398
1523865389,396,396
1523866344,395,395
1523867301,395,395
1523868269,397,397
1523869236,396,396
1523870191,399,399
1523871141,401,401
1523872092,407,407
1523873082,413,413
1523874011,411,411
1523874977,409,409
1523875951,408,408
1523876915,405,405
1523877852,408,408
1523878827,414,414
1523879775,413,413
1523880768,422,422
1523881692,426,426
1523882660,422,422
1523883620,420,420
1523884603,420,420
1523885538,424,424
1523886501,427,427
1523887467,423,423
1523888420,423,423
1523889374,415,415
1523890352,419,419
1523891294,413,413
1523892263,413,413
1523893217,410,410
1523894178,403,403
1523895142,399,399
1523896100,399,399
1523897061,396,396
1523898040,394,394
1523898996,396,396
1523899943,399,399
1523900893,400,400
1523901899,398,398
1523902816,391,391
1523903789,388,388
