DateTime,AddedIPs,RemovedIPs
1523714198,29,56
1523715148,58,0
1523716097,47,81
1523717059,52,42
1523718033,45,0
1523718988,38,81
1523719941,38,33
1523720894,37,48
1523721884,49,35
1523722815,21,0
1523723780,67,44
1523724736,25,37
1523725718,52,97
1523726663,23,0
1523727634,64,87
1523728570,35,0
1523729554,46,46
1523730504,51,80
1523731468,41,0
1523732423,38,66
1523733391,38,91
1523734343,51,0
1523735304,35,87
1523736266,44,32
1523737223,35,54
1523738187,44,0
1523739139,39,141
1523740095,92,61
1523741078,702,77
1523742260,611,68
1523743222,45,1716
1523744190,154,50
1523745519,66,32
1523746583,33,46
1523747546,34,79
1523749247,99,19
1523750171,29,42
1523751161,58,29
1523752093,41,41
1523753084,37,25
1523754268,64,51
1523755212,20,30
1523756188,30,48
1523757392,44,35
1523758350,39,42
1523759293,34,26
1523760771,46,62
1523761954,55,19
1523762908,40,27
1523763854,35,22
1523764831,29,35
1523765793,43,43
1523767004,37,33
1523767934,25,24
1523768912,41,51
1523769864,18,47
1523770822,52,40
1523771774,26,27
1523772758,38,55
1523773696,33,71
1523774677,38,34
1523775621,32,53
1523776600,33,49
1523778049,58,98
1523779728,67,126
1523781167,46,81
1523783091,82,94
1523784256,37,42
1523785487,73,86
1523786689,47,49
1523788369,70,96
1523789808,53,36
1523790765,77,36
1523791939,58,56
1523792900,26,23
1523793878,39,47
1523795075,40,82
1523796014,61,0
1523796986,37,96
1523797940,47,0
1523798894,48,30
1523799884,42,84
1523800853,44,43
1523801775,49,38
1523802746,45,0
1523803695,24,36
1523804682,53,82
1523805615,33,37
1523806592,54,0
1523807534,25,26
1523808541,40,118
1523809462,19,0
1523810681,91,85
1523811621,50,55
1523812583,28,37
1523813540,53,28
1523814503,36,27
1523815470,61,77
1523816424,29,39
1523817388,63,48
1523818343,38,45
1523819305,59,49
1523820766,74,45
1523821696,34,24
1523822667,53,38
1523823622,28,48
1523824596,58,29
1523826782,254,131
1523827943,777,57
1523828892,526,36
1523829875,185,1872
1523831059,65,51
1523832017,37,75
1523832998,52,0
1523833950,52,0
1523834904,48,104
1523835861,24,46
1523836832,35,0
1523837786,45,64
1523838742,58,0
1523839696,43,68
1523840661,55,0
1523841611,26,47
1523842595,80,21
1523843777,38,28
1523844752,50,48
1523845694,32,24
1523846655,39,0
1523847622,30,30
1523848584,46,68
1523849636,45,42
1523850744,43,48
1523851963,48,45
1523852892,27,37
1523853882,49,35
1523854843,27,67
1523855792,57,26
1523856739,44,54
1523857709,34,36
1523858661,40,47
1523859631,26,26
1523860583,54,44
1523861561,28,23
1523862495,38,52
1523863460,32,47
1523864412,46,24
1523865391,31,51
1523866347,70,44
1523867303,51,25
1523868270,42,45
1523869238,58,32
1523870192,39,33
1523871143,23,49
1523872094,65,43
1523873084,43,25
1523874013,39,62
1523874978,63,21
1523875953,38,50
1523876916,50,54
1523877854,31,26
1523878829,63,65
1523879776,35,43
1523880769,51,49
1523881694,24,53
1523882663,59,35
1523883622,44,47
1523884605,46,56
1523885540,31,34
1523886503,49,27
1523887469,45,80
1523888423,43,89
1523889376,66,0
1523890354,34,0
1523891296,83,50
1523892265,31,59
1523893219,77,94
1523894180,20,0
1523895144,48,75
1523896102,43,41
1523897063,40,95
1523898041,43,63
1523898999,26,61
1523899944,45,0
1523900896,35,104
1523901901,35,46
1523902818,37,48
1523903791,71,53
1523904737,33,0
1523905709,39,93
1523906658,30,0
1523907627,47,62
1523908574,34,77
1523909569,67,61
1523910492,35,0
1523911483,55,56
1523913665,251,89
1523914582,845,48
1523915560,458,43
1523916526,150,1854
1523918098,85,51
1523919186,38,85
1523920096,62,0
1523921063,27,129
1523922168,75,45
1523923249,46,61
1523924202,30,0
1523925160,26,77
1523926119,76,75
1523927084,42,45
1523928018,24,67
1523928983,51,37
1523929976,60,24
1523930896,34,77
1523931884,28,40
1523932821,55,31
1523933773,22,32
1523934741,35,31
1523935699,37,47
1523936750,39,16
1523937883,71,42
1523938813,38,30
1523939776,73,34
1523940739,20,19
1523941700,47,59
1523942678,14,47
1523943642,53,32
1523944598,20,25
1523945565,41,41
1523946516,36,26
1523947461,75,28
1523948421,7,36
1523949411,62,51
1523950338,10,57
1523951320,83,18
1523952270,38,38
1523953216,40,47
1523954177,29,31
1523955147,56,32
1523956096,55,28
1523957058,28,36
1523958014,48,52
1523958983,44,46
1523959952,74,52
1523960893,36,62
1523961854,56,36
1523962830,55,41
1523963899,48,47
1523964970,65,36
1523965943,38,49
1523966895,100,32
1523967885,34,62
1523968812,50,36
1523969805,13,41
1523970739,49,62
1523971700,47,60
1523972655,42,22
1523973629,47,58
1523974584,41,13
1523975561,49,89
1523976506,50,49
1523977462,73,21
1523978415,34,13
1523979384,46,9
1523980346,47,1
1523981324,41,16
1523982268,28,10
1523983220,59,11
1523984181,38,17
1523985142,48,45
1523986101,44,74
1523987061,39,66
1523988021,40,84
1523988986,47,82
1523989946,36,97
1523990905,33,155
1523991863,37,0
1523992816,31,110
1523993792,74,77
1523994765,49,69
1523995700,50,65
1523996656,61,0
1523998872,119,114
1524000014,368,57
1524000994,634,55
1524001935,583,46
1524002912,141,1895
1524003866,32,0
1524004992,85,69
1524006021,49,31
1524006985,36,42
1524007937,41,143
1524008895,45,56
1524009857,69,0
1524010830,43,152
1524011784,51,39
1524012739,67,0
1524013738,40,94
1524015650,82,152
1524016609,62,81
1524017557,30,81
1524018499,36,0
1524019471,58,35
1524020425,46,50
1524021389,24,15
1524022339,39,24
1524023304,55,66
1524024265,53,41
1524025243,29,31
1524026202,82,47
1524027162,36,41
1524028124,98,57
1524029080,27,49
1524030039,80,49
1524031000,63,34
1524031974,53,45
1524032928,32,62
1524033882,92,34
1524034836,50,5
1524035796,46,48
1524036747,15,68
1524037701,118,28
1524038792,85,62
1524039875,27,32
1524040904,117,108
1524042023,64,67
1524043433,53,26
1524044416,120,0
1524045373,23,28
1524046359,122,22
1524047295,55,102
1524048265,51,73
1524049227,62,78
1524050182,37,57
1524051254,43,35
1524052353,54,5
1524053559,53,13
1524054500,30,3
1524055458,62,0
1524056418,56,5
1524057411,81,49
1524058339,52,0
1524059294,33,13
1524060295,69,70
1524061490,33,83
1524062412,65,83
1524063371,41,82
1524065337,112,199
1524066517,59,112
1524067495,110,126
1524068439,40,153
1524069386,69,163
1524070334,46,177
1524071334,71,43
1524072259,26,56
1524073243,62,48
1524074174,58,74
1524075166,43,28
1524076093,35,58
1524077065,49,36
1524078015,47,63
1524078986,44,17
1524079940,31,113
1524080905,34,37
1524081861,57,86
1524082816,52,14
1524083785,56,90
1524084748,40,55
1524085699,292,47
1524086688,463,53
1524087614,609,51
1524088581,104,1437
1524089541,161,58
1524090821,52,72
1524091951,25,80
1524093924,81,38
1524094835,61,126
1524095781,55,0
1524096790,45,30
1524098207,42,53
1524099374,43,80
1524100347,47,0
1524101294,36,98
1524102285,21,0
1524103239,39,39
1524104190,42,26
1524105138,28,65
1524106101,33,40
1524107059,32,32
1524108022,21,33
1524108973,41,59
1524109970,24,54
1524110984,58,42
1524112100,36,61
1524113056,65,31
1524114017,22,61
1524114985,50,38
1524115953,14,88
1524116897,51,26
1524117868,38,87
1524118811,19,15
1524119797,38,90
1524120736,35,18
1524121704,42,87
1524122658,15,19
1524123660,50,66
1524125335,65,97
1524126282,23,55
1524127238,30,48
1524128197,31,87
1524129170,67,29
1524130091,17,67
1524131079,64,46
