DateTime,Entries,UniqueIPs
1523714198,67841,80397
1523715148,67890,80455
1523716097,67846,80421
1523717059,67861,80431
1523718033,67893,80476
1523718988,67871,80433
1523719941,67864,80438
1523720894,67850,80427
1523721884,67861,80441
1523722815,67879,80462
1523723780,67888,80485
1523724736,67879,80473
1523725718,67852,80428
1523726663,67874,80451
1523727634,67859,80428
1523728570,67887,80463
1523729554,67885,80463
1523730504,67848,80434
1523731468,67885,80475
1523732423,67864,80447
1523733391,67841,80394
1523734343,67877,80445
1523735304,67834,80393
1523736266,67843,80405
1523737223,67830,80386
1523738187,67862,80430
1523739139,67789,80328
1523740095,67838,80359
1523741078,68453,80984
1523742260,68984,81527
1523743222,67363,79856
1523744190,67440,79960
1523745519,67456,79994
1523746583,67452,79981
1523747546,67416,79936
1523749247,67447,80016
1523750171,67433,80003
1523751161,67456,80032
1523752093,67443,80032
1523753084,67448,80044
1523754268,67465,80057
1523755212,67463,80047
1523756188,67455,80029
1523757392,67464,80038
1523758350,67466,80035
1523759293,67468,80043
1523760771,67461,80027
1523761954,67485,80063
1523762908,67483,80076
1523763854,67492,80089
1523764831,67489,80083
1523765793,67489,80083
1523767004,67516,80087
1523767934,67516,80088
1523768912,67492,80078
1523769864,67469,80049
1523770822,67458,80061
1523771774,67450,80060
1523772758,67429,80043
1523773696,67393,80005
1523774677,67392,80009
1523775621,67361,79988
1523776600,67362,79972
1523778049,67343,79932
1523779728,67308,79873
1523781167,67293,79838
1523783091,67289,79826
1523784256,67288,79821
1523785487,67266,79808
1523786689,67273,79806
1523788369,67245,79780
1523789808,67245,79797
1523790765,67270,79838
1523791939,67264,79840
1523792900,67264,79843
1523793878,67259,79835
1523795075,67246,79793
1523796014,67291,79854
1523796986,67259,79795
1523797940,67301,79842
1523798894,67297,79860
1523799884,67264,79818
1523800853,67271,79819
1523801775,67276,79830
1523802746,67303,79875
1523803695,67300,79863
1523804682,67261,79834
1523805615,67261,79830
1523806592,67307,79884
1523807534,67306,79883
1523808541,67252,79805
1523809462,67268,79824
1523810681,67264,79830
1523811621,67267,79825
1523812583,67260,79816
1523813540,67271,79841
1523814503,67279,79850
1523815470,67283,79834
1523816424,67286,79824
1523817388,67300,79839
1523818343,67294,79832
1523819305,67310,79842
1523820766,67333,79871
1523821696,67343,79881
1523822667,67360,79896
1523823622,67350,79876
1523824596,67378,79905
1523826782,67516,80028
1523827943,68223,80748
1523828892,68695,81238
1523829875,67005,79551
1523831059,67008,79565
1523832017,66992,79527
1523832998,67037,79579
1523833950,67082,79631
1523834904,67045,79575
1523835861,67019,79553
1523836832,67044,79588
1523837786,67038,79569
1523838742,67076,79627
1523839696,67057,79602
1523840661,67096,79657
1523841611,67089,79636
1523842595,67114,79695
1523843777,67123,79705
1523844752,67141,79707
1523845694,67153,79715
1523846655,67189,79754
1523847622,67194,79754
1523848584,67182,79732
1523849636,67196,79735
1523850744,67191,79730
1523851963,67198,79733
1523852892,67193,79723
1523853882,67203,79737
1523854843,67176,79697
1523855792,67210,79728
1523856739,67200,79718
1523857709,67197,79716
1523858661,67191,79709
1523859631,67198,79709
1523860583,67207,79719
1523861561,67209,79724
1523862495,67209,79710
1523863460,67211,79695
1523864412,67225,79717
1523865391,67208,79697
1523866347,67238,79723
1523867303,67261,79749
1523868270,67266,79746
1523869238,67294,79772
1523870192,67307,79778
1523871143,67284,79752
1523872094,67297,79774
1523873084,67315,79792
1523874013,67307,79769
1523874978,67338,79811
1523875953,67332,79799
1523876916,67335,79795
1523877854,67334,79800
1523878829,67330,79798
1523879776,67325,79790
1523880769,67349,79792
1523881694,67324,79763
1523882663,67332,79787
1523883622,67313,79784
1523884605,67315,79774
1523885540,67302,79771
1523886503,67304,79793
1523887469,67286,79758
1523888423,67249,79712
1523889376,67304,79778
1523890354,67327,79812
1523891296,67359,79845
1523892265,67347,79817
1523893219,67324,79800
1523894180,67340,79820
1523895144,67333,79793
1523896102,67342,79795
1523897063,67297,79740
1523898041,67300,79720
1523898999,67271,79685
1523899944,67311,79730
1523900896,67254,79661
1523901901,67259,79650
1523902818,67254,79639
1523903791,67274,79657
1523904737,67293,79690
1523905709,67270,79636
1523906658,67299,79666
1523907627,67286,79651
1523908574,67258,79608
1523909569,67276,79614
1523910492,67304,79649
1523911483,67297,79648
1523913665,67455,79810
1523914582,68245,80607
1523915560,68664,81022
1523916526,67012,79318
1523918098,67047,79352
1523919186,67013,79305
1523920096,67059,79367
1523921063,67010,79265
1523922168,67032,79295
1523923249,67021,79280
1523924202,67049,79310
1523925160,67010,79259
1523926119,66986,79260
1523927084,66982,79257
1523928018,66964,79214
1523928983,66967,79228
1523929976,66977,79264
1523930896,66964,79221
1523931884,66952,79209
1523932821,66964,79233
1523933773,66951,79223
1523934741,66961,79227
1523935699,66955,79217
1523936750,66968,79240
1523937883,66998,79269
1523938813,67022,79277
1523939776,67044,79316
1523940739,67053,79317
1523941700,67063,79305
1523942678,67038,79272
1523943642,67042,79293
1523944598,67044,79288
1523945565,67043,79288
1523946516,67052,79298
1523947461,67075,79345
1523948421,67052,79316
1523949411,67084,79327
1523950338,67037,79280
1523951320,67078,79345
1523952270,67075,79345
1523953216,67078,79338
1523954177,67076,79336
1523955147,67076,79360
1523956096,67102,79387
1523957058,67102,79379
1523958014,67080,79375
1523958983,67073,79373
1523959952,67102,79395
1523960893,67093,79369
1523961854,67110,79389
1523962830,67123,79403
1523963899,67120,79404
1523964970,67149,79433
1523965943,67132,79422
1523966895,67183,79490
