DateTime,AddedIPs,RemovedIPs
1523714198,378,378
1523715148,877,877
1523716097,654,654
1523717059,621,621
1523718033,731,731
1523718988,595,595
1523719941,572,572
1523720894,513,513
1523721884,755,755
1523722815,404,404
1523723780,814,814
1523724736,446,446
1523725718,655,655
1523726663,327,327
1523727634,812,812
1523728570,552,552
1523729554,728,728
1523730504,591,591
1523731468,620,620
1523732423,683,683
1523733391,672,672
1523734343,597,597
1523735304,617,617
1523736266,583,583
1523737223,546,546
1523738187,719,719
1523739139,560,560
1523740095,637,637
1523741078,702,702
1523742260,626,626
1523743222,546,546
1523744190,2000,2000
1523745519,868,868
1523746583,556,556
1523747546,687,687
1523749247,993,993
1523750171,465,465
1523751161,758,758
1523752093,576,576
1523753084,579,579
1523754268,902,902
1523755212,396,396
1523756188,662,662
1523757392,648,648
1523758350,711,711
1523759293,581,581
1523760771,816,816
1523761954,900,900
1523762908,558,558
1523763854,629,629
1523764831,489,489
1523765793,734,734
1523767004,697,697
1523767934,443,443
1523768912,661,661
1523769864,332,332
1523770822,964,964
1523771774,430,430
1523772758,883,883
1523773696,562,562
1523774677,585,585
1523775621,572,572
1523776600,557,557
1523778049,846,846
1523779728,1079,1079
1523781167,652,652
1523783091,1196,1196
1523784256,504,504
1523785487,901,901
1523786689,721,721
1523788369,973,973
1523789808,836,836
1523790765,781,781
1523791939,824,824
1523792900,479,479
1523793878,723,723
1523795075,555,555
1523796014,762,762
1523796986,601,601
1523797940,606,606
1523798894,587,587
1523799884,652,652
1523800853,622,622
1523801775,557,557
1523802746,635,635
1523803695,482,482
1523804682,828,828
1523805615,422,422
1523806592,723,723
1523807534,544,544
1523808541,792,792
1523809462,450,450
1523810681,958,958
1523811621,756,756
1523812583,605,605
1523813540,684,684
1523814503,550,550
1523815470,872,872
1523816424,454,454
1523817388,608,608
1523818343,699,699
1523819305,750,750
1523820766,924,924
1523821696,554,554
1523822667,763,763
1523823622,478,478
1523824596,833,833
1523826782,1222,1222
1523827943,777,777
1523828892,526,526
1523829875,2000,2000
1523831059,746,746
1523832017,547,547
1523832998,620,620
1523833950,537,537
1523834904,699,699
1523835861,589,589
1523836832,473,473
1523837786,596,596
1523838742,592,592
1523839696,567,567
1523840661,774,774
1523841611,513,513
1523842595,666,666
1523843777,741,741
1523844752,582,582
1523845694,599,599
1523846655,678,678
1523847622,467,467
1523848584,663,663
1523849636,711,711
1523850744,504,504
1523851963,764,764
1523852892,603,603
1523853882,558,558
1523854843,407,407
1523855792,829,829
1523856739,640,640
1523857709,584,584
1523858661,584,584
1523859631,500,500
1523860583,668,668
1523861561,441,441
1523862495,678,678
1523863460,620,620
1523864412,619,619
1523865391,408,408
1523866347,830,830
1523867303,628,628
1523868270,624,624
1523869238,668,668
1523870192,599,599
1523871143,394,394
1523872094,739,739
1523873084,653,653
1523874013,489,489
1523874978,708,708
1523875953,459,459
1523876916,807,807
1523877854,437,437
1523878829,826,826
1523879776,560,560
1523880769,750,750
1523881694,265,265
1523882663,933,933
1523883622,631,631
1523884605,582,582
1523885540,583,583
1523886503,585,585
1523887469,629,629
1523888423,648,648
1523889376,725,725
1523890354,386,386
1523891296,1034,1034
1523892265,340,340
1523893219,866,866
1523894180,273,273
1523895144,995,995
1523896102,507,507
1523897063,698,698
1523898041,603,603
1523898999,563,563
1523899944,603,603
1523900896,645,645
1523901901,630,630
1523902818,467,467
1523903791,831,831
1523904737,547,547
1523905709,624,624
1523906658,538,538
1523907627,716,716
1523908574,507,507
1523909569,791,791
