DateTime,AddedIPs,RemovedIPs
1521457218,1,0
1521471636,0,1
1521486016,3,1
1521489614,1,1
1521493214,0,1
1521496815,1,0
1521500415,4,1
1521504014,0,1
1521518414,2,0
1521522016,0,2
1521547215,0,1
1521550815,1,0
1521554439,0,1
1521558022,1,0
1521568816,1,2
1521572418,1,0
1521576019,2,0
1521579615,0,1
1521586818,0,5
1521590420,0,1
1521594019,1,1
1521597619,1,1
1521601214,1,0
1521604814,1,0
1521608414,0,1
1521612014,0,1
1521615620,0,3
1521619214,1,0
1521626414,0,1
1521633614,1,0
1521637217,1,0
1521644416,1,0
1521648014,1,0
1521662414,1,1
1521669614,0,2
1521676821,1,1
1521680421,1,0
1521684019,1,0
1521687618,3,1
1521694819,1,1
1521698416,1,1
1521702014,1,0
1521705614,4,0
1521712818,4,0
1521716419,2,1
1521723622,3,1
1521734418,2,2
1521738017,0,1
1521741621,1,1
1521745219,1,1
1521748819,3,3
1521752420,0,2
1521756021,0,1
1521763220,0,2
1521766815,1,2
1521770416,1,2
1521774017,0,1
1521788415,1,2
1521795618,1,0
1521799218,0,2
1521802823,0,1
1521806422,1,2
1521810020,2,1
1521813623,2,5
1521817222,1,1
1521824421,0,1
1521831617,0,2
1521842418,1,1
1521846019,0,1
1521853218,0,1
1521856817,1,0
1521860412,1,1
1521864014,1,0
1521867616,1,0
1521871216,0,1
1521878416,3,0
1521885614,0,2
1521900013,1,0
1521903611,1,0
1521907212,2,0
1521910812,1,0
1521918017,0,1
1521946817,1,0
1521957611,1,1
1521961214,1,1
1521964813,0,2
1521968414,0,1
1521972016,0,1
1521975613,0,2
1521979216,0,2
1521986415,0,2
1521990015,0,1
1521993617,1,0
1521997217,0,1
1522000819,1,1
1522004417,2,1
1522008017,1,0
1522018812,1,0
1522022411,1,3
1522026011,1,0
1522033216,0,2
1522040416,3,1
1522051220,1,2
1522054818,2,0
1522062017,1,1
1522065613,1,0
1522076416,0,1
1522080018,1,0
1522087221,1,0
1522090822,0,3
1522098012,1,0
1522105213,0,3
1522112417,0,1
1522116016,1,0
1522119617,1,0
1522123215,1,0
1522130418,0,3
1522137619,0,1
1522141216,1,0
1522148418,1,0
1522155616,1,1
1522159214,1,0
1522162816,0,1
1522170017,2,0
1522173616,0,1
1522177216,1,1
1522180818,0,2
1522188021,2,0
1522191619,2,0
1522195219,1,1
1522202417,0,1
1522206013,1,0
1522209614,0,1
1522216814,2,0
1522220420,0,1
1522227614,1,0
1522234818,0,1
1522242019,1,3
1522249217,0,1
1522256416,1,1
1522263614,0,2
1522267217,0,3
1522274417,1,0
1522281613,0,1
1522285220,0,1
1522288818,1,1
1522296027,1,0
1522303222,1,1
1522306823,2,1
1522310419,2,0
1522314021,2,0
1522317614,2,1
1522321214,1,0
1522324814,2,1
1522328414,2,2
1522332015,5,0
1522335614,3,1
1522339214,1,1
1522342824,5,0
1522346424,4,1
1522350024,3,1
1522353623,4,2
1522357233,3,1
1522360824,2,1
1522364425,3,1
1522368023,0,4
1522371621,1,2
1522375214,2,2
1522382415,2,1
1522386015,2,0
1522389619,2,1
1522393223,1,0
1522407627,1,1
1522414829,0,1
1522418420,0,1
1522422019,1,1
1522429217,0,1
1522440015,0,2
1522443615,1,0
1522461617,0,2
1522465224,0,1
1522472420,0,1
1522479617,1,5
1522486815,0,2
1522497616,0,1
1522504815,0,1
1522508414,1,1
1522526414,1,0
1522544415,1,0
1522551623,2,0
1522558816,0,1
1522562422,1,0
1522566027,1,2
1522569622,1,0
1522573227,1,1
1522576823,1,1
1522580426,2,0
1522584023,0,1
1522587622,1,0
1522591215,2,1
1522594815,3,0
1522598415,1,1
1522602014,1,1
1522605614,1,0
1522609217,0,2
1522612819,0,1
1522616417,1,1
1522620017,1,2
1522623618,1,1
1522627220,2,2
1522630817,1,3
1522634417,1,0
1522638017,1,3
1522641618,1,0
1522659622,0,1
1522674022,1,0
1522688426,1,0
1522692018,23,1
1522713620,0,1
1522720823,1,0
1522724419,1,1
1522728023,0,1
1522731623,1,1
1522735222,1,0
1522738821,1,0
1522742420,1,0
1522746019,0,1
1522749619,0,1
1522756818,1,1
1522760415,0,1
1522771216,0,1
1522782015,0,1
1522796415,0,2
1522800015,0,1
1522810815,0,1
1522814416,0,1
1522818016,1,0
1522843217,0,1
1522868423,26,0
1522872021,15,0
1522875620,4,0
1522882820,0,1
1522890017,8,0
1522893620,1,0
1522900818,0,1
1522911617,1,0
1522915220,2,3
1522918818,2,1
1522922418,3,1
1522929618,2,0
1522933218,2,1
1522936818,0,5
1522940417,2,4
1522944018,1,2
1522947617,1,3
1522951218,2,2
1522954817,2,3
1522958417,5,4
1522962022,0,3
1522965617,0,3
1522969216,1,5
1522972817,0,1
1522976419,0,1
1522980020,1,4
1522983619,1,2
1522987222,0,1
1522990817,1,2
1522994424,1,1
1522998021,0,1
1523005218,0,1
1523008817,1,1
1523012417,1,1
1523016016,0,1
1523019621,1,0
1523023218,1,0
1523026819,0,1
1523037618,1,0
1523048417,0,1
1523055619,1,1
1523059218,1,0
1523062817,1,0
1523066417,2,0
1523077217,1,0
1523080818,2,0
1523084418,0,1
1523088017,2,2
1523095217,1,0
1523098818,1,0
1523102416,1,0
1523109618,1,0
1523113219,1,1
1523116817,0,1
1523124018,1,0
1523127622,0,1
1523131223,0,1
1523138420,1,2
1523145624,1,0
1523149228,1,0
1523152826,0,1
1523156422,0,2
1523163617,0,1
1523170817,0,1
1523174417,0,1
1523178018,4,0
1523181620,0,1
1523185220,0,1
1523188820,2,0
1523196019,5,3
1523199616,3,3
1523203216,1,1
1523206817,2,1
1523210417,0,1
1523214017,2,0
1523217617,0,1
1523221217,0,2
1523224817,1,0
1523228417,0,1
1523232017,0,2
1523235617,2,0
1523239218,2,2
1523242817,2,1
1523253617,1,0
1523260818,1,0
1523271617,1,0
1523275218,1,0
1523289619,1,0
1523293219,1,1
1523296818,1,23
1523314819,2,1
1523318416,0,1
1523325617,2,1
1523329222,0,1
1523340023,2,1
1523343617,2,1
1523347223,2,0
1523350823,4,0
1523354418,1,2
1523358018,1,0
1523361616,0,5
1523372416,1,0
1523376019,3,0
1523379619,1,0
1523386817,1,0
1523390417,1,0
1523397619,1,0
1523401220,1,1
1523404819,2,0
1523408420,1,0
1523415618,1,0
1523422819,1,0
1523426424,0,1
1523433625,1,0
1523458818,1,0
1523466018,1,0
1523469617,1,0
1523473217,0,26
1523476818,0,11
1523480420,0,8
1523484017,1,0
1523494822,1,2
1523498414,0,7
1523505615,1,0
1523512814,3,0
1523520017,2,1
1523523617,4,0
1523527216,4,1
1523530817,1,0
1523534417,5,0
1523538018,4,2
1523541617,5,1
1523545279,1,0
1523548822,3,2
1523552416,1,0
1523556016,6,1
1523559617,3,1
1523563217,4,6
1523566818,6,0
1523570421,2,1
1523574022,3,2
1523581221,0,2
1523584820,0,1
1523588418,2,2
1523592018,2,0
1523595620,1,2
1523610017,1,0
1523617216,0,2
1523624416,0,1
1523635217,0,1
1523646018,0,3
1523649617,0,1
1523656816,1,0
1523660416,1,1
1523664017,0,3
1523671217,0,1
1523682018,2,1
1523692817,0,1
1523700019,1,0
1523703617,0,1
1523707217,0,1
1523718018,0,1
1523728820,1,1
1523736023,1,2
1523739627,0,1
1523750418,1,2
1523754017,0,2
1523757616,0,1
1523772027,0,1
1523775623,2,1
1523779223,1,0
1523782825,0,4
1523786424,2,0
1523790022,0,1
1523793618,3,1
1523797218,2,1
1523800816,1,0
1523804416,0,2
1523808017,2,1
1523811619,0,1
1523815216,2,0
1523818819,2,1
1523822421,2,2
1523829619,0,1
1523833220,0,3
1523836819,0,2
1523840419,0,3
1523844019,0,2
1523847622,1,3
1523851216,1,1
1523862015,1,0
1523869216,1,0
1523876424,0,1
1523880019,0,1
1523883615,1,0
1523905215,1,1
1523919616,0,2
1523926816,1,0
1523930415,1,1
1523934015,0,2
1523937615,0,2
1523944816,4,0
1523948415,1,0
1523952016,2,0
1523955615,1,2
1523959217,2,0
1523962816,3,0
1523966417,2,0
1523970017,1,2
1523973616,1,2
1523977219,2,4
1523980816,2,6
1523984415,0,2
1523988016,2,0
1523991615,0,1
1523995218,0,2
1523998815,0,1
1524006015,1,2
1524009615,0,1
1524016815,1,1
1524020416,0,1
1524027619,1,0
1524038415,0,1
1524045615,2,0
1524056415,1,1
1524063621,0,1
1524070815,1,1
1524074416,0,1
1524085215,2,0
1524088815,0,1
1524092415,5,0
1524096020,11,1
1524099622,3,2
1524110423,1,0
1524114019,0,1
1524117623,1,2
1524121226,0,0
1524124823,1,2
1524128422,0,2
1524132019,2,2
1524135619,1,1
1524139218,2,1
1524142816,3,3
1524146415,1,6
1524150021,1,1
1524153619,0,3
1524157217,1,2
1524160818,1,9
1524164417,2,4
1524168020,2,4
1524171623,3,6
1524175221,4,0
1524178819,2,3
1524182418,1,0
1524186019,1,1
1524189615,1,4
1524193220,0,3
1524200423,0,3
1524204017,0,1
1524207619,1,0
1524214819,1,3
1524218423,1,1
