DateTime,Entries,UniqueIPs
1521453620,179,179
1521457218,180,180
1521471636,179,179
1521486016,181,181
1521489614,181,181
1521493214,180,180
1521496815,181,181
1521500415,184,184
1521504014,183,183
1521518414,185,185
1521522016,183,183
1521547215,182,182
1521550815,183,183
1521554439,182,182
1521558022,183,183
1521568816,182,182
1521572418,183,183
1521576019,185,185
1521579615,184,184
1521586818,179,179
1521590420,178,178
1521594019,178,178
1521597619,178,178
1521601214,179,179
1521604814,180,180
1521608414,179,179
1521612014,178,178
1521615620,175,175
1521619214,176,176
1521626414,175,175
1521633614,176,176
1521637217,177,177
1521644416,178,178
1521648014,179,179
1521662414,179,179
1521669614,177,177
1521676821,177,177
1521680421,178,178
1521684019,179,179
1521687618,181,181
1521694819,181,181
1521698416,181,181
1521702014,182,182
1521705614,186,186
1521712818,190,190
1521716419,191,191
1521723622,193,193
1521734418,193,193
1521738017,192,192
1521741621,192,192
1521745219,192,192
1521748819,192,192
1521752420,190,190
1521756021,189,189
1521763220,187,187
1521766815,186,186
1521770416,185,185
1521774017,184,184
1521788415,183,183
1521795618,184,184
1521799218,182,182
1521802823,181,181
1521806422,180,180
1521810020,181,181
1521813623,178,178
1521817222,178,178
1521824421,177,177
1521831617,175,175
1521842418,175,175
1521846019,174,174
1521853218,173,173
1521856817,174,174
1521860412,174,174
1521864014,175,175
1521867616,176,176
1521871216,175,175
1521878416,178,178
1521885614,176,176
1521900013,177,177
1521903611,178,178
1521907212,180,180
1521910812,181,181
1521918017,180,180
1521946817,181,181
1521957611,181,181
1521961214,181,181
1521964813,179,179
1521968414,178,178
1521972016,177,177
1521975613,175,175
1521979216,173,173
1521986415,171,171
1521990015,170,170
1521993617,171,171
1521997217,170,170
1522000819,170,170
1522004417,171,171
1522008017,172,172
1522018812,173,173
1522022411,171,171
1522026011,172,172
1522033216,170,170
1522040416,172,172
1522051220,171,171
1522054818,173,173
1522062017,173,173
1522065613,174,174
1522076416,173,173
1522080018,174,174
1522087221,175,175
1522090822,172,172
1522098012,173,173
1522105213,170,170
1522112417,169,169
1522116016,170,170
1522119617,171,171
1522123215,172,172
1522130418,169,169
1522137619,168,168
1522141216,169,169
1522148418,170,170
1522155616,170,170
1522159214,171,171
1522162816,170,170
1522170017,172,172
1522173616,171,171
1522177216,171,171
1522180818,169,169
1522188021,171,171
1522191619,173,173
1522195219,173,173
1522202417,172,172
1522206013,173,173
1522209614,172,172
1522216814,174,174
1522220420,173,173
1522227614,174,174
1522234818,173,173
1522242019,171,171
1522249217,170,170
1522256416,170,170
1522263614,168,168
1522267217,165,165
1522274417,166,166
1522281613,165,165
1522285220,164,164
1522288818,164,164
1522296027,165,165
1522303222,165,165
1522306823,166,166
1522310419,168,168
1522314021,170,170
1522317614,171,171
1522321214,172,172
1522324814,173,173
1522328414,173,173
1522332015,178,178
1522335614,180,180
1522339214,180,180
1522342824,185,185
1522346424,188,188
1522350024,190,190
1522353623,192,192
1522357233,194,194
1522360824,195,195
1522364425,197,197
1522368023,193,193
1522371621,192,192
1522375214,192,192
1522382415,193,193
1522386015,195,195
1522389619,196,196
1522393223,197,197
1522407627,197,197
1522414829,196,196
1522418420,195,195
1522422019,195,195
