DateTime,AddedIPs,RemovedIPs
1520654416,0,1
1520658016,2,0
1520665218,1,0
1520672420,1,0
1520683215,0,1
1520690414,1,0
1520701214,2,1
1520708414,2,0
1520748025,0,1
1520755221,1,0
1520758822,1,0
1520766017,1,0
1520769614,1,0
1520780414,1,1
1520784020,1,2
1520798418,2,0
1520802016,0,2
1520805620,1,1
1520820018,1,0
1520830821,0,1
1520838014,1,0
1520841615,1,0
1520845214,1,0
1520848813,1,0
1520852414,0,1
1520863217,1,2
1520866815,3,0
1520870418,0,5
1520874015,0,31
1520877619,0,1
1520881217,2,0
1520884819,1,0
1520888415,0,1
1520892015,0,1
1520895614,1,0
1520902817,2,0
1520906416,0,2
1520917212,2,0
1520931613,2,0
1520942422,0,2
1520946016,0,1
1520956816,1,0
1520964020,0,1
1520974813,1,0
1520982012,1,0
1520985612,0,3
1520989219,0,1
1520992812,0,1
1520996421,1,0
1521000015,0,1
1521003615,1,0
1521018019,1,0
1521021620,1,0
1521028816,1,0
1521043212,1,5
1521046811,0,1
1521050412,0,2
1521054014,0,4
1521057611,1,5
1521061211,1,3
1521064823,1,0
1521068413,0,4
1521072014,1,0
1521075614,0,7
1521079214,0,2
1521082815,1,11
1521090011,0,4
1521093611,0,1
1521097209,0,4
1521100810,0,3
1521104415,0,1
1521111610,1,1
1521115210,1,0
1521118810,2,0
1521126012,1,0
1521129611,0,1
1521140413,0,1
1521144022,1,0
1521151216,0,1
1521154813,0,1
1521158411,1,2
1521176423,1,0
1521183615,1,0
1521187212,1,0
1521194413,2,2
1521198014,1,0
1521201616,1,0
1521208817,2,0
1521223216,0,1
1521226815,1,0
1521230414,0,1
1521237610,1,2
1521241213,1,0
1521244810,0,1
1521248418,0,4
1521252014,0,5
1521266416,1,0
1521270014,0,1
1521277218,0,1
1521280826,1,0
1521298811,0,1
1521302411,1,0
1521306009,1,0
1521313209,2,3
1521320411,1,1
1521331215,0,1
1521334813,0,1
1521352810,1,0
1521356409,1,0
1521360010,0,1
1521370809,0,1
1521374410,0,1
1521388812,0,1
1521396010,1,1
1521403213,0,1
1521410417,0,1
1521428411,1,0
1521453613,0,1
1521486011,2,1
1521489611,1,1
1521493210,0,1
1521496810,1,0
1521500410,0,1
1521518422,2,0
1521522012,0,2
1521550811,1,0
1521554413,0,1
1521558011,1,0
1521568812,0,2
1521572414,1,0
1521579611,0,1
1521586814,0,4
1521594014,1,1
1521597614,1,1
1521601209,1,0
1521604809,1,0
1521608409,0,1
1521612010,0,1
