DateTime,AddedIPs,RemovedIPs
1522418850,40,22
1522422460,28,24
1522426093,16,21
1522429657,17,20
1522433260,21,10
1522436860,28,20
1522440463,134,30
1522444063,24,34
1522447658,28,23
1522451259,23,25
1522454858,25,39
1522458458,20,24
1522462057,28,12
1522465654,34,25
1522469259,17,14
1522472854,30,45
1522476449,11,18
1522480050,20,34
1522483651,41,25
1522487258,10,17
1522490880,167,20
1522494463,20,19
1522498064,24,32
1522501671,36,26
1522505262,23,19
1522508867,34,15
1522512468,20,16
1522516066,14,29
1522519668,30,33
1522523262,25,25
1522526863,35,37
1522530464,24,79
1522534060,34,15
1522537665,18,24
1522541262,36,48
1522544857,14,23
1522548464,50,10
1522552068,29,23
1522555663,46,25
1522559262,15,36
1522562866,27,23
1522566471,20,36
1522570061,40,14
1522573662,35,24
1522577266,41,12
1522580864,22,21
1522584462,30,31
1522588067,42,32
1522591664,43,18
1522595266,28,59
1522598868,54,30
1522602468,135,42
1522606076,180,24
1522609682,114,45
1522613287,77,26
1522616887,51,26
1522620485,52,34
1522624086,50,26
1522627687,36,40
1522631285,43,30
1522634890,40,16
1522638493,36,20
1522642096,43,18
1522645694,34,36
1522649295,28,24
1522652897,96,31
1522656494,24,30
1522660090,35,17
1522663696,32,27
1522667306,41,16
1522670910,29,29
1522674501,23,32
1522678105,30,19
1522681704,37,20
1522685306,45,15
1522688909,24,22
1522692504,29,37
1522696095,26,30
1522699711,31,29
1522703305,33,40
1522706906,21,30
1522710506,45,23
1522714109,29,39
1522717711,38,42
1522721315,129,20
1522724915,85,10
1522728510,42,15
1522732117,26,23
1522735717,9,30
1522739310,15,18
1522742915,21,36
1522746515,37,16
1522750108,30,39
1522753712,36,32
1522757315,35,34
1522760913,29,36
1522764543,38,25
1522768119,33,20
1522771715,36,28
1522775321,29,26
1522778920,90,47
1522782520,32,88
1522786118,25,70
1522789720,31,26
1522793315,22,27
1522796915,28,24
1522800517,30,25
1522804114,39,52
1522807712,30,30
1522811317,31,13
1522814914,34,24
1522818514,23,14
1522822113,19,35
1522825715,17,18
1522829320,21,31
1522832918,34,21
1522836521,31,29
1522840121,34,15
1522843713,40,23
1522847314,21,39
1522850919,31,32
1522854518,27,20
1522858117,48,32
1522861723,30,27
1522865316,34,48
1522868922,61,28
1522872518,84,34
1522876118,116,36
1522879733,97,19
1522883330,66,30
1522886931,62,21
1522890529,42,44
1522894132,51,37
1522897726,44,27
1522901326,40,15
1522904931,46,21
1522908533,37,20
1522912132,31,45
1522915743,29,24
1522919336,39,33
1522922939,33,21
1522926539,29,27
1522930143,38,24
1522933740,29,26
1522937344,43,53
1522940942,33,24
1522944540,38,22
1522948135,41,15
1522951735,30,17
1522955332,31,37
1522958937,39,29
1522962536,57,34
1522966140,38,20
1522969735,23,78
1522973339,33,21
1522976945,22,31
1522980546,24,41
1522984135,29,30
1522987734,20,22
1522991329,24,22
1522994942,35,35
1522998538,26,30
1523002141,25,22
1523005741,23,36
1523009349,41,23
1523012944,26,25
1523016543,37,29
1523020145,44,29
1523023739,39,40
1523027344,31,25
1523030946,31,23
1523034550,22,24
1523038140,19,26
1523041739,44,27
1523045333,42,126
1523048933,43,29
1523052539,56,22
1523056136,22,22
1523059735,28,29
1523063337,47,21
1523066935,26,28
1523070537,40,32
1523074137,29,20
1523077738,29,32
1523084940,57,42
1523088544,45,35
1523092205,28,15
1523095739,20,170
1523099339,97,20
1523102934,38,28
1523106540,44,27
1523110138,34,28
1523113742,46,37
1523117338,22,28
1523120938,27,13
1523124545,37,25
1523128141,39,18
1523131752,112,38
1523135347,24,22
1523138948,21,33
1523142549,24,21
1523146144,19,34
1523149742,48,15
1523153338,23,41
1523156943,35,32
1523160544,38,38
1523164147,25,11
1523167746,31,24
1523171349,23,19
1523174948,25,36
1523178546,34,24
1523182144,21,36
1523185749,48,17
1523189342,29,27
1523192942,27,25
1523196549,38,26
1523200138,27,26
1523203743,43,33
1523207349,27,59
1523210945,32,68
1523214545,34,52
1523218144,32,51
1523221747,42,38
1523225341,20,47
1523228940,28,47
1523232541,23,28
1523236144,19,44
1523239738,37,35
1523243331,25,31
1523246938,42,45
1523250535,28,31
1523254129,35,24
1523257725,17,93
1523261337,34,32
1523264933,29,30
1523268528,25,32
1523272127,28,43
1523275727,28,28
1523279335,36,24
1523282935,42,22
1523286559,41,43
1523290134,40,47
1523293731,16,36
1523297343,30,35
1523300943,23,24
1523304542,31,30
1523308141,37,34
1523311736,36,23
1523315337,21,39
1523318945,19,24
1523322535,23,40
1523326128,52,132
1523329731,20,86
1523333332,36,41
1523336928,25,25
1523340538,23,15
1523344132,33,20
1523347731,34,27
1523351330,45,32
1523354936,30,28
1523358533,23,42
1523362138,20,37
1523365731,22,29
1523369330,37,41
1523372926,35,30
