DateTime,Entries,UniqueIPs
1522418850,6715,6715
1522422460,6719,6719
1522426093,6714,6714
1522429657,6711,6711
1522433260,6722,6722
1522436860,6730,6730
1522440463,6834,6834
1522444063,6824,6824
1522447658,6829,6829
1522451259,6827,6827
1522454858,6813,6813
1522458458,6809,6809
1522462057,6825,6825
1522465654,6834,6834
1522469259,6837,6837
1522472854,6822,6822
1522476449,6815,6815
1522480050,6801,6801
1522483651,6817,6817
1522487258,6810,6810
1522490880,6957,6957
1522494463,6958,6958
1522498064,6950,6950
1522501671,6960,6960
1522505262,6964,6964
1522508867,6983,6983
1522512468,6987,6987
1522516066,6972,6972
1522519668,6969,6969
1522523262,6969,6969
1522526863,6967,6967
1522530464,6912,6912
1522534060,6931,6931
1522537665,6925,6925
1522541262,6913,6913
1522544857,6904,6904
1522548464,6944,6944
1522552068,6950,6950
1522555663,6971,6971
1522559262,6950,6950
1522562866,6954,6954
1522566471,6938,6938
1522570061,6964,6964
1522573662,6975,6975
1522577266,7004,7004
1522580864,7005,7005
1522584462,7004,7004
1522588067,7014,7014
1522591664,7039,7039
1522595266,7008,7008
1522598868,7032,7032
1522602468,7125,7125
1522606076,7281,7281
1522609682,7350,7350
1522613287,7401,7401
1522616887,7426,7426
1522620485,7444,7444
1522624086,7468,7468
1522627687,7464,7464
1522631285,7477,7477
1522634890,7501,7501
1522638493,7517,7517
1522642096,7542,7542
1522645694,7540,7540
1522649295,7544,7544
1522652897,7609,7609
1522656494,7603,7603
1522660090,7621,7621
1522663696,7626,7626
1522667306,7651,7651
1522670910,7651,7651
1522674501,7642,7642
1522678105,7653,7653
1522681704,7670,7670
1522685306,7700,7700
1522688909,7702,7702
1522692504,7694,7694
1522696095,7690,7690
1522699711,7692,7692
1522703305,7685,7685
1522706906,7676,7676
1522710506,7698,7698
1522714109,7688,7688
1522717711,7684,7684
1522721315,7793,7793
1522724915,7868,7868
1522728510,7895,7895
1522732117,7898,7898
1522735717,7877,7877
1522739310,7874,7874
1522742915,7859,7859
1522746515,7880,7880
1522750108,7871,7871
1522753712,7875,7875
1522757315,7876,7876
1522760913,7869,7869
1522764543,7882,7882
1522768119,7895,7895
1522771715,7903,7903
1522775321,7906,7906
1522778920,7949,7949
1522782520,7893,7893
1522786118,7848,7848
1522789720,7853,7853
1522793315,7848,7848
1522796915,7852,7852
1522800517,7857,7857
1522804114,7844,7844
1522807712,7844,7844
1522811317,7862,7862
1522814914,7872,7872
1522818514,7881,7881
1522822113,7865,7865
1522825715,7864,7864
1522829320,7854,7854
1522832918,7867,7867
1522836521,7869,7869
1522840121,7888,7888
1522843713,7905,7905
1522847314,7887,7887
1522850919,7886,7886
1522854518,7893,7893
1522858117,7909,7909
1522861723,7912,7912
1522865316,7898,7898
1522868922,7931,7931
1522872518,7981,7981
1522876118,8061,8061
1522879733,8139,8139
1522883330,8175,8175
1522886931,8216,8216
1522890529,8214,8214
1522894132,8228,8228
1522897726,8245,8245
1522901326,8270,8270
1522904931,8295,8295
1522908533,8312,8312
1522912132,8298,8298
1522915743,8303,8303
1522919336,8309,8309
1522922939,8321,8321
1522926539,8323,8323
1522930143,8337,8337
1522933740,8340,8340
1522937344,8330,8330
1522940942,8339,8339
1522944540,8355,8355
1522948135,8381,8381
1522951735,8394,8394
1522955332,8388,8388
1522958937,8398,8398
1522962536,8421,8421
1522966140,8439,8439
1522969735,8384,8384
1522973339,8396,8396
1522976945,8387,8387
1522980546,8370,8370
