DateTime,AddedIPs,RemovedIPs
1522418939,36,13
1522422543,22,20
1522426143,9,12
1522429744,14,17
1522433343,18,7
1522436941,22,15
1522440545,123,22
1522444143,19,29
1522447744,22,20
1522451347,20,20
1522454942,21,36
1522458542,20,19
1522462139,25,9
1522465744,30,19
1522469341,12,10
1522472941,27,36
1522476539,8,13
1522480135,15,27
1522483744,38,18
1522487342,8,15
1522490950,155,15
1522494549,15,16
1522498154,19,27
1522501755,27,22
1522505349,19,13
1522508953,29,11
1522512553,13,10
1522516149,7,26
1522519751,21,25
1522523353,18,17
1522526955,28,30
1522530553,17,60
1522534151,27,9
1522537753,12,23
1522541351,28,44
1522544947,10,20
1522548549,44,8
1522552148,19,14
1522555748,40,17
1522559348,11,31
1522562951,21,22
1522566552,13,34
1522570149,38,7
1522573750,29,21
1522577352,31,9
1522580951,17,17
1522584551,27,27
1522588153,44,26
1522591751,41,12
1522595349,20,17
1522598949,44,19
1522602551,99,34
1522606161,128,18
1522609762,77,39
1522613366,57,16
1522616963,36,20
1522620565,40,28
1522624168,43,22
1522627762,29,36
1522631365,34,22
1522634971,27,14
1522638573,33,17
1522642177,33,17
1522645773,32,30
1522649378,26,19
1522652980,80,24
1522656578,19,27
1522660179,28,14
1522663782,34,26
1522667388,38,13
1522670981,24,24
1522674580,15,27
1522678182,24,14
1522681785,30,17
1522685382,33,11
1522688990,20,17
1522692591,19,22
1522696193,21,27
1522699792,23,23
1522703394,30,34
1522706989,16,24
1522710590,40,20
1522714193,27,36
1522717788,36,39
1522721401,121,17
1522724998,81,10
1522728600,36,11
1522732198,20,17
1522735797,7,22
1522739397,13,15
1522742997,19,31
1522746599,33,8
1522750200,23,26
1522753796,31,24
1522757398,24,27
1522760994,23,33
1522764599,25,16
1522768195,25,15
1522771796,32,20
1522775404,24,20
1522779007,71,35
1522782602,26,73
1522786197,20,66
1522789797,27,15
1522793400,14,22
1522796995,26,21
1522800597,23,23
1522804198,32,43
1522807795,24,27
1522811392,23,8
1522814996,25,17
1522818595,23,8
1522822194,12,32
1522825807,17,13
1522829405,18,29
1522833002,30,16
1522836601,24,18
1522840209,32,10
1522843792,38,17
1522847398,15,38
1522851005,25,24
1522854602,20,11
1522858203,44,25
1522861795,24,17
1522865398,29,40
1522869012,50,19
1522872606,53,30
1522876208,79,28
1522879814,70,19
1522883409,47,22
1522887009,44,15
1522890607,24,35
1522894207,39,29
1522897794,33,20
1522901401,28,12
1522905002,42,11
1522908602,30,17
1522912203,20,37
1522915816,19,18
1522919416,31,27
1522923012,26,18
1522926615,25,23
1522930228,34,16
1522933824,23,18
1522937420,30,43
1522941023,21,18
1522944610,31,15
1522948208,38,11
1522951810,25,12
1522955404,26,27
1522959012,34,18
1522962611,18,30
1522966209,32,12
1522969808,18,68
1522973411,34,15
1522977010,17,22
1522980610,21,38
1522984209,25,25
1522987809,19,17
1522991409,19,15
1522995010,29,23
1522998620,22,25
1523002221,24,19
1523005818,16,29
1523009426,40,15
1523013024,19,21
1523016628,33,22
1523020222,41,26
1523023821,31,33
