DateTime,Entries,UniqueIPs
1522418939,5292,5292
1522422543,5294,5294
1522426143,5291,5291
1522429744,5288,5288
1522433343,5299,5299
1522436941,5306,5306
1522440545,5407,5407
1522444143,5397,5397
1522447744,5399,5399
1522451347,5399,5399
1522454942,5384,5384
1522458542,5385,5385
1522462139,5401,5401
1522465744,5412,5412
1522469341,5414,5414
1522472941,5405,5405
1522476539,5400,5400
1522480135,5388,5388
1522483744,5408,5408
1522487342,5401,5401
1522490950,5541,5541
1522494549,5540,5540
1522498154,5532,5532
1522501755,5537,5537
1522505349,5543,5543
1522508953,5561,5561
1522512553,5564,5564
1522516149,5545,5545
1522519751,5541,5541
1522523353,5542,5542
1522526955,5540,5540
1522530553,5497,5497
1522534151,5515,5515
1522537753,5504,5504
1522541351,5488,5488
1522544947,5478,5478
1522548549,5514,5514
1522552148,5519,5519
1522555748,5542,5542
1522559348,5522,5522
1522562951,5521,5521
1522566552,5500,5500
1522570149,5531,5531
1522573750,5539,5539
1522577352,5561,5561
1522580951,5561,5561
1522584551,5561,5561
1522588153,5579,5579
1522591751,5608,5608
1522595349,5611,5611
1522598949,5636,5636
1522602551,5701,5701
1522606161,5811,5811
1522609762,5849,5849
1522613366,5890,5890
1522616963,5906,5906
1522620565,5918,5918
1522624168,5939,5939
1522627762,5932,5932
1522631365,5944,5944
1522634971,5957,5957
1522638573,5973,5973
1522642177,5989,5989
1522645773,5991,5991
1522649378,5998,5998
1522652980,6054,6054
1522656578,6046,6046
1522660179,6060,6060
1522663782,6068,6068
1522667388,6093,6093
1522670981,6093,6093
1522674580,6081,6081
1522678182,6091,6091
1522681785,6104,6104
1522685382,6126,6126
1522688990,6129,6129
1522692591,6126,6126
1522696193,6120,6120
1522699792,6120,6120
1522703394,6116,6116
1522706989,6108,6108
1522710590,6128,6128
1522714193,6119,6119
1522717788,6116,6116
1522721401,6220,6220
1522724998,6291,6291
1522728600,6316,6316
1522732198,6319,6319
1522735797,6304,6304
1522739397,6302,6302
1522742997,6290,6290
1522746599,6315,6315
1522750200,6312,6312
1522753796,6319,6319
1522757398,6316,6316
1522760994,6306,6306
1522764599,6315,6315
1522768195,6325,6325
1522771796,6337,6337
1522775404,6341,6341
1522779007,6377,6377
1522782602,6330,6330
1522786197,6284,6284
1522789797,6296,6296
1522793400,6288,6288
1522796995,6293,6293
1522800597,6293,6293
1522804198,6282,6282
1522807795,6279,6279
1522811392,6294,6294
1522814996,6302,6302
1522818595,6317,6317
1522822194,6297,6297
1522825807,6301,6301
1522829405,6290,6290
1522833002,6304,6304
1522836601,6310,6310
1522840209,6332,6332
1522843792,6353,6353
1522847398,6330,6330
1522851005,6331,6331
1522854602,6340,6340
1522858203,6359,6359
1522861795,6366,6366
1522865398,6355,6355
1522869012,6386,6386
1522872606,6409,6409
1522876208,6460,6460
1522879814,6511,6511
1522883409,6536,6536
1522887009,6565,6565
1522890607,6554,6554
1522894207,6564,6564
1522897794,6577,6577
1522901401,6593,6593
1522905002,6624,6624
1522908602,6637,6637
1522912203,6620,6620
1522915816,6621,6621
1522919416,6625,6625
1522923012,6633,6633
1522926615,6635,6635
1522930228,6653,6653
1522933824,6658,6658
1522937420,6645,6645
1522941023,6648,6648
1522944610,6664,6664
1522948208,6691,6691
1522951810,6704,6704
1522955404,6703,6703
1522959012,6719,6719
1522962611,6707,6707
1522966209,6727,6727
1522969808,6677,6677
1522973411,6696,6696
1522977010,6691,6691
1522980610,6674,6674
1522984209,6674,6674
1522987809,6676,6676
1522991409,6680,6680
1522995010,6686,6686
1522998620,6683,6683
1523002221,6688,6688
1523005818,6675,6675
1523009426,6700,6700
1523013024,6698,6698
1523016628,6709,6709
1523020222,6724,6724
1523023821,6722,6722
1523027425,6732,6732
1523031031,6746,6746
1523034632,6747,6747
1523038216,6745,6745
1523041816,6765,6765
1523045409,6689,6689
1523049010,6705,6705
1523052612,6732,6732
1523056210,6732,6732
1523059806,6731,6731
1523063406,6754,6754
1523067003,6752,6752
1523070606,6763,6763
1523074209,6772,6772
1523077816,6767,6767
1523085020,6783,6783
1523088618,6793,6793
1523092221,6805,6805
