DateTime,AddedIPs,RemovedIPs
1521990195,1,0
1521993803,4,1
1521997416,3,3
1522001019,1,2
1522004610,5,1
1522008204,6,1
1522011800,4,1
1522015401,1,2
1522019014,2,3
1522022608,2,0
1522029798,1,2
1522033403,0,2
1522037006,2,1
1522040609,0,2
1522051409,1,1
1522058605,5,3
1522062216,2,2
1522065810,1,1
1522069430,1,0
1522073013,3,2
1522076608,1,2
1522080210,3,3
1522083800,1,2
1522087407,2,2
1522091007,1,1
1522094607,0,2
1522098208,4,5
1522101808,2,2
1522105404,2,1
1522112614,0,1
1522116200,0,3
1522119805,1,2
1522130608,1,2
1522134203,1,1
1522137797,3,0
1522141411,3,2
1522145003,1,0
1522148599,1,1
1522152206,0,1
1522155802,0,1
1522159400,1,1
1522163007,1,1
1522166608,2,2
1522170202,2,2
1522173810,2,3
1522177416,4,1
1522181003,2,0
1522184621,1,2
1522188213,3,0
1522191803,0,2
1522195408,0,2
1522199002,0,1
1522206215,0,2
1522209798,0,3
1522227803,0,2
1522235010,2,1
1522242203,0,1
1522245803,1,2
1522249401,3,2
1522253010,2,1
1522256610,3,0
1522260221,7,3
1522263807,3,0
1522267413,2,1
1522271005,3,1
1522274609,4,2
1522278204,1,0
1522281813,10,1
1522285408,3,1
1522289011,0,3
1522292604,4,2
1522296208,0,2
1522299805,1,0
1522303408,2,2
1522307016,0,1
1522310615,1,0
1522314216,3,0
1522317807,3,0
1522321408,2,1
1522325007,1,2
1522328598,2,0
1522332211,2,1
1522335808,1,1
1522339407,1,1
1522343142,0,1
1522346602,1,1
1522353804,2,1
1522361001,1,11
1522364599,1,7
1522368201,0,3
1522371794,1,2
1522375409,1,1
1522379002,1,1
1522382618,0,1
1522386199,1,1
1522393405,1,1
1522400606,2,0
1522404201,0,3
1522407799,3,0
1522411407,1,1
1522415008,2,1
1522418607,0,3
1522422203,0,1
1522425797,0,3
1522429417,0,2
1522433003,3,1
1522436598,1,2
1522443805,3,1
1522447402,1,0
1522451004,0,2
1522454600,1,6
1522458205,0,1
1522461801,1,2
1522465407,1,0
1522469003,2,0
1522476195,0,2
1522483406,0,2
1522486993,0,2
1522497803,0,2
1522501408,0,1
1522505002,1,0
1522508607,0,4
1522512211,0,2
1522519403,0,3
1522530206,0,1
1522533811,0,2
1522537405,0,1
1522541002,0,2
1522544608,2,2
1522548210,1,1
1522551810,1,1
1522559018,1,0
1522562613,1,0
1522569808,0,1
1522573406,2,0
1522577011,0,1
1522580600,0,1
1522584209,2,1
1522591407,1,1
1522594998,1,0
1522598595,0,1
1522602203,0,1
1522605804,1,2
1522609398,1,4
1522613013,1,4
1522616602,3,4
1522623808,0,3
1522627410,1,1
1522634609,2,0
1522638201,1,1
1522641811,7,5
1522645404,16,0
1522649020,12,0
1522652599,10,0
1522656209,5,0
1522659800,9,0
1522663406,1,4
1522667027,0,4
1522670622,3,0
1522674205,1,4
1522677807,1,1
1522681410,0,1
1522685004,0,3
1522688613,1,0
1522692207,4,0
1522695811,3,2
1522699410,0,1
1522703012,2,1
1522706612,3,1
1522710214,1,3
1522713815,1,1
1522717415,1,0
1522721013,1,0
1522724609,0,1
1522728226,1,1
1522731806,0,1
1522735408,1,1
1522742609,2,1
1522746211,0,2
1522749820,0,3
1522753423,2,1
1522757009,1,2
1522764224,1,0
1522767808,3,1
1522771408,0,1
1522775016,2,2
1522778610,1,1
1522782207,0,1
1522785814,1,5
1522789407,0,1
1522793011,0,1
1522796609,0,3
1522814620,1,0
1522832617,2,0
1522839814,0,1
1522843413,3,1
1522847019,0,1
1522850619,1,0
1522854229,0,4
1522857813,2,1
1522861402,2,3
1522865011,1,3
1522868615,0,2
1522872207,0,2
1522875808,0,1
1522879428,2,3
1522883005,1,1
1522886623,1,8
1522890210,0,2
1522897408,0,3
1522908205,0,1
1522915416,1,2
1522919017,2,5
1522922612,0,3
1522926212,2,1
1522929806,1,0
1522933413,3,2
1522937018,2,1
1522940629,2,2
1522947805,4,0
1522951407,1,1
1522955005,1,1
1522958606,2,1
1522962202,2,1
1522965814,1,1
1522969411,0,1
1522973008,4,1
1522976616,1,1
1522980207,1,2
1522983807,0,2
1522987408,1,0
