DateTime,AddedIPs,RemovedIPs
1522392723,70,48
1522394643,63,52
1522396563,52,63
1522398723,119,83
1522402802,74,67
1522406645,70,59
1522410482,81,62
1522414323,60,66
1522418164,75,81
1522420324,84,59
1522424162,71,74
1522428002,84,69
1522431844,73,66
1522437602,72,66
1522439523,88,87
1522443363,65,90
1522445523,67,77
1522449362,58,90
1522452003,87,93
1522458242,39,78
1522460162,61,57
1522464003,69,75
1522467844,89,114
1522471684,67,80
1522475523,87,57
1522479364,64,42
1522481283,55,58
1522483208,58,55
1522485123,55,58
1522487043,71,52
1522490883,87,58
1522492804,75,73
1522496644,66,69
1522502403,66,60
1522504324,73,55
1522508165,65,63
1522513923,128,100
1522515843,84,64
1522523763,74,77
1522525683,69,97
1522529763,60,78
1522533844,67,71
1522535763,58,102
1522537684,120,86
1522544644,170,119
1522548483,61,84
1522554243,92,115
1522558083,67,79
1522561922,105,43
1522566013,62,58
1522567922,72,60
1522571762,74,39
1522575602,68,61
1522579443,80,65
1522583282,66,62
1522587122,67,67
1522592884,130,96
1522596723,69,65
1522598646,65,69
1522600562,116,131
1522604403,88,84
1522609685,81,78
1522611605,79,59
1522617365,76,84
1522619282,59,78
1522623844,58,81
1522626003,79,80
1522629843,32,78
1522635602,112,137
1522639923,87,107
1522644003,66,67
1522647844,86,54
1522651683,54,42
1522655523,60,50
1522659363,70,57
1522663683,78,63
1522665602,73,66
1522669443,73,57
1522673282,69,57
1522677122,74,58
1522680963,85,62
1522685042,76,53
1522686962,64,69
1522691522,76,74
1522695363,77,82
1522699211,66,64
1522701122,70,101
1522705202,74,95
1522709042,59,90
1522711445,83,84
1522715523,36,63
1522719602,68,73
1522723443,62,74
1522729202,94,114
1522731122,68,74
1522737123,157,103
1522739523,47,61
1522746007,69,54
1522747923,63,59
1522752002,56,60
1522753923,60,56
1522755842,95,94
1522759682,76,50
1522763523,78,59
1522769285,82,74
1522772163,78,67
1522775044,93,82
1522777203,84,73
1522781524,93,69
1522785364,73,94
1522787284,87,90
1522791123,59,95
1522795443,56,94
1522799763,97,85
1522803608,50,63
1522805763,69,83
1522809603,68,86
1522813444,86,105
1522817283,69,84
1522821122,84,65
1522825211,71,57
1522827124,70,59
1522831203,67,53
1522835043,55,71
1522838882,64,50
1522840802,0,4
1522842723,83,63
1522846563,74,66
1522848724,69,64
1522852562,73,70
1522857613,76,59
1522859524,84,67
1522863363,84,83
1522867203,103,74
1522871045,94,90
1522875123,90,95
1522877763,71,101
1522883523,60,104
1522886642,97,94
1522889043,40,69
1522893843,70,71
1522896003,73,105
1522903682,146,158
1522907522,92,72
1522911362,63,62
1522913522,68,48
1522917842,88,58
1522922408,57,62
1522924802,66,51
1522928642,69,56
1522930814,72,64
1522936811,71,55
1522938723,57,61
1522942562,90,72
1522948323,136,115
1522954322,93,75
1522956242,81,80
1522958162,80,81
1522960324,124,127
1522964162,69,89
1522970167,59,96
1522972323,93,90
1522974243,90,93
1522976643,118,145
1522980482,65,77
1522982403,59,71
1522986243,97,113
1522990563,71,91
1522994410,95,60
1522996323,69,57
1523000404,64,61
1523004244,63,44
1523006162,59,67
1523010003,67,59
1523011923,108,108
1523013843,78,63
1523015763,63,78
1523017683,125,89
1523021522,80,64
1523023446,68,95
1523028245,72,61
1523032323,78,81
1523036163,94,80
1523038083,478,470
1523040003,474,484
1523043845,74,73
1523047924,76,90
1523052012,72,66
1523056082,66,72
1523058003,136,186
1523061843,53,69
1523067603,56,62
1523069522,62,76
1523073364,101,106
1523077212,71,77
1523079123,83,54
1523081042,66,43
