DateTime,AddedIPs,RemovedIPs
1522262116,2,0
1522263619,1,0
1522264216,1,0
1522267819,1,0
1522270516,0,1
1522271716,1,0
1522273816,1,0
1522276217,1,0
1522278316,1,0
1522279817,2,0
1522280116,1,0
1522280717,1,0
1522282517,5,0
1522282816,2,0
1522283716,1,0
1522284616,1,0
1522285217,6,0
1522285516,1,0
1522285816,2,0
1522286116,2,0
1522286417,2,0
1522287019,2,0
1522287316,2,0
1522287617,3,0
1522287915,1,0
1522289416,3,0
1522290016,2,0
1522290915,1,0
1522291215,3,0
1522292418,5,0
1522292716,2,0
1522293316,6,0
1522293915,1,0
1522294219,1,0
1522294817,3,0
1522295117,1,0
1522295417,3,0
1522296016,3,0
1522296616,2,0
1522297217,3,0
1522297517,1,0
1522298417,1,0
1522299016,3,0
1522299617,1,0
1522299916,1,0
1522300515,2,0
1522300817,2,0
1522301418,1,0
1522302017,1,0
1522302316,2,0
1522303516,2,0
1522303816,3,0
1522304721,1,0
1522305023,2,0
1522305316,1,0
1522305617,2,0
1522306217,1,0
1522307417,2,0
1522307716,1,0
1522308616,1,0
1522309216,2,0
1522310116,2,0
1522311017,3,0
1522311618,4,0
1522312516,3,0
1522313417,1,0
1522314917,1,0
1522315217,2,0
1522315816,1,0
1522318816,1,0
1522319118,1,0
1522319716,1,0
1522320016,1,0
1522320616,1,0
1522321516,1,0
1522322716,1,0
1522323016,1,0
1522323617,1,0
1522323918,1,0
1522324516,1,0
1522324817,1,0
1522325717,1,0
1522326018,4,0
1522326617,1,0
1522327217,4,0
1522328716,4,0
1522329617,1,0
1522329916,1,0
1522330817,1,0
1522331417,1,0
1522331717,2,0
1522332616,1,0
1522332917,1,0
1522333518,1,0
1522334417,1,0
1522334716,2,0
1522335617,2,0
1522336516,1,0
1522336816,1,0
1522337420,1,0
1522337716,1,0
1522338018,2,0
1522338617,1,0
1522339217,1,0
1522340417,2,0
1522341316,3,0
1522341616,1,0
1522342216,1,0
1522342515,1,0
1522347017,1,0
1522348516,1,0
1522365916,1,0
1522370116,1,0
1522370416,1,0
1522372516,2,0
1522372817,2,0
1522376417,1,0
1522377616,1,0
1522378216,2,0
1522379418,3,0
1522380017,1,0
1522380916,2,0
1522381217,2,0
1522382116,1,0
1522382417,1,0
1522384816,1,0
1522387216,1,0
1522387817,1,0
1522388417,1,0
1522390817,2,0
1522392615,1,0
1522393217,1,0
1522394117,1,0
1522395617,2,0
1522397717,1,0
1522398917,1,0
1522400716,1,0
1522402216,2,0
1522403116,2,0
1522404616,1,0
1522405218,1,0
1522408216,2,0
1522408517,1,0
1522410017,1,0
1522412419,1,0
1522414218,1,0
1522415716,1,2
1522417816,1,0
1522418716,3,0
1522419016,1,0
1522420217,2,0
1522420818,1,0
1522421716,2,0
1522423517,1,0
1522427716,1,0
1522429815,1,0
1522430416,2,0
1522432516,1,0
1522437316,1,0
1522438516,10,0
1522438817,8,0
1522439415,7,0
1522440916,1,0
1522455616,1,0
1522458916,1,0
1522459218,1,0
1522460115,1,0
1522461016,1,0
1522468818,1,0
1522470016,1,0
1522470618,1,0
1522472117,1,0
1522473616,1,0
1522474516,2,0
1522479315,1,0
1522479619,1,0
1522480216,1,0
1522481716,1,0
1522482616,1,0
1522482917,1,0
1522484115,1,0
1522485017,1,0
1522486516,1,0
1522488617,1,0
1522489816,1,0
1522491316,1,0
1522494615,2,0
1522495217,1,0
1522500916,1,0
1522501816,1,0
1522507817,1,0
1522508718,1,0
1522509019,1,0
1522510219,1,0
1522510517,1,0
1522512317,2,0
1522512917,1,0
1522517418,1,0
1522518017,2,0
1522518919,1,0
1522520719,4,0
1522522216,1,0
1522523416,1,0
1522533316,1,0
1522549216,1,0
1522549817,1,0
1522551016,1,0
1522554916,2,0
1522556417,1,0
1522557917,1,0
1522559419,2,0
1522560317,1,0
1522561217,1,0
1522562417,13,0
1522562716,1,0
1522563617,1,0
1522564516,1,0
1522564818,1,0
1522570218,1,0
1522570819,1,0
1522571717,1,0
1522572916,1,0
1522573516,1,0
1522576819,1,0
1522578916,1,0
1522581017,1,0
1522581316,1,0
1522585218,1,0
1522587317,1,0
1522590616,3,0
1522594818,1,0
1522595716,4,0
1522596017,1,0
1522598116,1,0
1522598418,1,0
1522599917,1,0
1522600220,1,0
1522609217,3,0
1522617616,1,0
1522625417,1,0
1522626017,1,0
1522626316,1,0
1522626916,3,1
1522627216,2,0
1522634116,1,0
1522634716,1,0
1522636817,1,0
1522644017,1,0
1522644917,1,0
1522645816,1,0
1522651217,1,0
1522656018,1,0
1522659017,1,0
1522659316,1,0
1522663217,1,0
1522665917,1,0
1522666517,1,0
1522672817,1,0
1522673118,1,0
1522675218,1,0
1522690818,1,0
1522718117,1,0
1522722617,1,0
1522723815,1,0
1522725617,1,0
1522726217,1,0
1522726816,1,0
1522727717,1,0
1522729518,1,0
1522730117,1,0
1522734017,2,0
1522734915,2,0
1522736416,1,0
1522737616,1,0
1522738818,1,0
1522749916,1,0
1522756216,1,0
1522757417,1,0
1522762517,1,0
1522764019,1,0
1522764917,2,0
1522766417,2,0
1522768516,1,0
1522780816,2,0
1522782018,2,0
1522788316,1,0
1522788616,1,0
1522794316,0,1
1522794916,1,0
1522806317,1,0
1522808118,1,0
1522809020,1,0
1522809916,1,0
1522816816,1,0
1522817116,1,0
1522821918,1,0
1522827619,1,0
1522830616,1,0
1522833015,1,0
1522835417,0,1
1522846215,1,0
1522851317,1,0
1522853416,1,0
1522857017,2,0
1522867216,1,0
1522886717,1,0
1522892417,1,0
1522894216,1,0
1522903216,2,0
1522906217,1,0
1522908915,1,0
1522910715,0,1
1522921816,1,0
1522922115,1,0
1522922417,1,0
1522924817,1,0
1522929617,1,0
1522936216,2,0
1522936817,1,0
1522946417,1,0
1522947317,1,0
1522955116,1,0
1522978515,1,0
1522989017,1,0
1522992017,1,0
1522995316,1,0
1522998916,1,0
1523001017,1,0
1523001917,0,1
1523021116,1,0
1523060416,1,0
1523061315,1,0
1523090116,1,0
1523105116,1,0
1523108118,1,0
1523118017,1,0
1523131219,0,1
1523142016,2,0
1523144417,1,0
1523145618,2,0
1523152818,1,0
1523166615,1,0
1523167217,1,0
1523168721,1,0
1523173816,1,0
1523174418,1,0
1523176818,1,0
