DateTime,AddedIPs,RemovedIPs
1519500673,256,256
1519510549,512,512
1519515931,256,256
1519517735,256,256
1519583856,768,768
1519586136,512,512
1519591080,256,256
1519596925,256,256
1519598728,256,256
1519601965,256,256
1519626762,256,256
1519659537,1280,1280
1519666634,256,256
1519670290,256,256
1519684732,256,256
1519686932,256,256
1519688709,512,512
1519745612,1280,1280
1519749908,256,256
1519751725,256,256
1519769737,256,256
1519775109,512,512
1519778879,256,256
1519799610,256,256
1519809341,256,256
1519839684,1024,1024
1519845328,512,512
1519857909,256,256
1519861259,512,512
1519864426,256,256
1519884933,256,256
1519886058,256,256
1519890226,256,256
1519895734,256,256
1519911029,2560,2560
1519911908,256,256
1519920928,512,512
1519922346,256,256
1519925656,512,512
1519931730,256,256
1519932725,256,256
1519944308,256,256
1519946140,512,512
1519947456,256,256
1519967740,256,256
1519972533,512,512
1519974944,512,512
1519980336,256,256
1519983299,256,256
1519985731,256,256
1519986875,256,256
1520008719,256,256
1520012081,1536,1536
1520014526,256,256
1520015583,256,256
1520030305,256,256
1520037805,512,512
1520059029,256,256
1520061345,256,256
1520091172,1024,1024
1520093723,256,256
1520095525,512,512
1520102723,256,256
1520104528,256,256
1520111726,256,256
1520156732,256,256
1520184772,1280,1280
1520190936,512,512
1520203120,256,256
1520210708,256,256
1520212544,256,256
1520232084,256,256
1520234137,256,256
1520241331,256,256
1520255737,256,256
1520260211,2304,2304
1520261120,256,256
1520262922,256,256
1520268323,256,256
1520270132,256,256
1520277327,256,256
1520280923,256,256
1520282731,256,256
1520288133,256,256
1520289171,256,256
1520293509,256,256
1520317918,256,256
1520327739,256,256
1520328733,256,256
1520336189,256,256
1520338540,256,256
1520345743,256,256
1520347182,1536,1536
1520349330,256,256
1520354710,256,256
1520363730,256,256
1520366417,256,256
1520368504,256,256
1520374544,256,256
1520379465,256,256
1520381738,256,256
1520383276,256,256
1520386522,256,256
1520394335,256,256
1520397936,256,256
1520400741,256,256
1520404430,256,256
1520406938,256,256
1520440236,2048,2048
1520450130,256,256
1520458628,256,256
1520460932,256,256
1520462708,256,256
1520463744,256,256
1520465500,256,256
1520469527,768,768
1520490762,256,256
1520500539,256,256
1520530333,2304,2304
1520533933,256,256
1520536529,256,256
1520540131,256,256
1520541112,256,256
1520548631,256,256
1520552726,256,256
1520556309,256,256
1520559772,256,256
1520577121,256,256
1520579743,256,256
1520586937,256,256
1520587937,256,256
1520590538,256,256
1520601338,256,256
1520616904,1792,1792
1520628327,256,256
1520630126,256,256
1520633726,256,256
1520644535,256,256
1520649252,256,256
1520655334,256,256
1520657135,256,256
1520658929,256,256
1520664334,256,256
1520695811,768,768
1520716537,256,256
1520728704,256,256
1520778628,1024,1024
1520778747,256,256
1520782617,256,256
1520792133,256,256
1520802939,512,512
1520806532,256,256
1520811909,256,256
1520829085,256,256
1520833529,256,256
1520845288,256,256
1520869003,1536,1536
1520873110,256,256
1520878529,512,512
1520879685,256,256
1520883910,256,256
1520890269,256,256
1520892931,256,256
1520901618,512,512
1520919124,512,512
1520923069,768,768
1520927135,256,256
1520932540,256,256
1520936138,256,256
1520955011,1792,1792
1520984251,256,256
1521018941,256,256
1521045512,1280,1280
1521049522,256,256
1521051324,256,256
1521052461,256,256
1521054927,256,256
1521058534,512,512
1521063909,256,256
1521071109,256,256
1521079228,256,256
1521083726,256,256
1521092785,256,256
1521098130,256,256
1521104404,256,256
1521138972,1792,1792
1521143122,256,256
1521146126,256,256
1521160575,256,256
1521162923,256,256
1521173722,256,256
1521174897,256,256
1521178296,512,512
1521184529,256,256
1521191729,256,256
1521198008,256,256
1521202532,256,256
1521204324,256,256
1521206126,256,256
1521215125,256,256
1521216933,256,256
1521221403,1280,1280
1521224122,256,256
1521243187,256,256
1521261255,256,256
1521264702,256,256
1521271610,256,256
1521311435,1536,1536
1521323119,256,256
1521332122,256,256
1521333455,256,256
1521336751,256,256
1521394202,1536,1536
1521395115,256,256
1521396923,256,256
1521402317,256,256
1521405053,256,256
1521408876,256,256
1521416721,256,256
1521427256,256,256
1521437471,256,256
1521477358,1536,1536
1521483321,256,256
1521490519,512,512
1521497722,256,256
1521503102,256,256
1521504925,512,512
1521506280,512,512
1521508532,256,256
1521510326,256,256
1521552689,1024,1024
1521573318,256,256
1521589533,256,256
1521593130,256,256
1521594935,256,256
1521598538,256,256
1521609332,256,256
1521649821,1280,1280
1521656132,256,256
1521661524,256,256
1521663326,256,256
1521678715,256,256
1521697535,256,256
1521710134,256,256
1521739803,2304,2304
1521740720,256,256
1521749724,256,256
1521756923,256,256
1521762328,256,256
1521764124,256,256
1521815426,1280,1280
1521816316,256,256
1521821718,256,256
1521828920,256,256
1521836122,256,256
1521843325,512,512
1521851242,256,256
1521853204,256,256
1521855936,256,256
1521909002,768,768
1521913519,256,256
1521915321,256,256
1521929724,256,256
1521936937,256,256
1521937943,768,768
1521947743,256,256
1521948720,256,256
1521951332,256,256
1521958533,256,256
1521962135,256,256
1521995227,768,768
1521999903,256,256
1522001721,256,256
1522009522,256,256
1522016133,256,256
1522023332,256,256
1522044935,256,256
1522081949,1024,1024
1522088760,256,256
1522095321,256,256
1522111532,256,256
1522131334,256,256
1522171613,768,768
1522196129,256,256
1522199738,256,256
1522203327,256,256
1522216805,256,256
1522217733,256,256
1522224931,256,256
1522254625,1536,1536
1522257326,256,256
1522260917,256,256
1522268124,256,256
1522275329,256,256
1522282533,256,256
1522290343,256,256
1522340861,1536,1536
1522347329,512,512
1522354525,512,512
1522368927,256,256
1522370735,512,512
1522420226,1536,1536
1522428322,256,256
1522434630,256,256
1522440930,256,256
1522459649,256,256
1522460737,256,256
1522464331,256,256
1522469734,256,256
1522473333,256,256
1522484134,256,256
1522491357,256,256
1522492622,256,256
1522494942,256,256
1522496736,256,256
1522521003,1280,1280
1522527325,256,256
1522534521,256,256
1522536332,256,256
1522541733,512,512
1522548932,256,256
1522600442,1280,1280
1522602920,256,256
1522613727,256,256
1522620927,256,256
1522623603,256,256
1522628127,512,512
1522629932,256,256
1522631745,256,256
1522636063,256,256
1522649735,256,256
1522690205,1024,1024
1522692922,256,256
1522698321,256,256
1522700837,512,512
1522710003,256,256
1522714536,512,512
1522716358,256,256
1522725331,256,256
1522728926,256,256
1522744041,256,256
1522757731,256,256
1522774804,1280,1280
1522804540,256,256
1522822537,256,256
1522863028,1792,1792
1522863149,256,256
1522867518,256,256
1522932323,256,256
1522974602,1792,1792
1522982715,256,256
1523007002,1536,1536
1523017915,256,256
1523022333,256,256
1523024117,256,256
1523025306,256,256
1523027716,256,256
1523029527,512,512
1523031315,256,256
1523038521,512,512
1523045723,256,256
1523052947,512,512
1523054083,256,256
1523060128,512,512
1523061635,256,256
1523111603,1792,1792
1523115918,256,256
1523117719,256,256
1523124923,256,256
1523132122,256,256
1523139333,256,256
1523146535,256,256
1523166335,256,256
1523177135,256,256
1523208771,1024,1024
1523214927,256,256
1523232934,256,256
1523240144,256,256
1523256331,256,256
1523287803,1792,1792
1523377802,1792,1792
1523392160,256,256
1523398525,256,256
1523402130,256,256
1523405738,512,512
1523407287,256,256
1523478635,1024,1024
1523484925,256,256
1523492127,256,256
1523511938,256,256
1523550710,1792,1792
1523556934,768,768
1523561984,256,256
1523564121,512,512
1523568981,256,256
1523571327,256,256
1523572427,256,256
1523576475,256,256
1523579848,256,256
1523585742,256,256
1523594160,256,256
1523600130,256,256
1523607332,256,256
1523637902,1280,1280
1523641502,256,256
1523643325,256,256
1523646929,256,256
1523648164,256,256
1523650531,256,256
1523682004,256,256
1523684163,256,256
1523716245,2048,2048
1523720239,256,256
1523722521,256,256
1523724316,256,256
