DateTime,AddedIPs,RemovedIPs
1523896921,4,5
1523897522,5,48
1523898180,1,20
1523898966,2,111
1523899321,2,0
1523899923,72,8
1523900522,2,0
1523901122,3,18
1523901780,9,10
1523902321,2,20
1523902921,1,4
1523903762,90,15
1523904121,2,0
1523904723,4,3
1523905380,0,2
1523905922,0,1
1523906642,0,105
1523907122,0,4
1523907602,84,0
1523907723,0,10
1523908321,2,0
1523908982,0,8
1523909522,0,2
1523910122,0,9
1523910484,0,81
1523910781,4,9
1523911322,0,5
1523911922,4,0
1523913122,4,44
1523913721,0,1
1523914322,3,0
1523914921,1,10
1523915523,126,0
1523916180,1,12
1523916722,4,10
1523917445,0,154
1523918521,13,4
1523919122,3,2
1523919611,55,0
1523919721,6,0
1523920322,0,5
1523921523,73,17
1523922721,0,15
1523923684,35,165
1523924522,2,4
1523925122,5,2
1523925722,0,2
1523926322,0,6
1523927521,3,48
1523928122,1,42
1523928781,1,1
1523929444,67,68
1523929922,5,0
1523930521,2,9
1523930581,0,1
1523931121,0,1
1523931722,0,5
1523932322,0,20
1523932381,1,2
1523933284,61,64
1523934180,3,15
1523934722,2,0
1523935322,5,0
1523935981,6,2
1523936522,0,7
1523937124,87,175
1523937780,0,18
1523939044,178,12
1523939522,1,0
1523940722,15,7
1523941208,64,154
1523941321,0,4
1523941381,0,2
1523941921,0,29
1523942521,3,1
1523943123,74,14
1523943722,5,20
1523944321,1,0
1523945044,18,73
1523945522,2,13
1523946122,0,2
1523946968,3,64
1523947321,1,0
1523947922,4,4
1523948522,6,8
1523948882,126,5
1523949122,2,0
1523949721,0,14
1523950322,7,0
1523950922,8,4
1523951523,8,1
1523952181,8,19
1523952725,1,113
1523953323,3,51
1523953922,9,0
1523954643,1878,5
1523955121,1,0
1523955722,2,9
1523955781,1,0
1523956564,58,1866
1523956922,13,1
1523958123,4,0
1523958483,57,43
1523958722,2,0
1523959381,6,4
1523959921,2,0
1523960402,50,60
1523961182,3,6
1523962322,0,4
1523962982,5,6
1523964245,0,59
1523964722,1,0
1523965321,2,5
1523965922,0,5
1523966410,57,0
1523966581,0,3
1523967122,1,10
1523967722,2,3
1523968325,48,61
1523968921,4,0
1523969522,9,1
1523970481,2,0
1523970721,5,2
1523971321,6,4
1523972164,60,44
1523973122,6,15
1523974083,7,87
1523974322,1,0
1523974922,0,15
1523975522,2,53
1523976003,58,0
1523976123,5,8
1523976721,2,0
1523977382,1,1
1523978522,4,8
1523979181,1,0
1523979845,55,110
1523980322,0,4
1523980922,3,0
1523981522,1,2
1523982721,5,18
1523983322,0,3
1523983683,99,0
1523984583,2,23
1523985122,2,17
1523985722,6,28
1523986922,0,3
1523987523,67,18
1523988182,1,3
1523988722,10,1
1523989444,3,119
1523989922,2,0
1523989981,2,0
1523990523,3,29
1523991362,69,1
1523991781,2,9
1523992923,1,6
1523993521,2,2
1523994122,0,3
1523994721,3,2
1523995219,69,104
1523995322,1,1
1523995381,1,1
1523995922,5,6
1523996521,2,0
1523997121,0,5
1523998322,4,58
1523999524,71,94
1524000122,13,4
1524000722,3,0
1524001444,55,2
1524001923,3,5
1524002581,7,14
1524003363,7,56
1524003722,13,27
1524004322,3,1
1524005524,110,79
1524006181,5,7
1524006722,1,2
1524007444,9,105
1524007922,3,3
1524009363,88,2
1524010322,0,10
1524011287,0,142
1524011581,4,3
1524012122,38,3
1524012721,4,6
1524013683,76,18
1524013923,18,1
1524015606,117,97
1524016321,35,26
1524016983,9,0
1524017524,10,144
1524018122,21,3
1524018781,1,0
1524019446,73,7
1524019921,19,0
1524020581,0,3
1524021122,18,3
1524021721,16,0
1524022322,5,31
1524022923,19,0
1524023283,83,198
1524023522,5,58
1524024181,12,30
1524025321,31,10
1524025981,1,3
1524026523,4,18
1524027123,95,0
1524027721,24,0
1524027783,0,1
1524028321,4,0
1524029042,108,8
1524029522,1,0
1524030122,13,69
1524031381,4,0
1524031922,4,2
1524032522,2,7
1524032884,0,128
1524033181,10,2
1524033721,8,6
1524034321,2,0
1524034982,4,8
1524035521,2,0
1524036122,1,4
1524036723,112,93
1524037322,2,42
1524037922,3,2
1524038581,1,1
1524039122,1,0
1524039721,1,1
1524040321,1,2
1524040922,3,13
1524041522,2,0
1524042483,135,4
1524042722,5,5
1524043922,7,2
1524043981,2,0
1524044404,11,64
1524044522,2,2
1524045122,10,0
1524045782,3,1
1524046322,13,1
1524046922,5,0
1524047581,4,12
1524048245,56,11
1524048722,0,5
1524049383,2,2
1524049922,1,0
1524050163,0,106
1524050522,3,4
1524051121,1,0
1524052083,67,0
1524052322,0,2
1524052921,1,2
1524053521,8,16
1524054123,1,0
1524054781,2,3
1524055321,6,2
1524055922,1,0
1524056521,10,0
1524056583,1,1
1524057122,0,4
1524057829,59,104
1524058322,8,20
1524058921,4,0
1524059522,10,1
1524060009,71,0
1524060122,10,0
1524060722,5,11
1524061924,63,65
1524062521,6,3
1524063122,6,13
1524063843,75,20
1524064922,2,53
1524066004,4,98
1524066122,1,49
1524066721,11,19
1524067384,4,3
1524067921,1,2
1524068522,1,8
1524069181,7,0
1524069850,76,2
1524070922,18,5
1524070982,0,1
1524071522,7,2
1524072121,0,19
1524072722,13,76
1524073686,72,140
1524073922,5,0
1524074584,3,20
1524075122,1,0
1524075721,1,0
1524076322,0,4
1524076922,2,8
