DateTime,AddedIPs,RemovedIPs
1523736195,156,250
1523737218,39,52
1523737802,60,0
1523739135,48,31
1523739603,103,384
1523741065,298,34
1523741403,64,134
1523742313,84,126
1523742970,45,34
1523745501,160,67
1523745903,69,0
1523746576,74,0
1523747542,36,28
1523749152,56,1
1523749947,131,36
1523751008,89,0
1523751338,251,0
1523751851,25,32
1523752353,779,0
1523753788,39,45
1523754003,140,9
1523755691,796,0
1523756552,170,189
1523757877,47,74
1523758215,110,91
1523760756,152,128
1523761203,50,0
1523762903,133,119
1523764827,71,61
1523765731,108,185
1523766990,23,32
1523767330,110,283
1523768908,25,37
1523769332,90,116
1523770817,161,117
1523771103,256,0
1523772743,37,38
1523772931,0,13759
1523774664,13833,25
1523776590,130,96
1523777402,91,0
1523778501,112,142
1523781153,217,297
1523783078,79,68
1523783731,62,98
1523785466,42,32
1523786403,140,127
1523788354,163,214
1523788927,126,149
1523790269,50,28
1523790315,106,128
1523792428,134,37
1523793380,109,154
1523794595,87,2052
1523796744,98,119
1523796907,94,1
1523798654,792,0
1523799124,74,125
1523799728,90,137
1523800836,113,51
1523801408,75,85
1523801736,0,1270
1523802743,112,130
1523803327,33,42
1523804669,31,18
1523805331,82,79
1523806589,127,21
1523806924,79,212
1523808538,37,22
1523808939,96,90
1523809802,54,0
1523810667,1054,15
1523810702,0,253
1523811279,77,186
1523812577,47,23
1523813403,85,351
1523814499,156,144
1523815203,256,0
1523816421,137,145
1523817726,136,204
1523818338,50,20
1523819719,327,122
1523820752,159,91
1523821517,326,164
1523822664,37,51
1523823017,121,99
1523824584,38,47
1523825102,84,93
1523826767,128,76
1523826929,79,98
1523827887,59,0
1523828653,42,38
1523830583,189,320
1523832509,157,148
1523833442,92,123
1523834435,34,44
1523835002,93,0
1523836345,33,24
1523836803,69,160
1523837726,113,85
1523838260,29,32
1523839327,99,119
1523840181,290,29
1523840404,40,0
1523842100,806,115
1523843129,321,118
1523843707,85,40
1523844272,47,41
1523845663,55,85
1523846192,89,163
1523848120,142,135
1523850027,46,21
1523850302,108,181
1523851947,13,19
1523852137,89,92
1523853869,98,122
1523855108,120,123
1523855785,27,22
1523857328,185,158
1523857705,37,32
1523859627,125,111
1523860927,143,105
1523861545,47,20
1523862004,49,1
1523863456,37,40
1523863803,157,152
1523865378,34,52
1523865604,80,162
1523866530,76,431
1523867300,38,52
1523867895,142,109
1523869234,91,85
1523870131,111,137
1523871139,34,38
1523871930,115,1
1523872803,118,158
1523873071,25,42
1523874975,97,127
1523875539,146,179
1523876913,41,45
1523877331,169,147
1523878824,34,23
1523879102,123,169
1523879769,42,0
1523880752,33,1986
1523881948,133,206
1523882658,45,34
1523882728,28,0
1523884586,958,117
1523884850,74,0
1523885287,31,0
1523886499,33,22
1523886967,202,145
1523888419,56,27
1523889003,74,88
1523889617,68,99
1523890339,45,36
1523891108,111,84
1523892261,96,45
1523894176,152,150
1523895247,131,76
1523896098,69,35
1523896508,333,2403
1523898038,148,46
1523898308,123,100
1523899941,91,47
1523900406,80,123
1523900527,58,0
1523901869,108,39
1523902527,1440,104
1523903788,62,18
1523904127,247,100
1523905706,44,44
1523906126,106,70
1523906550,99,0
1523907624,30,62
1523908803,109,93
1523909557,25,40
1523909727,65,95
1523911478,162,123
1523913652,398,124
1523914087,54,1
1523914927,41,130
1523915556,38,44
1523916920,105,56
1523918083,54,70
1523918416,81,140
1523920092,20,44
1523920519,66,63
1523922165,32,43
1523922317,173,123
1523924199,26,28
1523925003,150,97
1523925596,253,0
1523926116,29,34
1523926417,75,149
1523928009,839,0
1523928607,69,88
1523929972,150,151
1523931340,381,70
1523931876,49,25
1523933107,118,115
1523933769,36,34
1523934003,24,0
1523935695,159,113
1523937869,170,172
1523939286,118,77
1523939771,21,22
1523941203,102,140
1523941696,21,21
1523942130,0,255
1523943002,74,84
1523943638,37,45
1523943727,97,127
1523944803,51,0
1523945561,26,38
1523946487,107,85
1523947457,71,124
1523949398,138,112
1523950367,102,0
1523951316,75,58
1523952004,104,79
1523953212,25,37
1523953802,62,87
1523954305,96,69
1523955134,30,32
1523956535,179,90
1523957054,28,33
1523958041,141,134
1523958969,26,43
1523959411,75,94
1523960048,33,0
1523960889,54,29
1523962567,180,146
1523962817,85,85
1523963734,75,74
1523964758,25,43
1523965508,119,126
1523966654,55,1743
1523967335,92,85
1523968568,33,39
1523969766,205,91
1523970491,734,0
1523971687,114,143
1523972408,34,22
1523974334,35,27
1523974538,115,212
1523976503,120,137
1523976907,58,44
1523978409,24,27
1523979003,60,57
1523980336,91,110
1523980802,43,0
1523981729,54,103
1523982259,32,12
1523982603,39,1274
1523984168,30,12
1523984836,83,210
1523986090,60,29
1523986825,1357,111
1523988017,64,60
1523988919,412,614
1523989939,105,38
1523990718,72,101
1523991859,30,37
1523992523,252,0
1523993772,119,164
1523994302,100,0
1523995697,129,205
1523996119,61,82
1523997003,41,252
1523998846,82,470
1523999106,91,115
1523999717,37,1
1524000740,23,33
1524001502,67,119
1524002908,21,27
1524004292,182,163
1524004977,12,24
1524006306,137,263
1524006981,269,40
1524008407,374,107
1524008891,20,35
1524009366,72,0
1524010815,15,33
1524011402,52,113
1524011708,60,111
1524012735,22,39
1524013482,111,142
1524015637,786,99
1524016292,55,0
1524017542,160,37
1524018487,115,144
1524019467,12,13
1524020403,88,153
1524021386,65,102
1524023301,88,123
1524024002,57,0
1524025239,15,14
1524025802,57,395
1524027158,94,217
1524028536,81,106
1524029076,14,29
1524029402,0,251
1524029682,352,0
1524030393,80,138
1524030997,12,35
1524032129,73,171
1524032630,72,0
1524032921,14,29
1524034832,152,300
1524035729,85,107
1524036743,26,38
1524037528,133,144
1524038788,77,40
1524039331,254,0
1524040202,86,174
1524040890,97,218
1524041767,73,60
1524043420,91,145
1524044708,110,199
1524045369,23,33
1524046529,76,102
1524047291,20,28
1524047827,97,136
1524049223,121,66
1524051140,83,175
1524051308,66,129
1524052803,24,42
1524053078,20,2006
1524053648,116,89
1524054979,139,169
1524055327,24,38
1524056895,880,0
1524057332,136,92
1524058087,80,0
1524058833,26,24
1524060003,108,110
1524060741,43,43
1524061803,1333,113
1524062676,23,36
1524062718,110,140
1524065324,204,130
1524066302,39,132
1524067217,40,58
1524068116,104,117
1524069382,94,116
1524071321,50,77
1524072602,99,1144
1524073238,268,36
1524073508,109,170
1524074402,0,255
1524075137,22,26
1524075319,85,78
1524077060,105,216
1524078003,70,0
1524078973,23,62
1524080201,336,105
1524080900,27,75
1524081818,184,190
1524082813,19,25
1524083287,73,0
1524084740,9,26
1524085203,81,114
1524086675,89,140
1524087108,0,12842
1524088576,11,37
1524088803,12886,0
1524090796,103,179
1524091207,218,124
1524093912,140,230
1524094315,129,92
1524095771,15,30
1524096608,253,100
1524096930,0,0
1524098194,195,191
1524099308,167,0
1524100343,847,0
1524101402,123,136
1524102257,59,44
1524102573,134,142
1524104186,296,124
1524106098,163,146
1524108019,217,166
1524109211,258,139
1524109957,7,30
1524110402,0,255
1524111332,195,79
1524111858,12,29
1524113407,250,92
1524113769,8,19
1524114932,165,117
1524115940,17,60
1524116115,0,250
1524116703,212,128
1524117862,16,24
1524118528,214,76
1524119775,9,24
1524120317,196,372
1524121701,134,65
1524122134,392,123
1524122889,142,0
1524123646,16,84
1524123934,0,0
1524124804,201,127
1524125800,149,175
1524126602,160,1
1524127717,104,225
1524129641,18,14637
1524130807,14924,0
1524131557,16,30
1524132624,276,86
1524133477,13,55
1524135635,330,252
1524136538,190,60
1524137540,15,30
1524138303,175,101
1524139483,20,1233
1524140131,198,108
1524141376,38,20
1524141726,110,99
1524143324,467,0
1524143733,136,90
1524145219,26,19
1524145504,153,115
1524147145,284,93
1524147331,0,1271
1524149062,257,387
1524150999,288,62
1524151803,203,0
1524152527,166,128
1524152894,21,13
1524153603,109,1
1524155068,28,17
1524155403,314,55
1524155827,1016,0
1524156996,27,10
1524157204,155,107
1524158899,225,584
1524159272,188,136
1524160826,54,30
1524161725,250,0
1524162757,340,134
1524163211,80,178
1524164672,21,19
1524165327,51,66
1524166584,22,17253
1524166927,17319,0
1524168511,26,14
1524168927,77,77
1524170424,78,18
1524170722,0,255
1524171008,60,106
1524172364,80,127
1524172519,256,0
