DateTime,AddedIPs,RemovedIPs
1523851323,1,0
1523851922,0,1
1523852523,10,8
1523853122,13,0
1523854322,3,9
1523854921,8,3
1523855521,1,0
1523856122,1,4
1523856721,1,0
1523857922,2,7
1523859122,2,9
1523859721,0,102
1523860322,1,0
1523860922,1,4
1523862121,0,3
1523862722,1,6
1523863922,4,11
1523864521,4,0
1523865122,0,8
1523865722,0,1
1523866322,1,3
1523867522,0,2
1523868121,3,5
1523868722,0,8
1523869322,5,14
1523869922,4,1
1523870522,2,8
1523871722,1,0
1523872322,0,4
1523872922,1,0
1523873522,0,1
1523874122,1,1
1523874721,7,2
1523875321,1,8
1523875922,3,0
1523876522,2,10
1523877121,2,1
1523877722,4,2
1523878922,2,4
1523880123,1,0
1523880721,6,1
1523881321,4,16
1523881981,0,44
1523882522,1,0
1523883121,0,4
1523883722,0,3
1523884322,1,8
1523884922,4,7
1523886721,3,6
1523887323,2,0
1523887922,5,1
1523888522,1,17
1523889722,3,12
1523890922,3,10
1523891522,0,3
1523892722,1,5
1523893321,0,4
1523893922,2,12
1523894521,0,3
1523895122,7,2
1523895722,6,1
1523896381,8,9
1523896921,4,5
1523897522,5,48
1523898122,1,19
1523898722,2,0
1523899321,2,0
1523899922,0,8
1523900522,2,0
1523901122,3,18
1523901722,9,8
1523902321,2,20
1523902921,1,4
1523903591,3,0
1523904121,2,0
1523904723,4,3
1523905322,0,1
1523905922,0,1
1523907122,0,4
1523907723,0,10
1523908321,2,0
1523908922,0,7
1523909522,0,2
1523910122,0,9
1523910781,4,9
1523911322,0,5
1523911922,4,0
1523913122,0,40
1523913721,0,1
1523914322,3,0
1523914921,1,10
1523915523,11,0
1523916121,1,10
1523916722,4,10
1523917322,0,1
1523918521,13,4
1523919122,3,2
1523919721,6,0
1523920322,0,4
1523921522,2,9
1523922721,0,15
1523923321,0,4
1523924522,2,4
1523925122,5,2
1523925722,0,2
1523926322,0,6
1523927521,3,48
1523928122,1,42
1523928781,1,1
1523929322,2,3
1523929922,5,0
1523930521,2,9
1523931121,0,1
1523931722,0,5
1523932322,0,20
1523932381,1,2
1523932921,5,7
1523934122,3,15
1523934722,2,0
1523935322,5,0
1523935981,6,2
1523936522,0,7
1523937722,0,18
1523938922,10,12
1523939522,1,0
1523940722,15,7
1523941321,0,4
1523941921,0,29
1523942521,3,1
1523943121,0,5
1523943722,5,20
1523944321,1,0
1523944922,9,1
1523945522,2,13
1523946122,0,2
1523946781,3,8
1523947321,1,0
1523947922,4,4
1523948522,6,8
1523949122,2,0
1523949721,0,14
1523950322,7,0
1523950922,8,4
1523951523,8,1
1523952122,8,17
1523952721,1,16
1523953323,3,51
1523953922,9,0
1523954522,2,5
1523955121,1,0
1523955722,2,9
