DateTime,AddedIPs,RemovedIPs
1522402329,0,1
1522402807,1,0
1522404730,1,0
1522407125,1,0
1522409059,2,0
1522413370,0,1
1522415287,1,0
1522436645,0,1
1522439050,2,1
1522452747,3,0
1522454889,0,3
1522455365,2,0
1522456805,1,0
1522458725,0,1
1522460648,0,1
1522461614,0,1
1522462090,1,0
1522476010,0,1
1522480325,1,0
1522485133,0,1
1522487525,0,1
1522488969,1,0
1522489447,2,0
1522492811,0,1
1522493286,0,1
1522494245,1,0
1522494731,0,1
1522495689,1,0
1522496659,4,0
1522497616,1,0
1522501928,0,1
1522518005,0,1
1522521368,1,0
1522522812,0,1
1522524727,0,1
1522525692,1,3
1522534327,1,0
1522540681,1,0
1522543688,0,1
1522546085,0,1
1522555687,1,0
1522559527,0,1
1522568885,1,0
1522574169,1,0
1522577527,0,1
1522578009,1,0
1522584744,2,0
1522588328,0,1
1522593364,1,0
1522595287,1,0
1522607530,0,1
1522612328,2,2
1522612811,0,1
1522615926,1,0
1522622649,0,1
1522625051,0,2
1522625527,3,0
1522628413,1,0
1522632245,0,1
1522632729,1,0
1522635126,0,1
1522638247,1,0
1522638725,1,0
1522645446,0,1
1522649770,1,0
1522651206,1,0
1522653129,0,1
1522657928,1,0
1522672337,2,0
1522673776,0,2
1522674248,2,0
1522677127,0,1
1522682646,1,0
1522687689,0,2
1522688165,2,0
1522695850,0,1
1522698247,5,2
1522703766,0,1
1522707130,1,0
1522716012,3,1
1522720566,0,1
1522722488,1,0
1522724493,2,0
1522734007,1,0
1522738329,0,1
1522740974,0,1
1522748404,2,0
1522755849,0,1
1522756822,0,1
1522757286,1,0
1522759714,4,0
1522779369,0,1
1522785375,1,0
1522790410,0,2
1522790885,2,0
1522791847,1,0
1522794967,0,1
1522803646,2,1
1522806965,2,0
1522808165,0,1
1522810086,0,1
1522811526,1,0
1522813925,1,0
1522814422,0,2
1522814886,2,0
1522821127,0,1
1522824728,1,0
1522825215,1,0
1522832650,0,2
1522833125,2,0
1522836019,1,0
1522840809,2,0
1522846084,0,1
1522847313,2,0
1522854488,1,0
1522857630,1,0
1522864813,0,1
1522866246,0,1
1522868165,1,0
1522871049,0,4
1522872011,0,2
1522872487,2,0
1522874646,1,0
1522875849,0,1
1522877771,0,1
1522886650,1,0
1522889766,0,1
1522891980,3,0
1522896969,0,1
1522901528,1,0
1522913048,4,0
1522915453,1,0
1522919528,1,0
1522922164,0,1
1522922648,1,0
1522931526,0,1
1522934407,1,0
1522935607,2,0
1522935850,1,0
1522939925,1,0
1522944967,0,1
1522946407,1,0
1522952165,0,1
1522952646,1,0
1522953128,0,1
1522957687,4,5
1522964168,0,3
1522964886,2,0
1522967289,1,0
1522979535,2,1
1522980012,1,1
1522980489,1,0
1522987446,1,0
1523005689,0,1
1523007126,1,0
1523010010,1,0
1523013368,0,1
1523014330,1,0
1523017217,1,0
1523017688,0,1
1523022248,1,1
1523023471,2,0
1523028253,1,0
1523033288,3,0
1523035208,0,1
1523036173,1,0
1523039526,0,1
1523040485,2,0
1523041931,1,0
1523043849,3,0
1523048087,1,0
1523051044,0,1
1523053924,1,0
1523057050,1,0
1523059447,0,2
1523059926,2,1
1523063769,0,1
1523067157,2,0
1523083928,0,1
1523087765,1,0
1523091609,0,1
1523092087,1,0
1523096164,1,0
1523100008,0,1
1523102164,1,0
1523110820,3,0
1523115605,4,0
1523127613,0,1
1523130486,2,2
1523149689,0,1
1523150165,1,0
1523154737,1,0
1523155689,1,0
1523160969,1,1
1523161928,1,0
1523164331,0,1
1523168168,1,0
1523169605,1,0
1523172486,0,1
1523173444,0,1
1523180166,1,0
1523184005,1,0
1523186887,0,1
1523187368,1,0
1523190248,0,2
1523190727,2,1
1523195529,1,0
1523198416,4,0
1523199366,1,0
1523201286,0,1
1523206089,1,0
1523212806,0,1
1523213765,0,1
1523216645,2,2
1523218086,1,0
1523219530,1,0
1523222886,0,1
1523224827,1,0
1523227930,0,1
1523229130,1,0
1523231046,1,0
1523233931,0,1
1523236327,1,0
1523237045,0,1
1523238489,0,2
1523239928,0,1
1523240408,1,0
1523242339,4,0
1523247126,1,0
1523254807,0,1
1523258645,0,1
1523259129,2,0
1523267766,1,0
1523273046,0,1
1523276415,1,0
1523285540,2,0
1523286508,1,0
1523287928,1,0
1523291765,0,1
1523299448,0,1
1523301369,1,0
1523303289,0,2
1523316245,1,0
1523317685,0,1
1523321186,1,0
1523325364,1,0
1523327049,0,1
1523330886,0,1
1523334245,1,0
1523340968,0,1
1523344809,1,0
1523345769,1,0
1523349127,0,1
1523352485,1,0
1523355368,0,1
1523356809,1,0
1523368570,0,1
1523373862,1,0
1523374326,0,1
1523374808,1,0
1523377929,1,2
1523378647,2,0
1523381046,1,0
1523384886,0,1
1523385845,0,1
1523388008,1,0
1523388971,1,0
1523389445,1,3
1523390887,0,1
1523391848,0,1
1523394250,2,0
1523399050,1,0
1523401688,0,1
1523404568,1,0
1523407927,0,1
1523409845,1,0
1523411290,2,0
1523412248,0,1
1523414406,0,1
1523417533,6,0
1523418725,1,0
1523425926,0,2
1523426417,2,0
1523433614,1,1
1523436489,0,1
1523436966,1,0
1523439370,1,0
1523451134,0,2
1523451609,2,0
1523461218,1,0
1523471289,0,1
1523472727,0,2
1523473213,2,0
1523476086,4,4
1523477525,1,0
1523480892,0,1
1523488812,0,2
1523491693,1,0
1523494565,2,2
1523495046,1,0
1523496005,1,0
1523498650,1,0
1523500086,1,0
1523502016,0,1
1523504890,1,0
1523514005,2,0
1523515925,3,0
1523523126,2,0
1523524086,1,0
1523526004,0,1
1523529606,1,0
1523535856,0,1
1523536330,1,0
1523537765,0,1
1523538248,1,0
1523546405,0,2
1523546889,2,0
1523547365,1,0
1523548831,2,0
1523558407,0,1
1523560095,0,1
1523562731,3,0
1523567048,1,0
1523567527,1,0
1523569926,0,1
1523570890,0,2
1523571373,2,0
1523582187,0,1
1523582646,0,1
1523585049,0,1
1523588888,1,0
1523592512,2,0
1523595367,0,2
1523595846,3,0
1523602090,0,1
1523602570,303,304
1523605447,1,0
1523609290,0,1
1523611207,2,0
1523611690,1,0
1523615528,1,0
1523619366,0,1
1523619848,1,0
1523620811,0,2
1523621290,2,0
1523644806,0,1
1523648648,1,2
1523652490,2,0
1523668810,0,1
1523671695,1,0
1523681060,1,0
1523688247,0,1
1523697368,0,1
1523697845,1,0
1523699289,1,0
1523701688,1,0
1523711289,0,1
1523714647,1,0
1523722329,0,2
1523722805,2,0
1523730010,0,1
1523730967,0,1
1523735294,2,3
1523736251,1,0
1523737210,1,0
1523740564,1,0
1523743688,0,1
1523749212,0,1
1523752087,1,0
1523756165,0,2
1523756649,2,0
1523757366,1,0
1523768423,2,0
1523771765,1,0
1523772250,0,2
1523772728,2,0
1523773687,0,1
1523774164,1,0
1523775128,0,1
1523781133,0,1
1523784245,1,0
1523785448,1,0
1523789049,0,1
1523798888,1,0
1523802245,0,1
1523810650,2,0
1523812097,2,0
1523821685,3,3
1523824087,0,1
1523824570,1,0
1523833926,1,0
1523836811,0,1
1523849047,0,1
1523851930,1,0
1523855786,3,0
1523856246,1,0
1523866806,1,0
1523868248,0,1
1523868725,1,0
1523870646,1,0
1523874488,0,2
1523874966,2,0
1523875925,1,0
1523878327,1,0
1523881216,0,1
1523881689,0,1
1523885048,1,0
1523889365,1,0
1523894649,0,1
1523898490,1,0
1523899459,2,0
1523900888,0,2
1523901365,2,1
1523908086,3,2
1523909046,0,2
1523909528,2,0
1523913615,0,1
1523922007,1,0
1523925129,1,0
1523928005,0,1
1523928489,0,1
1523929928,1,0
1523931369,1,0
1523934726,1,0
1523941223,0,1
1523944566,1,0
1523946975,1,0
1523953690,0,1
1523957047,1,0
1523958006,1,0
1523960885,0,1
1523963288,0,1
1523964726,1,0
1523966426,1,0
1523967861,1,0
1523969289,1,0
1523982733,0,1
1523986087,1,0
1523987057,2,0
1523988969,0,1
1523990407,0,1
1523992326,1,0
1523994248,2,4
1524001448,0,2
1524001926,1,0
1524004806,1,0
1524013693,0,1
1524024726,0,2
1524025208,2,0
1524029048,0,1
1524030728,2,0
1524040329,1,0
1524043928,0,1
1524051130,1,0
1524052088,1,0
1524054485,0,1
1524057833,1,1
1524058328,1,0
1524062405,0,1
1524065289,1,0
1524067446,1,0
1524068409,0,1
1524074407,4,0
1524080889,3,2
1524093873,0,0
1524096249,0,1
1524097206,0,0
1524099365,1,0
1524100807,0,1
1524101289,1,0
1524101765,0,2
1524102249,2,0
1524117848,0,1
1524118340,3,0
1524124089,0,0
1524126729,0,2
1524127205,2,0
1524127693,1,0
1524132485,0,1
1524139449,1,0
1524151924,0,2
1524152409,2,0
1524157925,0,1
1524162266,5,0
1524163205,0,1
1524163688,0,1
1524167049,2,3
1524176644,1,0
1524177126,0,2
1524177606,2,0
1524181930,0,1
1524185050,1,0
1524189364,0,1
1524197531,0,1
1524200167,0,2
1524200647,1,0
1524201127,2,0
1524214565,0,1
1524218165,1,0
1524218887,1,0
