DateTime,Entries,UniqueIPs
1522396091,5081,5199
1522400417,5079,5197
1522400887,5080,5198
1522402329,5079,5197
1522402807,5080,5198
1522404730,5081,5199
1522407125,5082,5200
1522409059,5084,5202
1522413370,5083,5201
1522415287,5084,5202
1522436645,5083,5201
1522439050,5084,5202
1522452747,5086,5205
1522454889,5083,5202
1522455365,5085,5204
1522456805,5086,5205
1522458725,5085,5204
1522460648,5084,5203
1522461614,5083,5202
1522462090,5084,5203
1522476010,5083,5202
1522480325,5084,5203
1522485133,5083,5202
1522487525,5082,5201
1522488969,5083,5202
1522489447,5085,5204
1522492811,5084,5203
1522493286,5083,5202
1522494245,5084,5203
1522494731,5083,5202
1522495689,5084,5203
1522496659,5088,5207
1522497616,5089,5208
1522501928,5088,5207
1522518005,5087,5206
1522521368,5088,5207
1522522812,5087,5206
1522524727,5086,5205
1522525692,5084,5203
1522534327,5085,5204
1522540681,5086,5205
1522543688,5085,5204
1522546085,5084,5203
1522555687,5085,5204
1522559527,5084,5203
1522568885,5085,5204
1522574169,5086,5205
1522577527,5085,5204
1522578009,5086,5205
1522584744,5088,5207
1522588328,5087,5206
1522593364,5088,5207
1522595287,5089,5208
1522607530,5088,5207
1522612328,5088,5207
1522612811,5087,5206
1522615926,5088,5207
1522622649,5087,5206
1522625051,5085,5204
1522625527,5088,5207
1522628413,5089,5208
1522632245,5088,5207
1522632729,5089,5208
1522635126,5088,5207
1522638247,5089,5208
1522638725,5090,5209
1522645446,5089,5208
1522649770,5090,5209
1522651206,5091,5210
1522653129,5090,5209
1522657928,5091,5210
1522672337,5093,5212
1522673776,5091,5210
1522674248,5093,5212
1522677127,5092,5211
1522682646,5093,5212
1522687689,5091,5210
1522688165,5093,5212
1522695850,5092,5211
1522698247,5095,5214
1522703766,5094,5213
1522707130,5095,5214
1522716012,5097,5216
1522720566,5096,5215
1522722488,5097,5216
1522724493,5099,5218
1522734007,5100,5219
1522738329,5099,5218
1522740974,5098,5217
1522748404,5100,5219
1522755849,5099,5218
1522756822,5098,5217
1522757286,5099,5218
1522759714,5103,5222
1522779369,5102,5221
1522785375,5103,5222
1522790410,5101,5220
1522790885,5103,5222
1522791847,5104,5223
1522794967,5103,5222
1522803646,5104,5223
1522806965,5106,5225
1522808165,5105,5224
1522810086,5104,5223
1522811526,5105,5224
1522813925,5106,5225
1522814422,5104,5223
1522814886,5106,5225
1522821127,5105,5224
1522824728,5106,5225
1522825215,5107,5226
