DateTime,AddedIPs,RemovedIPs
1523229154,40,36
1523231053,38,42
1523232982,37,37
1523234892,45,36
1523237065,761,0
1523238974,36,23
1523240890,37,34
1523242816,64,62
1523244754,33,25
1523246665,27,30
1523248574,25,16
1523250494,30,34
1523252415,31,31
1523254341,24,23
1523256256,35,23
1523258174,42,31
1523260094,42,28
1523262011,36,41
1523263936,31,29
1523265867,33,40
1523267775,51,28
1523269691,38,35
1523271658,80,70
1523273541,37,42
1523275475,37,1504
1523277376,20,37
1523279299,753,0
1523281215,66,20
1523283145,51,24
1523285561,48,12
1523287466,46,16
1523289380,21,16
1523291299,46,10
1523293227,98,44
1523295148,50,27
1523297068,37,22
1523298985,19,19
1523300900,32,14
1523302824,35,27
1523304748,30,30
1523307392,31,47
1523309293,30,64
1523311236,58,132
1523313366,30,43
1523315310,18,34
1523317210,29,17
1523319626,36,22
1523321535,18,37
1523323453,665,0
1523325372,35,20
1523327533,54,32
1523329462,21,15
1523331372,12,12
1523333294,22,9
1523335214,32,16
1523337146,26,25
1523339052,21,26
1523340981,36,20
1523342891,53,16
1523344819,46,11
1523346732,33,25
1523348655,51,26
1523350568,44,46
1523352510,47,59
1523354413,85,125
1523356832,70,43
1523358983,63,34
1523360892,48,17
1523362824,35,1925
1523364738,49,22
1523366663,878,0
1523368579,67,37
1523370492,67,35
1523372436,106,64
1523374338,51,33
1523376261,52,30
1523378176,33,30
1523380095,53,31
1523382015,41,36
1523383944,68,28
1523385935,48,28
1523388035,48,46
1523389937,41,43
1523391878,43,36
1523393777,50,32
1523395694,44,36
1523397626,99,94
1523399767,35,36
1523401703,39,42
1523403623,28,38
1523405544,30,38
1523407463,36,22
1523409386,842,0
1523411295,38,35
1523413567,33,33
1523415625,51,63
1523417533,32,32
1523419460,45,28
1523421369,40,28
1523423295,36,30
1523425209,38,35
1523427383,33,27
1523429296,23,27
1523431210,61,43
1523433134,37,42
1523435071,44,33
1523436970,55,30
1523439836,106,83
1523442018,65,43
1523443938,50,36
1523445854,44,41
1523447778,56,37
1523449689,63,1798
1523451616,938,0
1523453544,68,37
1523455464,36,35
1523457375,47,17
1523459295,84,23
1523461217,63,12
1523463167,36,19
1523465062,67,31
1523466974,58,27
1523468893,38,19
1523470815,51,36
1523472736,47,52
1523474657,42,52
1523476574,48,37
1523478495,50,48
1523480422,83,90
1523482339,28,44
1523484260,23,38
1523486407,29,65
1523488361,40,59
1523491722,46,84
1523493625,18,42
1523495551,864,0
1523497706,25,34
1523499613,24,31
1523501553,25,14
1523503458,19,21
1523505390,18,10
1523507302,24,19
1523509236,53,53
1523511144,20,17
1523513066,27,33
1523514979,21,50
1523516918,40,50
1523518833,32,35
1523520754,34,47
1523522669,60,45
1523524594,54,45
1523526496,40,43
1523528423,41,37
1523530338,38,65
1523532256,55,57
1523534443,92,2294
1523536349,48,51
1523538263,1118,0
1523540187,59,39
1523542098,30,32
1523544028,47,33
1523545951,35,22
1523547863,58,34
1523549798,45,48
1523551697,46,44
1523553625,48,50
1523555553,30,38
1523557460,23,32
1523559383,50,20
1523561291,56,56
1523563227,70,83
1523565143,44,53
1523567071,40,44
1523568980,35,64
1523570914,36,67
1523573170,41,53
1523575592,40,52
1523577982,79,122
1523580120,30,48
1523582203,1035,0
1523584094,32,34
1523586016,40,30
1523588023,23,29
1523589860,27,21
1523591768,29,34
1523593690,29,46
1523595622,71,90
1523599461,413,68
1523601618,31,22
1523603545,33,60
1523605463,43,37
1523607375,56,45
1523609301,35,57
1523611212,32,49
1523613140,36,65
1523615058,48,70
