DateTime,Entries,UniqueIPs
1523229154,2680,2680
1523231053,2676,2676
1523232982,2676,2676
1523234892,2685,2685
1523237065,3446,3446
1523238974,3459,3459
1523240890,3462,3462
1523242816,3464,3464
1523244754,3472,3472
1523246665,3469,3469
1523248574,3478,3478
1523250494,3474,3474
1523252415,3474,3474
1523254341,3475,3475
1523256256,3487,3487
1523258174,3498,3498
1523260094,3512,3512
1523262011,3507,3507
1523263936,3509,3509
1523265867,3502,3502
1523267775,3525,3525
1523269691,3528,3528
1523271658,3538,3538
1523273541,3533,3533
1523275475,2066,2066
1523277376,2049,2049
1523279299,2802,2802
1523281215,2848,2848
1523283145,2875,2875
1523285561,2911,2911
1523287466,2941,2941
1523289380,2946,2946
1523291299,2982,2982
1523293227,3036,3036
1523295148,3059,3059
1523297068,3074,3074
1523298985,3074,3074
1523300900,3092,3092
1523302824,3100,3100
1523304748,3100,3100
1523307392,3084,3084
1523309293,3050,3050
1523311236,2976,2976
1523313366,2963,2963
1523315310,2947,2947
1523317210,2959,2959
1523319626,2973,2973
1523321535,2954,2954
1523323453,3619,3619
1523325372,3634,3634
1523327533,3656,3656
1523329462,3662,3662
1523331372,3662,3662
1523333294,3675,3675
1523335214,3691,3691
1523337146,3692,3692
1523339052,3687,3687
1523340981,3703,3703
1523342891,3740,3740
1523344819,3775,3775
1523346732,3783,3783
1523348655,3808,3808
1523350568,3806,3806
1523352510,3794,3794
1523354413,3754,3754
1523356832,3781,3781
1523358983,3810,3810
1523360892,3841,3841
1523362824,1951,1951
1523364738,1978,1978
1523366663,2856,2856
1523368579,2886,2886
1523370492,2918,2918
1523372436,2960,2960
1523374338,2978,2978
1523376261,3000,3000
1523378176,3003,3003
1523380095,3025,3025
1523382015,3030,3030
1523383944,3070,3070
1523385935,3090,3090
1523388035,3092,3092
1523389937,3090,3090
1523391878,3097,3097
1523393777,3115,3115
1523395694,3123,3123
1523397626,3128,3128
1523399767,3127,3127
1523401703,3124,3124
1523403623,3114,3114
1523405544,3106,3106
1523407463,3120,3120
1523409386,3962,3962
1523411295,3965,3965
1523413567,3965,3965
1523415625,3953,3953
1523417533,3953,3953
1523419460,3970,3970
1523421369,3982,3982
1523423295,3988,3988
1523425209,3991,3991
1523427383,3997,3997
1523429296,3993,3993
1523431210,4011,4011
1523433134,4006,4006
1523435071,4017,4017
1523436970,4042,4042
1523439836,4065,4065
1523442018,4087,4087
1523443938,4101,4101
1523445854,4104,4104
1523447778,4123,4123
1523449689,2388,2388
1523451616,3326,3326
1523453544,3357,3357
1523455464,3358,3358
1523457375,3388,3388
1523459295,3449,3449
1523461217,3500,3500
1523463167,3517,3517
1523465062,3553,3553
1523466974,3584,3584
1523468893,3603,3603
1523470815,3618,3618
1523472736,3613,3613
1523474657,3603,3603
1523476574,3614,3614
1523478495,3616,3616
1523480422,3609,3609
1523482339,3593,3593
1523484260,3578,3578
1523486407,3542,3542
1523488361,3523,3523
1523491722,3485,3485
1523493625,3461,3461
1523495551,4325,4325
1523497706,4316,4316
1523499613,4309,4309
1523501553,4320,4320
1523503458,4318,4318
1523505390,4326,4326
1523507302,4331,4331
1523509236,4331,4331
1523511144,4334,4334
1523513066,4328,4328
1523514979,4299,4299
1523516918,4289,4289
1523518833,4286,4286
1523520754,4273,4273
1523522669,4288,4288
1523524594,4297,4297
1523526496,4294,4294
1523528423,4298,4298
1523530338,4271,4271
1523532256,4269,4269
1523534443,2067,2067
1523536349,2064,2064
1523538263,3182,3182
1523540187,3202,3202
1523542098,3200,3200
1523544028,3214,3214
1523545951,3227,3227
1523547863,3251,3251
1523549798,3248,3248
